date_obj,Chocchip%20crunchies price
2016-08-24,646
2016-08-25,646
2016-08-26,646
2016-08-28,646
2016-08-31,646
2016-09-01,646
2016-09-02,646
2016-09-03,646
2016-09-04,646
2016-09-05,646
2016-09-06,646
2016-09-07,646
2016-09-08,646
2016-09-09,646
2016-09-10,646
2016-09-11,646
2016-09-12,646
2016-09-13,646
2016-09-14,646
2016-09-15,646
2016-09-16,646
2016-09-17,646
2016-09-18,671
2016-09-19,671
2016-09-20,671
2016-09-21,671
2016-09-22,671
2016-09-23,671
2016-09-24,671
2016-09-25,671
2016-09-26,671
2016-09-27,671
2016-09-28,671
2016-09-29,671
2016-09-30,671
2016-10-01,671
2016-10-02,671
2016-10-03,671
2016-10-04,671
2016-10-05,671
2016-10-06,671
2016-10-07,671
2016-10-08,671
2016-10-09,671
2016-10-10,671
2016-10-11,671
2016-10-12,671
2016-10-13,671
2016-10-14,671
2016-10-15,671
2016-10-16,671
2016-10-17,671
2016-10-18,671
2016-10-19,671
2016-10-20,671
2016-10-21,671
2016-10-22,671
2016-10-23,671
2016-10-24,701
2016-10-25,701
2016-10-26,701
2016-10-27,701
2016-10-28,701
2016-10-29,701
2016-10-30,701
2016-10-31,701
2016-11-01,701
2016-11-02,701
2016-11-03,701
2016-11-04,701
2016-11-05,701
2016-11-06,701
2016-11-07,701
2016-11-08,701
2016-11-09,701
2016-11-10,701
2016-11-11,701
2016-11-12,701
2016-11-13,701
2016-11-14,701
2016-11-15,701
2016-12-07,737
2016-12-08,737
2016-12-09,737
2016-12-10,737
2016-12-11,737
2016-12-12,737
2016-12-13,737
2016-12-14,737
2016-12-15,737
2016-12-16,774
2016-12-17,774
2016-12-18,774
2016-12-19,774
2016-12-20,774
2016-12-21,774
2016-12-22,774
2016-12-23,774
2016-12-24,774
2016-12-25,774
2016-12-26,774
2016-12-27,774
2016-12-28,774
2016-12-29,774
2016-12-30,774
2016-12-31,774
2017-01-01,774
2017-01-02,774
2017-01-03,774
2017-01-04,774
2017-01-05,774
2017-01-06,774
2017-01-07,774
2017-01-08,774
2017-01-09,774
2017-01-10,774
2017-01-11,774
2017-01-12,774
2017-01-13,803
2017-01-14,803
2017-01-15,803
2017-01-16,803
2017-01-17,803
2017-01-18,803
2017-01-19,803
2017-01-20,803
2017-01-21,803
2017-01-22,803
2017-01-23,803
2017-01-27,803
2017-01-28,803
2017-01-29,803
2017-01-30,803
2017-01-31,803
2017-02-01,803
2017-02-02,803
2017-02-03,803
2017-02-04,803
2017-02-05,803
2017-02-06,803
2017-02-07,801
2017-02-08,801
2017-02-09,801
2017-02-10,801
2017-02-11,801
2017-02-12,801
2017-02-13,801
2017-02-14,801
