date_obj,Ring%20of%20recoil price
2015-07-10,1674
2015-07-11,1692
2015-07-12,1691
2015-07-13,1671
2015-07-14,1644
2015-07-15,1650
2015-07-16,1664
2015-07-17,1653
2015-07-18,1633
2015-07-19,1624
2015-07-20,1620
2015-07-21,1676
2015-07-22,1736
2015-07-23,1823
2015-07-24,1890
2015-07-25,1805
2015-07-26,1778
2015-07-27,1755
2015-07-28,1769
2015-07-29,1829
2015-07-30,1818
2015-07-31,1797
2015-08-01,1797
2015-08-02,1783
2015-08-03,1789
2015-08-04,1764
2015-08-05,1758
2015-08-06,1786
2015-08-07,1741
2015-08-08,1754
2015-08-09,1794
2015-08-10,1799
2015-08-11,1750
2015-08-12,1717
2015-08-13,1712
2015-08-14,1737
2015-08-15,1796
2015-08-16,1755
2015-08-17,1726
2015-08-18,1728
2015-08-19,1779
2015-08-20,1867
2015-08-21,1911
2015-08-22,1955
2015-08-23,1949
2015-08-24,2022
2015-08-25,2110
2015-08-26,2161
2015-08-27,2127
2015-08-28,2020
2015-08-29,1933
2015-08-30,1836
2015-08-31,1776
2015-09-01,1773
2015-09-02,1859
2015-09-03,1878
2015-09-04,1893
2015-09-05,1860
2015-09-06,1786
2015-09-07,1741
2015-09-08,1815
2015-09-09,1783
2015-09-10,1785
2015-09-11,1749
2015-09-12,1711
2015-09-13,1721
2015-09-14,1692
2015-09-15,1661
2015-09-16,1623
2015-09-17,1632
2015-09-18,1671
2015-09-19,1709
2015-09-20,1723
2015-09-21,1714
2015-09-22,1677
2015-09-23,1619
2015-09-24,1585
2015-09-25,1566
2015-09-27,1544
2015-09-28,1529
2015-09-29,1546
2015-09-30,1611
2015-10-05,1756
2015-10-06,1668
2015-10-07,1593
2015-10-08,1616
2015-10-09,1643
2015-10-10,1707
2015-10-11,1696
2015-10-12,1712
2015-10-13,1734
2015-10-14,1700
2015-10-15,1673
2015-10-16,1656
2015-10-17,1656
2015-10-18,1650
2015-10-19,1611
2015-10-20,1565
2015-10-22,1524
2015-10-23,1534
2015-10-24,1564
2015-10-25,1525
2015-10-26,1510
2015-10-27,1501
2015-10-29,1565
2015-10-30,1527
2015-10-31,1501
2015-11-01,1476
2015-11-02,1492
2015-11-03,1512
2015-11-04,1473
2015-11-05,1504
2015-11-06,1541
2015-11-07,1572
2015-11-08,1543
2015-11-09,1540
2015-11-10,1534
2015-11-11,1537
2015-11-12,1584
2015-11-13,1595
2015-11-14,1568
2015-11-15,1535
2015-11-16,1512
2015-11-17,1559
2015-11-18,1547
2015-11-19,1565
2015-11-20,1621
2015-11-21,1673
2015-11-22,1723
2015-11-23,1753
2015-11-24,1714
2015-11-25,1796
2015-11-26,1882
2015-11-27,1972
2015-11-28,2039
2015-11-29,2092
2015-11-30,2069
2015-12-01,2041
2015-12-02,2088
2015-12-03,2150
2015-12-04,2162
2015-12-05,2176
2015-12-06,2239
2015-12-07,2346
2015-12-08,2464
2015-12-09,2584
2015-12-10,2683
2015-12-11,2817
2015-12-12,2853
2015-12-13,2867
2015-12-14,2847
2015-12-15,2776
2015-12-16,2637
2015-12-17,2505
2015-12-18,2379
2015-12-19,2308
2015-12-20,2200
2015-12-21,2194
2015-12-22,2280
2015-12-23,2236
2015-12-24,2126
2015-12-25,2021
2015-12-26,1924
2015-12-27,1937
2015-12-28,1930
2015-12-29,1861
2015-12-30,1792
2015-12-31,1866
2016-01-01,1900
2016-01-02,1835
2016-01-03,1817
2016-01-04,1906
2016-01-05,2002
2016-01-06,2049
2016-01-07,1954
2016-01-08,1928
2016-01-09,1881
2016-01-10,1892
2016-01-11,1915
2016-01-12,1951
2016-01-13,1944
2016-01-14,1884
2016-01-15,1887
2016-01-16,1956
2016-01-17,2000
2016-01-18,2056
2016-01-19,2025
2016-01-20,1961
2016-01-21,1915
2016-01-22,1900
2016-01-23,1966
2016-01-24,2048
2016-01-25,2067
2016-01-26,2035
2016-01-27,2069
2016-01-28,2170
2016-01-29,2276
2016-01-30,2372
2016-01-31,2464
2016-02-01,2385
2016-02-02,2463
2016-02-03,2475
2016-02-04,2483
2016-02-05,2533
2016-02-06,2604
2016-02-07,2698
2016-02-08,2768
2016-02-09,2664
2016-02-10,2555
2016-02-11,2525
2016-02-12,2465
2016-02-13,2478
2016-02-14,2600
2016-02-15,2730
2016-02-16,2784
2016-02-17,2730
2016-02-18,2750
2016-02-19,2682
2016-02-20,2721
2016-02-21,2825
2016-02-22,2874
2016-02-23,2837
2016-02-24,2918
2016-02-25,2825
2016-02-26,2725
2016-02-27,2676
2016-02-28,2555
2016-02-29,2625
2016-03-01,2738
2016-03-02,2742
2016-03-03,2693
2016-03-04,2646
2016-03-05,2576
2016-03-06,2560
2016-03-07,2491
2016-03-08,2515
2016-03-09,2508
2016-03-10,2424
2016-03-11,2349
2016-03-12,2366
2016-03-13,2263
2016-03-14,2305
2016-03-15,2263
2016-03-16,2223
2016-03-17,2266
2016-03-18,2265
2016-03-19,2166
2016-03-20,2149
2016-03-21,2157
2016-03-22,2146
2016-03-23,2150
2016-03-24,2232
2016-03-25,2265
2016-03-26,2184
2016-03-27,2101
2016-03-28,2137
2016-03-29,2057
2016-03-30,2090
2016-03-31,2161
2016-04-01,2184
2016-04-02,2097
2016-04-03,2046
2016-04-04,2091
2016-04-05,2057
2016-04-06,2015
2016-04-07,2004
2016-04-08,2066
2016-04-09,2098
2016-04-10,2082
2016-04-11,2112
2016-04-12,2056
2016-04-13,2023
2016-04-14,2023
2016-04-15,2020
2016-04-16,2027
2016-04-17,1999
2016-04-18,2000
2016-04-19,1977
2016-04-20,1980
2016-04-21,1983
2016-04-22,2002
2016-04-23,2082
2016-04-24,2141
2016-04-25,2059
2016-04-26,2054
2016-04-27,2021
2016-04-28,1989
2016-04-29,1986
2016-04-30,1974
2016-05-01,1981
2016-05-02,1983
2016-05-03,1900
2016-05-04,1882
2016-05-05,1932
2016-05-06,1946
2016-05-07,1900
2016-05-08,1845
2016-05-09,1794
2016-05-10,1811
2016-05-11,1842
2016-05-12,1850
2016-05-13,1898
2016-05-14,1910
2016-05-15,1887
2016-05-16,1907
2016-05-17,1967
2016-05-18,1948
2016-05-19,1975
2016-05-22,2222
2016-05-23,2181
2016-05-24,2071
2016-05-25,2010
2016-05-26,2029
2016-05-27,2120
2016-05-28,2138
2016-05-29,2097
2016-05-30,2132
2016-05-31,2138
2016-06-01,2112
2016-06-02,2092
2016-06-03,2066
2016-06-04,2044
2016-06-05,2006
2016-06-06,1973
2016-06-07,1957
2016-06-08,1991
2016-06-09,2001
2016-06-10,1985
2016-06-11,2022
2016-06-12,2040
2016-06-13,2036
2016-06-14,2061
2016-06-15,2030
2016-06-16,2020
2016-06-17,2014
2016-06-18,1982
2016-06-19,1991
2016-06-20,1983
2016-06-21,1970
2016-06-22,1986
2016-06-23,2035
2016-06-24,2052
2016-06-25,2023
2016-06-26,1976
2016-06-27,1989
2016-06-28,1943
2016-06-29,1923
2016-06-30,1889
2016-07-01,1910
2016-07-02,1942
2016-07-03,1922
2016-07-04,1908
2016-07-05,1923
2016-07-06,1935
2016-07-07,1945
2016-07-08,1957
2016-07-09,1950
2016-07-10,1936
2016-07-11,1950
2016-07-12,1965
2016-07-13,1976
2016-07-14,2008
2016-07-15,2000
2016-07-16,1980
2016-07-17,1967
2016-07-18,1973
2016-07-23,1963
2016-07-24,1927
2016-07-25,1934
2016-07-26,1914
2016-07-27,1907
2016-07-28,1899
2016-07-29,1881
2016-07-30,1883
2016-07-31,1877
2016-08-01,1878
2016-08-02,1878
2016-08-03,1841
2016-08-04,1847
2016-08-05,1830
2016-08-06,1826
2016-08-07,1838
2016-08-08,1797
2016-08-09,1820
2016-08-10,1911
2016-08-11,2007
2016-08-12,2108
2016-08-13,2214
2016-08-14,2325
2016-08-15,2442
2016-08-16,2561
2016-08-17,2685
2016-08-18,2701
2016-08-19,2739
2016-08-20,2625
2016-08-21,2493
2016-08-22,2380
2016-08-23,2461
2016-08-24,2583
2016-08-25,2612
2016-08-26,2547
2016-08-28,2496
2016-08-31,2328
2016-09-01,2299
2016-09-02,2342
2016-09-03,2314
2016-09-04,2198
2016-09-05,2183
2016-09-06,2269
2016-09-07,2288
2016-09-08,2363
2016-09-09,2324
2016-09-10,2348
2016-09-11,2293
2016-09-12,2271
2016-09-13,2221
2016-09-14,2209
2016-09-15,2196
2016-09-16,2285
2016-09-17,2242
2016-09-18,2267
2016-09-19,2198
2016-09-20,2161
2016-09-21,2080
2016-09-22,2130
2016-09-23,2067
2016-09-24,2073
2016-09-25,2040
2016-09-26,1996
2016-09-27,1942
2016-09-28,1974
2016-09-29,2003
2016-09-30,1951
2016-10-01,1956
2016-10-02,1961
2016-10-03,2000
2016-10-04,1975
2016-10-05,1954
2016-10-06,1926
2016-10-07,1889
2016-10-08,1875
2016-10-09,1896
2016-10-10,1914
2016-10-11,1936
2016-10-12,1930
2016-10-13,2025
2016-10-14,2030
2016-10-15,1998
2016-10-16,1958
2016-10-17,1963
2016-10-18,1955
2016-10-19,1929
2016-10-20,1908
2016-10-21,1900
2016-10-22,1913
2016-10-23,1882
2016-10-24,1890
2016-10-25,1875
2016-10-26,1852
2016-10-27,1839
2016-10-28,1847
2016-10-29,1879
2016-10-30,1889
2016-10-31,1929
2016-11-01,1961
2016-11-02,2020
2016-11-03,2007
2016-11-04,1981
2016-11-05,1978
2016-11-06,2016
2016-11-07,1996
2016-11-08,1964
2016-11-09,1970
2016-11-10,1982
2016-11-11,2039
2016-11-12,2063
2016-11-13,2041
2016-11-14,2020
2016-12-08,2033
2016-12-09,1996
2016-12-10,1975
2016-12-11,2028
2016-12-12,2001
2016-12-13,1973
2016-12-14,1971
2016-12-15,1977
2016-12-16,1981
2016-12-17,1942
2016-12-18,1933
2016-12-19,2013
2016-12-20,2012
2016-12-21,1990
2016-12-22,1980
2016-12-23,1943
2016-12-24,1959
2016-12-25,2014
2016-12-26,2015
2016-12-27,2009
2016-12-28,2002
2016-12-29,1968
2016-12-30,1946
2016-12-31,1972
2017-01-01,1991
2017-01-02,1960
2017-01-03,1946
2017-01-04,2004
2017-01-05,2014
2017-01-06,1973
2017-01-07,1959
2017-01-08,1937
2017-01-09,1984
2017-01-10,1967
2017-01-11,1937
2017-01-12,1925
2017-01-13,1941
2017-01-14,1960
2017-01-15,1945
2017-01-16,1985
2017-01-17,1979
2017-01-18,2034
2017-01-19,2093
2017-01-20,2034
2017-01-21,1952
2017-01-22,1933
2017-01-27,2079
2017-01-28,2027
2017-01-29,1975
2017-01-30,1961
2017-01-31,1955
2017-02-01,1968
2017-02-02,2014
2017-02-03,1993
2017-02-04,1967
2017-02-05,1904
2017-02-06,1909
2017-02-07,1911
2017-02-08,1955
2017-02-09,1931
2017-02-10,1942
2017-02-11,1932
2017-02-12,1930
2017-02-13,1957
2017-02-14,1936
2017-02-15,1936
2017-02-16,1993
2017-02-18,1927
2017-02-19,1914
2017-02-20,1909
2017-02-21,1935
2017-02-22,1972
2017-02-23,1947
2017-02-24,1953
2017-02-25,1941
2017-02-26,1944
2017-02-27,1990
2017-02-28,2045
2017-03-01,2080
2017-03-02,2000
2017-03-03,2026
2017-03-04,2031
2017-03-05,1989
2017-03-06,1968
2017-03-07,1980
2017-03-08,1997
2017-03-09,2066
2017-03-10,2069
2017-03-11,2135
2017-03-12,2060
2017-03-13,2025
2017-03-14,2102
2017-03-15,2086
2017-03-16,2081
2017-03-17,2018
2017-03-18,1957
2017-03-19,1975
2017-03-20,2042
2017-03-21,2034
2017-03-22,1966
2017-03-23,1969
2017-03-24,1947
2017-03-25,1938
2017-03-26,1920
2017-03-27,1904
2017-03-28,1907
2017-03-29,1884
2017-03-30,1942
2017-03-31,1917
2017-04-01,1905
2017-04-02,1904
2017-04-03,1911
2017-04-04,1898
2017-04-12,1831
2017-04-13,1829
2017-04-14,1833
2017-04-15,1840
2017-04-16,1815
2017-04-17,1815
2017-04-18,1828
2017-04-19,1847
2017-04-20,1827
2017-04-21,1808
2017-04-22,1803
2017-04-23,1824
2017-04-24,1851
2017-04-25,1805
2017-04-26,1766
2017-04-27,1800
2017-04-28,1819
2017-04-29,1802
2017-04-30,1824
2017-05-01,1821
2017-05-02,1776
2017-05-03,1756
2017-05-04,1789
2017-05-05,1832
2017-05-06,1829
2017-05-07,1828
2017-05-08,1814
2017-05-09,1810
2017-05-10,1821
2017-05-11,1820
2017-05-12,1772
2017-05-13,1748
2017-05-14,1762
2017-05-15,1769
2017-05-16,1747
2017-05-17,1746
2017-05-18,1748
2017-05-19,1759
2017-05-20,1773
2017-05-21,1787
2017-05-22,1800
2017-05-23,1808
2017-05-24,1806
2017-05-25,1807
2017-05-26,1792
2017-05-27,1766
2017-05-28,1724
2017-05-29,1668
2017-05-30,1637
2017-05-31,1610
2017-06-01,1549
2017-06-02,1483
2017-06-03,1481
2017-06-06,1322
2017-06-07,1284
2017-06-08,1230
2017-06-09,1213
2017-06-10,1174
2017-06-11,1149
2017-06-12,1125
2017-06-13,1154
2017-06-14,1109
2017-06-15,1143
2017-06-16,1124
2017-06-17,1120
2017-06-18,1111
2017-06-19,1103
2017-06-20,1113
2017-06-21,1071
2017-06-22,1050
2017-06-23,1049
2017-06-24,1040
2017-06-25,1083
2017-06-26,1130
2017-06-27,1081
2017-06-28,1043
2017-06-29,1052
2017-06-30,1031
2017-07-01,1049
2017-07-02,1048
2017-07-03,1037
2017-07-04,1018
2017-07-05,977
2017-07-06,978
2017-07-07,946
2017-07-08,915
2017-07-13,923
2017-07-14,913
2017-07-15,908
2017-07-16,929
2017-07-17,971
2017-07-18,1005
2017-07-19,1027
2017-07-20,985
2017-07-21,958
2017-07-22,917
2017-07-23,881
2017-07-24,900
2017-07-25,926
2017-07-26,942
2017-07-27,969
2017-07-28,953
2017-07-29,972
2017-07-30,968
2017-07-31,974
2017-08-01,966
2017-08-02,967
2017-08-03,968
2017-08-04,971
2017-08-05,962
2017-08-06,943
2017-08-09,919
2017-08-10,908
2017-08-11,896
2017-08-12,885
2017-08-13,897
2017-08-14,922
2017-08-15,935
2017-08-17,918
2017-08-18,901
2017-08-19,899
2017-08-20,907
2017-08-22,941
2017-08-23,956
2017-08-24,959
2017-08-25,950
2017-08-26,955
2017-08-27,975
2017-08-28,976
2017-08-29,1010
2017-08-30,966
2017-08-31,970
2017-09-01,972
2017-09-02,966
2017-09-03,952
2017-09-04,940
2017-09-05,926
2017-09-06,913
2017-09-07,890
2017-09-08,881
2017-09-09,867
2017-09-10,862
2017-09-11,883
2017-09-12,875
2017-09-13,879
2017-09-14,882
2017-09-15,882
2017-09-16,875
2017-09-17,854
2017-09-19,858
2017-09-20,865
2017-09-21,847
2017-09-22,858
2017-09-23,846
2017-09-24,841
2017-09-25,868
2017-09-26,880
2017-09-27,871
2017-09-28,895
2017-09-29,871
2017-09-30,854
2017-10-01,852
2017-10-02,846
2017-10-03,841
2017-10-04,833
2017-10-05,825
2017-10-06,820
2017-10-07,825
2017-10-08,849
2017-10-09,872
2017-10-10,837
2017-10-11,826
2017-10-12,821
2017-10-13,825
2017-10-14,857
2017-10-15,897
2017-10-16,920
2017-10-17,932
2017-10-18,956
2017-10-19,948
2017-10-20,909
2017-10-21,919
2017-10-22,898
2017-10-23,856
2017-10-24,825
2017-10-25,816
2017-10-26,839
2017-10-27,857
2017-10-28,828
2017-10-29,860
2017-10-30,826
2017-10-31,798
2017-11-01,784
2017-11-02,776
2017-11-03,793
2017-11-04,826
2017-11-05,827
2017-11-06,823
2017-11-07,817
2017-11-08,809
2017-11-09,812
2017-11-10,809
2017-11-11,819
2017-11-12,854
2017-11-13,868
2017-11-14,866
2017-11-15,875
2017-11-16,902
2017-11-17,896
2017-11-18,901
2017-11-19,877
2017-11-20,865
2017-11-21,861
2017-11-22,860
2017-11-23,869
2017-11-24,864
2017-11-25,898
2017-11-26,933
2017-11-27,929
2017-11-28,925
2017-11-29,912
2017-11-30,912
2017-12-01,947
2017-12-02,969
2017-12-03,947
2017-12-04,902
2017-12-05,914
2017-12-06,931
2017-12-07,956
2017-12-08,942
2017-12-09,948
2017-12-10,951
2017-12-11,959
2017-12-12,955
2017-12-14,953
2017-12-15,956
2017-12-16,957
2017-12-17,956
2017-12-18,950
2017-12-19,935
2017-12-20,936
2017-12-21,920
2017-12-22,894
2017-12-23,919
2017-12-24,935
2017-12-25,965
2017-12-26,1013
2017-12-27,1048
2017-12-28,1022
2017-12-29,1057
2017-12-30,1067
2017-12-31,1027
2018-01-01,1074
2018-01-02,1075
2018-01-03,1092
2018-01-04,1058
2018-01-05,1039
2018-01-06,1054
2018-01-07,1037
2018-01-08,1007
2018-01-09,970
2018-01-10,962
2018-01-11,946
2018-01-12,975
2018-01-13,961
2018-01-14,953
2018-01-15,952
2018-01-16,961
2018-01-17,977
2018-01-18,1007
2018-01-19,1020
2018-01-20,1012
2018-01-21,1025
2018-01-22,1007
2018-01-23,990
2018-01-24,994
2018-01-25,1030
2018-01-26,1042
2018-01-27,1029
2018-01-28,1008
2018-01-29,989
2018-01-31,1056
2018-02-01,1090
2018-02-02,1070
2018-02-03,1065
2018-02-04,1038
2018-02-05,1017
2018-02-06,1005
2018-02-07,1004
2018-02-08,1006
2018-02-09,989
2018-02-10,984
2018-02-11,989
2018-02-12,997
2018-02-13,986
2018-02-14,983
2018-02-15,989
2018-02-16,995
2018-02-17,1001
2018-02-18,999
2018-02-19,1000
2018-02-20,1004
2018-02-21,1010
2018-02-22,1004
2018-02-23,1002
2018-02-24,1000
2018-02-25,1001
2018-02-26,1001
2018-02-27,1002
2018-02-28,1011
2018-03-01,1012
2018-03-02,1011
2018-03-03,1016
2018-03-04,1056
2018-03-05,1103
2018-03-06,1082
2018-03-07,1037
2018-03-08,1025
2018-03-09,1000
2018-03-10,993
2018-03-11,996
2018-03-12,993
2018-03-13,994
2018-03-14,991
2018-03-15,983
2018-03-16,986
2018-03-17,996
2018-03-18,991
2018-03-19,981
2018-03-20,973
2018-03-21,986
2018-03-23,1004
2018-03-24,1005
2018-03-26,999
2018-03-27,995
2018-03-29,994
2018-03-30,996
2018-03-31,999
2018-04-01,1004
2018-04-02,997
2018-04-03,997
2018-04-04,1000
2018-04-05,1006
2018-04-06,1013
2018-04-08,1026
2018-04-09,1015
2018-04-10,1015
2018-04-11,1026
2018-04-12,1053
2018-04-13,1044
2018-04-14,1025
2018-04-15,1027
2018-04-16,1050
2018-04-17,1023
2018-04-18,1030
2018-04-19,1019
2018-04-20,1035
2018-04-21,1077
2018-04-22,1049
2018-04-23,1021
2018-04-24,1026
2018-04-25,1029
2018-04-26,1028
2018-04-27,1022
2018-04-28,1047
2018-04-29,1054
2018-04-30,1028
2018-05-01,1018
2018-05-02,1022
2018-05-03,1069
2018-05-04,1038
2018-05-05,1075
2018-05-06,1116
2018-05-07,1102
2018-05-08,1071
2018-05-09,1105
2018-05-10,1128
2018-05-11,1087
2018-05-12,1049
2018-05-13,1035
2018-05-14,1031
2018-05-15,1035
2018-05-16,1029
2018-05-17,1069
2018-05-18,1107
2018-05-19,1156
2018-05-20,1166
2018-05-21,1190
2018-05-22,1216
2018-05-23,1231
2018-05-24,1234
2018-05-25,1203
2018-05-26,1178
2018-05-27,1151
2018-05-28,1160
2018-05-29,1157
2018-05-30,1192
2018-05-31,1171
2018-06-01,1152
2018-06-02,1147
2018-06-03,1159
2018-06-04,1157
2018-06-05,1147
2018-06-06,1171
2018-06-07,1171
2018-06-08,1195
2018-06-09,1171
2018-06-10,1222
2018-06-11,1246
2018-06-12,1204
2018-06-13,1146
2018-06-14,1097
2018-06-15,1069
2018-06-16,1071
2018-06-17,1077
2018-06-18,1042
2018-06-19,1023
2018-06-20,1052
2018-06-21,1049
2018-06-22,1062
2018-06-23,1081
2018-06-24,1117
2018-06-25,1130
2018-06-26,1111
2018-06-27,1098
2018-06-28,1091
2018-06-29,1097
2018-06-30,1111
2018-07-01,1125
2018-07-02,1134
2018-07-03,1148
2018-07-04,1177
2018-07-05,1164
2018-07-06,1206
2018-07-07,1242
2018-07-08,1212
2018-07-09,1191
2018-07-10,1191
2018-07-11,1174
2018-07-12,1149
2018-07-13,1100
2018-07-14,1112
2018-07-15,1164
2018-07-16,1186
2018-07-17,1165
2018-07-18,1162
2018-07-19,1171
2018-07-20,1148
2018-07-21,1189
2018-07-22,1249
2018-07-23,1301
2018-07-24,1312
2018-07-25,1265
2018-07-26,1214
2018-07-27,1193
2018-07-28,1203
2018-07-29,1220
2018-07-30,1252
2018-07-31,1229
2018-08-01,1220
2018-08-02,1203
2018-08-03,1177
2018-08-04,1162
2018-08-05,1207
2018-08-06,1222
2018-08-07,1207
2018-08-08,1193
2018-08-09,1207
2018-08-10,1224
2018-08-11,1235
2018-08-12,1281
2018-08-14,1253
2018-08-16,1211
2018-08-17,1211
2018-08-18,1226
2018-08-19,1222
2018-08-20,1208
2018-08-21,1199
2018-08-22,1222
2018-08-23,1257
2018-08-24,1245
2018-08-25,1234
2018-08-26,1201
2018-08-27,1213
2018-08-28,1214
2018-08-29,1202
2018-08-30,1183
2018-08-31,1195
2018-09-01,1192
2018-09-02,1181
2018-09-03,1179
2018-09-04,1161
2018-09-05,1172
2018-09-06,1211
2018-09-07,1247
2018-09-08,1293
2018-09-09,1256
2018-09-10,1219
2018-09-11,1176
2018-09-12,1189
2018-09-13,1207
2018-09-14,1202
2018-09-15,1193
2018-09-16,1181
2018-09-17,1185
2018-09-18,1183
2018-09-19,1176
2018-09-20,1193
2018-09-21,1192
2018-09-22,1214
2018-09-23,1217
2018-09-24,1186
2018-09-25,1188
2018-09-26,1186
2018-09-27,1204
2018-09-28,1254
2018-09-29,1269
2018-09-30,1267
2018-10-02,1199
2018-10-03,1191
2018-10-04,1200
2018-10-05,1206
2018-10-06,1214
2018-10-07,1222
2018-10-08,1200
2018-10-09,1185
2018-10-10,1179
2018-10-11,1177
2018-10-12,1171
2018-10-13,1196
2018-10-14,1219
2018-10-15,1194
2018-10-16,1176
2018-10-17,1184
2018-10-18,1185
2018-10-19,1183
2018-10-20,1178
2018-10-21,1185
2018-10-22,1175
2018-10-23,1165
2018-10-24,1146
2018-10-25,1143
2018-10-26,1171
2018-10-27,1180
2018-10-28,1215
2018-10-29,1228
2018-10-30,1204
2018-10-31,1176
2018-11-01,1163
2018-11-03,1130
2018-11-04,1116
2018-11-05,1113
2018-11-06,1100
2018-11-07,1090
2018-11-08,1055
2018-11-09,1029
2018-11-10,1073
2018-11-11,1115
2018-11-12,1105
2018-11-13,1083
2018-11-14,1079
2018-11-15,1076
2018-11-16,1066
2018-11-17,1048
2018-11-18,1037
2018-11-19,1021
2018-11-20,1017
2018-11-21,1021
2018-11-22,1011
2018-11-23,997
2018-11-24,989
2018-11-25,1000
2018-11-26,1004
2018-11-27,995
2018-11-28,993
2018-11-29,991
2018-12-01,981
2018-12-02,978
2018-12-03,972
2018-12-04,952
2018-12-05,949
2018-12-07,969
2018-12-09,994
2018-12-10,1000
2018-12-11,1001
2018-12-13,1008
2018-12-14,1003
2018-12-15,1005
2018-12-16,997
2018-12-17,992
2018-12-18,988
2018-12-19,989
2018-12-20,996
2018-12-21,1011
2018-12-22,1007
2018-12-23,999
2018-12-24,992
2018-12-25,994
2018-12-26,995
2018-12-27,994
2018-12-28,997
2018-12-29,1009
2018-12-30,1008
2018-12-31,1014
2019-01-01,1010
2019-01-02,996
2019-01-03,994
2019-01-04,996
2019-01-05,990
2019-01-06,985
2019-01-08,970
2019-01-10,937
2019-01-11,958
2019-01-12,953
2019-01-13,922
2019-01-14,925
2019-01-15,939
2019-01-16,956
2019-01-17,947
2019-01-18,951
2019-01-19,944
2019-01-20,930
2019-01-21,920
2019-01-22,910
2019-01-23,910
2019-01-24,922
2019-01-25,923
2019-01-26,942
2019-01-27,943
2019-01-28,954
2019-01-29,945
2019-01-30,952
2019-01-31,962
2019-02-01,954
2019-02-02,965
2019-02-03,952
2019-02-04,944
2019-02-05,935
2019-02-06,925
2019-02-07,919
2019-02-08,916
2019-02-09,911
2019-02-10,914
2019-02-11,911
2019-02-12,910
2019-02-13,904
2019-02-14,906
2019-02-15,907
2019-02-16,907
2019-02-17,895
2019-02-18,887
2019-02-19,882
2019-02-20,885
2019-02-21,872
2019-02-22,866
2019-02-23,866
2019-02-24,863
2019-02-25,864
2019-02-26,860
2019-02-27,861
2019-02-28,855
2019-03-01,860
2019-03-02,875
2019-03-03,890
2019-03-04,899
2019-03-05,891
2019-03-06,881
2019-03-07,869
2019-03-08,859
2019-03-09,861
2019-03-10,874
2019-03-11,885
2019-03-12,884
2019-03-13,878
2019-03-14,878
2019-03-15,871
2019-03-16,869
2019-03-17,886
2019-03-18,881
2019-03-19,879
2019-03-20,907
2019-03-21,931
2019-03-22,953
2019-03-23,963
2019-03-24,960
2019-03-25,952
2019-03-26,950
2019-03-27,951
2019-03-28,941
2019-03-29,939
2019-03-30,935
2019-03-31,950
2019-04-01,983
2019-04-02,1004
2019-04-03,997
2019-04-04,1003
2019-04-05,1038
2019-04-06,1022
2019-04-07,1005
2019-04-08,976
2019-04-09,968
2019-04-10,965
2019-04-11,957
2019-04-12,945
2019-04-13,943
2019-04-14,942
2019-04-15,938
2019-04-16,947
2019-04-17,938
2019-04-18,928
2019-04-19,924
2019-04-20,926
2019-04-21,934
2019-04-22,963
2019-04-23,961
2019-04-24,950
2019-04-25,945
2019-04-26,949
2019-04-27,943
2019-04-28,936
2019-04-29,928
2019-04-30,926
2019-05-01,916
2019-05-02,905
2019-05-03,936
2019-05-04,974
2019-05-05,967
2019-05-06,986
2019-05-07,983
2019-05-08,970
2019-05-09,973
2019-05-10,960
2019-05-11,934
2019-05-12,942
2019-05-13,932
2019-05-14,948
2019-05-15,938
