date_obj,Watson%20teleport price
2019-08-06,1587
2019-08-07,1667
2019-08-08,1667
2019-08-09,1667
2019-08-10,1751
2019-08-11,1751
2019-08-12,1830
2019-08-13,1830
2019-08-14,1882
2019-08-15,1882
2019-08-16,1970
2019-08-17,1970
2019-08-18,2069
2019-08-19,2069
2019-08-20,2166
2019-08-21,2166
2019-08-22,2275
2019-08-23,2275
2019-08-24,2345
2019-08-24,2345
2019-08-25,2345
2019-08-25,2345
2019-08-26,2345
2019-08-26,2345
2019-08-27,2463
2019-08-27,2463
2019-08-28,2463
2019-08-29,2587
2019-08-30,2587
2019-08-31,2713
2019-09-01,2713
2019-09-02,2849
2019-09-03,2849
2019-09-04,2992
2019-09-05,2992
2019-09-06,2992
2019-09-07,3138
2019-09-08,3138
2019-09-09,3293
2019-09-10,3293
2019-09-11,3454
2019-09-12,3454
2019-09-13,3454
2019-09-14,3627
2019-09-15,3627
2019-09-16,3809
2019-09-17,3809
2019-09-18,3813
2019-09-19,3813
2019-09-20,3813
2019-09-21,3727
2019-09-22,3727
2019-09-23,3540
2019-09-24,3540
2019-09-25,3540
2019-09-26,3429
2019-09-27,3429
2019-09-28,3356
2019-09-29,3356
2019-09-30,3356
2019-10-01,3259
2019-10-02,3259
2019-10-03,3259
2019-10-04,3367
2019-10-05,3367
2019-10-06,3321
2019-10-07,3321
2019-10-08,3375
2019-10-09,3375
2019-10-10,3375
2019-10-11,3309
2019-10-12,3309
2019-10-13,3237
2019-10-14,3237
2019-10-15,3170
2019-10-16,3170
2019-10-17,3170
2019-10-18,3077
2019-10-19,3077
2019-10-20,3091
2019-10-21,3091
2019-10-22,3091
2019-10-23,2970
2019-10-24,2970
2019-10-25,2970
2019-10-26,2873
2019-10-27,2873
2019-10-28,2775
2019-10-29,2775
2019-10-30,2775
2019-10-31,2734
2019-11-01,2734
2019-11-02,2608
2019-11-03,2608
2019-11-04,2604
2019-11-05,2604
2019-11-06,2604
2019-11-07,2684
2019-11-08,2684
2019-11-09,2798
2019-11-10,2798
2019-11-11,2882
2019-11-12,2882
2019-11-13,2882
2019-11-14,2776
2019-11-15,2776
2019-11-16,2706
2019-11-17,2706
2019-11-18,2706
2019-11-19,2669
2019-11-20,2669
2019-11-21,2669
2019-11-22,2640
2019-11-23,2640
2019-11-24,2640
2019-11-25,2633
2019-11-26,2633
2019-11-27,2633
2019-11-28,2714
2019-11-29,2714
2019-11-30,2714
2019-12-01,2749
2019-12-02,2749
2019-12-03,2835
2019-12-04,2835
2019-12-05,2835
2019-12-06,2934
2019-12-07,2934
2019-12-08,2914
2019-12-09,2914
2019-12-10,2938
2019-12-11,2938
2019-12-12,2938
2019-12-13,2865
2019-12-14,2865
2019-12-15,2844
2019-12-16,2844
2019-12-17,2844
2019-12-18,2864
2019-12-19,2864
2019-12-20,2903
2019-12-21,2903
2019-12-22,2970
2019-12-23,2970
2019-12-24,2970
2019-12-25,3068
2019-12-26,3068
2019-12-27,3015
2019-12-28,3015
2019-12-29,2997
2019-12-30,2997
2019-12-31,2964
2020-01-01,2964
2020-01-02,2849
2020-01-03,2849
2020-01-04,2849
2020-01-05,2839
2020-01-06,2839
2020-01-07,2723
2020-01-08,2723
2020-01-09,2723
2020-01-10,2699
2020-01-11,2699
2020-01-12,2673
2020-01-13,2673
2020-01-14,2673
2020-01-15,2584
2020-01-16,2584
2020-01-17,2503
2020-01-18,2503
2020-01-19,2448
2020-01-20,2448
2020-01-21,2448
2020-01-22,2380
2020-01-23,2380
2020-01-24,2391
2020-01-25,2391
2020-01-26,2488
2020-01-27,2488
2020-01-28,2607
2020-01-29,2607
2020-01-30,2717
2020-01-31,2717
2020-02-01,2757
2020-02-02,2757
2020-02-03,2792
2020-02-04,2792
2020-02-05,2792
2020-02-06,2792
2020-02-07,2684
2020-02-08,2684
2020-02-09,2690
2020-02-10,2614
2020-02-11,2614
2020-02-12,2527
2020-02-13,2527
2020-02-14,2400
2020-02-15,2400
2020-02-16,2357
2020-02-17,2357
2020-02-18,2324
2020-02-19,2324
2020-02-20,2316
2020-02-21,2316
2020-02-22,2214
2020-02-23,2214
2020-02-24,2103
2020-02-25,2103
2020-02-26,1997
2020-02-27,1997
2020-02-28,1902
2020-02-29,1902
2020-03-01,1879
2020-03-02,1879
2020-03-03,1815
2020-03-04,1815
2020-03-05,1779
2020-03-06,1779
2020-03-07,1778
2020-03-08,1778
2020-03-09,1843
2020-03-10,1843
2020-03-11,1815
2020-03-12,1815
2020-03-13,1740
2020-03-14,1740
2020-03-15,1689
2020-03-16,1689
2020-03-17,1718
2020-03-18,1718
2020-03-19,1803
2020-03-20,1888
2020-03-21,1888
2020-03-22,1983
2020-03-23,1981
2020-03-24,1981
2020-03-25,2077
2020-03-26,2178
2020-03-27,2178
2020-03-28,2287
2020-03-29,2402
2020-03-30,2502
2020-03-31,2502
2020-04-01,2628
2020-04-02,2760
2020-04-03,2760
2020-04-04,2876
2020-04-05,2876
2020-04-06,2993
2020-04-07,2993
2020-04-08,3111
2020-04-09,3111
2020-04-10,3110
2020-04-11,3151
2020-04-12,3151
2020-04-13,3162
2020-04-14,3270
2020-04-15,3273
2020-04-16,3273
2020-04-17,3258
2020-04-18,3137
2020-04-19,3032
2020-04-20,3032
2020-04-21,2964
2020-04-22,2962
2020-04-23,2962
2020-04-24,2897
2020-04-25,2946
2020-04-26,2929
2020-04-27,2937
2020-04-28,3008
2020-04-29,3008
2020-04-30,3108
2020-05-01,3108
2020-05-02,3235
2020-05-03,3224
2020-05-04,3224
2020-05-05,3362
2020-05-06,3474
2020-05-07,3311
2020-05-08,3311
2020-05-09,3310
2020-05-10,3320
2020-05-11,3320
2020-05-12,3418
2020-05-13,3385
