date_obj,Steel%20trimmed%20set%20(lg) price
2019-02-20,52537
2019-02-21,53819
2019-02-22,53819
2019-02-23,53819
2019-02-24,53819
2019-02-25,54275
2019-02-26,54275
2019-02-27,54275
2019-02-28,54275
2019-03-01,54275
2019-03-02,54275
2019-03-03,55426
2019-03-04,55426
2019-03-05,55426
2019-03-06,55426
2019-03-07,56534
2019-03-08,56534
2019-03-09,56534
2019-03-10,56534
2019-03-11,56534
2019-03-12,57682
2019-03-13,57682
2019-03-14,57682
2019-03-15,57682
2019-03-16,57682
2019-03-17,58336
2019-03-18,58336
2019-03-19,58336
2019-03-20,58336
2019-03-21,58336
2019-03-22,58160
2019-03-23,58160
2019-03-24,58160
2019-03-25,58160
2019-03-26,56985
2019-03-27,56985
2019-03-28,56985
2019-03-29,56251
2019-03-30,56251
2019-03-31,56251
2019-04-01,56251
2019-04-02,56251
2019-04-03,54656
2019-04-04,54656
2019-04-05,54656
2019-04-06,54656
2019-04-07,54640
2019-04-08,54640
2019-04-09,54640
2019-04-10,54640
2019-04-11,54416
2019-04-12,54416
2019-04-13,54416
2019-04-14,53478
2019-04-15,53478
2019-04-16,53478
2019-04-17,53478
2019-04-18,52773
2019-04-19,52773
2019-04-20,52773
2019-04-21,52773
2019-04-22,51015
2019-04-23,51015
2019-04-24,51015
2019-04-25,51015
2019-04-26,50465
2019-04-27,50465
2019-04-28,50465
2019-04-29,50465
2019-04-30,50465
2019-05-01,48354
2019-05-02,48354
2019-05-03,48354
2019-05-04,47402
2019-05-05,47402
2019-05-06,47402
2019-05-07,47402
2019-05-08,47402
2019-05-09,47402
2019-05-10,46454
2019-05-11,46454
2019-05-12,46454
2019-05-13,46454
2019-05-14,45984
2019-05-15,45984
2019-05-16,45984
2019-05-17,45984
2019-05-18,45445
2019-05-19,45445
2019-05-20,45445
2019-05-21,45445
2019-05-22,45445
2019-05-23,45070
2019-05-24,45070
2019-05-25,45070
2019-05-26,45070
2019-05-27,45070
2019-05-28,45038
2019-05-29,45038
2019-05-30,45038
2019-05-31,45038
2019-06-01,45038
2019-06-02,45383
2019-06-03,45383
2019-06-04,45383
2019-06-05,45383
2019-06-06,45383
2019-06-07,45182
2019-06-08,45182
2019-06-09,45182
2019-06-10,45182
2019-06-11,45182
2019-06-12,45182
2019-06-13,44063
2019-06-14,44063
2019-06-15,44063
2019-06-16,44063
2019-06-17,43988
2019-06-18,43988
2019-06-19,43988
2019-06-20,43988
2019-06-21,43988
2019-06-22,43196
2019-06-23,43196
2019-06-24,43196
2019-06-25,43196
2019-06-26,43196
2019-06-27,42932
2019-06-28,42932
2019-06-29,42932
2019-06-30,42932
2019-07-01,42932
2019-07-02,42988
2019-07-03,42988
2019-07-04,42988
2019-07-05,42988
2019-07-06,42988
2019-07-07,41649
2019-07-08,41649
2019-07-09,41649
2019-07-10,41649
2019-07-11,41649
2019-07-12,42631
2019-07-13,42631
2019-07-14,42631
2019-07-15,42631
2019-07-16,42631
2019-07-17,43648
2019-07-18,43648
2019-07-19,43648
2019-07-20,43648
2019-07-21,43648
2019-07-22,44113
2019-07-23,44113
2019-07-24,44113
2019-07-25,45852
2019-07-26,45852
2019-07-27,45852
2019-07-28,45852
2019-07-29,47376
2019-07-30,47376
2019-07-31,47376
2019-08-01,47376
2019-08-02,47376
2019-08-03,47160
2019-08-04,47160
2019-08-05,47160
2019-08-06,47160
2019-08-07,47160
2019-08-08,46691
2019-08-09,46691
2019-08-10,46691
2019-08-11,46691
2019-08-12,46691
2019-08-13,46691
2019-08-14,47700
2019-08-15,47700
2019-08-16,47700
2019-08-17,47700
2019-08-18,47700
2019-08-19,49074
2019-08-20,49074
2019-08-21,49074
2019-08-22,49074
2019-08-23,49074
2019-08-24,49074
2019-08-24,49074
2019-08-25,48759
2019-08-25,48759
2019-08-26,48759
2019-08-26,48759
2019-08-27,48759
2019-08-27,48759
2019-08-28,48759
2019-08-29,48759
2019-08-30,49347
2019-08-31,49347
2019-09-01,49347
2019-09-02,49347
2019-09-03,49924
2019-09-04,49924
2019-09-05,49924
2019-09-06,49924
2019-09-07,49924
2019-09-08,49924
2019-09-09,50559
2019-09-10,50559
2019-09-11,50559
