date_obj,Dragon%20hasta price
2020-02-05,37241
2020-02-06,37725
2020-02-07,37725
2020-02-08,38586
2020-02-09,38586
2020-02-10,38400
2020-02-11,38400
2020-02-12,38254
2020-02-13,38254
2020-02-14,38240
2020-02-15,38240
2020-02-16,39242
2020-02-17,39242
2020-02-18,40843
2020-02-19,40843
2020-02-20,40299
2020-02-21,40299
2020-02-22,40143
2020-02-23,40143
2020-02-24,39811
2020-02-25,39811
2020-02-26,39390
2020-02-27,39390
2020-02-28,38574
2020-02-29,38574
2020-03-01,37830
2020-03-02,37830
2020-03-03,37290
2020-03-04,37290
2020-03-05,37609
2020-03-06,37609
2020-03-07,37685
2020-03-08,37685
2020-03-09,37911
2020-03-10,37911
2020-03-11,37701
2020-03-12,37701
2020-03-13,38629
2020-03-14,38629
2020-03-15,38318
2020-03-16,38318
2020-03-17,39294
2020-03-18,39294
2020-03-19,39012
2020-03-20,39012
2020-03-21,38761
2020-03-22,38761
2020-03-23,38087
2020-03-24,38130
2020-03-25,38130
2020-03-26,38635
2020-03-27,38635
2020-03-28,39511
2020-03-29,38496
2020-03-30,38496
2020-03-31,38631
2020-04-01,38631
2020-04-02,39337
2020-04-03,39337
2020-04-04,39158
2020-04-05,39158
2020-04-06,38899
2020-04-07,38899
2020-04-08,38159
2020-04-09,38159
2020-04-10,37456
2020-04-11,38313
2020-04-12,38313
2020-04-13,39188
2020-04-14,39546
2020-04-15,38639
2020-04-16,38639
2020-04-17,38484
2020-04-18,38362
2020-04-19,38038
2020-04-20,38038
2020-04-21,38733
2020-04-22,39195
2020-04-23,39195
2020-04-24,38797
2020-04-25,38797
2020-04-26,38142
2020-04-27,38395
2020-04-28,39096
2020-04-29,39096
2020-04-30,38684
2020-05-01,38684
2020-05-02,38588
2020-05-03,38340
2020-05-04,38340
2020-05-05,38002
2020-05-06,38315
2020-05-07,38315
2020-05-08,37981
2020-05-09,37794
2020-05-10,37795
2020-05-11,37795
2020-05-12,38138
2020-05-13,38153
