date_obj,Pink%20elegant%20blouse price
2017-02-06,8095
2017-02-07,8095
2017-02-08,8401
2017-02-09,8401
2017-02-10,8401
2017-02-11,8488
2017-02-12,8488
2017-02-13,8488
2017-02-14,8401
2017-02-15,8401
2017-02-16,8205
2017-02-18,8205
2017-02-19,7883
2017-02-20,7883
2017-02-21,7883
2017-02-22,7883
2017-02-23,7766
2017-02-24,7766
2017-02-25,7766
2017-02-26,7557
2017-02-27,7557
2017-02-28,7264
2017-03-01,7264
2017-03-02,7194
2017-03-03,7194
2017-03-04,7194
2017-03-05,6849
2017-03-06,6849
2017-03-07,6619
2017-03-08,6619
2017-03-09,6619
2017-03-10,6303
2017-03-11,6303
2017-03-12,6255
2017-03-13,6255
2017-03-14,6108
2017-03-15,6108
2017-03-16,5812
2017-03-17,5812
2017-03-18,5577
2017-03-19,5577
2017-03-20,5440
2017-03-21,5440
2017-03-22,5390
2017-03-23,5390
2017-03-24,5545
2017-03-25,5545
2017-03-26,5545
2017-03-27,5748
2017-03-28,5748
2017-03-29,5748
2017-03-30,6021
2017-03-31,6312
2017-04-01,6312
2017-04-02,6606
2017-04-03,6915
2017-04-04,6915
2017-04-12,8141
2017-04-13,8526
2017-04-14,8526
2017-04-15,8747
2017-04-16,8747
2017-04-17,8615
2017-04-18,8615
2017-04-19,8749
2017-04-20,8749
2017-04-21,8998
2017-04-22,8998
2017-04-23,9161
2017-04-24,9161
2017-04-25,9334
2017-04-26,9334
2017-04-27,9334
2017-04-28,9228
2017-04-29,9228
2017-04-30,9162
2017-05-01,9162
2017-05-02,9162
2017-05-03,9061
2017-05-04,9061
2017-05-05,8934
2017-05-06,8934
2017-05-07,8708
2017-05-08,8708
2017-05-09,8599
2017-05-10,8599
2017-05-11,8599
2017-05-12,8337
2017-05-13,8337
2017-05-14,8337
2017-05-15,8288
2017-05-16,8288
2017-05-17,8168
2017-05-18,8168
2017-05-19,8168
2017-05-20,8003
2017-05-21,8003
2017-05-22,8003
2017-05-23,7667
2017-05-24,7667
2017-05-25,7510
2017-05-26,7510
2017-05-27,7269
2017-05-28,7269
2017-05-29,7269
2017-05-30,7106
2017-05-31,7106
2017-06-01,7106
2017-06-02,6865
2017-06-03,6865
2017-06-06,6954
2017-06-07,7172
2017-06-08,7186
2017-06-09,7172
2017-06-10,7191
2017-06-11,7191
2017-06-12,7092
2017-06-13,7092
2017-06-14,6888
2017-06-15,6888
2017-06-16,6813
2017-06-17,6813
2017-06-18,6680
2017-06-19,6680
2017-06-20,6641
2017-06-21,6641
2017-06-22,6722
2017-06-23,6722
2017-06-24,6729
2017-06-25,6729
2017-06-26,6495
2017-06-27,6495
2017-06-28,6337
2017-06-29,6337
2017-06-30,6156
2017-07-01,6156
2017-07-02,6156
2017-07-03,6007
2017-07-04,6007
2017-07-05,6007
2017-07-06,5920
2017-07-07,5920
2017-07-08,5920
2017-07-13,5686
2017-07-14,5598
2017-07-15,5598
2017-07-16,5598
2017-07-17,5438
2017-07-18,5438
2017-07-19,5445
2017-07-20,5445
2017-07-21,5245
2017-07-22,5245
2017-07-23,5181
2017-07-24,5181
2017-07-25,5181
2017-07-26,4968
2017-07-27,4968
2017-07-28,4968
2017-07-29,4888
2017-07-30,4888
2017-07-31,4888
2017-08-01,4767
2017-08-02,4767
2017-08-03,4740
2017-08-04,4740
2017-08-05,4720
2017-08-06,4720
2017-08-09,4570
2017-08-10,4523
2017-08-11,4523
2017-08-12,4523
2017-08-13,4418
2017-08-14,4418
2017-08-15,4418
2017-08-17,4338
2017-08-18,4236
2017-08-19,4236
2017-08-20,4221
2017-08-22,4090
2017-08-23,4090
2017-08-24,4090
2017-08-25,4045
2017-08-26,4045
2017-08-27,4027
2017-08-28,4027
2017-08-29,4027
2017-08-30,3982
2017-08-31,3982
2017-09-01,3982
2017-09-02,3815
2017-09-03,3815
2017-09-04,3815
2017-09-05,3693
2017-09-06,3693
2017-09-07,3618
2017-09-08,3618
2017-09-09,3618
2017-09-10,3718
2017-09-11,3718
2017-09-12,3718
2017-09-13,3752
2017-09-14,3752
2017-09-15,3752
2017-09-16,3698
2017-09-17,3698
2017-09-19,3696
2017-09-20,3854
2017-09-21,3854
2017-09-22,3982
2017-09-23,3982
2017-09-24,3982
2017-09-25,4145
2017-09-26,4145
2017-09-27,4145
2017-09-28,4026
2017-09-29,4026
2017-09-30,3924
2017-10-01,3924
2017-10-02,3737
2017-10-03,3737
2017-10-04,3737
2017-10-05,3570
2017-10-06,3570
2017-10-07,3423
2017-10-08,3423
2017-10-09,3344
2017-10-10,3344
2017-10-11,3344
2017-10-12,3178
2017-10-13,3178
2017-10-14,3023
2017-10-15,3023
2017-10-16,3023
2017-10-17,2880
2017-10-18,2745
2017-10-19,2745
2017-10-20,2745
2017-10-21,2609
2017-10-22,2609
2017-10-23,2493
2017-10-24,2493
2017-10-25,2448
2017-10-26,2448
2017-10-27,2448
2017-10-28,2384
2017-10-29,2384
2017-10-30,2274
2017-10-31,2274
2017-11-01,2274
2017-11-02,2165
2017-11-03,2165
2017-11-04,2111
2017-11-05,2111
2017-11-06,2111
2017-11-07,2124
2017-11-08,2124
2017-11-09,2143
2017-11-10,2143
2017-11-11,2143
2017-11-12,2120
2017-11-13,2120
2017-11-14,2120
2017-11-15,2103
2017-11-16,2103
2017-11-17,2122
2017-11-18,2122
2017-11-19,2122
2017-11-20,2045
2017-11-21,2045
2017-11-22,2045
2017-11-23,1967
2017-11-24,1967
