date_obj,Adamant%20plateskirt%20(t) price
2017-03-27,3597
2017-03-28,3597
2017-03-29,3597
2017-03-30,3597
2017-03-31,3597
2017-04-01,3616
2017-04-02,3616
2017-04-03,3616
2017-04-04,3616
2017-04-05,3616
2017-04-12,3605
2017-04-13,3605
2017-04-14,3605
2017-04-15,3605
2017-04-16,3605
2017-04-17,3605
2017-04-18,3645
2017-04-19,3645
2017-04-20,3645
2017-04-21,3645
2017-04-22,3645
2017-04-23,3645
2017-04-24,3645
2017-04-25,3642
2017-04-26,3642
2017-04-27,3642
2017-04-28,3642
2017-04-29,3642
2017-04-30,3642
2017-05-01,3642
2017-05-02,3621
2017-05-03,3621
2017-05-04,3621
2017-05-05,3621
2017-05-06,3621
2017-05-07,3621
2017-05-08,3610
2017-05-09,3610
2017-05-10,3610
2017-05-11,3610
2017-05-12,3610
2017-05-13,3575
2017-05-14,3575
2017-05-15,3575
2017-05-16,3575
2017-05-17,3575
2017-05-18,3575
2017-05-19,3575
2017-05-20,3576
2017-05-21,3576
2017-05-22,3576
2017-05-23,3576
2017-05-24,3576
2017-05-25,3576
2017-05-26,3652
2017-05-27,3652
2017-05-28,3652
2017-05-29,3652
2017-05-30,3652
2017-05-31,3652
2017-06-01,3652
2017-06-02,3553
2017-06-03,3553
2017-06-04,3553
2017-06-05,3553
2017-06-06,3553
2017-06-07,3553
2017-06-08,3518
2017-06-09,3518
2017-06-10,3518
2017-06-11,3518
2017-06-12,3518
2017-06-13,3518
2017-06-14,3544
2017-06-15,3544
2017-06-16,3544
2017-06-17,3544
2017-06-18,3544
2017-06-19,3544
2017-06-20,3544
2017-06-21,3566
2017-06-22,3566
2017-06-23,3566
2017-06-24,3566
2017-06-25,3566
2017-06-26,3566
2017-06-27,3566
2017-06-28,3566
2017-06-29,3580
2017-06-30,3580
2017-07-01,3580
2017-07-02,3580
2017-07-03,3580
2017-07-04,3580
2017-07-05,3580
2017-07-06,3521
2017-07-07,3521
2017-07-08,3521
2017-07-09,3521
2017-07-13,3521
2017-07-14,3554
2017-07-15,3554
2017-07-16,3554
2017-07-17,3554
2017-07-18,3554
2017-07-19,3554
2017-07-20,3596
2017-07-21,3596
2017-07-22,3596
2017-07-23,3596
2017-07-24,3596
2017-07-25,3596
2017-07-26,3590
2017-07-27,3590
2017-07-28,3590
2017-07-29,3590
2017-07-30,3590
2017-07-31,3590
2017-08-01,3590
2017-08-02,3642
2017-08-03,3642
2017-08-04,3642
2017-08-05,3642
2017-08-06,3642
2017-08-07,3642
2017-08-08,3642
2017-08-09,3642
2017-08-10,3621
2017-08-11,3621
2017-08-12,3621
2017-08-13,3621
2017-08-14,3621
2017-08-15,3621
2017-08-16,3621
2017-08-17,3605
2017-08-18,3605
2017-08-19,3605
2017-08-20,3605
2017-08-21,3605
2017-08-22,3605
2017-08-23,3605
2017-08-24,3605
2017-08-25,3623
2017-08-26,3623
2017-08-27,3623
2017-08-28,3623
2017-08-29,3623
2017-08-30,3623
2017-08-31,3623
2017-09-01,3623
2017-09-02,3582
2017-09-03,3582
2017-09-04,3582
2017-09-05,3582
2017-09-06,3582
2017-09-07,3582
2017-09-08,3582
2017-09-09,3548
2017-09-10,3548
2017-09-11,3548
2017-09-12,3548
2017-09-13,3548
2017-09-14,3548
2017-09-15,3548
2017-09-16,3535
2017-09-17,3535
2017-09-18,3535
2017-09-19,3535
2017-09-20,3535
2017-09-21,3535
2017-09-22,3535
2017-09-23,3535
2017-09-24,3448
2017-09-25,3448
2017-09-26,3448
2017-09-27,3448
2017-09-28,3448
2017-09-29,3448
2017-09-30,3448
2017-10-01,3449
2017-10-02,3449
2017-10-03,3449
2017-10-04,3449
2017-10-05,3449
2017-10-06,3449
2017-10-07,3449
2017-10-08,3449
2017-10-09,3515
2017-10-10,3515
2017-10-11,3515
2017-10-12,3515
2017-10-13,3515
2017-10-14,3515
2017-10-15,3515
2017-10-16,3495
2017-10-17,3495
2017-10-18,3495
2017-10-19,3495
2017-10-20,3495
2017-10-21,3495
2017-10-22,3495
