date_obj,Mystic%20gloves%20(dusk) price
2019-11-02,36688
2019-11-03,36688
2019-11-04,34862
2019-11-05,34862
2019-11-06,34862
2019-11-07,34862
2019-11-08,33532
2019-11-09,33532
2019-11-10,33532
2019-11-11,31974
2019-11-12,31974
2019-11-13,31974
2019-11-14,31974
2019-11-15,32638
2019-11-16,32638
2019-11-17,32638
2019-11-18,31428
2019-11-19,31428
2019-11-20,31428
2019-11-21,31428
2019-11-22,31569
2019-11-23,31569
2019-11-24,31569
2019-11-25,30198
2019-11-26,30198
2019-11-27,30198
2019-11-28,29107
2019-11-29,29107
2019-11-30,29107
2019-12-01,27822
2019-12-02,27822
2019-12-03,27822
2019-12-04,26882
2019-12-05,26882
2019-12-06,26882
2019-12-07,26882
2019-12-08,26013
2019-12-09,26013
2019-12-10,26013
2019-12-11,25599
2019-12-12,25599
2019-12-13,25599
2019-12-14,25599
2019-12-15,24726
2019-12-16,24726
2019-12-17,24726
2019-12-18,24726
2019-12-19,24935
2019-12-20,24935
2019-12-21,24935
2019-12-22,25381
2019-12-23,25381
2019-12-24,25381
2019-12-25,25381
2019-12-26,24483
2019-12-27,24483
2019-12-28,24483
2019-12-29,23923
2019-12-30,23923
2019-12-31,23923
2020-01-01,23133
2020-01-02,23133
2020-01-03,23133
2020-01-04,22743
2020-01-05,22743
2020-01-06,22743
2020-01-07,21718
2020-01-08,21718
2020-01-09,21718
2020-01-10,20746
2020-01-11,20746
2020-01-12,20234
2020-01-13,20234
2020-01-14,20234
2020-01-15,20222
2020-01-16,20222
2020-01-17,20222
2020-01-18,20983
2020-01-19,20983
2020-01-20,21408
2020-01-21,21408
2020-01-22,21408
2020-01-23,21592
2020-01-24,21592
2020-01-25,21592
2020-01-26,22033
2020-01-27,22033
2020-01-28,22033
2020-01-29,21705
2020-01-30,21705
2020-01-31,21705
2020-02-01,22182
2020-02-02,22182
2020-02-03,22182
2020-02-04,23267
2020-02-05,23267
2020-02-06,24352
2020-02-07,24352
2020-02-08,24352
2020-02-09,24928
2020-02-10,24928
2020-02-11,24928
2020-02-12,26158
2020-02-13,26158
2020-02-14,26158
2020-02-15,27281
2020-02-16,27281
2020-02-17,27281
2020-02-18,28335
2020-02-19,28335
2020-02-20,28335
2020-02-21,29511
2020-02-22,29511
2020-02-23,29511
2020-02-24,30792
2020-02-25,30792
2020-02-26,30792
2020-02-27,31203
2020-02-28,31203
2020-02-29,31203
2020-03-01,29950
2020-03-02,29950
2020-03-03,29950
2020-03-04,29665
2020-03-05,29665
2020-03-06,30993
2020-03-07,30993
2020-03-08,30993
2020-03-09,32153
2020-03-10,32153
2020-03-11,32153
2020-03-12,32902
2020-03-13,32902
2020-03-14,32902
2020-03-15,31673
2020-03-16,31673
2020-03-17,31673
2020-03-18,31004
2020-03-19,31004
2020-03-20,30353
2020-03-21,30353
2020-03-22,31465
2020-03-23,31465
2020-03-24,31465
2020-03-25,31478
2020-03-26,31478
2020-03-27,31757
2020-03-28,31757
2020-03-29,31645
2020-03-30,31645
2020-03-31,32708
2020-04-01,32708
2020-04-02,34033
2020-04-03,34033
2020-04-04,34535
2020-04-05,34535
2020-04-06,33663
2020-04-07,33663
2020-04-08,32689
2020-04-09,32689
2020-04-10,32689
2020-04-11,32723
2020-04-12,32723
2020-04-13,31869
2020-04-14,31869
2020-04-15,33360
2020-04-16,33360
2020-04-17,33360
2020-04-18,33318
2020-04-19,33318
2020-04-20,31797
2020-04-21,31797
2020-04-22,32425
2020-04-23,32425
2020-04-24,32425
2020-04-25,34045
2020-04-26,34045
2020-04-27,35454
2020-04-28,35454
2020-04-29,35409
2020-04-30,35409
2020-05-01,33980
2020-05-02,33980
2020-05-03,33059
2020-05-04,33059
2020-05-05,33059
2020-05-06,32139
2020-05-07,32139
2020-05-08,32139
2020-05-09,30602
2020-05-10,30602
2020-05-11,29194
2020-05-12,29194
2020-05-13,27854
