date_obj,Rune%20arrowtips price
2016-06-07,318
2016-06-08,306
2016-06-09,306
2016-06-10,306
2016-06-11,306
2016-06-12,306
2016-06-13,306
2016-06-14,306
2016-06-15,306
2016-06-16,306
2016-06-17,299
2016-06-18,299
2016-06-19,299
2016-06-20,299
2016-06-21,299
2016-06-22,299
2016-06-23,299
2016-06-24,299
2016-06-25,299
2016-06-26,295
2016-06-27,295
2016-06-28,295
2016-06-29,295
2016-06-30,295
2016-07-01,295
2016-07-02,295
2016-07-03,295
2016-07-04,295
2016-07-05,296
2016-07-06,296
2016-07-07,296
2016-07-08,296
2016-07-09,296
2016-07-10,296
2016-07-11,296
2016-07-12,296
2016-07-13,297
2016-07-14,297
2016-07-15,297
2016-07-16,297
2016-07-17,297
2016-07-18,297
2016-07-23,297
2016-07-24,285
2016-07-25,285
2016-07-26,285
2016-07-27,285
2016-07-28,285
2016-07-29,285
2016-07-30,285
2016-07-31,285
2016-08-01,285
2016-08-02,285
2016-08-03,285
2016-08-04,285
2016-08-05,285
2016-08-06,275
2016-08-07,275
2016-08-08,275
2016-08-09,275
2016-08-10,275
2016-08-11,275
2016-08-12,275
2016-08-13,275
2016-08-14,275
2016-08-15,275
2016-08-16,275
2016-08-17,275
2016-08-18,275
2016-08-19,267
2016-08-20,267
2016-08-21,267
2016-08-22,267
2016-08-23,267
2016-08-24,267
2016-08-25,267
2016-08-26,267
2016-08-28,267
2016-08-31,264
2016-09-01,264
2016-09-02,264
2016-09-03,264
2016-09-04,264
2016-09-05,264
2016-09-06,264
2016-09-07,264
2016-09-08,264
2016-09-09,264
2016-09-10,264
2016-09-11,264
2016-09-12,264
2016-09-13,264
2016-09-14,262
2016-09-15,262
2016-09-16,262
2016-09-17,262
2016-09-18,262
2016-09-19,262
2016-09-20,262
2016-09-21,262
2016-09-22,262
2016-09-23,262
2016-09-24,262
2016-09-25,262
2016-09-26,262
2016-09-27,262
2016-09-28,262
2016-09-29,262
2016-09-30,264
2016-10-01,264
2016-10-02,264
2016-10-03,264
2016-10-04,264
2016-10-05,264
2016-10-06,264
2016-10-07,264
2016-10-08,264
2016-10-09,264
2016-10-10,264
2016-10-11,264
2016-10-12,264
2016-10-13,264
2016-10-14,264
2016-10-15,264
2016-10-16,263
2016-10-17,263
2016-10-18,263
2016-10-19,263
2016-10-20,263
2016-10-21,263
2016-10-22,263
2016-10-23,263
2016-10-24,263
2016-10-25,263
2016-10-26,263
2016-10-27,263
2016-10-28,263
2016-10-29,268
2016-10-30,268
2016-10-31,268
2016-11-01,268
2016-11-02,268
2016-11-03,268
2016-11-04,268
2016-11-05,268
2016-11-06,268
2016-11-07,268
2016-11-08,268
2016-11-09,268
2016-11-10,268
2016-11-11,267
2016-11-12,267
2016-11-13,267
2016-11-14,267
2016-12-08,256
2016-12-09,256
2016-12-10,256
2016-12-11,256
2016-12-12,256
2016-12-13,256
2016-12-14,256
2016-12-15,256
2016-12-16,256
2016-12-17,248
2016-12-18,248
2016-12-19,248
2016-12-20,248
2016-12-21,248
2016-12-22,248
2016-12-23,248
2016-12-24,248
2016-12-25,248
2016-12-26,248
2016-12-27,248
2016-12-28,248
2016-12-29,241
2016-12-30,241
2016-12-31,241
2017-01-01,241
2017-01-02,241
2017-01-03,241
2017-01-04,241
2017-01-05,241
2017-01-06,241
2017-01-07,241
2017-01-08,241
2017-01-09,245
2017-01-10,245
2017-01-11,245
2017-01-12,245
2017-01-13,245
2017-01-14,245
2017-01-15,245
2017-01-16,245
2017-01-17,245
2017-01-18,246
2017-01-19,246
2017-01-20,246
2017-01-21,246
2017-01-22,246
2017-01-27,246
2017-01-28,244
2017-01-29,244
2017-01-30,244
2017-01-31,244
2017-02-01,244
2017-02-02,244
2017-02-03,244
2017-02-04,244
2017-02-05,244
2017-02-06,244
2017-02-07,244
2017-02-08,232
2017-02-09,232
2017-02-10,232
2017-02-11,232
2017-02-12,232
2017-02-13,232
2017-02-14,232
2017-02-15,232
2017-02-16,232
2017-02-18,232
2017-02-19,232
2017-02-20,230
2017-02-21,230
2017-02-22,230
2017-02-23,230
2017-02-24,230
2017-02-25,230
2017-02-26,230
2017-02-27,230
2017-02-28,230
2017-03-01,230
2017-03-02,230
2017-03-03,230
2017-03-04,230
2017-03-05,237
2017-03-06,237
2017-03-07,237
2017-03-08,237
2017-03-09,237
2017-03-10,237
2017-03-11,237
2017-03-12,237
2017-03-13,237
2017-03-14,237
2017-03-15,240
2017-03-16,240
2017-03-17,240
2017-03-18,240
2017-03-19,240
2017-03-20,240
2017-03-21,240
2017-03-22,240
2017-03-23,240
2017-03-24,240
2017-03-25,240
2017-03-26,240
2017-03-27,238
2017-03-28,238
2017-03-29,238
2017-03-30,238
2017-03-31,238
2017-04-01,238
2017-04-02,238
2017-04-03,238
2017-04-04,238
2017-04-12,239
2017-04-13,239
2017-04-14,239
2017-04-15,239
2017-04-16,239
2017-04-17,239
2017-04-18,239
2017-04-19,238
2017-04-20,238
2017-04-21,238
2017-04-22,238
2017-04-23,238
2017-04-24,238
2017-04-25,238
2017-04-26,238
2017-04-27,238
2017-04-28,238
2017-04-29,238
2017-04-30,238
2017-05-01,238
2017-05-02,240
2017-05-03,240
2017-05-04,240
2017-05-05,240
2017-05-06,240
2017-05-07,240
2017-05-08,240
2017-05-09,240
2017-05-10,240
2017-05-11,240
2017-05-12,240
2017-05-13,240
2017-05-14,242
2017-05-15,242
2017-05-16,242
2017-05-17,242
2017-05-18,242
2017-05-19,242
2017-05-20,242
2017-05-21,242
2017-05-22,242
2017-05-23,242
2017-05-24,242
2017-05-25,242
2017-05-26,245
2017-05-27,245
2017-05-28,245
2017-05-29,245
2017-05-30,245
2017-05-31,245
2017-06-01,245
2017-06-02,245
2017-06-03,245
2017-06-06,245
2017-06-07,245
2017-06-08,238
2017-06-09,238
2017-06-10,238
2017-06-11,238
2017-06-12,238
2017-06-13,238
2017-06-14,238
2017-06-15,238
2017-06-16,238
2017-06-17,238
2017-06-18,238
2017-06-19,238
2017-06-20,235
2017-06-21,235
2017-06-22,235
2017-06-23,235
2017-06-24,235
2017-06-25,235
2017-06-26,235
2017-06-27,235
2017-06-28,235
2017-06-29,235
2017-06-30,235
2017-07-01,235
2017-07-02,235
2017-07-03,236
2017-07-04,236
2017-07-05,236
2017-07-06,236
2017-07-07,236
2017-07-08,236
2017-07-13,236
2017-07-14,236
2017-07-15,236
2017-07-16,230
2017-07-17,230
2017-07-18,230
2017-07-19,230
2017-07-20,230
2017-07-21,230
2017-07-22,230
2017-07-23,230
2017-07-24,230
2017-07-25,230
2017-07-26,230
2017-07-27,230
2017-07-28,230
2017-07-29,230
2017-07-30,228
2017-07-31,228
2017-08-01,228
2017-08-02,228
2017-08-03,228
2017-08-04,228
2017-08-05,228
2017-08-06,228
2017-08-09,228
2017-08-10,228
2017-08-11,228
2017-08-12,228
2017-08-13,234
2017-08-14,234
2017-08-15,234
2017-08-17,234
2017-08-18,234
2017-08-19,234
2017-08-20,234
2017-08-21,234
2017-08-22,234
2017-08-23,234
2017-08-24,234
2017-08-25,234
2017-08-26,241
2017-08-27,241
2017-08-28,241
2017-08-29,241
2017-08-30,241
2017-08-31,241
2017-09-01,241
2017-09-02,241
2017-09-03,241
2017-09-04,241
2017-09-05,241
2017-09-06,241
2017-09-07,248
2017-09-08,248
2017-09-09,248
2017-09-10,248
2017-09-11,248
2017-09-12,248
2017-09-13,248
2017-09-14,248
2017-09-15,248
2017-09-16,248
2017-09-17,248
2017-09-19,248
2017-09-20,247
2017-09-21,247
2017-09-22,247
2017-09-23,247
2017-09-24,247
2017-09-25,247
2017-09-26,247
2017-09-27,247
2017-09-28,247
2017-09-29,247
2017-09-30,247
2017-10-01,247
2017-10-02,247
2017-10-03,247
2017-10-04,241
2017-10-05,241
2017-10-06,241
2017-10-07,241
2017-10-08,241
2017-10-09,241
2017-10-10,241
2017-10-11,241
2017-10-12,241
2017-10-13,241
2017-10-14,241
2017-10-15,241
2017-10-16,241
2017-10-17,236
2017-10-18,236
2017-10-19,236
2017-10-20,236
2017-10-21,236
2017-10-22,236
2017-10-23,236
2017-10-24,236
2017-10-25,236
2017-10-26,236
2017-10-27,236
2017-10-28,236
2017-10-29,236
2017-10-30,233
2017-10-31,233
2017-11-01,233
2017-11-02,233
2017-11-03,233
2017-11-04,233
2017-11-05,233
2017-11-06,233
2017-11-07,233
2017-11-08,233
2017-11-09,233
2017-11-10,233
2017-11-11,235
2017-11-12,235
2017-11-13,235
2017-11-14,235
2017-11-15,235
2017-11-16,235
2017-11-17,235
2017-11-18,235
2017-11-19,235
2017-11-20,235
2017-11-21,235
2017-11-22,235
2017-11-23,235
2017-11-24,242
2017-11-25,242
2017-11-26,242
2017-11-27,242
2017-11-28,242
2017-11-29,242
2017-11-30,242
2017-12-01,242
2017-12-02,242
2017-12-03,242
2017-12-04,242
2017-12-05,242
2017-12-06,245
2017-12-07,245
2017-12-08,245
2017-12-09,245
2017-12-10,245
2017-12-11,245
2017-12-12,245
2017-12-13,245
2017-12-14,245
2017-12-15,245
2017-12-16,245
2017-12-17,245
2017-12-18,243
2017-12-19,243
2017-12-20,243
2017-12-21,243
2017-12-22,243
2017-12-23,243
2017-12-24,243
2017-12-25,243
2017-12-26,243
2017-12-27,243
2017-12-28,243
2017-12-29,254
2017-12-30,254
2017-12-31,254
2018-01-01,254
2018-01-02,254
2018-01-03,254
2018-01-04,254
2018-01-05,254
2018-01-06,254
2018-01-07,260
2018-01-08,260
2018-01-09,260
2018-01-10,260
2018-01-11,260
2018-01-12,260
2018-01-13,260
2018-01-14,260
2018-01-15,260
2018-01-16,260
2018-01-17,259
2018-01-18,259
2018-01-19,259
2018-01-20,259
2018-01-21,259
2018-01-22,259
2018-01-23,259
2018-01-24,258
2018-01-25,258
2018-01-26,258
2018-01-27,258
2018-01-28,258
2018-01-29,258
2018-01-30,269
2018-01-31,269
2018-02-01,269
2018-02-02,269
2018-02-03,269
2018-02-04,269
2018-02-05,262
2018-02-06,262
2018-02-07,262
2018-02-08,262
2018-02-09,262
2018-02-10,271
2018-02-11,271
2018-02-12,271
2018-02-13,271
2018-02-14,271
2018-02-15,270
2018-02-16,270
2018-02-17,270
2018-02-18,270
2018-02-19,270
2018-02-20,260
2018-02-21,260
2018-02-22,260
2018-02-23,260
2018-02-24,260
2018-02-25,260
2018-02-26,256
2018-02-27,256
2018-02-28,256
2018-03-01,256
2018-03-02,256
2018-03-03,266
2018-03-04,266
2018-03-05,266
2018-03-06,266
2018-03-07,266
2018-03-08,261
2018-03-09,261
2018-03-10,261
2018-03-11,261
2018-03-12,261
2018-03-13,253
2018-03-14,253
2018-03-15,253
2018-03-16,253
2018-03-17,253
2018-03-18,253
2018-03-19,251
2018-03-20,251
2018-03-21,251
2018-03-23,251
2018-03-24,260
2018-03-26,260
2018-03-27,260
2018-03-29,272
2018-03-30,272
2018-03-31,272
2018-04-01,272
2018-04-02,272
2018-04-03,272
2018-04-04,284
2018-04-05,284
2018-04-06,284
2018-04-08,284
2018-04-09,284
2018-04-10,293
2018-04-11,293
2018-04-12,293
2018-04-13,293
2018-04-14,293
2018-04-15,293
2018-04-16,293
2018-04-17,297
2018-04-18,297
2018-04-19,297
2018-04-20,297
2018-04-21,297
2018-04-22,297
2018-04-23,297
2018-04-24,298
2018-04-25,298
2018-04-26,298
2018-04-27,298
2018-04-28,298
2018-04-29,298
2018-04-30,298
2018-05-01,290
2018-05-02,290
2018-05-03,290
2018-05-04,290
2018-05-05,290
2018-05-06,290
2018-05-07,292
2018-05-08,292
2018-05-09,292
2018-05-10,292
2018-05-11,292
2018-05-12,292
2018-05-13,292
2018-05-14,291
2018-05-15,291
2018-05-16,291
2018-05-17,291
2018-05-18,291
2018-05-19,291
2018-05-20,291
2018-05-21,276
2018-05-22,276
2018-05-23,276
2018-05-24,276
2018-05-25,276
2018-05-26,276
2018-05-27,265
2018-05-28,265
2018-05-29,265
2018-05-30,265
2018-05-31,265
2018-06-01,265
2018-06-02,257
2018-06-03,257
2018-06-04,257
2018-06-05,257
2018-06-06,257
2018-06-07,257
2018-06-08,248
2018-06-09,248
2018-06-10,248
2018-06-11,248
2018-06-12,248
2018-06-13,248
2018-06-14,250
2018-06-15,250
2018-06-16,250
2018-06-17,250
2018-06-18,250
2018-06-19,250
2018-06-20,244
2018-06-21,244
2018-06-22,244
2018-06-23,244
2018-06-24,244
2018-06-25,244
2018-06-26,247
2018-06-27,247
2018-06-28,247
2018-06-29,247
2018-06-30,247
2018-07-01,247
2018-07-02,247
2018-07-03,238
2018-07-04,238
2018-07-05,238
2018-07-06,238
2018-07-07,238
2018-07-08,238
2018-07-09,238
2018-07-10,232
2018-07-11,232
2018-07-12,232
2018-07-13,232
2018-07-14,232
2018-07-15,232
2018-07-16,232
2018-07-17,239
2018-07-18,239
2018-07-19,239
2018-07-20,239
2018-07-21,239
2018-07-22,239
2018-07-23,239
2018-07-24,239
2018-07-25,239
2018-07-26,239
2018-07-27,239
2018-07-28,239
2018-07-29,245
2018-07-30,245
2018-07-31,245
2018-08-01,245
2018-08-02,245
2018-08-03,235
2018-08-04,235
2018-08-05,235
2018-08-06,235
2018-08-07,228
2018-08-08,228
2018-08-09,228
2018-08-10,228
2018-08-11,229
2018-08-12,229
2018-08-14,229
2018-08-16,239
2018-08-17,239
2018-08-18,239
2018-08-19,239
2018-08-20,248
2018-08-21,248
2018-08-22,248
2018-08-23,248
2018-08-24,247
2018-08-25,247
2018-08-26,247
2018-08-27,247
2018-08-28,257
2018-08-29,257
2018-08-30,257
2018-08-31,257
2018-09-01,266
2018-09-02,266
2018-09-03,266
2018-09-04,266
2018-09-05,265
2018-09-06,265
2018-09-07,265
2018-09-08,265
2018-09-09,265
2018-09-10,258
2018-09-11,258
2018-09-12,258
2018-09-13,258
2018-09-14,258
2018-09-15,258
2018-09-16,258
2018-09-17,258
2018-09-18,258
2018-09-19,258
2018-09-20,254
2018-09-21,254
2018-09-22,254
2018-09-23,254
2018-09-24,261
2018-09-25,261
2018-09-26,261
2018-09-27,261
2018-09-28,261
2018-09-29,269
2018-09-30,269
2018-10-02,269
2018-10-03,267
2018-10-04,267
2018-10-05,267
2018-10-06,267
2018-10-07,267
2018-10-08,265
2018-10-09,265
2018-10-10,265
2018-10-11,265
2018-10-12,265
2018-10-13,254
2018-10-14,254
2018-10-15,254
2018-10-16,254
2018-10-17,254
