date_obj,White%20lily price
2019-05-13,1971
2019-05-14,2070
2019-05-15,2174
2019-05-16,2270
2019-05-17,2382
2019-05-18,2502
2019-05-19,2627
2019-05-20,2759
2019-05-21,2897
2019-05-22,3042
2019-05-23,3195
2019-05-24,3354
2019-05-25,3522
2019-05-26,3699
2019-05-27,3780
2019-05-28,3591
2019-05-29,3411
2019-05-30,3245
2019-05-31,3082
2019-06-01,2927
2019-06-02,2944
2019-06-03,3077
2019-06-04,3147
2019-06-05,3203
2019-06-06,3246
2019-06-07,3401
2019-06-08,3536
2019-06-09,3435
2019-06-10,3300
2019-06-11,3135
2019-06-12,2978
2019-06-13,2880
2019-06-14,2750
2019-06-15,2612
2019-06-16,2481
2019-06-17,2356
2019-06-18,2238
2019-06-19,2126
2019-06-20,2034
2019-06-21,2114
2019-06-22,2126
2019-06-23,2122
2019-06-24,2126
2019-06-25,2127
2019-06-26,2081
2019-06-27,1976
2019-06-28,1879
2019-06-29,1785
2019-06-30,1695
2019-07-01,1610
2019-07-02,1529
2019-07-03,1452
2019-07-04,1379
2019-07-05,1310
2019-07-06,1244
2019-07-07,1181
2019-07-08,1121
2019-07-09,1064
2019-07-10,1010
2019-07-11,1007
2019-07-12,999
2019-07-13,1001
2019-07-14,1002
2019-07-15,1001
2019-07-16,1003
2019-07-17,1009
2019-07-18,1015
2019-07-19,1046
2019-07-20,1099
2019-07-21,1102
2019-07-22,1111
2019-07-23,1111
2019-07-24,1118
2019-07-25,1165
2019-07-26,1220
2019-07-27,1258
2019-07-28,1303
2019-07-29,1360
2019-07-30,1371
2019-07-31,1436
2019-08-01,1437
2019-08-02,1437
2019-08-03,1435
2019-08-04,1459
2019-08-05,1504
2019-08-06,1476
2019-08-07,1444
2019-08-08,1375
2019-08-09,1317
2019-08-10,1251
2019-08-11,1188
2019-08-12,1128
2019-08-13,1071
2019-08-14,1017
2019-08-15,1001
2019-08-16,985
2019-08-17,1000
2019-08-18,1000
2019-08-19,1000
2019-08-20,1000
2019-08-21,1000
2019-08-22,994
2019-08-23,959
2019-08-24,933
2019-08-24,933
2019-08-25,894
2019-08-25,894
2019-08-26,849
2019-08-26,849
2019-08-27,806
2019-08-27,806
2019-08-28,766
2019-08-29,727
2019-08-30,690
2019-08-31,655
2019-09-01,627
2019-09-02,619
2019-09-03,598
2019-09-04,592
2019-09-05,581
2019-09-06,611
2019-09-07,622
2019-09-08,632
2019-09-09,646
2019-09-10,666
2019-09-11,669
2019-09-12,636
2019-09-13,609
2019-09-14,618
2019-09-15,649
2019-09-16,682
2019-09-17,717
2019-09-18,746
2019-09-19,715
2019-09-20,712
2019-09-21,712
2019-09-22,714
2019-09-23,715
2019-09-24,719
2019-09-25,718
2019-09-26,682
2019-09-27,654
2019-09-28,621
2019-09-29,591
2019-09-30,570
2019-10-01,563
2019-10-02,570
2019-10-03,546
2019-10-04,526
2019-10-05,504
2019-10-06,507
2019-10-07,513
2019-10-08,518
2019-10-09,518
2019-10-10,514
2019-10-11,530
2019-10-12,521
2019-10-13,527
2019-10-14,518
2019-10-15,526
2019-10-16,553
2019-10-17,556
2019-10-18,567
2019-10-19,581
2019-10-20,588
2019-10-21,568
2019-10-22,591
2019-10-23,603
2019-10-24,591
2019-10-25,594
2019-10-26,624
2019-10-27,656
2019-10-28,660
2019-10-29,660
2019-10-30,668
2019-10-31,699
2019-11-01,686
2019-11-02,704
2019-11-03,703
2019-11-04,728
2019-11-05,752
2019-11-06,776
2019-11-07,775
2019-11-08,775
2019-11-09,762
2019-11-10,727
2019-11-11,732
2019-11-12,765
2019-11-13,766
2019-11-14,765
2019-11-15,767
2019-11-16,787
2019-11-17,787
2019-11-18,827
2019-11-19,845
2019-11-20,845
2019-11-21,845
2019-11-22,873
2019-11-23,876
2019-11-24,893
2019-11-25,890
2019-11-26,921
2019-11-27,968
2019-11-28,938
2019-11-29,896
2019-11-30,865
2019-12-01,821
2019-12-02,803
2019-12-03,780
2019-12-04,772
2019-12-05,783
2019-12-06,801
2019-12-07,810
2019-12-08,816
2019-12-09,811
2019-12-10,808
2019-12-11,818
2019-12-12,817
2019-12-13,829
2019-12-14,834
2019-12-15,833
2019-12-16,831
2019-12-17,823
2019-12-18,831
2019-12-19,831
2019-12-20,832
2019-12-21,832
2019-12-22,801
2019-12-23,766
2019-12-24,727
2019-12-25,690
2019-12-26,656
2019-12-27,629
2019-12-28,609
2019-12-29,586
2019-12-30,563
2019-12-31,535
2020-01-01,514
2020-01-02,511
2020-01-03,509
2020-01-04,510
2020-01-05,503
2020-01-06,514
2020-01-07,524
2020-01-08,504
2020-01-09,500
2020-01-10,501
2020-01-11,516
2020-01-12,507
2020-01-13,507
2020-01-14,508
2020-01-15,497
2020-01-16,501
2020-01-17,487
2020-01-18,467
2020-01-19,448
2020-01-20,433
2020-01-21,414
2020-01-22,394
2020-01-23,395
2020-01-24,415
2020-01-25,436
2020-01-26,446
2020-01-27,469
2020-01-28,492
2020-01-29,517
2020-01-30,543
2020-01-31,571
2020-02-01,586
2020-02-02,575
2020-02-03,568
2020-02-04,539
2020-02-05,536
2020-02-06,524
2020-02-07,526
2020-02-08,506
2020-02-09,485
2020-02-10,478
2020-02-11,469
2020-02-12,450
2020-02-13,428
2020-02-14,442
2020-02-15,450
2020-02-16,450
2020-02-17,450
2020-02-18,455
2020-02-19,452
2020-02-20,461
2020-02-21,461
2020-02-22,478
2020-02-23,499
2020-02-24,511
2020-02-25,515
2020-02-26,521
2020-02-27,498
2020-02-28,476
2020-02-29,457
2020-03-01,438
2020-03-02,416
2020-03-03,395
2020-03-04,377
2020-03-05,364
2020-03-06,348
2020-03-07,341
2020-03-08,347
2020-03-09,336
2020-03-10,319
2020-03-11,305
2020-03-12,292
2020-03-13,277
2020-03-14,266
2020-03-15,258
2020-03-16,255
2020-03-17,256
2020-03-18,256
2020-03-19,257
2020-03-20,255
2020-03-21,257
2020-03-22,257
2020-03-23,256
2020-03-24,258
2020-03-25,267
2020-03-26,268
2020-03-27,275
2020-03-28,267
2020-03-29,261
2020-03-30,257
2020-03-31,257
2020-04-01,259
2020-04-02,260
2020-04-03,260
2020-04-04,265
2020-04-05,262
2020-04-06,265
2020-04-07,266
2020-04-08,265
2020-04-09,275
2020-04-10,289
2020-04-11,304
2020-04-12,320
2020-04-13,336
2020-04-14,337
2020-04-15,334
2020-04-16,341
2020-04-17,337
2020-04-18,351
2020-04-19,353
2020-04-20,338
2020-04-21,336
2020-04-22,341
2020-04-23,351
2020-04-24,344
2020-04-25,350
2020-04-26,363
2020-04-27,372
2020-04-28,380
2020-04-29,397
2020-04-30,410
2020-05-01,416
2020-05-02,415
2020-05-03,410
2020-05-04,431
2020-05-05,453
2020-05-06,475
2020-05-07,499
2020-05-08,522
2020-05-09,521
2020-05-10,509
2020-05-11,498
2020-05-12,486
2020-05-13,491
