date_obj,Jester%20cape price
2019-10-09,154335
2019-10-10,152936
2019-10-11,152936
2019-10-12,149966
2019-10-13,149422
2019-10-14,145131
2019-10-15,140526
2019-10-16,136903
2019-10-17,136903
2019-10-18,133694
2019-10-19,132428
2019-10-20,134832
2019-10-21,134491
2019-10-22,133984
2019-10-23,134144
2019-10-24,131635
2019-10-25,129742
2019-10-26,126027
2019-10-27,123389
2019-10-28,122024
2019-10-29,122024
2019-10-30,121231
2019-10-31,120978
2019-11-01,117732
2019-11-02,116308
2019-11-03,114280
2019-11-04,113334
2019-11-05,113334
2019-11-06,112502
2019-11-07,112873
2019-11-08,112473
2019-11-09,112543
2019-11-10,110949
2019-11-11,109028
2019-11-12,109028
2019-11-13,106534
2019-11-14,103211
2019-11-15,101355
2019-11-16,99730
2019-11-17,99730
2019-11-18,99316
2019-11-19,99316
2019-11-20,99174
2019-11-21,99174
2019-11-22,100946
2019-11-23,104000
2019-11-24,106747
2019-11-25,108953
2019-11-26,111574
2019-11-27,111574
2019-11-28,114248
2019-11-29,114248
2019-11-30,114442
2019-12-01,114618
2019-12-02,114995
2019-12-03,114980
2019-12-04,116154
2019-12-05,116154
2019-12-06,116239
2019-12-07,115646
2019-12-08,115646
2019-12-09,116540
2019-12-10,117572
2019-12-11,117239
2019-12-12,117239
2019-12-13,118865
2019-12-14,119595
2019-12-15,119805
2019-12-16,120049
2019-12-17,120965
2019-12-18,120965
2019-12-19,121895
2019-12-20,124604
2019-12-21,128358
2019-12-22,130460
2019-12-23,130460
2019-12-24,131032
2019-12-25,128113
2019-12-26,128113
2019-12-27,128152
2019-12-28,127641
2019-12-29,127641
2019-12-30,125421
2019-12-31,123263
2020-01-01,120010
2020-01-02,116714
2020-01-03,116714
2020-01-04,113555
2020-01-05,110572
2020-01-06,107377
2020-01-07,105038
2020-01-08,105038
2020-01-09,102349
2020-01-10,102535
2020-01-11,104947
2020-01-12,106772
2020-01-13,106772
2020-01-14,109276
2020-01-15,111968
2020-01-16,112536
2020-01-17,113505
2020-01-18,113505
2020-01-19,114191
2020-01-20,111734
2020-01-21,111734
2020-01-22,112061
2020-01-23,112001
2020-01-24,109934
2020-01-25,109934
2020-01-26,107360
2020-01-27,104028
2020-01-28,100993
2020-01-29,98352
2020-01-30,96036
2020-01-31,94643
2020-02-01,93741
2020-02-02,93071
2020-02-03,89626
2020-02-04,88415
2020-02-05,86875
2020-02-06,84699
2020-02-07,83363
2020-02-08,82785
2020-02-09,79782
2020-02-10,77656
2020-02-11,77656
2020-02-12,76580
2020-02-13,76580
2020-02-14,75654
2020-02-15,74935
2020-02-16,72917
2020-02-17,72110
2020-02-18,71897
2020-02-19,71177
2020-02-20,71095
2020-02-21,71095
2020-02-22,71203
2020-02-23,70557
2020-02-24,71794
2020-02-25,74816
2020-02-26,77860
2020-02-27,78156
2020-02-28,78053
2020-02-29,78053
2020-03-01,77965
2020-03-02,78144
2020-03-03,78965
2020-03-04,78965
2020-03-05,78156
2020-03-06,78812
2020-03-07,79854
2020-03-08,81591
2020-03-09,83428
2020-03-10,83885
2020-03-11,83609
2020-03-12,82966
2020-03-13,82284
2020-03-14,83277
2020-03-15,83122
2020-03-16,82912
2020-03-17,83854
2020-03-18,84368
2020-03-19,84846
2020-03-20,85995
2020-03-21,88103
2020-03-22,89095
2020-03-23,89788
2020-03-24,90139
2020-03-25,91563
2020-03-26,92592
2020-03-27,93003
2020-03-28,93524
2020-03-29,93994
2020-03-30,93978
2020-03-31,94125
2020-04-01,94506
2020-04-02,94928
2020-04-03,94928
2020-04-04,94570
2020-04-05,93749
2020-04-06,93686
2020-04-07,93933
2020-04-08,93970
2020-04-09,94691
2020-04-10,94316
2020-04-11,94671
2020-04-12,94733
2020-04-13,94837
2020-04-14,94607
2020-04-15,94546
2020-04-16,93511
2020-04-17,93551
2020-04-18,92449
2020-04-19,92602
2020-04-20,92593
2020-04-21,92287
2020-04-22,91611
2020-04-23,91478
2020-04-24,92153
2020-04-25,91055
2020-04-26,91449
2020-04-27,91325
2020-04-28,91487
2020-04-29,90640
2020-04-30,90125
2020-05-01,90104
2020-05-02,89176
2020-05-03,89797
2020-05-04,91016
2020-05-05,92094
2020-05-06,91683
2020-05-07,91330
2020-05-08,91819
2020-05-09,91802
2020-05-10,91192
2020-05-11,92189
2020-05-12,91683
2020-05-13,90924
