date_obj,Armadyl%20platelegs price
2016-05-23,44102
2016-05-24,44119
2016-05-25,44261
2016-05-26,44673
2016-05-27,44097
2016-05-28,44097
2016-05-29,43477
2016-05-30,43477
2016-05-31,44458
2016-06-01,44776
2016-06-02,44301
2016-06-03,42966
2016-06-04,42141
2016-06-05,40552
2016-06-06,40004
2016-06-07,40294
2016-06-08,40741
2016-06-09,41584
2016-06-10,42290
2016-06-11,42764
2016-06-12,43050
2016-06-13,43050
2016-06-14,42288
2016-06-15,42332
2016-06-16,41970
2016-06-17,41452
2016-06-18,41337
2016-06-19,41244
2016-06-20,42053
2016-06-21,41399
2016-06-22,41387
2016-06-23,41655
2016-06-24,41818
2016-06-25,42137
2016-06-26,42364
2016-06-27,42666
2016-06-28,42408
2016-06-29,41986
2016-06-30,42282
2016-07-01,41880
2016-07-02,42021
2016-07-03,41501
2016-07-04,41332
2016-07-05,41683
2016-07-06,41290
2016-07-07,40624
2016-07-08,40753
2016-07-09,40871
2016-07-10,41356
2016-07-11,41466
2016-07-12,40875
2016-07-13,40531
2016-07-14,40542
2016-07-15,39689
2016-07-16,39787
2016-07-17,40171
2016-07-18,40142
2016-07-23,40856
2016-07-24,40822
2016-07-25,39622
2016-07-26,39622
2016-07-27,40348
2016-07-28,40786
2016-07-29,40865
2016-07-30,41082
2016-07-31,41082
2016-08-01,40568
2016-08-02,41020
2016-08-03,41792
2016-08-04,41792
2016-08-05,42282
2016-08-06,42439
2016-08-07,42555
2016-08-08,42555
2016-08-09,42273
2016-08-10,42361
2016-08-11,42361
2016-08-12,42461
2016-08-13,42461
2016-08-14,43369
2016-08-15,43899
2016-08-16,44129
2016-08-17,44250
2016-08-18,43780
2016-08-19,43539
2016-08-20,43955
2016-08-21,42653
2016-08-22,44008
2016-08-23,44394
2016-08-24,42904
2016-08-25,42161
2016-08-26,42161
2016-08-28,42791
2016-08-31,42781
2016-09-01,42636
2016-09-02,42636
2016-09-03,42357
2016-09-04,41140
2016-09-05,41348
2016-09-06,41829
2016-09-07,41829
2016-09-08,41714
2016-09-09,42399
2016-09-10,42345
2016-09-11,42345
2016-09-12,42425
2016-09-13,42609
2016-09-14,42609
2016-09-15,42656
2016-09-16,42656
2016-09-17,42368
2016-09-18,41927
2016-09-19,41621
2016-09-20,41621
2016-09-21,41834
2016-09-22,41994
2016-09-23,41993
2016-09-24,41993
2016-09-25,41368
2016-09-26,41368
2016-09-27,41820
2016-09-28,41511
2016-09-29,41511
2016-09-30,41483
2016-10-01,40771
2016-10-02,40771
2016-10-03,40737
2016-10-04,40536
2016-10-05,40593
2016-10-06,40415
