date_obj,Guthix%20dragonhide%20set price
2016-05-24,118119
2016-05-25,118119
2016-05-26,118119
2016-05-27,120117
2016-05-28,120117
2016-05-29,120117
2016-05-30,120117
2016-05-31,120117
2016-06-01,122880
2016-06-02,122880
2016-06-03,122880
2016-06-04,122880
2016-06-05,126718
2016-06-06,126718
2016-06-07,126718
2016-06-08,126718
2016-06-09,131438
2016-06-10,131438
2016-06-11,131438
2016-06-12,136212
2016-06-13,136212
2016-06-14,136212
2016-06-15,136212
2016-06-16,137102
2016-06-17,137102
2016-06-18,137102
2016-06-19,139648
2016-06-20,139648
2016-06-21,139648
2016-06-22,139648
2016-06-23,143133
2016-06-24,143133
2016-06-25,143133
2016-06-26,143133
2016-06-27,143133
2016-06-28,146516
2016-06-29,146516
2016-06-30,146516
2016-07-01,146516
2016-07-02,148361
2016-07-03,148361
2016-07-04,148361
2016-07-05,148361
2016-07-06,147416
2016-07-07,147416
2016-07-08,147416
2016-07-09,147416
2016-07-10,145646
2016-07-11,145646
2016-07-12,145646
2016-07-13,145646
2016-07-14,144886
2016-07-15,144886
2016-07-16,144886
2016-07-17,144886
2016-07-18,142606
2016-07-23,141259
2016-07-24,141259
2016-07-25,141259
2016-07-26,141259
2016-07-27,141259
2016-07-28,147785
2016-07-29,147785
2016-07-30,147785
2016-07-31,147785
2016-08-01,147785
2016-08-02,154417
2016-08-03,154417
2016-08-04,154417
2016-08-05,154417
2016-08-06,154417
2016-08-07,159463
2016-08-08,159463
2016-08-09,159463
2016-08-10,159463
2016-08-11,159463
2016-08-12,159463
2016-08-13,165212
2016-08-14,165212
2016-08-15,165212
2016-08-16,165212
2016-08-17,165212
2016-08-18,165212
2016-08-19,158305
2016-08-20,158305
2016-08-21,158305
2016-08-22,158305
2016-08-23,158305
2016-08-24,159254
2016-08-25,159254
2016-08-26,159254
2016-08-28,159254
2016-08-31,163277
2016-09-01,163277
2016-09-02,163277
2016-09-03,160039
2016-09-04,160039
2016-09-05,160039
2016-09-06,160039
2016-09-07,160039
2016-09-08,154209
2016-09-09,154209
2016-09-10,154209
2016-09-11,154209
2016-09-12,154209
2016-09-13,151224
2016-09-14,151224
2016-09-15,151224
2016-09-16,151224
2016-09-17,151224
2016-09-18,151224
2016-09-19,152965
2016-09-20,152965
2016-09-21,152965
2016-09-22,152965
2016-09-23,152965
2016-09-24,148287
2016-09-25,148287
2016-09-26,148287
2016-09-27,148287
2016-09-28,148287
2016-09-29,148287
2016-09-30,144966
2016-10-01,144966
2016-10-02,144966
2016-10-03,144966
2016-10-04,144966
2016-10-05,144966
2016-10-06,144966
2016-10-07,140676
2016-10-08,140676
2016-10-09,140676
2016-10-10,140676
2016-10-11,140676
2016-10-12,137588
2016-10-13,137588
2016-10-14,137588
2016-10-15,137588
2016-10-16,137588
2016-10-17,135456
2016-10-18,135456
