date_obj,Ahrim's%20robeskirt price
2017-09-20,1019760
2017-09-21,1022204
2017-09-22,1008493
2017-09-23,1002223
2017-09-24,1000287
2017-09-25,1000296
2017-09-26,998194
2017-09-27,986979
2017-09-28,969939
2017-09-29,994860
2017-09-30,981178
2017-10-01,979990
2017-10-02,995022
2017-10-03,984940
2017-10-04,967244
2017-10-05,951057
2017-10-06,960964
2017-10-07,986213
2017-10-08,994450
2017-10-09,996785
2017-10-10,991563
2017-10-11,1001898
2017-10-12,1036930
2017-10-13,1083797
2017-10-14,1097749
2017-10-15,1055532
2017-10-16,1068683
2017-10-17,1073535
2017-10-18,1049759
2017-10-19,1031113
2017-10-20,1035463
2017-10-21,1049649
2017-10-22,1069832
2017-10-23,1078956
2017-10-24,1063628
2017-10-25,1052827
2017-10-26,1042061
2017-10-27,1027126
2017-10-28,1018555
2017-10-29,1025542
2017-10-30,1012097
2017-10-31,1018212
2017-11-01,1025208
2017-11-02,1028115
2017-11-03,1004773
2017-11-04,1002695
2017-11-05,1010438
2017-11-06,1011786
2017-11-07,1027774
2017-11-08,1012566
2017-11-09,1010971
2017-11-10,1014359
2017-11-11,1037100
2017-11-12,1022582
2017-11-13,1024896
2017-11-14,1018463
2017-11-15,1009621
2017-11-16,1031596
2017-11-17,1043796
2017-11-18,1043160
2017-11-19,1063164
2017-11-20,1065295
2017-11-21,1042952
2017-11-22,1048088
2017-11-23,1046385
2017-11-24,1035681
2017-11-25,1043008
2017-11-26,1035997
2017-11-27,1032105
2017-11-28,1029734
2017-11-29,1031584
2017-11-30,1022846
2017-12-01,1026777
2017-12-02,1027305
2017-12-03,1056948
2017-12-04,1102967
2017-12-05,1126672
2017-12-06,1174247
2017-12-07,1232873
2017-12-08,1291781
2017-12-09,1328631
2017-12-10,1363570
2017-12-11,1392542
2017-12-12,1393619
2017-12-13,1389995
2017-12-14,1421524
2017-12-15,1459861
2017-12-16,1530359
2017-12-17,1580446
2017-12-18,1654666
2017-12-19,1711151
2017-12-20,1693559
2017-12-21,1738349
2017-12-22,1755060
2017-12-23,1739666
2017-12-24,1765428
2017-12-25,1759688
2017-12-26,1751734
2017-12-27,1755409
2017-12-28,1786505
2017-12-29,1778503
2017-12-30,1740210
2017-12-31,1653957
2018-01-01,1581452
2018-01-02,1519982
2018-01-03,1486362
2018-01-04,1412066
2018-01-05,1341462
2018-01-06,1275203
2018-01-07,1214834
2018-01-08,1163157
2018-01-09,1125158
2018-01-10,1104881
2018-01-11,1100284
2018-01-12,1096484
2018-01-13,1099963
2018-01-14,1092940
2018-01-15,1104599
2018-01-16,1107868
2018-01-17,1116433
2018-01-18,1143773
2018-01-19,1179857
2018-01-20,1181427
2018-01-21,1231090
2018-01-22,1224688
2018-01-23,1228117
2018-01-24,1201600
2018-01-25,1166604
2018-01-26,1141418
2018-01-27,1139994
2018-01-28,1176247
2018-01-29,1229672
2018-01-30,1244989
2018-01-31,1273401
2018-02-01,1308184
2018-02-02,1284519
2018-02-03,1278659
2018-02-04,1264020
2018-02-05,1260055
2018-02-06,1297664
2018-02-07,1284285
2018-02-08,1281890
2018-02-09,1271727
2018-02-10,1249226
2018-02-11,1201259
2018-02-12,1147114
2018-02-13,1139161
2018-02-14,1097818
2018-02-15,1091227
2018-02-16,1124006
2018-02-17,1107999
2018-02-18,1148551
2018-02-19,1170077
2018-02-20,1180265
2018-02-21,1232886
2018-02-22,1292657
2018-02-23,1347927
2018-02-24,1410708
2018-02-25,1416025
2018-02-26,1407052
2018-02-27,1410475
2018-02-28,1453579
2018-03-01,1420458
2018-03-02,1404633
2018-03-03,1405859
2018-03-04,1459768
2018-03-05,1496760
2018-03-06,1508467
2018-03-07,1478582
2018-03-08,1454860
2018-03-09,1438987
2018-03-10,1431041
2018-03-11,1427826
2018-03-12,1408023
2018-03-13,1409258
2018-03-14,1409535
2018-03-15,1402221
2018-03-16,1401120
2018-03-17,1385337
2018-03-18,1408078
2018-03-19,1431997
2018-03-20,1431441
2018-03-21,1436358
2018-03-22,1441309
2018-03-23,1427633
2018-03-24,1465855
2018-03-25,1479761
2018-03-26,1458544
2018-03-27,1450848
2018-03-28,1456250
2018-03-29,1515483
2018-03-30,1591062
2018-03-31,1589037
2018-04-01,1563462
2018-04-02,1554562
2018-04-03,1499043
2018-04-04,1510047
2018-04-05,1495931
2018-04-06,1501387
2018-04-07,1510595
2018-04-08,1503459
2018-04-09,1483913
2018-04-10,1480239
2018-04-11,1478294
2018-04-12,1465497
2018-04-13,1461445
2018-04-14,1477958
2018-04-15,1496734
2018-04-16,1498470
2018-04-17,1538129
2018-04-18,1570616
2018-04-19,1554798
2018-04-20,1548131
2018-04-21,1527418
2018-04-22,1480820
2018-04-23,1451295
2018-04-24,1457133
2018-04-25,1457878
2018-04-26,1454049
2018-04-27,1450261
2018-04-28,1472781
2018-04-29,1496901
2018-04-30,1508509
2018-05-01,1522148
2018-05-02,1495465
2018-05-03,1483091
2018-05-04,1477124
2018-05-05,1492974
2018-05-06,1533920
2018-05-07,1593122
2018-05-08,1656470
2018-05-09,1643822
2018-05-10,1615926
2018-05-11,1535305
2018-05-12,1460596
2018-05-13,1438345
2018-05-14,1457053
2018-05-15,1462165
2018-05-16,1453986
2018-05-17,1447333
2018-05-18,1453958
2018-05-19,1446554
2018-05-20,1448328
2018-05-21,1444629
2018-05-22,1440112
2018-05-23,1466207
2018-05-24,1494647
2018-05-25,1489114
2018-05-26,1530084
2018-05-27,1586780
2018-05-28,1629860
2018-05-29,1611902
2018-05-30,1605279
2018-05-31,1588355
2018-06-01,1570934
2018-06-02,1527587
2018-06-03,1484846
2018-06-04,1466827
2018-06-05,1422238
2018-06-06,1373569
2018-06-07,1308297
2018-06-08,1256468
2018-06-09,1244886
2018-06-10,1204062
2018-06-11,1203410
2018-06-12,1185592
2018-06-13,1167360
2018-06-14,1187380
2018-06-15,1191310
2018-06-16,1232393
2018-06-17,1207062
2018-06-18,1218541
2018-06-19,1214527
2018-06-20,1187479
2018-06-21,1173086
2018-06-22,1175016
2018-06-23,1157681
2018-06-24,1158858
2018-06-25,1158961
2018-06-26,1211075
2018-06-27,1211455
2018-06-28,1195251
2018-06-29,1160267
2018-06-30,1149712
2018-07-01,1138907
2018-07-02,1135980
2018-07-03,1135131
2018-07-04,1136273
2018-07-05,1143009
2018-07-06,1192003
2018-07-07,1250984
2018-07-08,1299901
2018-07-09,1280382
2018-07-10,1279902
2018-07-11,1329184
2018-07-12,1389615
2018-07-13,1418726
2018-07-14,1482184
2018-07-15,1549622
2018-07-16,1622546
2018-07-17,1650264
2018-07-18,1627648
2018-07-19,1634805
2018-07-20,1663604
2018-07-21,1719172
2018-07-22,1801356
2018-07-23,1872747
2018-07-24,1866617
2018-07-25,1845726
