date_obj,Torstol price
2016-04-16,7558
2016-04-17,7732
2016-04-18,7716
2016-04-19,7716
2016-04-20,7809
2016-04-21,7809
2016-04-22,7847
2016-04-23,7847
2016-04-24,7929
2016-04-25,8047
2016-04-26,8047
2016-04-27,7887
2016-04-28,7887
2016-04-29,7790
2016-04-30,7790
2016-05-01,7828
2016-05-02,7828
2016-05-03,7900
2016-05-04,7900
2016-05-05,7874
2016-05-06,7874
2016-05-07,7927
2016-05-08,7927
2016-05-09,8064
2016-05-10,8062
2016-05-11,8062
2016-05-12,7980
2016-05-13,8286
2016-05-14,8286
2016-05-15,8441
2016-05-16,8441
2016-05-17,8538
2016-05-18,8602
2016-05-19,8602
2016-05-22,8175
2016-05-23,8354
2016-05-24,8354
2016-05-25,8358
2016-05-26,8297
2016-05-27,8268
2016-05-28,8268
2016-05-29,8006
2016-05-30,8006
2016-05-31,8160
2016-06-01,8114
2016-06-02,8114
2016-06-03,8154
2016-06-04,7993
2016-06-05,7993
2016-06-06,7883
2016-06-07,7883
2016-06-08,7777
2016-06-09,7842
2016-06-10,7844
2016-06-11,7844
2016-06-12,7846
2016-06-13,7846
2016-06-14,7819
2016-06-15,7819
2016-06-16,7772
2016-06-17,7815
2016-06-18,7815
2016-06-19,7883
2016-06-20,7883
2016-06-21,7857
2016-06-22,7763
2016-06-23,7763
2016-06-24,7697
2016-06-25,7697
2016-06-26,7709
2016-06-27,7709
2016-06-28,7780
2016-06-29,7780
2016-06-30,7530
2016-07-01,7457
2016-07-02,7457
2016-07-03,7441
2016-07-04,7462
2016-07-05,7462
2016-07-06,7493
2016-07-07,7493
2016-07-08,7496
2016-07-09,7338
2016-07-10,7338
2016-07-11,7383
2016-07-12,7383
2016-07-13,7586
2016-07-14,7586
2016-07-15,7520
2016-07-16,7520
2016-07-17,7433
2016-07-18,7511
2016-07-24,7552
2016-07-25,7552
2016-07-26,7454
2016-07-27,7454
2016-07-28,7455
2016-07-29,7504
2016-07-30,7504
2016-07-31,7277
2016-08-01,7277
2016-08-02,7397
2016-08-03,7397
2016-08-04,7310
2016-08-05,7310
2016-08-06,7281
2016-08-07,7314
2016-08-08,7314
2016-08-09,7375
2016-08-10,7375
2016-08-11,7418
2016-08-12,7418
2016-08-13,7385
2016-08-14,7385
2016-08-15,7547
2016-08-16,7547
2016-08-17,7610
2016-08-18,7610
2016-08-19,7593
2016-08-20,7541
2016-08-21,7541
2016-08-22,7727
2016-08-23,7662
2016-08-24,7662
2016-08-25,7669
2016-08-26,7669
2016-08-28,7743
2016-08-31,7692
2016-09-01,7786
2016-09-02,7786
2016-09-03,7778
2016-09-04,7734
2016-09-05,7718
2016-09-06,7697
2016-09-07,7697
2016-09-08,7593
2016-09-09,7593
2016-09-10,7327
2016-09-11,7327
2016-09-12,7259
2016-09-13,7450
2016-09-14,7450
2016-09-15,7271
2016-09-16,7271
2016-09-17,7578
2016-09-18,7578
2016-09-19,7676
2016-09-20,7676
2016-09-21,7602
2016-09-22,7371
2016-09-23,7371
2016-09-24,7601
2016-09-25,7870
2016-09-26,7870
2016-09-27,8039
2016-09-28,8039
2016-09-29,7920
2016-09-30,7929
2016-10-01,7929
2016-10-02,8090
2016-10-03,8090
2016-10-04,7988
2016-10-05,7988
2016-10-06,7776
2016-10-07,7776
2016-10-08,7767
2016-10-09,7767
2016-10-10,7724
2016-10-11,7724
2016-10-12,7848
2016-10-13,7848
2016-10-14,7932
2016-10-15,7932
2016-10-16,7999
2016-10-17,7991
2016-10-18,7991
2016-10-19,8073
2016-10-20,8073
2016-10-21,7918
2016-10-22,7918
2016-10-23,7842
2016-10-24,7881
2016-10-25,7881
2016-10-26,7826
2016-10-27,7826
2016-10-28,7816
2016-10-29,7685
2016-10-30,7685
2016-10-31,7711
2016-11-01,7711
2016-11-02,7591
2016-11-03,7591
2016-11-04,7761
2016-11-05,7761
2016-11-06,7798
2016-11-07,7798
2016-11-08,7730
2016-11-09,7623
2016-11-10,7449
2016-11-11,7449
2016-11-12,7452
2016-11-13,7452
2016-11-14,7474
2016-12-08,7462
2016-12-09,7495
2016-12-10,7495
2016-12-11,7447
2016-12-12,7447
2016-12-13,7293
2016-12-14,7323
2016-12-15,7323
2016-12-16,7323
2016-12-17,7328
2016-12-18,7328
2016-12-19,7194
2016-12-20,7149
2016-12-21,7133
2016-12-22,7133
2016-12-23,7045
2016-12-24,7045
2016-12-25,6974
2016-12-26,6974
2016-12-27,7026
2016-12-28,6949
2016-12-29,6927
2016-12-30,7053
2016-12-31,7104
2017-01-01,7118
2017-01-02,7073
2017-01-03,7298
2017-01-04,7120
2017-01-05,7120
2017-01-06,6934
2017-01-07,6871
2017-01-08,6931
2017-01-09,7010
2017-01-10,7120
2017-01-11,7049
2017-01-12,7104
2017-01-13,7104
2017-01-14,7285
2017-01-15,7429
2017-01-16,7493
2017-01-17,7406
2017-01-18,7202
2017-01-19,7084
2017-01-20,7069
2017-01-21,7047
2017-01-22,6859
2017-01-27,6555
2017-01-28,6423
2017-01-29,6256
2017-01-30,6256
2017-01-31,6160
2017-02-01,6036
2017-02-02,6139
2017-02-03,6037
2017-02-04,5939
2017-02-05,5921
2017-02-06,5967
2017-02-07,5892
2017-02-08,5809
2017-02-09,5809
2017-02-10,5748
2017-02-11,5762
2017-02-12,5762
2017-02-13,5784
2017-02-14,5700
2017-02-15,5700
2017-02-16,5728
2017-02-18,5645
2017-02-19,5475
2017-02-20,5393
2017-02-21,5335
2017-02-22,5335
2017-02-23,5135
2017-02-24,4943
2017-02-25,4951
2017-02-26,4800
2017-02-27,4837
2017-02-28,4840
2017-03-01,5032
2017-03-02,4982
2017-03-03,4791
2017-03-04,4624
2017-03-05,4699
2017-03-06,4865
2017-03-07,5041
2017-03-08,5041
2017-03-09,5210
2017-03-10,5010
2017-03-11,4932
2017-03-12,4905
2017-03-13,4900
2017-03-14,4952
2017-03-15,5115
2017-03-16,5175
2017-03-17,5178
2017-03-18,5108
2017-03-19,4941
2017-03-20,4840
2017-03-21,4654
2017-03-22,4755
2017-03-23,4804
2017-03-24,4939
2017-03-25,4939
2017-03-26,5068
2017-03-27,5050
2017-03-28,5084
2017-03-29,5031
2017-03-30,5074
2017-03-31,5003
2017-04-01,4907
2017-04-02,4907
2017-04-03,4792
2017-04-04,4656
2017-04-12,4814
2017-04-13,4821
2017-04-14,4859
2017-04-15,4877
2017-04-16,4777
2017-04-17,4953
2017-04-18,4930
2017-04-19,5010
2017-04-20,5096
2017-04-21,5125
2017-04-22,5125
2017-04-23,4988
2017-04-24,4873
2017-04-25,4907
2017-04-26,4907
2017-04-27,4945
2017-04-28,4871
2017-04-29,4871
2017-04-30,4915
2017-05-01,4846
2017-05-02,4875
2017-05-03,4946
2017-05-04,4918
2017-05-05,4765
2017-05-06,4819
2017-05-07,4850
2017-05-08,4804
2017-05-09,4896
2017-05-10,4912
2017-05-11,5003
2017-05-12,4942
2017-05-13,4861
2017-05-14,4867
2017-05-15,4846
2017-05-16,4732
2017-05-17,4754
2017-05-18,4738
2017-05-19,4738
2017-05-20,4681
2017-05-21,4681
2017-05-22,4646
2017-05-23,4630
2017-05-24,4623
2017-05-25,4767
2017-05-26,4699
2017-05-27,4648
2017-05-28,4648
2017-05-29,4585
2017-05-30,4585
2017-05-31,4571
2017-06-01,4571
2017-06-02,4499
2017-06-03,4499
