date_obj,Iron%20full%20helm price
2017-11-06,81
2017-11-07,80
2017-11-08,81
2017-11-09,83
2017-11-10,85
2017-11-11,85
2017-11-12,85
2017-11-13,82
2017-11-14,80
2017-11-15,78
2017-11-16,76
2017-11-17,72
2017-11-18,70
2017-11-19,71
2017-11-20,72
2017-11-21,71
2017-11-22,72
2017-11-23,73
2017-11-24,73
2017-11-25,74
2017-11-26,75
2017-11-27,75
2017-11-28,75
2017-11-29,75
2017-11-30,75
2017-12-01,74
2017-12-02,75
2017-12-03,75
2017-12-04,73
2017-12-05,73
2017-12-06,73
2017-12-07,72
2017-12-08,72
2017-12-09,72
2017-12-10,73
2017-12-11,75
2017-12-12,77
2017-12-13,77
2017-12-14,79
2017-12-15,80
2017-12-16,79
2017-12-17,77
2017-12-18,76
2017-12-19,75
2017-12-20,76
2017-12-21,77
2017-12-22,76
2017-12-23,75
2017-12-24,75
2017-12-25,73
2017-12-26,70
2017-12-27,70
2017-12-28,70
2017-12-29,69
2017-12-30,69
2017-12-31,69
2018-01-01,67
2018-01-02,67
2018-01-03,68
2018-01-04,67
2018-01-05,66
2018-01-06,64
2018-01-07,64
2018-01-08,64
2018-01-09,64
2018-01-10,66
2018-01-11,67
2018-01-12,68
2018-01-13,70
2018-01-14,71
2018-01-15,73
2018-01-16,76
2018-01-17,75
2018-01-18,77
2018-01-19,80
2018-01-20,80
2018-01-21,80
2018-01-22,79
2018-01-23,79
2018-01-25,76
2018-01-26,75
2018-01-27,74
2018-01-28,74
2018-01-29,76
2018-01-30,77
2018-01-31,77
2018-02-01,78
2018-02-02,77
2018-02-03,78
2018-02-04,79
2018-02-05,79
2018-02-06,79
2018-02-07,81
2018-02-08,84
2018-02-09,88
2018-02-10,91
2018-02-11,93
2018-02-12,93
2018-02-13,92
2018-02-14,90
2018-02-15,86
2018-02-16,83
2018-02-17,81
2018-02-18,78
2018-02-19,77
2018-02-20,76
2018-02-21,74
2018-02-22,73
2018-02-23,74
2018-02-24,75
2018-02-25,74
2018-02-26,74
2018-02-27,74
2018-02-28,72
2018-03-01,72
2018-03-02,71
2018-03-03,69
2018-03-04,70
2018-03-05,70
2018-03-06,71
2018-03-07,71
2018-03-08,72
2018-03-09,71
2018-03-10,73
2018-03-11,74
2018-03-12,76
2018-03-13,78
2018-03-14,78
2018-03-15,77
2018-03-16,77
2018-03-17,77
2018-03-18,76
2018-03-19,76
2018-03-20,76
2018-03-21,77
2018-03-23,79
2018-03-24,79
2018-03-25,79
2018-03-26,79
2018-03-27,80
2018-03-28,81
2018-03-29,83
2018-03-30,86
2018-03-31,90
2018-04-01,92
2018-04-02,92
2018-04-03,92
2018-04-04,91
2018-04-05,91
2018-04-06,95
2018-04-07,95
2018-04-08,98
2018-04-09,101
2018-04-10,105
2018-04-11,104
2018-04-12,105
2018-04-13,106
2018-04-14,107
2018-04-15,107
2018-04-16,106
2018-04-17,107
2018-04-18,105
2018-04-19,107
2018-04-20,107
2018-04-21,108
2018-04-22,110
2018-04-23,111
2018-04-24,111
2018-04-25,107
2018-04-26,106
2018-04-27,106
2018-04-28,106
2018-04-29,106
2018-04-30,108
2018-05-01,108
2018-05-04,108
2018-05-05,110
2018-05-06,114
2018-05-07,115
2018-05-08,114
2018-05-09,114
2018-05-10,117
2018-05-11,118
2018-05-12,121
2018-05-13,127
2018-05-14,126
2018-05-15,129
2018-05-16,128
2018-05-17,128
2018-05-18,129
2018-05-19,130
2018-05-20,133
2018-05-21,133
2018-05-22,134
2018-05-23,131
2018-05-24,129
2018-05-25,128
2018-05-26,127
2018-05-27,125
2018-05-28,124
2018-05-29,123
2018-05-30,123
2018-05-31,120
2018-06-01,119
2018-06-02,117
2018-06-03,115
2018-06-04,115
2018-06-05,111
2018-06-06,109
2018-06-07,104
2018-06-08,100
2018-06-09,99
2018-06-10,101
2018-06-11,101
2018-06-12,99
2018-06-13,98
2018-06-14,95
2018-06-15,96
2018-06-16,94
2018-06-17,94
2018-06-18,91
2018-06-19,89
2018-06-20,88
2018-06-21,87
2018-06-22,88
2018-06-23,87
2018-06-24,85
2018-06-25,86
2018-06-26,86
2018-06-27,81
2018-06-28,79
2018-06-29,80
2018-06-30,80
2018-07-01,81
2018-07-02,84
2018-07-03,82
2018-07-04,77
2018-07-05,75
2018-07-06,77
2018-07-07,75
2018-07-08,75
2018-07-09,76
2018-07-10,76
2018-07-11,76
2018-07-12,77
2018-07-13,78
2018-07-14,77
2018-07-15,77
2018-07-16,75
2018-07-17,76
2018-07-18,77
2018-07-19,78
2018-07-20,81
2018-07-21,82
2018-07-22,84
2018-07-23,83
2018-07-24,81
2018-07-25,83
2018-07-26,83
2018-07-27,81
2018-07-28,83
2018-07-29,82
2018-07-30,84
2018-07-31,84
2018-08-01,85
2018-08-02,84
2018-08-03,88
2018-08-04,90
2018-08-05,91
2018-08-06,93
2018-08-07,95
2018-08-08,97
2018-08-09,101
2018-08-10,105
2018-08-11,108
2018-08-12,108
2018-08-14,112
2018-08-16,107
2018-08-17,106
2018-08-18,104
2018-08-19,104
2018-08-20,106
2018-08-21,104
2018-08-22,102
2018-08-23,100
2018-08-24,99
2018-08-25,97
2018-08-26,99
2018-08-27,98
2018-08-28,98
2018-08-29,96
2018-08-30,97
2018-08-31,95
2018-09-01,93
2018-09-02,93
2018-09-03,92
2018-09-04,92
2018-09-05,94
2018-09-06,95
2018-09-07,97
2018-09-08,98
2018-09-09,99
2018-09-10,96
2018-09-11,94
2018-09-12,95
2018-09-13,93
2018-09-14,89
2018-09-15,86
2018-09-16,82
2018-09-17,80
