date_obj,Ring%20of%20life price
2017-05-31,1968
2017-06-01,1968
2017-06-02,1969
2017-06-03,1966
2017-06-06,2054
2017-06-07,2025
2017-06-08,2055
2017-06-09,2108
2017-06-10,2028
2017-06-11,1971
2017-06-12,2001
2017-06-13,2014
2017-06-14,2007
2017-06-15,2010
2017-06-16,2044
2017-06-17,2072
2017-06-18,2009
2017-06-19,1980
2017-06-20,1971
2017-06-21,2007
2017-06-22,2070
2017-06-23,2044
2017-06-24,2048
2017-06-25,1989
2017-06-26,2010
2017-06-27,1977
2017-06-28,1992
2017-06-29,2022
2017-06-30,2035
2017-07-01,2098
2017-07-02,2127
2017-07-03,2155
2017-07-04,2146
2017-07-05,2162
2017-07-06,2091
2017-07-07,1989
2017-07-08,2025
2017-07-13,2014
2017-07-14,2035
2017-07-15,1971
2017-07-16,1961
2017-07-17,1975
2017-07-18,1984
2017-07-19,1986
2017-07-20,1977
2017-07-21,1988
2017-07-22,1991
2017-07-23,1970
2017-07-24,2015
2017-07-25,2045
2017-07-26,2108
2017-07-27,2210
2017-07-28,2224
2017-07-29,2275
2017-07-30,2224
2017-07-31,2173
2017-08-01,2126
2017-08-02,2119
2017-08-03,2122
2017-08-04,2219
2017-08-05,2137
2017-08-06,2055
2017-08-09,1961
2017-08-10,2039
2017-08-11,2078
2017-08-12,2039
2017-08-13,2076
2017-08-14,2123
2017-08-15,2121
2017-08-17,2079
2017-08-18,1979
2017-08-19,1981
2017-08-20,2018
2017-08-22,1982
2017-08-23,1949
2017-08-24,2013
2017-08-25,1988
2017-08-26,1986
2017-08-27,1990
2017-08-28,2045
2017-08-29,2044
2017-08-30,2033
2017-08-31,2021
2017-09-01,2004
2017-09-02,2034
2017-09-03,2070
2017-09-04,2010
2017-09-05,2006
2017-09-06,1992
2017-09-07,2007
2017-09-08,1975
2017-09-09,1984
2017-09-10,1969
2017-09-11,1949
2017-09-12,1944
2017-09-13,1938
2017-09-14,2029
2017-09-15,1970
2017-09-16,1960
2017-09-17,1988
2017-09-19,2037
2017-09-20,1978
2017-09-21,1947
2017-09-22,1963
2017-09-23,1925
2017-09-24,1901
2017-09-25,1933
2017-09-26,1947
2017-09-27,1947
2017-09-28,1954
2017-09-29,1958
2017-09-30,1976
2017-10-01,1966
2017-10-02,1985
2017-10-03,2028
2017-10-04,2060
2017-10-05,2072
2017-10-06,2131
2017-10-07,2049
2017-10-08,2000
2017-10-09,1974
2017-10-10,1979
2017-10-11,2037
2017-10-12,2036
2017-10-13,2010
2017-10-14,2037
2017-10-15,2059
2017-10-16,2043
2017-10-17,1994
2017-10-18,2051
2017-10-19,2020
2017-10-20,2005
2017-10-21,1970
2017-10-22,1959
2017-10-23,1998
2017-10-24,1960
2017-10-25,2037
2017-10-26,2087
2017-10-27,1995
2017-10-28,1995
2017-10-29,1969
2017-10-30,2046
2017-10-31,2020
2017-11-01,2068
2017-11-02,1998
2017-11-03,2042
2017-11-04,2039
2017-11-05,2032
2017-11-06,1980
2017-11-07,2043
2017-11-08,2039
2017-11-09,2141
2017-11-10,2073
2017-11-11,2048
2017-11-12,2037
2017-11-13,2134
2017-11-14,2100
2017-11-15,2040
2017-11-16,2130
2017-11-17,2138
2017-11-18,2152
2017-11-19,2235
2017-11-20,2195
2017-11-21,2086
2017-11-22,2036
2017-11-23,2025
2017-11-24,2029
2017-11-25,2048
2017-11-26,2033
2017-11-27,1945
2017-11-28,1957
2017-11-29,1944
2017-11-30,1947
2017-12-01,1970
2017-12-02,1979
2017-12-03,2007
2017-12-04,1956
2017-12-05,1998
2017-12-06,2006
2017-12-07,1981
2017-12-08,1914
2017-12-09,1921
2017-12-10,1961
2017-12-11,1978
2017-12-12,1962
2017-12-14,1995
2017-12-15,1964
2017-12-16,1986
2017-12-17,2012
2017-12-18,1963
2017-12-19,1945
2017-12-20,2022
2017-12-21,1985
2017-12-22,2026
2017-12-23,2053
2017-12-24,1978
2017-12-25,1931
2017-12-26,1930
2017-12-27,1937
2017-12-28,1938
2017-12-29,1905
2017-12-30,1974
2017-12-31,1994
2018-01-01,1990
2018-01-02,1967
2018-01-03,1944
2018-01-04,1995
2018-01-05,1948
2018-01-06,1980
2018-01-07,2006
2018-01-08,2091
2018-01-09,2085
2018-01-10,2045
2018-01-11,1994
2018-01-12,1978
2018-01-13,1971
2018-01-14,1958
2018-01-15,1980
2018-01-16,1972
2018-01-17,1982
2018-01-18,1961
2018-01-19,1958
2018-01-20,1943
2018-01-21,1984
2018-01-22,2019
2018-01-23,2016
2018-01-24,1940
2018-01-25,1962
2018-01-26,1969
2018-01-27,1980
2018-01-28,1961
2018-01-29,1985
2018-01-31,2046
2018-02-01,2097
2018-02-02,2047
2018-02-03,2020
2018-02-04,1991
2018-02-05,2048
2018-02-06,1999
2018-02-07,2009
2018-02-08,1969
2018-02-09,1993
2018-02-10,1976
2018-02-11,1982
2018-02-12,1989
2018-02-13,1975
2018-02-14,2030
2018-02-15,2049
2018-02-16,2022
2018-02-17,2027
2018-02-18,2087
2018-02-19,2122
2018-02-20,2041
2018-02-21,2029
2018-02-22,2013
2018-02-23,1946
2018-02-24,1898
2018-02-25,1924
2018-02-26,1936
2018-02-27,1913
2018-02-28,1948
2018-03-01,1934
2018-03-02,1922
2018-03-03,1971
2018-03-04,1968
2018-03-05,1995
2018-03-06,1975
2018-03-07,1968
2018-03-08,1963
2018-03-09,1963
2018-03-10,1946
2018-03-11,1967
2018-03-12,1976
2018-03-13,1982
2018-03-14,1977
2018-03-15,1930
2018-03-16,1976
2018-03-17,2019
2018-03-18,2021
2018-03-19,2029
2018-03-20,2021
2018-03-21,1997
2018-03-23,1994
2018-03-24,1990
2018-03-26,1945
2018-03-27,1894
2018-03-29,1921
2018-03-30,1967
2018-03-31,1962
2018-04-01,1971
2018-04-02,1949
2018-04-03,1932
2018-04-04,1946
2018-04-05,1979
2018-04-06,1982
2018-04-08,1960
2018-04-09,1991
2018-04-10,1962
2018-04-11,1931
2018-04-12,1971
2018-04-13,1964
2018-04-14,1921
2018-04-15,1932
2018-04-16,1921
2018-04-17,1936
2018-04-18,1946
2018-04-19,1965
2018-04-20,1959
2018-04-21,2020
2018-04-22,1984
2018-04-23,1942
2018-04-24,1933
2018-04-25,1952
2018-04-26,1983
2018-04-27,2080
2018-04-28,2043
2018-04-29,1944
2018-04-30,1958
2018-05-01,1994
2018-05-02,1970
2018-05-03,1940
2018-05-04,1936
2018-05-05,1940
2018-05-06,1932
2018-05-07,1941
2018-05-08,1935
2018-05-09,1967
2018-05-10,2032
2018-05-11,1971
2018-05-12,1950
2018-05-13,1944
2018-05-14,1951
2018-05-15,1957
2018-05-16,2038
2018-05-17,2107
2018-05-18,2042
2018-05-19,1987
2018-05-20,2087
2018-05-21,1985
2018-05-22,1969
2018-05-23,1958
2018-05-24,1966
2018-05-25,2046
2018-05-26,2089
2018-05-27,2182
2018-05-28,2185
2018-05-29,2146
2018-05-30,2041
2018-05-31,2016
2018-06-01,2001
2018-06-02,1968
2018-06-03,1944
2018-06-04,1988
2018-06-05,2033
2018-06-06,1960
2018-06-07,1940
2018-06-08,1936
2018-06-09,1987
2018-06-10,2066
2018-06-11,2038
2018-06-12,1984
2018-06-13,1945
2018-06-14,2009
2018-06-15,2009
2018-06-16,2007
2018-06-17,2024
2018-06-18,1996
2018-06-19,1971
2018-06-20,1973
2018-06-21,2002
2018-06-22,1976
2018-06-23,1933
2018-06-24,1935
2018-06-25,1942
2018-06-26,1943
2018-06-27,1920
2018-06-28,1948
2018-06-29,1960
2018-06-30,1957
2018-07-01,1983
2018-07-02,2018
2018-07-03,1980
2018-07-04,1983
2018-07-05,1996
2018-07-06,1989
2018-07-07,1998
2018-07-08,2006
2018-07-09,2019
2018-07-10,2120
2018-07-11,2219
2018-07-12,2170
2018-07-13,2090
2018-07-14,2013
2018-07-15,2022
2018-07-16,2020
2018-07-17,1964
2018-07-18,1981
2018-07-19,1969
2018-07-20,1979
2018-07-21,1967
2018-07-22,1993
2018-07-23,1975
2018-07-24,1981
2018-07-25,1996
2018-07-26,1993
2018-07-27,1954
2018-07-28,1960
2018-07-29,1954
2018-07-30,1954
2018-07-31,1984
2018-08-01,1985
2018-08-02,1972
2018-08-03,1959
2018-08-04,1943
2018-08-05,1968
2018-08-06,1953
2018-08-07,1958
2018-08-08,1945
2018-08-09,1980
2018-08-10,1929
2018-08-11,1944
2018-08-12,1943
2018-08-14,1900
2018-08-16,1928
2018-08-17,1946
2018-08-18,1957
2018-08-19,1944
2018-08-20,1914
2018-08-21,1939
2018-08-22,1921
2018-08-23,1920
2018-08-24,1950
2018-08-25,1953
2018-08-26,1996
2018-08-27,2015
2018-08-28,1960
2018-08-29,1968
2018-08-30,1965
2018-08-31,1974
2018-09-01,1956
2018-09-02,1934
2018-09-03,1931
2018-09-04,1934
2018-09-05,1944
2018-09-06,2007
2018-09-07,2077
2018-09-08,2072
2018-09-09,2038
2018-09-10,2016
2018-09-11,1973
2018-09-12,1921
2018-09-13,1932
2018-09-14,1939
2018-09-15,1944
2018-09-16,1949
2018-09-17,1988
2018-09-18,1936
2018-09-19,1958
2018-09-20,1965
2018-09-21,1941
2018-09-22,1954
2018-09-23,1951
2018-09-24,1939
2018-09-25,1933
2018-09-26,1939
2018-09-27,1953
2018-09-28,1917
2018-09-29,1935
2018-09-30,1932
2018-10-02,1916
2018-10-03,1925
2018-10-04,1931
2018-10-05,1947
2018-10-06,1937
2018-10-07,1932
2018-10-08,1910
2018-10-09,1955
2018-10-10,1996
2018-10-11,2005
2018-10-12,1976
2018-10-13,1959
2018-10-14,1994
2018-10-15,1940
2018-10-16,1929
2018-10-17,1915
2018-10-18,1951
2018-10-19,1944
2018-10-20,1969
2018-10-21,1975
2018-10-22,1955
2018-10-23,1923
2018-10-24,1965
2018-10-25,1990
2018-10-26,2011
2018-10-27,2010
2018-10-28,2009
2018-10-29,1966
2018-10-30,2014
2018-10-31,2042
2018-11-01,2128
2018-11-03,2136
2018-11-04,2093
2018-11-05,2077
2018-11-06,2028
2018-11-07,1927
2018-11-08,1914
2018-11-09,1889
2018-11-10,1933
2018-11-11,1977
2018-11-12,1961
2018-11-13,1986
2018-11-14,1933
2018-11-15,1963
2018-11-16,1936
2018-11-17,1972
2018-11-18,1959
2018-11-19,1938
2018-11-20,1908
2018-11-21,1916
2018-11-22,1959
2018-11-23,1997
2018-11-24,1965
2018-11-25,1999
2018-11-26,1948
2018-11-27,1931
2018-11-28,1898
2018-11-29,1930
2018-12-01,1989
2018-12-02,1986
2018-12-03,1978
2018-12-04,1995
2018-12-05,1972
2018-12-07,1898
2018-12-09,1919
2018-12-10,1943
2018-12-11,1974
2018-12-12,1972
2018-12-13,1943
2018-12-14,1963
2018-12-15,1978
2018-12-16,1963
2018-12-17,1970
2018-12-18,1930
2018-12-19,1911
2018-12-20,1919
2018-12-21,1947
2018-12-22,1978
2018-12-23,1942
2018-12-24,1949
2018-12-25,1937
2018-12-26,1889
2018-12-27,1907
2018-12-28,1918
2018-12-29,1912
2018-12-30,1924
2018-12-31,1945
2019-01-01,1920
2019-01-02,1899
2019-01-03,1902
2019-01-04,1896
2019-01-05,1900
2019-01-06,1883
2019-01-08,1887
2019-01-10,1927
2019-01-11,1882
2019-01-12,1914
2019-01-13,1970
2019-01-14,1960
2019-01-15,1955
2019-01-16,1915
2019-01-17,1898
2019-01-18,1940
2019-01-19,1962
2019-01-20,1978
2019-01-21,1927
2019-01-22,1953
2019-01-23,1968
2019-01-24,1972
2019-01-25,1939
