date_obj,Mithril%20claws price
2016-05-07,2608
2016-05-08,2608
2016-05-09,2608
2016-05-10,2608
2016-05-11,2608
2016-05-12,2608
2016-05-13,2608
2016-05-14,2608
2016-05-15,2608
2016-05-16,2608
2016-05-17,2608
2016-05-18,2608
2016-05-19,2608
2016-05-22,2608
2016-05-23,2608
2016-05-24,2608
2016-05-25,2608
2016-05-26,2478
2016-05-27,2478
2016-05-28,2478
2016-05-29,2478
2016-05-30,2478
2016-05-31,2478
2016-06-01,2478
2016-06-02,2478
2016-06-03,2478
2016-06-04,2478
2016-06-05,2478
2016-06-06,2478
2016-06-07,2478
2016-06-08,2478
2016-06-09,2478
2016-06-10,2478
2016-06-11,2478
2016-06-12,2478
2016-06-13,2478
2016-06-14,2478
2016-06-15,2478
2016-06-16,2478
2016-06-17,2478
2016-06-18,2478
2016-06-19,2478
2016-06-20,2478
2016-06-21,2478
2016-06-22,2478
2016-06-23,2478
2016-06-24,2478
2016-06-25,2478
2016-06-26,2478
2016-06-27,2478
2016-06-28,2478
2016-06-29,2478
2016-06-30,2478
2016-07-01,2357
2016-07-02,2357
2016-07-03,2357
2016-07-04,2357
2016-07-05,2357
2016-07-06,2357
2016-07-07,2357
2016-07-08,2357
2016-07-09,2357
2016-07-10,2357
2016-07-11,2357
2016-07-12,2357
2016-07-13,2357
2016-07-14,2357
2016-07-15,2357
2016-07-16,2357
2016-07-17,2357
2016-07-18,2357
2016-07-23,2357
2016-07-24,2357
2016-07-25,2357
2016-07-26,2357
2016-07-27,2357
2016-07-28,2357
2016-07-29,2357
2016-07-30,2357
2016-07-31,2357
2016-08-01,2357
2016-08-02,2357
2016-08-03,2357
2016-08-04,2357
2016-08-05,2357
2016-08-06,2357
2016-08-07,2357
2016-08-08,2357
2016-08-09,2357
2016-08-10,2357
2016-08-11,2357
2016-08-12,2357
2016-08-13,2357
2016-08-14,2357
2016-08-15,2357
2016-08-16,2357
2016-08-17,2357
2016-08-18,2357
2016-08-19,2357
2016-08-20,2357
2016-08-21,2357
2016-08-22,2248
2016-08-23,2248
2016-08-24,2248
2016-08-25,2248
2016-08-26,2248
2016-08-28,2248
2016-08-31,2248
2016-09-01,2248
2016-09-02,2248
2016-09-03,2248
2016-09-04,2248
2016-09-05,2248
2016-09-06,2248
2016-09-07,2248
2016-09-08,2248
2016-09-09,2248
2016-09-10,2248
2016-09-11,2248
2016-09-12,2248
2016-09-13,2248
2016-09-14,2248
2016-09-15,2248
2016-09-16,2248
2016-09-17,2248
2016-09-18,2248
2016-09-19,2248
2016-09-20,2248
2016-09-21,2248
2016-09-22,2248
2016-09-23,2248
2016-09-24,2248
2016-09-25,2248
2016-09-26,2248
2016-09-27,2248
2016-09-28,2248
2016-09-29,2248
2016-09-30,2248
2016-10-01,2248
2016-10-02,2248
2016-10-03,2248
2016-10-04,2248
2016-10-05,2248
2016-10-06,2248
2016-10-07,2248
2016-10-08,2248
2016-10-09,2248
2016-10-10,2248
2016-10-11,2248
2016-10-12,2248
2016-10-13,2248
2016-10-14,2248
2016-10-15,2248
2016-10-16,2248
2016-10-17,2248
2016-10-18,2248
2016-10-19,2248
2016-10-20,2248
2016-10-21,2248
2016-10-22,2144
2016-10-23,2144
2016-10-24,2144
2016-10-25,2144
2016-10-26,2144
2016-10-27,2144
2016-10-28,2144
2016-10-29,2144
2016-10-30,2144
2016-10-31,2144
2016-11-01,2144
2016-11-02,2144
2016-11-03,2144
2016-11-04,2144
2016-11-05,2144
2016-11-06,2144
2016-11-07,2144
2016-11-08,2144
2016-11-09,2144
2016-11-10,2144
2016-11-11,2144
2016-11-12,2144
2016-11-13,2144
2016-11-14,2144
2016-12-07,2037
2016-12-08,2037
2016-12-09,2037
2016-12-10,2037
2016-12-11,2037
2016-12-12,2037
2016-12-13,2037
2016-12-14,2037
2016-12-15,2037
2016-12-16,2037
2016-12-17,2037
2016-12-18,2037
2016-12-19,2037
2016-12-20,2037
2016-12-21,2037
2016-12-22,2037
2016-12-23,2037
2016-12-24,2037
2016-12-25,2037
2016-12-26,2037
2016-12-27,2037
2016-12-28,2037
2016-12-29,2037
2016-12-30,2037
2016-12-31,2037
2017-01-01,2037
2017-01-02,2037
2017-01-03,2037
2017-01-04,2037
2017-01-05,2037
2017-01-06,2037
2017-01-07,2037
2017-01-08,2037
2017-01-09,2037
2017-01-10,2037
2017-01-11,1939
2017-01-12,1939
2017-01-13,1939
2017-01-14,1939
2017-01-15,1939
2017-01-16,1939
2017-01-17,1939
2017-01-18,1939
2017-01-19,1939
2017-01-20,1939
2017-01-21,1939
2017-01-22,1939
2017-01-27,1939
2017-01-28,1939
2017-01-29,1939
2017-01-30,1939
2017-01-31,1939
2017-02-01,1939
2017-02-02,1939
2017-02-03,1939
2017-02-04,1939
2017-02-05,1939
2017-02-06,1939
2017-02-07,1843
2017-02-08,1843
2017-02-09,1843
2017-02-10,1843
2017-02-11,1843
2017-02-12,1843
2017-02-13,1843
2017-02-14,1843
2017-02-15,1843
2017-02-16,1843
2017-02-18,1843
2017-02-19,1843
2017-02-20,1843
2017-02-21,1843
2017-02-22,1843
2017-02-23,1843
2017-02-24,1843
2017-02-25,1843
2017-02-26,1843
2017-02-27,1843
2017-02-28,1843
2017-03-01,1843
2017-03-02,1843
2017-03-03,1843
2017-03-04,1843
2017-03-05,1843
2017-03-06,1843
2017-03-07,1843
2017-03-08,1750
2017-03-09,1750
2017-03-10,1750
2017-03-11,1750
2017-03-12,1750
2017-03-13,1750
2017-03-14,1750
2017-03-15,1750
2017-03-16,1750
2017-03-17,1750
2017-03-18,1750
2017-03-19,1750
2017-03-20,1750
2017-03-21,1750
2017-03-22,1750
2017-03-23,1750
2017-03-24,1750
2017-03-25,1750
2017-03-26,1750
2017-03-27,1750
2017-03-28,1750
2017-03-29,1750
2017-03-30,1750
2017-03-31,1750
2017-04-01,1750
2017-04-02,1750
2017-04-03,1750
2017-04-04,1750
2017-04-12,1667
2017-04-13,1667
2017-04-14,1667
2017-04-15,1667
2017-04-16,1667
2017-04-17,1667
2017-04-18,1667
2017-04-19,1667
2017-04-20,1667
2017-04-21,1667
2017-04-22,1667
2017-04-23,1667
2017-04-24,1667
2017-04-25,1667
2017-04-26,1667
2017-04-27,1667
2017-04-28,1667
2017-04-29,1667
2017-04-30,1667
2017-05-01,1588
2017-05-02,1588
2017-05-03,1588
2017-05-04,1588
2017-05-05,1588
2017-05-06,1588
2017-05-07,1588
2017-05-08,1588
2017-05-09,1588
2017-05-10,1588
2017-05-11,1588
2017-05-12,1588
2017-05-13,1588
2017-05-14,1588
2017-05-15,1588
2017-05-16,1588
2017-05-17,1588
2017-05-18,1588
2017-05-19,1588
2017-05-20,1588
2017-05-21,1588
2017-05-22,1588
2017-05-23,1588
2017-05-24,1588
2017-05-25,1588
2017-05-26,1588
2017-05-27,1513
2017-05-28,1513
2017-05-29,1513
2017-05-30,1513
2017-05-31,1513
2017-06-01,1513
2017-06-02,1513
2017-06-03,1513
2017-06-06,1513
2017-06-07,1513
2017-06-08,1513
2017-06-09,1513
2017-06-10,1513
2017-06-11,1513
2017-06-12,1513
2017-06-13,1513
2017-06-14,1513
2017-06-15,1513
2017-06-16,1513
2017-06-17,1442
2017-06-18,1442
2017-06-19,1442
2017-06-20,1442
2017-06-21,1442
2017-06-22,1442
2017-06-23,1442
2017-06-24,1442
2017-06-25,1442
2017-06-26,1442
2017-06-27,1442
2017-06-28,1442
2017-06-29,1442
2017-06-30,1442
2017-07-01,1442
2017-07-02,1442
2017-07-03,1442
2017-07-04,1442
2017-07-05,1442
2017-07-06,1442
2017-07-07,1442
2017-07-08,1442
2017-07-13,1442
2017-07-14,1370
2017-07-15,1370
2017-07-16,1370
2017-07-17,1370
2017-07-18,1370
2017-07-19,1370
2017-07-20,1370
2017-07-21,1370
2017-07-22,1370
2017-07-23,1370
2017-07-24,1370
2017-07-25,1370
2017-07-26,1370
2017-07-27,1370
2017-07-28,1370
2017-07-29,1370
2017-07-30,1370
2017-07-31,1370
2017-08-01,1370
2017-08-02,1370
2017-08-03,1370
2017-08-04,1370
2017-08-05,1370
2017-08-06,1370
2017-08-09,1370
2017-08-10,1306
2017-08-11,1306
2017-08-12,1306
2017-08-13,1306
2017-08-14,1306
2017-08-15,1306
2017-08-16,1306
2017-08-17,1306
2017-08-18,1306
2017-08-19,1306
2017-08-20,1306
2017-08-21,1306
2017-08-22,1306
2017-08-23,1306
2017-08-24,1306
2017-08-25,1306
2017-08-26,1306
2017-08-27,1306
2017-08-28,1306
2017-08-29,1306
2017-08-30,1306
2017-08-31,1306
2017-09-01,1306
2017-09-02,1306
2017-09-03,1306
2017-09-04,1306
2017-09-05,1306
2017-09-06,1306
2017-09-07,1245
2017-09-08,1245
2017-09-09,1245
2017-09-10,1245
2017-09-11,1245
2017-09-12,1245
2017-09-13,1245
2017-09-14,1245
2017-09-15,1245
2017-09-16,1245
2017-09-17,1245
2017-09-19,1245
2017-09-20,1245
2017-09-21,1245
2017-09-22,1245
2017-09-23,1245
2017-09-24,1245
2017-09-25,1245
2017-09-26,1245
2017-09-27,1245
2017-09-28,1245
2017-09-29,1245
2017-09-30,1245
2017-10-01,1245
2017-10-02,1245
2017-10-03,1245
2017-10-04,1245
2017-10-05,1185
2017-10-06,1185
2017-10-07,1185
2017-10-08,1185
2017-10-09,1185
2017-10-10,1185
2017-10-11,1185
2017-10-12,1185
2017-10-13,1185
2017-10-14,1185
2017-10-15,1185
2017-10-16,1185
2017-10-17,1185
2017-10-18,1185
2017-10-19,1185
2017-10-20,1185
2017-10-21,1185
2017-10-22,1185
2017-10-23,1185
2017-10-24,1185
2017-10-25,1185
2017-10-26,1185
2017-10-27,1185
2017-10-28,1185
2017-10-29,1185
2017-10-30,1185
2017-10-31,1185
2017-11-02,1185
2017-11-03,1185
2017-11-04,1185
2017-11-05,1185
2017-11-06,1185
2017-11-07,1185
2017-11-08,1129
2017-11-09,1129
2017-11-10,1129
2017-11-11,1129
2017-11-12,1129
2017-11-13,1129
2017-11-14,1129
2017-11-15,1129
2017-11-16,1129
2017-11-17,1129
2017-11-18,1129
2017-11-19,1129
2017-11-20,1129
2017-11-21,1129
2017-11-22,1129
2017-11-23,1129
2017-11-24,1129
2017-11-25,1129
2017-11-26,1129
2017-11-27,1129
2017-11-28,1129
2017-11-29,1129
2017-11-30,1129
2017-12-01,1129
2017-12-02,1129
2017-12-03,1129
2017-12-04,1129
2017-12-05,1129
2017-12-06,1129
2017-12-07,1129
2017-12-08,1129
2017-12-09,1129
2017-12-10,1076
2017-12-11,1076
2017-12-12,1076
2017-12-14,1076
2017-12-15,1076
2017-12-17,1076
2017-12-18,1076
2017-12-19,1076
2017-12-20,1076
2017-12-21,1076
2017-12-22,1076
2017-12-23,1076
2017-12-24,1076
2017-12-25,1076
2017-12-26,1076
2017-12-27,1076
2017-12-28,1076
2017-12-29,1076
2017-12-30,1076
2017-12-31,1076
2018-01-01,1076
2018-01-02,1076
2018-01-03,1076
2018-01-04,1076
2018-01-05,1023
2018-01-06,1023
2018-01-07,1023
2018-01-08,1023
2018-01-09,1023
2018-01-10,1023
2018-01-11,1023
2018-01-12,1023
2018-01-13,1023
2018-01-14,1023
