date_obj,Ruby%20bracelet price
2016-05-18,1242
2016-05-19,1247
2016-05-22,1247
2016-05-23,1247
2016-05-24,1255
2016-05-25,1255
2016-05-26,1255
2016-05-27,1255
2016-05-28,1255
2016-05-29,1257
2016-05-30,1257
2016-05-31,1257
2016-06-01,1257
2016-06-02,1257
2016-06-03,1255
2016-06-04,1255
2016-06-05,1255
2016-06-06,1255
2016-06-07,1248
2016-06-08,1248
2016-06-09,1248
2016-06-10,1248
2016-06-11,1276
2016-06-12,1276
2016-06-13,1276
2016-06-14,1276
2016-06-15,1276
2016-06-16,1273
2016-06-17,1273
2016-06-18,1273
2016-06-19,1273
2016-06-20,1255
2016-06-21,1255
2016-06-22,1255
2016-06-23,1255
2016-06-24,1255
2016-06-25,1264
2016-06-26,1264
2016-06-27,1264
2016-06-28,1264
2016-06-29,1264
2016-06-30,1264
2016-07-01,1255
2016-07-02,1255
2016-07-03,1255
2016-07-04,1255
2016-07-05,1255
2016-07-06,1262
2016-07-07,1262
2016-07-08,1262
2016-07-09,1262
2016-07-10,1262
2016-07-11,1262
2016-07-12,1262
2016-07-13,1262
2016-07-14,1262
2016-07-15,1266
2016-07-16,1266
2016-07-17,1266
2016-07-18,1266
2016-07-23,1274
2016-07-24,1274
2016-07-25,1274
2016-07-26,1274
2016-07-27,1270
2016-07-28,1270
2016-07-29,1270
2016-07-30,1270
2016-07-31,1270
2016-08-01,1270
2016-08-02,1279
2016-08-03,1279
2016-08-04,1279
2016-08-05,1279
2016-08-06,1279
2016-08-07,1279
2016-08-08,1276
2016-08-09,1276
2016-08-10,1276
2016-08-11,1276
2016-08-12,1276
2016-08-13,1276
2016-08-14,1249
2016-08-15,1249
2016-08-16,1249
2016-08-17,1249
2016-08-18,1249
2016-08-19,1249
2016-08-20,1248
2016-08-21,1248
2016-08-22,1248
2016-08-23,1248
2016-08-24,1248
2016-08-25,1250
2016-08-26,1250
2016-08-28,1250
2016-08-31,1259
2016-09-01,1259
2016-09-02,1259
2016-09-03,1259
2016-09-04,1259
2016-09-05,1258
2016-09-06,1258
2016-09-07,1258
2016-09-08,1258
2016-09-09,1258
2016-09-10,1258
2016-09-11,1255
2016-09-12,1255
2016-09-13,1255
2016-09-14,1255
2016-09-15,1255
2016-09-16,1255
2016-09-17,1259
2016-09-18,1259
2016-09-19,1259
2016-09-20,1259
2016-09-21,1259
2016-09-22,1254
2016-09-23,1254
2016-09-24,1254
2016-09-25,1254
2016-09-26,1254
2016-09-27,1254
2016-09-28,1252
2016-09-29,1252
2016-09-30,1252
2016-10-01,1252
2016-10-02,1252
2016-10-03,1252
2016-10-04,1250
2016-10-05,1250
2016-10-06,1250
2016-10-07,1250
2016-10-08,1250
2016-10-09,1258
2016-10-10,1258
2016-10-11,1258
2016-10-12,1258
2016-10-13,1240
2016-10-14,1240
2016-10-15,1240
2016-10-16,1240
2016-10-17,1238
2016-10-18,1238
2016-10-19,1238
2016-10-20,1238
2016-10-21,1238
2016-10-22,1238
2016-10-23,1253
2016-10-24,1253
2016-10-25,1253
2016-10-26,1253
2016-10-27,1253
2016-10-28,1267
2016-10-29,1267
2016-10-30,1267
2016-10-31,1267
2016-11-01,1261
2016-11-02,1261
2016-11-03,1261
2016-11-04,1261
2016-11-05,1261
2016-11-06,1262
2016-11-07,1262
2016-11-08,1262
2016-11-09,1262
2016-11-10,1262
2016-11-11,1265
2016-11-12,1265
2016-11-13,1265
2016-11-14,1265
2016-12-08,1247
2016-12-09,1260
2016-12-10,1260
2016-12-11,1260
2016-12-12,1260
2016-12-13,1260
2016-12-14,1259
2016-12-15,1259
2016-12-16,1259
2016-12-17,1259
2016-12-18,1259
2016-12-19,1250
2016-12-20,1250
2016-12-21,1250
2016-12-22,1250
2016-12-23,1250
2016-12-24,1250
2016-12-25,1250
2016-12-26,1250
2016-12-27,1238
2016-12-28,1238
2016-12-29,1238
2016-12-30,1238
2016-12-31,1249
2017-01-01,1249
2017-01-02,1249
2017-01-03,1249
2017-01-04,1243
2017-01-05,1243
2017-01-06,1243
2017-01-07,1243
2017-01-08,1243
2017-01-09,1251
2017-01-10,1251
2017-01-11,1251
2017-01-12,1251
2017-01-13,1251
2017-01-14,1248
2017-01-15,1248
2017-01-16,1248
2017-01-17,1248
2017-01-18,1244
2017-01-19,1244
2017-01-20,1244
2017-01-21,1244
2017-01-22,1244
2017-01-27,1243
2017-01-28,1243
2017-01-29,1240
2017-01-30,1240
2017-01-31,1240
2017-02-01,1240
2017-02-02,1242
2017-02-03,1242
2017-02-04,1242
2017-02-05,1242
2017-02-06,1249
2017-02-07,1249
2017-02-08,1249
2017-02-09,1249
2017-02-10,1238
2017-02-11,1238
2017-02-12,1238
2017-02-13,1238
2017-02-14,1237
2017-02-15,1237
2017-02-16,1237
2017-02-18,1242
2017-02-19,1242
2017-02-20,1242
2017-02-21,1223
2017-02-22,1223
2017-02-23,1223
2017-02-24,1223
2017-02-25,1222
2017-02-26,1222
2017-02-27,1222
2017-02-28,1213
2017-03-01,1213
2017-03-02,1213
2017-03-03,1234
2017-03-04,1234
2017-03-05,1234
2017-03-06,1230
2017-03-07,1230
2017-03-08,1230
2017-03-09,1230
2017-03-10,1241
2017-03-11,1241
2017-03-12,1241
2017-03-13,1238
2017-03-14,1238
2017-03-15,1238
2017-03-16,1231
2017-03-17,1231
2017-03-18,1231
2017-03-19,1231
2017-03-20,1232
2017-03-21,1232
2017-03-22,1232
2017-03-23,1232
2017-03-24,1234
2017-03-25,1234
2017-03-26,1234
2017-03-27,1234
2017-03-28,1238
2017-03-29,1238
2017-03-30,1238
2017-03-31,1238
2017-04-01,1252
2017-04-02,1252
2017-04-03,1252
2017-04-04,1252
2017-04-12,1246
2017-04-13,1239
2017-04-14,1239
2017-04-15,1239
2017-04-16,1244
2017-04-17,1244
2017-04-18,1244
2017-04-19,1247
2017-04-20,1247
2017-04-21,1247
2017-04-22,1247
2017-04-23,1241
2017-04-24,1241
2017-04-25,1241
2017-04-26,1241
2017-04-27,1243
2017-04-28,1243
2017-04-29,1243
2017-04-30,1243
2017-05-01,1242
2017-05-02,1242
2017-05-03,1242
2017-05-04,1242
2017-05-05,1242
2017-05-06,1240
2017-05-07,1240
2017-05-08,1240
2017-05-09,1240
2017-05-10,1250
2017-05-11,1250
2017-05-12,1250
2017-05-13,1250
2017-05-14,1250
2017-05-15,1250
2017-05-16,1235
2017-05-17,1235
2017-05-18,1235
2017-05-19,1235
2017-05-20,1235
2017-05-21,1236
2017-05-22,1236
2017-05-23,1236
2017-05-24,1236
2017-05-25,1236
2017-05-26,1234
2017-05-27,1234
2017-05-28,1234
2017-05-29,1234
2017-05-30,1234
2017-05-31,1229
2017-06-01,1229
2017-06-02,1229
2017-06-03,1229
2017-06-06,1215
2017-06-07,1215
2017-06-08,1216
2017-06-09,1216
2017-06-10,1216
2017-06-11,1224
2017-06-12,1224
2017-06-13,1224
2017-06-14,1224
2017-06-15,1233
2017-06-16,1233
2017-06-17,1233
2017-06-18,1233
2017-06-19,1231
2017-06-20,1231
2017-06-21,1231
2017-06-22,1231
2017-06-23,1239
2017-06-24,1239
2017-06-25,1239
2017-06-26,1239
2017-06-27,1244
2017-06-28,1244
2017-06-29,1244
2017-06-30,1244
2017-07-01,1244
2017-07-02,1236
2017-07-03,1236
2017-07-04,1236
2017-07-05,1236
2017-07-06,1241
2017-07-07,1241
2017-07-08,1241
2017-07-13,1248
2017-07-14,1248
2017-07-15,1234
2017-07-16,1234
2017-07-17,1234
2017-07-18,1234
2017-07-19,1216
2017-07-20,1216
2017-07-21,1216
2017-07-22,1216
2017-07-23,1227
2017-07-24,1227
2017-07-25,1227
2017-07-26,1227
2017-07-27,1227
2017-07-28,1236
2017-07-29,1236
2017-07-30,1236
2017-07-31,1236
2017-08-01,1223
2017-08-02,1223
2017-08-03,1223
2017-08-04,1223
2017-08-05,1231
2017-08-06,1231
2017-08-09,1231
2017-08-10,1231
2017-08-11,1231
2017-08-12,1231
2017-08-13,1239
2017-08-14,1239
2017-08-15,1239
2017-08-17,1242
2017-08-18,1242
2017-08-19,1242
2017-08-20,1242
2017-08-21,1242
2017-08-22,1236
2017-08-23,1236
2017-08-24,1236
2017-08-25,1236
2017-08-26,1232
2017-08-27,1232
2017-08-28,1232
2017-08-29,1232
2017-08-30,1232
2017-08-31,1232
2017-09-01,1232
2017-09-02,1232
2017-09-03,1239
2017-09-04,1239
2017-09-05,1239
2017-09-06,1239
2017-09-07,1241
2017-09-08,1241
2017-09-09,1241
2017-09-10,1241
2017-09-11,1241
2017-09-12,1235
2017-09-13,1235
2017-09-14,1235
2017-09-15,1235
2017-09-16,1235
2017-09-17,1234
2017-09-19,1234
2017-09-20,1234
2017-09-21,1234
2017-09-22,1229
2017-09-23,1229
2017-09-24,1229
2017-09-25,1229
2017-09-26,1229
2017-09-27,1219
2017-09-28,1219
2017-09-29,1219
2017-09-30,1219
2017-10-01,1220
2017-10-02,1220
2017-10-03,1220
2017-10-04,1220
2017-10-05,1220
2017-10-06,1229
2017-10-07,1229
2017-10-08,1229
2017-10-09,1229
2017-10-10,1235
2017-10-11,1235
2017-10-12,1235
2017-10-13,1235
2017-10-14,1230
2017-10-15,1230
2017-10-16,1230
2017-10-17,1230
2017-10-18,1230
2017-10-19,1215
2017-10-20,1215
2017-10-21,1215
2017-10-22,1215
2017-10-23,1210
2017-10-24,1210
2017-10-25,1210
2017-10-26,1210
2017-10-27,1226
2017-10-28,1226
2017-10-29,1226
2017-10-30,1226
2017-10-31,1221
2017-11-01,1221
2017-11-02,1221
2017-11-03,1221
2017-11-04,1224
2017-11-05,1224
2017-11-06,1224
2017-11-07,1224
2017-11-08,1224
2017-11-09,1214
2017-11-10,1214
2017-11-11,1214
2017-11-12,1214
2017-11-13,1213
2017-11-14,1213
2017-11-15,1213
2017-11-16,1213
2017-11-17,1213
2017-11-18,1213
2017-11-19,1213
2017-11-20,1213
2017-11-21,1213
2017-11-22,1212
2017-11-23,1212
2017-11-24,1212
2017-11-25,1212
2017-11-26,1214
2017-11-27,1214
2017-11-28,1214
2017-11-29,1214
2017-11-30,1214
2017-12-01,1227
2017-12-02,1227
2017-12-03,1227
2017-12-04,1227
2017-12-05,1227
2017-12-06,1224
2017-12-07,1224
2017-12-08,1224
2017-12-09,1224
2017-12-10,1224
2017-12-11,1224
2017-12-12,1224
2017-12-13,1224
2017-12-14,1224
2017-12-15,1216
2017-12-16,1216
2017-12-17,1216
2017-12-18,1216
2017-12-19,1222
2017-12-20,1222
2017-12-21,1222
2017-12-22,1222
2017-12-23,1222
2017-12-24,1222
2017-12-25,1222
2017-12-26,1222
2017-12-27,1220
2017-12-28,1220
2017-12-29,1220
2017-12-30,1202
2017-12-31,1202
