date_obj,Diamond%20necklace price
2015-12-15,2263
2015-12-16,2263
2015-12-17,2263
2015-12-18,2263
2015-12-19,2263
2015-12-20,2263
2015-12-21,2263
2015-12-22,2263
2015-12-23,2263
2015-12-24,2263
2015-12-25,2263
2015-12-26,2263
2015-12-27,2263
2015-12-28,2263
2015-12-29,2263
2015-12-30,2263
2015-12-31,2263
2016-01-01,2263
2016-01-02,2263
2016-01-03,2263
2016-01-04,2263
2016-01-05,2263
2016-01-06,2263
2016-01-07,2263
2016-01-08,2245
2016-01-09,2245
2016-01-10,2245
2016-01-11,2245
2016-01-12,2245
2016-01-13,2245
2016-01-14,2245
2016-01-15,2245
2016-01-16,2245
2016-01-17,2245
2016-01-18,2245
2016-01-19,2245
2016-01-20,2245
2016-01-21,2245
2016-01-22,2245
2016-01-23,2245
2016-01-24,2245
2016-01-25,2318
2016-01-26,2318
2016-01-27,2318
2016-01-28,2318
2016-01-29,2318
2016-01-30,2318
2016-01-31,2318
2016-02-01,2318
2016-02-02,2318
2016-02-03,2318
2016-02-04,2318
2016-02-05,2318
2016-02-06,2318
2016-02-07,2318
2016-02-08,2318
2016-02-09,2318
2016-02-10,2318
2016-02-11,2318
2016-02-12,2318
2016-02-13,2318
2016-02-14,2318
2016-02-15,2318
2016-02-16,2318
2016-02-17,2318
2016-02-18,2318
2016-02-19,2318
2016-02-20,2318
2016-02-21,2318
2016-02-22,2297
2016-02-23,2297
2016-02-24,2297
2016-02-25,2297
2016-02-26,2297
2016-02-27,2297
2016-02-28,2297
2016-02-29,2297
2016-03-01,2297
2016-03-02,2297
2016-03-03,2297
2016-03-04,2297
2016-03-05,2297
2016-03-06,2297
2016-03-07,2297
2016-03-08,2297
2016-03-09,2297
2016-03-10,2297
2016-03-11,2297
2016-03-12,2297
2016-03-13,2297
2016-03-14,2297
2016-03-15,2297
2016-03-16,2297
2016-03-17,2297
2016-03-18,2297
2016-03-19,2297
2016-03-20,2297
2016-03-21,2297
2016-03-22,2297
2016-03-23,2210
2016-03-24,2210
2016-03-25,2210
2016-03-26,2210
2016-03-27,2210
2016-03-28,2210
2016-03-29,2210
2016-03-30,2210
2016-03-31,2210
2016-04-01,2210
2016-04-02,2210
2016-04-03,2210
2016-04-04,2210
2016-04-05,2210
2016-04-06,2210
2016-04-07,2210
2016-04-08,2210
2016-04-09,2210
2016-04-10,2210
2016-04-11,2210
2016-04-12,2210
2016-04-13,2210
2016-04-14,2210
2016-04-15,2210
2016-04-16,2210
2016-04-17,2210
2016-04-18,2210
2016-04-19,2145
