date_obj,Sarachnis%20cudgel price
2019-11-19,1891935
2019-11-20,1799181
2019-11-21,1799181
2019-11-22,1712840
2019-11-23,1647910
2019-11-24,1594548
2019-11-25,1540083
2019-11-26,1580369
2019-11-27,1580369
2019-11-28,1656844
2019-11-29,1656844
2019-11-30,1703711
2019-12-01,1686350
2019-12-02,1677077
2019-12-03,1661710
2019-12-04,1643625
2019-12-05,1643625
2019-12-06,1654555
2019-12-07,1641767
2019-12-08,1632570
2019-12-09,1610350
2019-12-10,1627553
2019-12-11,1597845
2019-12-12,1597845
2019-12-13,1567832
2019-12-14,1552511
2019-12-15,1567686
2019-12-16,1578470
2019-12-17,1589504
2019-12-18,1589504
2019-12-19,1579992
2019-12-20,1569927
2019-12-21,1562537
2019-12-22,1518048
2019-12-23,1518048
2019-12-24,1506791
2019-12-25,1490852
2019-12-26,1490852
2019-12-27,1450205
2019-12-28,1437730
2019-12-29,1495001
2019-12-30,1487683
2019-12-31,1460086
2020-01-01,1411756
2020-01-02,1454293
2020-01-03,1515437
2020-01-04,1559647
2020-01-05,1635890
2020-01-06,1703379
2020-01-07,1689201
2020-01-08,1689201
2020-01-09,1680770
2020-01-10,1711059
2020-01-11,1694611
2020-01-12,1666565
2020-01-13,1666565
2020-01-14,1620196
2020-01-15,1667600
2020-01-16,1684131
2020-01-17,1669505
2020-01-18,1662979
2020-01-19,1648057
2020-01-20,1646320
2020-01-21,1638776
2020-01-22,1669856
2020-01-23,1709393
2020-01-24,1685641
2020-01-25,1655998
2020-01-26,1671727
2020-01-27,1739538
2020-01-28,1757923
2020-01-29,1713645
2020-01-30,1723011
2020-01-31,1723932
2020-02-01,1705219
2020-02-02,1696325
2020-02-03,1719003
2020-02-04,1718410
2020-02-05,1726407
2020-02-06,1812378
2020-02-07,1902997
2020-02-08,1998147
2020-02-09,2097943
2020-02-10,2162116
2020-02-11,2155204
2020-02-12,2104784
2020-02-13,2068982
2020-02-14,2000318
2020-02-15,1994447
2020-02-16,1982263
2020-02-17,1931103
2020-02-18,1889486
2020-02-19,1837133
2020-02-20,1757656
2020-02-21,1687213
2020-02-22,1654506
2020-02-23,1589797
2020-02-24,1511432
2020-02-25,1458112
2020-02-26,1416128
2020-02-27,1428033
2020-02-28,1435837
2020-02-29,1450641
2020-03-01,1486633
2020-03-02,1434882
2020-03-03,1424905
2020-03-04,1394590
2020-03-05,1359887
2020-03-06,1331028
2020-03-07,1303027
2020-03-08,1281813
2020-03-09,1242331
2020-03-10,1189743
2020-03-11,1244476
2020-03-12,1282962
2020-03-13,1221509
2020-03-14,1162644
2020-03-15,1135316
2020-03-16,1093369
2020-03-17,1111582
2020-03-18,1157180
2020-03-19,1215039
2020-03-20,1274834
2020-03-21,1338576
2020-03-22,1371781
2020-03-23,1384887
2020-03-24,1442394
2020-03-25,1474234
2020-03-26,1487539
2020-03-27,1539468
2020-03-28,1599310
2020-03-29,1639992
2020-03-30,1647419
2020-03-31,1644457
2020-04-01,1614637
2020-04-02,1592338
2020-04-03,1584044
2020-04-04,1532387
2020-04-05,1456896
2020-04-06,1399306
2020-04-07,1342698
2020-04-08,1312786
2020-04-09,1311503
2020-04-10,1283714
2020-04-11,1280968
2020-04-12,1247220
2020-04-13,1227767
2020-04-14,1195883
2020-04-15,1138820
2020-04-16,1100887
2020-04-17,1074504
2020-04-18,1087816
2020-04-19,1048787
2020-04-20,1045148
2020-04-21,1007505
2020-04-22,990516
2020-04-23,982854
2020-04-24,972353
2020-04-25,964923
2020-04-26,966092
2020-04-27,1007434
2020-04-28,1037619
2020-04-29,997723
2020-04-30,998041
2020-05-01,1018535
2020-05-02,1026183
2020-05-03,1041243
2020-05-04,1045873
2020-05-05,1025929
2020-05-06,985019
2020-05-07,935824
2020-05-08,891076
2020-05-09,846522
2020-05-10,805024
2020-05-11,772321
2020-05-12,746999
2020-05-13,719936
