date_obj,Adamant%20platebody%20(t) price
2017-02-21,12203
2017-02-22,12203
2017-02-23,12203
2017-02-24,12203
2017-02-25,11885
2017-02-26,11885
2017-02-27,11885
2017-02-28,11487
2017-03-01,11487
2017-03-02,11487
2017-03-03,11277
2017-03-04,11277
2017-03-05,11277
2017-03-06,11040
2017-03-07,11040
2017-03-08,11040
2017-03-09,11040
2017-03-10,10735
2017-03-11,10735
2017-03-12,10735
2017-03-13,10721
2017-03-14,10721
2017-03-15,10721
2017-03-16,10442
2017-03-17,10442
2017-03-18,10442
2017-03-19,10165
2017-03-20,10165
2017-03-21,10165
2017-03-22,10290
2017-03-23,10290
2017-03-24,10290
2017-03-25,10181
2017-03-26,10181
2017-03-27,10181
2017-03-28,10330
2017-03-29,10330
2017-03-30,10330
2017-03-31,10207
2017-04-01,10207
2017-04-02,10207
2017-04-03,10410
2017-04-04,10410
2017-04-05,10410
2017-04-12,10580
2017-04-13,10580
2017-04-14,10736
2017-04-15,10736
2017-04-16,10736
2017-04-17,10661
2017-04-18,10661
2017-04-19,10661
2017-04-20,10460
2017-04-21,10460
2017-04-22,10460
2017-04-23,10433
2017-04-24,10433
2017-04-25,10229
2017-04-26,10229
2017-04-27,10229
2017-04-28,10497
2017-04-29,10497
2017-04-30,10497
2017-05-01,10972
2017-05-02,10972
2017-05-03,10972
2017-05-04,11282
2017-05-05,11282
2017-05-06,11282
2017-05-07,11531
2017-05-08,11531
2017-05-09,11531
2017-05-10,11315
2017-05-11,11315
2017-05-12,11315
2017-05-13,11455
2017-05-14,11455
2017-05-15,11455
2017-05-16,11359
2017-05-17,11359
2017-05-18,11359
2017-05-19,10913
2017-05-20,10913
2017-05-21,10913
2017-05-22,10567
2017-05-23,10567
2017-05-24,10567
2017-05-25,10433
2017-05-26,10433
2017-05-27,10433
2017-05-28,10299
2017-05-29,10299
2017-05-30,10299
2017-05-31,10084
2017-06-01,10084
2017-06-02,10084
2017-06-03,10022
2017-06-04,10022
2017-06-05,10022
2017-06-06,10170
2017-06-07,10170
2017-06-08,10170
2017-06-09,10069
2017-06-10,10069
2017-06-11,10111
2017-06-12,10111
2017-06-13,10111
2017-06-14,9999
2017-06-15,9999
2017-06-16,9999
2017-06-17,9840
2017-06-18,9840
2017-06-19,9840
2017-06-20,9780
2017-06-21,9780
2017-06-22,9780
2017-06-23,9780
2017-06-24,10000
2017-06-25,10000
2017-06-26,10000
2017-06-27,10068
2017-06-28,10068
2017-06-29,10068
2017-06-30,9839
2017-07-01,9839
2017-07-02,9839
2017-07-03,9854
2017-07-04,9854
2017-07-05,9854
2017-07-06,9799
2017-07-07,9799
2017-07-08,9799
2017-07-09,10018
2017-07-13,9988
2017-07-14,9988
2017-07-15,9878
2017-07-16,9878
2017-07-17,9969
2017-07-18,9969
2017-07-19,9969
2017-07-20,9919
2017-07-21,9919
2017-07-22,9919
2017-07-23,9956
2017-07-24,9956
2017-07-25,9956
2017-07-26,9820
2017-07-27,9820
2017-07-28,9820
2017-07-29,9820
2017-07-30,9820
2017-07-31,9783
2017-08-01,9783
2017-08-02,9783
2017-08-03,9856
2017-08-04,9856
2017-08-05,9992
2017-08-06,9992
2017-08-07,9992
2017-08-08,9958
2017-08-09,9958
2017-08-10,9958
2017-08-11,10006
2017-08-12,10006
2017-08-13,10006
2017-08-14,9962
2017-08-15,9962
2017-08-16,9972
2017-08-17,9972
2017-08-18,9972
2017-08-19,10017
2017-08-20,10017
2017-08-21,10017
2017-08-22,10323
2017-08-23,10323
2017-08-24,10323
2017-08-25,10323
2017-08-26,10367
2017-08-27,10367
2017-08-28,10367
2017-08-29,10462
2017-08-30,10462
2017-08-31,10462
2017-09-01,10538
2017-09-02,10538
2017-09-03,10538
2017-09-04,10649
2017-09-05,10649
2017-09-06,10649
2017-09-07,10751
2017-09-08,10751
2017-09-09,10751
2017-09-10,11016
2017-09-11,11016
2017-09-12,11016
2017-09-13,11043
2017-09-14,11043
2017-09-15,11043
2017-09-16,10813
2017-09-17,10813
2017-09-18,10813
2017-09-19,10976
2017-09-20,10976
2017-09-21,10976
2017-09-22,11447
2017-09-23,11447
2017-09-24,11447
