date_obj,Seers%20ring price
2016-06-30,361152
2016-07-01,373900
2016-07-02,382947
2016-07-03,388023
2016-07-04,395415
2016-07-05,414146
2016-07-06,430618
2016-07-07,439307
2016-07-08,433408
2016-07-09,438419
2016-07-10,436055
2016-07-11,422366
2016-07-12,423485
2016-07-13,419641
2016-07-14,405306
2016-07-15,404613
2016-07-16,406225
2016-07-17,414543
2016-07-18,411160
2016-07-23,332631
2016-07-24,346311
2016-07-25,334850
2016-07-26,335344
2016-07-27,340841
2016-07-28,347734
2016-07-29,363241
2016-07-30,379722
2016-07-31,398037
2016-08-01,413145
2016-08-02,392863
2016-08-03,374004
2016-08-04,358163
2016-08-05,343231
2016-08-06,347606
2016-08-07,343382
2016-08-08,327774
2016-08-09,329557
2016-08-10,326976
2016-08-11,314452
2016-08-12,302524
2016-08-13,296041
2016-08-14,292378
2016-08-15,300786
2016-08-16,313441
2016-08-17,306938
2016-08-18,293792
2016-08-19,288503
2016-08-20,281771
2016-08-21,273971
2016-08-22,280295
2016-08-23,277560
2016-08-24,271914
2016-08-25,262821
2016-08-26,263501
2016-08-28,248579
2016-08-31,255097
2016-09-01,250718
2016-09-02,250540
2016-09-03,240996
2016-09-04,244627
2016-09-05,245118
2016-09-06,245806
2016-09-07,239004
2016-09-08,231886
2016-09-09,231056
2016-09-10,224987
2016-09-11,227853
2016-09-12,224811
2016-09-13,220333
2016-09-14,217769
2016-09-15,225767
2016-09-16,233124
2016-09-17,233145
2016-09-18,232423
2016-09-19,233007
2016-09-20,228600
2016-09-21,227693
2016-09-22,231876
2016-09-23,232257
2016-09-24,236349
2016-09-25,236214
2016-09-26,233967
2016-09-27,237258
2016-09-28,236276
2016-09-29,236240
2016-09-30,233008
2016-10-01,232661
2016-10-02,233440
2016-10-03,234173
2016-10-04,233776
2016-10-05,239067
2016-10-06,249221
2016-10-07,260639
2016-10-08,273234
2016-10-09,286204
2016-10-11,290535
2016-10-12,291605
2016-10-13,283867
2016-10-14,283764
2016-10-15,285472
2016-10-16,294066
2016-10-17,290588
2016-10-18,287045
2016-10-19,284513
2016-10-20,285675
2016-10-21,290835
2016-10-22,304361
2016-10-23,314708
2016-10-24,315374
2016-10-25,307866
2016-10-26,298890
2016-10-27,291229
2016-10-28,288665
2016-10-29,287707
2016-10-30,293711
2016-10-31,301510
2016-11-01,315975
2016-11-02,327939
2016-11-03,340775
2016-11-04,346716
2016-11-05,345290
2016-11-06,334056
2016-11-07,331986
2016-11-08,323052
2016-11-09,337681
2016-11-10,354566
2016-11-11,372295
2016-11-12,390910
2016-11-13,410456
2016-11-14,430979
2016-12-08,504067
2016-12-09,478955
2016-12-10,455007
2016-12-11,432345
2016-12-12,410727
2016-12-13,390324
2016-12-14,370982
2016-12-15,356714
2016-12-16,341005
2016-12-17,327204
2016-12-18,316055
2016-12-19,314212
2016-12-20,320253
2016-12-21,325639
2016-12-22,333293
2016-12-23,349831
2016-12-24,367323
2016-12-25,385690
2016-12-26,404019
2016-12-27,408340
2016-12-28,391889
2016-12-29,375663
2016-12-30,368842
2016-12-31,366689
2017-01-01,363427
2017-01-02,359694
2017-01-03,366605
2017-01-04,361108
2017-01-05,346867
2017-01-06,331409
2017-01-07,336158
2017-01-08,330648
2017-01-09,323516
2017-01-10,318573
2017-01-11,323716
2017-01-12,322651
2017-01-13,333493
2017-01-14,346329
2017-01-15,359102
2017-01-16,361788
2017-01-17,368830
2017-01-18,376514
2017-01-19,377284
2017-01-20,385291
2017-01-21,398643
2017-01-22,411581
2017-01-27,383786
2017-01-28,385981
2017-01-29,393016
2017-01-30,392874
2017-01-31,397164
2017-02-01,404366
2017-02-02,385015
2017-02-03,376122
2017-02-04,369349
2017-02-05,368798
2017-02-06,368199
2017-02-07,366458
2017-02-08,359098
2017-02-09,357527
2017-02-10,356111
2017-02-11,361020
2017-02-12,368311
2017-02-13,374977
2017-02-14,386508
2017-02-15,393929
2017-02-16,378939
2017-02-18,362551
2017-02-19,361693
2017-02-20,352988
2017-02-21,342561
2017-02-22,329002
2017-02-23,319846
2017-02-24,307429
2017-02-25,294915
2017-02-26,288157
2017-02-27,285937
2017-02-28,278623
2017-03-01,272198
2017-03-02,264368
2017-03-03,263357
2017-03-04,263796
2017-03-05,266842
2017-03-06,276062
2017-03-07,283824
2017-03-08,289282
2017-03-09,297534
2017-03-10,298686
2017-03-11,285541
2017-03-12,272822
2017-03-13,265338
2017-03-14,264426
2017-03-15,263448
2017-03-16,263297
2017-03-17,264035
2017-03-18,258979
2017-03-19,252466
2017-03-20,245727
2017-03-21,239557
