date_obj,Drake%20bones price
2019-08-27,2963
2019-08-27,2963
2019-08-28,2915
2019-08-29,2871
2019-08-30,2885
2019-08-31,2885
2019-09-01,2896
2019-09-02,2896
2019-09-03,2919
2019-09-04,2952
2019-09-05,2976
2019-09-06,2949
2019-09-07,2993
2019-09-08,3001
2019-09-09,3045
2019-09-10,3009
2019-09-11,3043
2019-09-12,3014
2019-09-13,3031
2019-09-14,3108
2019-09-15,3129
2019-09-16,2995
2019-09-17,2920
2019-09-18,2895
2019-09-19,2859
2019-09-20,2862
2019-09-21,2889
2019-09-22,2950
2019-09-23,2967
2019-09-24,2967
2019-09-25,3111
2019-09-26,3087
2019-09-27,3025
2019-09-28,2939
2019-09-29,2977
2019-09-30,3066
2019-10-01,3101
2019-10-02,3101
2019-10-03,3076
2019-10-04,2999
2019-10-05,2959
2019-10-06,2940
2019-10-07,2982
2019-10-08,3004
2019-10-09,3004
2019-10-10,3025
2019-10-11,3168
2019-10-12,3111
2019-10-13,2979
2019-10-14,2966
2019-10-15,2937
2019-10-16,2898
2019-10-17,2898
2019-10-18,2929
2019-10-19,2957
2019-10-20,2884
2019-10-21,2927
2019-10-22,2957
2019-10-23,2967
2019-10-24,3009
2019-10-25,3079
2019-10-26,3030
2019-10-27,3140
2019-10-28,3163
2019-10-29,3163
2019-10-30,3039
2019-10-31,3061
2019-11-01,3033
2019-11-02,3025
2019-11-03,3001
2019-11-04,3050
2019-11-05,3050
2019-11-06,3111
2019-11-07,3172
2019-11-08,3258
2019-11-09,3401
2019-11-10,3414
2019-11-11,3355
2019-11-12,3349
2019-11-13,3423
2019-11-14,3482
2019-11-15,3587
2019-11-16,3558
2019-11-17,3558
2019-11-18,3526
2019-11-19,3455
2019-11-20,3461
2019-11-21,3461
2019-11-22,3493
2019-11-23,3383
2019-11-24,3309
2019-11-25,3396
2019-11-26,3502
2019-11-27,3502
2019-11-28,3409
2019-11-29,3537
2019-11-30,3582
2019-12-01,3647
2019-12-02,3721
2019-12-03,3782
2019-12-04,3806
2019-12-05,3806
2019-12-06,3744
2019-12-07,3756
2019-12-08,3734
2019-12-09,3717
2019-12-10,3668
2019-12-11,3551
2019-12-12,3549
2019-12-13,3482
2019-12-14,3385
2019-12-15,3507
2019-12-16,3480
2019-12-17,3462
2019-12-18,3507
2019-12-19,3562
2019-12-20,3646
2019-12-21,3659
2019-12-22,3622
2019-12-23,3600
2019-12-24,3423
2019-12-25,3251
2019-12-26,3218
2019-12-27,3173
2019-12-28,3164
2019-12-29,3173
2019-12-30,3234
2019-12-31,3348
2020-01-01,3453
2020-01-02,3490
2020-01-03,3530
2020-01-04,3589
2020-01-05,3630
2020-01-06,3616
2020-01-07,3556
2020-01-08,3556
2020-01-09,3587
2020-01-10,3522
2020-01-11,3581
2020-01-12,3608
2020-01-13,3608
2020-01-14,3699
2020-01-15,3550
2020-01-16,3419
2020-01-17,3436
2020-01-18,3441
2020-01-19,3509
2020-01-20,3613
2020-01-21,3700
2020-01-22,3685
2020-01-23,3567
2020-01-24,3546
2020-01-25,3560
2020-01-26,3603
2020-01-27,3688
2020-01-28,3694
2020-01-29,3672
2020-01-30,3605
2020-01-31,3516
2020-02-01,3459
2020-02-02,3503
2020-02-03,3620
2020-02-04,3566
2020-02-05,3530
2020-02-06,3457
2020-02-07,3440
2020-02-08,3412
2020-02-09,3423
2020-02-10,3340
2020-02-11,3359
2020-02-12,3419
2020-02-13,3500
2020-02-14,3368
2020-02-15,3339
2020-02-16,3392
2020-02-17,3425
2020-02-18,3481
2020-02-19,3481
2020-02-20,3434
2020-02-21,3434
2020-02-22,3484
2020-02-23,3443
2020-02-24,3440
2020-02-25,3421
2020-02-26,3413
2020-02-27,3453
2020-02-28,3477
2020-02-29,3477
2020-03-01,3497
2020-03-02,3529
2020-03-03,3567
2020-03-04,3567
2020-03-05,3572
2020-03-06,3525
2020-03-07,3632
2020-03-08,3623
2020-03-09,3679
2020-03-10,3577
2020-03-11,3537
2020-03-12,3536
2020-03-13,3539
2020-03-14,3442
2020-03-15,3399
2020-03-16,3369
2020-03-17,3434
2020-03-18,3455
2020-03-19,3491
2020-03-20,3483
2020-03-21,3474
2020-03-22,3394
2020-03-23,3366
2020-03-24,3467
2020-03-25,3509
2020-03-26,3540
2020-03-27,3511
2020-03-28,3481
2020-03-29,3429
2020-03-30,3515
2020-03-31,3545
2020-04-01,3625
2020-04-02,3613
2020-04-03,3647
2020-04-04,3610
2020-04-05,3685
2020-04-06,3686
2020-04-07,3617
2020-04-08,3621
2020-04-09,3673
2020-04-10,3668
2020-04-11,3724
2020-04-12,3823
2020-04-13,3860
2020-04-14,3808
2020-04-15,3708
2020-04-16,3582
2020-04-17,3586
2020-04-18,3550
2020-04-19,3625
2020-04-20,3698
2020-04-21,3604
2020-04-22,3568
2020-04-23,3534
2020-04-24,3539
2020-04-25,3598
2020-04-26,3617
2020-04-27,3641
2020-04-28,3622
2020-04-29,3690
2020-04-30,3740
2020-05-01,3723
2020-05-02,3727
2020-05-03,3821
2020-05-04,3776
2020-05-05,3807
2020-05-06,3718
2020-05-07,3781
2020-05-08,3822
2020-05-09,3769
2020-05-10,3613
2020-05-11,3534
2020-05-12,3535
2020-05-13,3643
