date_obj,Saradomin%20dragonhide%20set price
2015-09-11,471471
2015-09-12,471471
2015-09-13,471471
2015-09-14,471471
2015-09-15,471471
2015-09-16,471471
2015-09-17,471471
2015-09-18,468257
2015-09-19,468257
2015-09-20,468257
2015-09-21,468257
2015-09-22,468257
2015-09-23,468257
2015-09-24,468257
2015-09-25,468257
2015-09-27,468257
2015-09-28,468257
2015-09-29,463571
2015-09-30,463571
2015-10-05,463571
2015-10-06,463571
2015-10-07,463571
2015-10-08,463571
2015-10-09,463571
2015-10-10,444598
2015-10-11,444598
2015-10-12,444598
2015-10-13,444598
2015-10-14,444598
2015-10-15,444598
2015-10-16,444598
2015-10-17,444598
2015-10-18,444598
2015-10-19,444598
2015-10-20,444598
2015-10-22,431203
2015-10-23,431203
2015-10-24,431203
2015-10-25,431203
2015-10-26,431203
2015-10-27,431203
2015-10-29,431203
2015-10-30,431203
2015-10-31,431203
2015-11-01,431203
2015-11-02,431662
2015-11-03,431662
2015-11-04,431662
2015-11-05,431662
2015-11-06,431662
2015-11-07,431662
2015-11-08,431662
2015-11-09,431662
2015-11-10,431662
2015-11-11,431662
2015-11-12,420267
2015-11-13,420267
2015-11-14,420267
2015-11-15,420267
2015-11-16,420267
2015-11-17,420267
2015-11-18,420267
2015-11-19,420267
2015-11-20,420267
2015-11-21,420267
2015-11-22,420267
2015-11-23,406971
2015-11-24,406971
2015-11-25,406971
2015-11-26,406971
2015-11-27,406971
2015-11-28,406971
2015-11-29,406971
2015-11-30,406971
2015-12-01,406971
2015-12-02,415930
2015-12-03,415930
2015-12-04,415930
2015-12-05,415930
2015-12-06,415930
2015-12-07,415930
2015-12-08,415930
2015-12-09,415930
2015-12-10,415930
2015-12-11,408631
2015-12-12,408631
2015-12-13,408631
2015-12-14,408631
2015-12-15,408631
2015-12-16,408631
2015-12-17,408631
2015-12-18,408631
2015-12-19,409242
2015-12-20,409242
2015-12-21,409242
2015-12-22,409242
2015-12-23,409242
2015-12-24,409242
2015-12-25,409242
2015-12-26,409242
2015-12-27,420029
2015-12-28,420029
2015-12-29,420029
2015-12-30,420029
2015-12-31,420029
2016-01-01,420029
2016-01-02,420029
2016-01-03,420029
2016-01-04,434063
2016-01-05,434063
2016-01-06,434063
2016-01-07,434063
2016-01-08,434063
2016-01-09,434063
2016-01-10,434063
2016-01-11,434063
2016-01-12,448879
2016-01-13,448879
2016-01-14,448879
2016-01-15,448879
2016-01-16,448879
2016-01-17,448879
2016-01-18,448879
2016-01-19,448879
2016-01-20,453323
2016-01-21,453323
2016-01-22,453323
2016-01-23,453323
2016-01-24,453323
2016-01-25,453323
2016-01-26,453323
2016-01-27,453323
2016-01-28,460391
2016-01-29,460391
2016-01-30,460391
2016-01-31,460391
2016-02-01,460391
2016-02-02,460391
2016-02-03,460391
2016-02-04,456799
2016-02-05,456799
2016-02-06,456799
2016-02-07,456799
2016-02-08,456799
2016-02-09,456799
2016-02-10,456799
2016-02-11,456799
2016-02-12,456799
2016-02-13,447153
2016-02-14,447153
2016-02-15,447153
2016-02-16,447153
2016-02-17,447153
2016-02-18,447153
2016-02-19,447153
2016-02-20,447153
2016-02-21,436822
2016-02-22,436822
2016-02-23,436822
2016-02-24,436822
2016-02-25,436822
2016-02-26,436822
2016-02-27,436822
2016-02-28,436822
2016-02-29,436822
2016-03-01,418099
2016-03-02,418099
2016-03-03,418099
2016-03-04,418099
2016-03-05,418099
2016-03-06,418099
2016-03-07,418099
2016-03-08,418099
2016-03-09,398799
2016-03-10,398799
2016-03-11,398799
2016-03-12,398799
2016-03-13,398799
2016-03-14,398799
2016-03-15,398799
2016-03-16,392241
2016-03-17,392241
2016-03-18,392241
2016-03-19,392241
2016-03-20,392241
2016-03-21,392241
2016-03-22,392241
2016-03-23,381013
2016-03-24,381013
2016-03-25,381013
2016-03-26,381013
2016-03-27,381013
2016-03-28,381013
2016-03-29,381013
2016-03-30,380036
2016-03-31,380036
2016-04-01,380036
2016-04-02,380036
2016-04-03,380036
2016-04-04,380036
2016-04-05,380036
2016-04-06,379466
2016-04-07,379466
2016-04-08,379466
2016-04-09,379466
2016-04-10,379466
2016-04-11,379466
2016-04-12,379466
2016-04-13,382188
2016-04-14,382188
2016-04-15,382188
2016-04-16,382188
2016-04-17,382188
2016-04-18,382188
2016-04-19,377920
2016-04-20,377920
2016-04-21,377920
2016-04-22,377920
2016-04-23,377920
2016-04-24,377920
2016-04-25,377920
2016-04-26,377920
2016-04-27,375034
2016-04-28,375034
2016-04-29,375034
2016-04-30,375034
2016-05-01,375034
2016-05-02,375034
2016-05-03,375034
2016-05-04,366016
2016-05-05,366016
2016-05-06,366016
2016-05-07,366016
2016-05-08,366016
2016-05-09,366016
2016-05-10,366016
2016-05-11,375970
2016-05-12,375970
2016-05-13,375970
2016-05-14,375970
2016-05-15,375970
2016-05-16,375970
2016-05-17,375970
2016-05-18,380050
2016-05-19,380050
2016-05-22,380050
2016-05-23,380050
2016-05-24,380050
2016-05-25,379618
2016-05-26,379618
2016-05-27,379618
