date_obj,Black%20platelegs price
2016-07-03,2054
2016-07-04,2005
2016-07-05,1971
2016-07-06,1878
2016-07-07,1784
2016-07-08,1699
2016-07-09,1614
2016-07-10,1545
2016-07-11,1477
2016-07-12,1538
2016-07-13,1593
2016-07-14,1586
2016-07-15,1574
2016-07-16,1548
2016-07-17,1497
2016-07-18,1525
2016-07-23,1255
2016-07-24,1218
2016-07-25,1166
2016-07-26,1153
2016-07-27,1118
2016-07-28,1083
2016-07-29,1059
2016-07-30,1051
2016-07-31,1051
2016-08-01,1037
2016-08-02,1064
2016-08-03,1071
2016-08-04,1092
2016-08-05,1083
2016-08-06,1066
2016-08-07,1039
2016-08-08,1038
2016-08-09,1007
2016-08-10,1002
2016-08-11,1005
2016-08-12,1021
2016-08-13,1011
2016-08-14,1029
2016-08-15,1028
2016-08-16,1026
2016-08-17,1070
2016-08-18,1116
2016-08-19,1137
2016-08-20,1142
2016-08-21,1195
2016-08-22,1213
2016-08-23,1209
2016-08-24,1203
2016-08-25,1188
2016-08-26,1188
2016-08-28,1265
2016-08-31,1189
2016-09-01,1233
2016-09-02,1233
2016-09-03,1265
2016-09-04,1294
2016-09-05,1322
2016-09-06,1295
2016-09-07,1263
2016-09-08,1263
2016-09-09,1211
2016-09-10,1193
2016-09-11,1193
2016-09-12,1208
2016-09-13,1170
2016-09-14,1170
2016-09-15,1155
2016-09-16,1155
2016-09-17,1210
2016-09-18,1271
2016-09-19,1335
2016-09-20,1335
2016-09-21,1396
2016-09-22,1415
2016-09-23,1388
2016-09-24,1388
2016-09-25,1409
2016-09-26,1409
2016-09-27,1444
2016-09-28,1415
2016-09-29,1415
2016-09-30,1359
2016-10-01,1344
2016-10-02,1344
2016-10-03,1324
2016-10-04,1353
2016-10-05,1291
2016-10-06,1269
2016-10-07,1269
2016-10-08,1248
2016-10-09,1248
2016-10-10,1257
2016-10-11,1299
2016-10-12,1283
2016-10-13,1268
2016-10-14,1258
2016-10-15,1236
2016-10-16,1285
2016-10-17,1346
2016-10-18,1390
2016-10-19,1415
2016-10-20,1420
2016-10-21,1404
2016-10-22,1404
2016-10-23,1426
2016-10-24,1410
2016-10-25,1410
2016-10-26,1391
2016-10-27,1446
2016-10-28,1446
2016-10-29,1411
