date_obj,Water%20battlestaff price
2016-07-30,9349
2016-07-31,9349
2016-08-01,9314
2016-08-02,9405
2016-08-03,9425
2016-08-04,9425
2016-08-05,9284
2016-08-06,9305
2016-08-07,9289
2016-08-08,9289
2016-08-09,9300
2016-08-10,9325
2016-08-11,9325
2016-08-12,9379
2016-08-13,9379
2016-08-14,9382
2016-08-15,9433
2016-08-16,9449
2016-08-17,9449
2016-08-18,9536
2016-08-19,9573
2016-08-20,9408
2016-08-21,9408
2016-08-22,9382
2016-08-23,9303
2016-08-24,9303
2016-08-25,9288
2016-08-26,9288
2016-08-28,9279
2016-08-31,9224
2016-09-01,9229
2016-09-02,9229
2016-09-03,9339
2016-09-04,9309
2016-09-05,9412
2016-09-06,9232
2016-09-07,9232
2016-09-08,9228
2016-09-09,9228
2016-09-10,9271
2016-09-11,9271
2016-09-12,9172
2016-09-13,9177
2016-09-14,9177
2016-09-15,9179
2016-09-16,9179
2016-09-17,9160
2016-09-18,9185
2016-09-19,9101
2016-09-20,9101
2016-09-21,9143
2016-09-22,9212
2016-09-23,9359
2016-09-24,9359
2016-09-25,9217
2016-09-26,9217
2016-09-27,9325
2016-09-28,9374
2016-09-29,9374
2016-09-30,9367
2016-10-01,9240
2016-10-02,9240
2016-10-03,9139
2016-10-04,9161
2016-10-05,9254
2016-10-06,9356
2016-10-07,9356
2016-10-08,9229
2016-10-09,9229
2016-10-10,9125
2016-10-11,9177
2016-10-12,9177
2016-10-13,9190
2016-10-14,9328
2016-10-15,9348
2016-10-16,9348
2016-10-17,9568
2016-10-18,9568
2016-10-19,9665
2016-10-20,9665
2016-10-21,9628
2016-10-22,9628
2016-10-23,9593
2016-10-24,9449
2016-10-25,9449
2016-10-26,9439
2016-10-27,9439
2016-10-28,9365
2016-10-29,9386
2016-10-30,9386
2016-10-31,9368
2016-11-01,9368
2016-11-02,9316
2016-11-03,9316
2016-11-04,9303
2016-11-05,9303
2016-11-06,9347
2016-11-07,9347
2016-11-08,9294
2016-11-09,9400
2016-11-10,9413
2016-11-11,9413
2016-11-12,9327
2016-11-13,9327
2016-11-14,9278
2016-12-08,9264
2016-12-09,9238
2016-12-10,9238
2016-12-11,9197
2016-12-12,9179
2016-12-13,9237
2016-12-14,9222
2016-12-15,9222
2016-12-16,9246
2016-12-17,9292
2016-12-18,9292
2016-12-19,9396
2016-12-20,9360
2016-12-21,9386
2016-12-22,9386
2016-12-23,9269
2016-12-24,9269
2016-12-25,9282
2016-12-26,9229
2016-12-27,9213
2016-12-28,9167
2016-12-29,9145
2016-12-30,9188
2016-12-31,9137
2017-01-01,9180
2017-01-02,9161
2017-01-03,9069
2017-01-04,9095
2017-01-05,9084
2017-01-06,9073
2017-01-07,9113
2017-01-08,9188
2017-01-09,9227
2017-01-10,9195
2017-01-11,9253
2017-01-12,9274
2017-01-13,9274
2017-01-14,9196
2017-01-15,9282
2017-01-16,9212
2017-01-17,9283
2017-01-18,9251
2017-01-19,9260
2017-01-20,9218
2017-01-21,9162
2017-01-22,9103
2017-01-27,9195
2017-01-28,9213
2017-01-29,9238
2017-01-30,9238
2017-01-31,9181
2017-02-01,9218
2017-02-02,9204
2017-02-03,9132
2017-02-04,9206
2017-02-05,9169
2017-02-06,9176
2017-02-07,9238
2017-02-08,9181
2017-02-09,9181
2017-02-10,9212
2017-02-11,9218
2017-02-12,9218
2017-02-13,9187
2017-02-14,9160
2017-02-15,9160
2017-02-16,9162
2017-02-18,9169
2017-02-19,9184
2017-02-20,9126
2017-02-21,9124
2017-02-22,9124
2017-02-23,9145
2017-02-24,9145
2017-02-25,9158
2017-02-26,9230
2017-02-27,9292
2017-02-28,9305
2017-03-01,9242
2017-03-02,9327
2017-03-03,9327
2017-03-04,9281
2017-03-05,9145
2017-03-06,9146
2017-03-07,9141
2017-03-08,9165
2017-03-09,9171
2017-03-10,9209
2017-03-11,9191
2017-03-12,9137
2017-03-13,9142
2017-03-14,9171
2017-03-15,9168
2017-03-16,9188
2017-03-17,9197
2017-03-18,9148
2017-03-19,9161
2017-03-20,9221
2017-03-21,9186
2017-03-22,9177
2017-03-23,9212
2017-03-24,9192
2017-03-25,9192
2017-03-26,9225
2017-03-27,9264
2017-03-28,9234
2017-03-29,9281
2017-03-30,9306
2017-03-31,9292
2017-04-01,9281
2017-04-02,9337
2017-04-03,9311
2017-04-04,9309
2017-04-12,9438
2017-04-13,9473
2017-04-14,9508
2017-04-15,9469
2017-04-16,9389
2017-04-17,9272
2017-04-18,9246
2017-04-19,9177
2017-04-20,9137
2017-04-21,9083
2017-04-22,9021
2017-04-23,9031
2017-04-24,9081
2017-04-25,9094
2017-04-26,9094
2017-04-27,9106
2017-04-28,9129
2017-04-29,9111
2017-04-30,9115
2017-05-01,9110
2017-05-02,9207
2017-05-03,9137
2017-05-04,9148
2017-05-05,9142
2017-05-06,9120
2017-05-07,9126
2017-05-08,9188
2017-05-09,9121
2017-05-10,9106
2017-05-11,9097
2017-05-12,9103
2017-05-13,9132
2017-05-14,9130
2017-05-15,9107
2017-05-16,9097
2017-05-17,9119
2017-05-18,9133
2017-05-19,9133
2017-05-20,9105
2017-05-21,9105
2017-05-22,9098
2017-05-23,9110
2017-05-24,9113
2017-05-25,9056
2017-05-26,9021
2017-05-27,9044
2017-05-28,9085
2017-05-29,9071
2017-05-30,9105
2017-05-31,9103
2017-06-01,9071
2017-06-02,9088
2017-06-03,9088
2017-06-06,9098
2017-06-07,9104
2017-06-08,9104
2017-06-09,9086
2017-06-10,9092
2017-06-11,9076
2017-06-12,9083
2017-06-13,9092
2017-06-14,9093
2017-06-15,9085
2017-06-16,9090
2017-06-17,9113
2017-06-18,9048
2017-06-19,9048
2017-06-20,9097
2017-06-21,9092
2017-06-22,9092
2017-06-23,9088
2017-06-24,9086
2017-06-25,9095
2017-06-26,9093
2017-06-27,9106
2017-06-28,9075
2017-06-29,9052
2017-06-30,9074
2017-07-01,9074
2017-07-02,9064
2017-07-03,9075
2017-07-04,9075
2017-07-05,9075
2017-07-06,9087
2017-07-07,9087
2017-07-08,9091
2017-07-13,9091
2017-07-14,9112
2017-07-15,9112
2017-07-16,9130
2017-07-17,9104
2017-07-18,9099
2017-07-19,9098
2017-07-20,9092
2017-07-21,9101
2017-07-22,9096
2017-07-23,9092
2017-07-24,9092
2017-07-25,9080
2017-07-26,9112
2017-07-27,9096
2017-07-28,9097
2017-07-29,9097
2017-07-30,9099
2017-07-31,9099
2017-08-01,9102
2017-08-02,9100
2017-08-03,9091
2017-08-04,9091
2017-08-05,9066
2017-08-06,9083
2017-08-09,9094
2017-08-10,9102
2017-08-11,9069
2017-08-12,9096
2017-08-13,9093
2017-08-14,9082
2017-08-15,9093
2017-08-16,9099
2017-08-17,9105
2017-08-18,9105
2017-08-19,9094
2017-08-20,9088
2017-08-21,9092
2017-08-22,9092
2017-08-23,9093
2017-08-24,9093
2017-08-25,9088
2017-08-26,9070
2017-08-27,9088
2017-08-28,9097
2017-08-29,9097
2017-08-30,9106
2017-08-31,9106
2017-09-01,9094
2017-09-02,9096
2017-09-03,9096
2017-09-04,9093
2017-09-05,9095
2017-09-06,9096
2017-09-07,9087
2017-09-08,9087
2017-09-09,9101
2017-09-10,9073
2017-09-11,9075
2017-09-12,9075
2017-09-13,9085
2017-09-14,9088
2017-09-15,9088
2017-09-16,9069
2017-09-17,9081
2017-09-18,9088
2017-09-19,9088
2017-09-20,9072
2017-09-21,9078
2017-09-22,9070
2017-09-23,9070
2017-09-24,9085
2017-09-25,9069
2017-09-26,9074
2017-09-27,9074
2017-09-28,9080
2017-09-29,9086
2017-09-30,9083
2017-10-01,9044
2017-10-02,9080
2017-10-03,9080
2017-10-04,9087
2017-10-05,9082
2017-10-06,9087
2017-10-07,9074
2017-10-08,9083
2017-10-09,9070
2017-10-10,9067
2017-10-11,9067
2017-10-12,9079
2017-10-13,9048
2017-10-14,9062
2017-10-15,9062
2017-10-16,9073
2017-10-17,9073
2017-10-18,9077
2017-10-19,9061
2017-10-20,9061
2017-10-21,9093
2017-10-22,9060
2017-10-23,9049
2017-10-24,9070
2017-10-25,9075
2017-10-26,9091
2017-10-27,9067
2017-10-28,9067
2017-10-29,9063
2017-10-30,9070
2017-10-31,9090
2017-11-01,9090
2017-11-02,9087
2017-11-03,9093
2017-11-04,9075
2017-11-05,9060
2017-11-06,9079
2017-11-07,9079
2017-11-08,9080
2017-11-09,9063
2017-11-10,9077
2017-11-11,9070
2017-11-12,9088
2017-11-13,9038
2017-11-14,9097
2017-11-15,9073
2017-11-16,9073
2017-11-17,9071
2017-11-18,9065
2017-11-19,9086
2017-11-20,9071
2017-11-21,9055
2017-11-22,9076
2017-11-23,9081
2017-11-24,9080
2017-11-25,9075
2017-11-26,9071
2017-11-27,9071
2017-11-28,9095
2017-11-29,9089
2017-11-30,9067
2017-12-01,9105
2017-12-02,9105
2017-12-03,9076
2017-12-04,9076
2017-12-05,9078
2017-12-06,9107
2017-12-07,9077
2017-12-08,9077
2017-12-09,9087
2017-12-10,9101
2017-12-11,9093
2017-12-12,9083
2017-12-13,9086
2017-12-14,9100
2017-12-15,9083
2017-12-16,9050
2017-12-17,9076
2017-12-18,9087
2017-12-19,9104
2017-12-20,9087
2017-12-21,9102
2017-12-22,9091
2017-12-23,9078
2017-12-24,9102
2017-12-25,9102
2017-12-26,9054
2017-12-27,9045
2017-12-28,9033
2017-12-29,9034
2017-12-30,9051
2017-12-31,9079
2018-01-01,9072
2018-01-02,9055
2018-01-03,9017
2018-01-04,9047
2018-01-05,9062
2018-01-06,9056
2018-01-07,9068
2018-01-08,9075
2018-01-09,9069
2018-01-10,9079
2018-01-11,9072
2018-01-12,9090
2018-01-13,9076
2018-01-14,9059
2018-01-15,9060
2018-01-16,9077
2018-01-17,9088
2018-01-18,9073
2018-01-19,9073
2018-01-20,9080
2018-01-21,9073
2018-01-22,9072
2018-01-23,9076
2018-01-24,9075
2018-01-25,9082
2018-01-26,9087
2018-01-27,9083
2018-01-28,9092
2018-01-29,9102
2018-01-30,9092
2018-02-01,9087
2018-02-02,9091
2018-02-03,9120
2018-02-04,9086
2018-02-05,9083
2018-02-06,9091
2018-02-07,9084
2018-02-08,9093
2018-02-09,9080
2018-02-10,9097
2018-02-11,9083
2018-02-12,9063
2018-02-13,9080
2018-02-14,9079
2018-02-15,9162
2018-02-16,9102
2018-02-17,9137
2018-02-18,9070
2018-02-19,9058
2018-02-20,9068
2018-02-21,9081
2018-02-22,9067
2018-02-23,9085
2018-02-24,9077
2018-02-25,9093
2018-02-26,9092
2018-02-27,9109
2018-02-28,9112
2018-03-01,9111
2018-03-02,9077
2018-03-03,9070
2018-03-04,9109
2018-03-05,9068
2018-03-06,9087
2018-03-07,9103
2018-03-08,9077
2018-03-09,9069
2018-03-10,9096
2018-03-11,9110
2018-03-12,9082
2018-03-13,9088
2018-03-14,9081
2018-03-15,9089
2018-03-16,9083
2018-03-17,9082
2018-03-18,9073
2018-03-19,9075
2018-03-20,9089
2018-03-21,9079
2018-03-23,9079
2018-03-24,9090
2018-03-26,9086
2018-03-27,9098
2018-03-28,9075
2018-03-29,9087
2018-03-30,9089
2018-03-31,9085
2018-04-01,9077
2018-04-02,9093
2018-04-03,9084
2018-04-04,9084
2018-04-05,9085
2018-04-06,9106
2018-04-08,9081
2018-04-09,9096
2018-04-10,9156
2018-04-11,9096
2018-04-12,9084
2018-04-13,9088
2018-04-14,9058
2018-04-16,9146
2018-04-17,9176
2018-04-18,9128
2018-04-19,9094
2018-04-20,9087
2018-04-21,9077
2018-04-22,9080
2018-04-23,9075
2018-04-24,9077
2018-04-25,9082
2018-04-26,9105
2018-04-27,9101
2018-04-28,9132
2018-04-29,9108
2018-04-30,9147
2018-05-01,9107
2018-05-02,9105
2018-05-03,9156
2018-05-04,9168
2018-05-05,9088
2018-05-06,9088
2018-05-07,9079
2018-05-08,9061
2018-05-09,9069
2018-05-10,9065
2018-05-11,9058
2018-05-12,9076
2018-05-13,9084
2018-05-14,9084
2018-05-15,9088
2018-05-16,9080
2018-05-17,9088
2018-05-18,9105
2018-05-19,9072
2018-05-20,9124
2018-05-21,9071
2018-05-22,9075
2018-05-23,9082
2018-05-24,9151
2018-05-25,9145
2018-05-26,9079
2018-05-27,9061
2018-05-28,9085
2018-05-29,9092
2018-05-30,9081
2018-05-31,9100
2018-06-01,9099
2018-06-02,9103
2018-06-03,9115
2018-06-04,9057
2018-06-05,9037
2018-06-06,9081
2018-06-07,9134
2018-06-08,9043
2018-06-09,9014
2018-06-10,9068
2018-06-11,9074
2018-06-12,9084
2018-06-13,9068
2018-06-14,9055
2018-06-15,9072
2018-06-16,9076
2018-06-17,9074
2018-06-18,9107
2018-06-19,9078
2018-06-20,9080
2018-06-21,9076
2018-06-22,9065
2018-06-23,9080
2018-06-24,9039
2018-06-25,9076
2018-06-26,9100
2018-06-27,9095
2018-06-28,9085
2018-06-29,9085
2018-06-30,9082
2018-07-01,9084
2018-07-02,9094
2018-07-03,9091
2018-07-04,9085
2018-07-05,9077
2018-07-06,9081
2018-07-07,9086
2018-07-08,9094
2018-07-09,9092
2018-07-10,9090
2018-07-11,9095
2018-07-12,9092
2018-07-13,9084
2018-07-14,9090
2018-07-15,9077
2018-07-16,9083
2018-07-17,9091
2018-07-18,9096
2018-07-19,9094
2018-07-20,9094
2018-07-21,9095
2018-07-22,9101
2018-07-23,9103
2018-07-24,9089
2018-07-25,9091
2018-07-26,9088
2018-07-27,9083
2018-07-28,9096
2018-07-29,9092
2018-07-30,9047
2018-07-31,9085
2018-08-01,9094
2018-08-02,9090
2018-08-03,9085
2018-08-04,9086
2018-08-05,9086
2018-08-06,9079
2018-08-07,9083
2018-08-08,9075
2018-08-09,9073
2018-08-10,9065
2018-08-11,9045
2018-08-12,9052
2018-08-14,9058
2018-08-16,9062
2018-08-17,9027
2018-08-18,9056
2018-08-19,9064
2018-08-20,9058
2018-08-21,9063
2018-08-22,9063
2018-08-23,9061
2018-08-24,9057
2018-08-25,9049
2018-08-26,9060
2018-08-27,9057
2018-08-28,9043
2018-08-29,9057
2018-08-30,9061
2018-08-31,9050
2018-09-01,9042
2018-09-02,9048
2018-09-03,9054
2018-09-04,9064
2018-09-05,9079
2018-09-06,9066
2018-09-07,9053
2018-09-08,9065
2018-09-09,9061
2018-09-10,9090
2018-09-11,9072
2018-09-12,9071
2018-09-13,9066
2018-09-14,9067
2018-09-15,9059
2018-09-16,9068
2018-09-17,9054
2018-09-18,9070
2018-09-19,9056
2018-09-20,9028
2018-09-21,9031
2018-09-22,9054
2018-09-23,9062
2018-09-24,9059
2018-09-25,9075
2018-09-26,9064
2018-09-27,9044
2018-09-28,9054
2018-09-29,9052
2018-09-30,9041
2018-10-02,9048
2018-10-03,9053
2018-10-04,9054
2018-10-05,9045
2018-10-06,9036
2018-10-07,9045
2018-10-08,9051
2018-10-09,9065
2018-10-10,9053
2018-10-11,9024
2018-10-12,9031
2018-10-13,9040
2018-10-14,9045
2018-10-15,9086
2018-10-16,9050
2018-10-17,9052
2018-10-18,9076
2018-10-19,9059
2018-10-20,9102
2018-10-21,9042
2018-10-22,9009
2018-10-23,9056
2018-10-24,9077
2018-10-25,9056
2018-10-26,9118
2018-10-27,9063
2018-10-28,9068
2018-10-29,9106
2018-10-30,9073
2018-10-31,9066
2018-11-01,9064
2018-11-03,9067
2018-11-04,9045
2018-11-05,9045
2018-11-06,9034
2018-11-07,9026
2018-11-08,9031
2018-11-09,9064
2018-11-10,9033
2018-11-11,8985
2018-11-12,9035
2018-11-13,9019
2018-11-14,9008
2018-11-15,9007
2018-11-16,8994
2018-11-17,8981
2018-11-18,9018
2018-11-19,9015
2018-11-20,9021
2018-11-21,9013
2018-11-22,9007
2018-11-23,9006
2018-11-24,9014
2018-11-25,9052
2018-11-26,9092
2018-11-27,9037
2018-11-28,9031
2018-11-29,9034
2018-12-01,9045
2018-12-02,9058
2018-12-03,9044
2018-12-04,9029
2018-12-05,9024
2018-12-07,9030
2018-12-09,9033
2018-12-10,9042
2018-12-11,9054
2018-12-12,9064
2018-12-13,9049
2018-12-14,9036
2018-12-15,9043
2018-12-16,9069
2018-12-17,9047
2018-12-18,9071
2018-12-19,9055
2018-12-20,9091
2018-12-21,9074
2018-12-22,9043
2018-12-23,9059
2018-12-24,9108
2018-12-25,9069
2018-12-26,9041
2018-12-27,9021
2018-12-28,9033
2018-12-29,9035
2018-12-30,9037
2018-12-31,9054
2019-01-01,9025
2019-01-02,9026
2019-01-03,9027
2019-01-04,9009
2019-01-05,9028
2019-01-06,9027
2019-01-08,9036
2019-01-10,9050
2019-01-11,9018
2019-01-12,9020
2019-01-13,9035
2019-01-14,9035
2019-01-15,9028
2019-01-16,9034
2019-01-17,9026
2019-01-18,9026
2019-01-19,9027
2019-01-20,9018
2019-01-21,9025
2019-01-22,9024
2019-01-23,9026
2019-01-24,9024
2019-01-25,9026
2019-01-26,9013
2019-01-27,9030
2019-01-28,9038
