date_obj,Amulet%20of%20fury price
2016-04-04,3051787
2016-04-05,3056988
2016-04-06,3069764
2016-04-07,3118480
2016-04-08,3152366
2016-04-09,3111514
2016-04-10,3074014
2016-04-11,3067756
2016-04-12,3064532
2016-04-13,3063927
2016-04-14,3047266
2016-04-15,3061362
2016-04-16,3072117
2016-04-17,3095268
2016-04-18,3086334
2016-04-19,3083176
2016-04-20,3076601
2016-04-21,3138894
2016-04-22,3144269
2016-04-23,3115916
2016-04-24,3122081
2016-04-25,3157159
2016-04-26,3089107
2016-04-27,3099876
2016-04-28,3105564
2016-04-29,3142579
2016-04-30,3147127
2016-05-01,3137560
2016-05-02,3114668
2016-05-03,3147483
2016-05-04,3187881
2016-05-05,3173797
2016-05-06,3015171
2016-05-07,2905877
2016-05-08,2877732
2016-05-09,2835949
2016-05-10,2752222
2016-05-11,2681095
2016-05-12,2739860
2016-05-13,2830289
2016-05-14,2852829
2016-05-15,2894397
2016-05-16,2918027
2016-05-17,2914141
2016-05-18,2936962
2016-05-19,2949847
2016-05-22,3001877
2016-05-23,3014422
2016-05-24,3068919
2016-05-25,3060857
2016-05-26,3055231
2016-05-27,3046844
2016-05-28,3027777
2016-05-29,3016242
2016-05-30,3001998
2016-05-31,2995495
2016-06-01,2983925
2016-06-02,2989566
2016-06-03,3003387
2016-06-04,3013925
2016-06-05,3021970
2016-06-06,3028502
2016-06-07,3023393
2016-06-08,3024954
2016-06-09,3042932
2016-06-10,3073662
2016-06-11,3074250
2016-06-12,3077131
2016-06-13,3063363
2016-06-14,3049172
2016-06-15,3047387
2016-06-16,3075732
2016-06-17,3069467
2016-06-18,3089013
2016-06-19,3104642
2016-06-20,3082884
2016-06-21,3081408
2016-06-22,3083491
2016-06-23,3105721
2016-06-24,3097425
2016-06-25,3120217
2016-06-26,3128373
2016-06-27,3126028
2016-06-28,3163809
2016-06-29,3152635
2016-06-30,3154798
2016-07-01,3159266
2016-07-02,3155279
2016-07-03,3144675
2016-07-04,3123325
2016-07-05,3103965
2016-07-06,3094493
2016-07-07,3125017
2016-07-08,3129116
2016-07-09,3128051
2016-07-10,3124483
2016-07-11,3118705
2016-07-12,3128376
2016-07-13,3126401
2016-07-14,3102575
2016-07-15,3103091
2016-07-16,3095610
2016-07-17,3015376
2016-07-18,2991887
2016-07-23,3005409
2016-07-24,3007418
2016-07-25,3000299
2016-07-26,2993722
2016-07-27,2993944
2016-07-28,2990209
2016-07-29,2985426
2016-07-30,2981569
2016-07-31,2968603
2016-08-01,2978003
2016-08-02,3004456
2016-08-03,3005139
2016-08-04,2997098
2016-08-05,3000788
2016-08-06,2995394
2016-08-07,2994849
2016-08-08,2986732
2016-08-09,2966988
2016-08-10,2970345
2016-08-11,2974313
2016-08-12,2988481
2016-08-13,3028520
2016-08-14,3003329
2016-08-15,3000126
2016-08-16,2996713
2016-08-17,2986965
2016-08-18,2948907
2016-08-19,2930044
2016-08-20,2953596
2016-08-21,3003484
2016-08-22,3003663
2016-08-23,3020132
2016-08-24,3040252
2016-08-25,3054206
2016-08-26,3066131
2016-08-28,3009457
2016-08-31,3007430
2016-09-01,3014483
2016-09-02,3013797
2016-09-03,3013376
2016-09-04,3021020
2016-09-05,3024906
2016-09-06,3032389
2016-09-07,3073436
2016-09-08,3178321
2016-09-09,3119505
2016-09-10,3082059
2016-09-11,3047415
2016-09-12,3041166
2016-09-13,3026762
2016-09-14,3022931
2016-09-15,3042142
2016-09-16,3034448
2016-09-17,3060631
2016-09-18,3072656
2016-09-19,3065487
2016-09-20,3079805
2016-09-21,3087784
2016-09-22,3131160
2016-09-23,3079099
2016-09-24,3070316
2016-09-25,3031671
2016-09-26,3026062
2016-09-27,3023057
2016-09-28,2970048
2016-09-29,2946766
2016-09-30,2964832
2016-10-01,2971526
2016-10-02,2993820
2016-10-03,3001634
2016-10-04,2983694
2016-10-05,2965188
2016-10-06,2963017
2016-10-07,2988620
2016-10-08,2998817
2016-10-09,2991228
2016-10-10,2981182
2016-10-11,2966085
2016-10-12,2965141
2016-10-13,2970913
2016-10-14,2985011
2016-10-15,3028542
2016-10-16,3058350
2016-10-17,3060550
2016-10-18,3070425
2016-10-19,3055836
2016-10-20,3059507
2016-10-21,3088566
2016-10-22,3082958
2016-10-23,3098886
2016-10-24,3060596
2016-10-25,3051186
2016-10-26,3027137
2016-10-27,2979163
2016-10-28,2983355
2016-10-29,2984312
2016-10-30,2988332
2016-10-31,2983815
2016-11-01,2974863
2016-11-02,2969401
2016-11-03,2965429
2016-11-04,2970955
2016-11-05,2975981
2016-11-06,2984666
2016-11-07,2981036
2016-11-08,2977484
2016-11-09,2973658
2016-11-10,2964543
2016-11-11,2972715
2016-11-12,2975680
2016-11-13,2988555
2016-11-14,2990678
2016-11-15,2987556
2016-12-07,3009461
2016-12-08,2999411
2016-12-09,2982767
2016-12-10,2978468
2016-12-11,2972195
2016-12-12,2969224
2016-12-13,2959191
2016-12-14,2966856
2016-12-15,2985053
2016-12-16,3026123
2016-12-17,3059095
2016-12-18,3099944
2016-12-19,3134251
2016-12-20,3127892
2016-12-21,3074466
2016-12-22,3055162
2016-12-23,3033875
2016-12-24,3064485
2016-12-25,3098245
2016-12-26,3108439
2016-12-27,3074651
2016-12-28,3027660
2016-12-29,3017380
2016-12-30,3007779
2016-12-31,3002435
2017-01-01,3020229
2017-01-02,3052136
2017-01-03,3036608
2017-01-04,3057053
2017-01-05,3038266
2017-01-06,3006998
2017-01-07,3001160
2017-01-08,3018357
2017-01-09,3024769
2017-01-10,3000832
2017-01-11,2988422
2017-01-12,2977868
2017-01-13,2983522
2017-01-14,3023512
2017-01-15,3027011
2017-01-16,3037599
2017-01-17,3040460
2017-01-18,3038779
2017-01-19,3026166
2017-01-20,3021312
2017-01-21,3026835
2017-01-22,3033047
2017-01-23,3034306
2017-01-27,2956542
2017-01-28,2971642
2017-01-29,2968387
2017-01-30,2970632
2017-01-31,2967336
2017-02-01,2963597
2017-02-02,2964310
2017-02-03,2984260
2017-02-04,2978562
2017-02-05,2994167
2017-02-06,2990337
2017-02-07,2979907
2017-02-08,2966522
2017-02-09,2964887
2017-02-10,2973237
2017-02-11,2991219
2017-02-12,3005655
2017-02-13,3032897
2017-02-14,3041799
2017-02-15,3045501
2017-02-16,3047934
2017-02-17,3038017
2017-02-18,3030412
2017-02-19,3024336
2017-02-20,3025844
2017-02-21,3013539
2017-02-22,2991128
2017-02-23,2955377
2017-02-24,2970554
2017-02-25,2981084
2017-02-26,2988209
2017-02-27,2990534
2017-02-28,3022002
2017-03-01,3027428
2017-03-02,3024970
2017-03-03,3033321
2017-03-04,3047973
2017-03-05,3065454
2017-03-06,3033842
2017-03-07,3015902
2017-03-08,3009858
2017-03-09,3002107
2017-03-10,2997917
2017-03-11,3006649
2017-03-12,3006217
2017-03-13,3005174
2017-03-14,3008805
2017-03-15,3037535
2017-03-16,3037364
2017-03-17,3037608
2017-03-18,3056052
2017-03-19,3064778
2017-03-20,3063793
2017-03-21,3049738
2017-03-22,3061144
2017-03-23,3066877
2017-03-24,3047040
2017-03-25,3055215
2017-03-26,3025232
2017-03-27,3019279
2017-03-28,3011573
2017-03-29,3023806
2017-03-30,3030084
2017-03-31,3053963
2017-04-01,3073213
2017-04-02,3059018
2017-04-03,3038686
2017-04-04,3034889
2017-04-05,3042902
2017-04-12,3030991
2017-04-13,3030552
2017-04-14,3031312
2017-04-15,3026626
2017-04-16,3025893
2017-04-17,3020020
2017-04-18,3017133
2017-04-19,3014992
2017-04-20,3018540
2017-04-21,3017749
2017-04-22,3020287
2017-04-23,3019464
2017-04-24,3020303
2017-04-25,3016556
2017-04-26,3013378
2017-04-27,3016060
2017-04-28,3013979
2017-04-29,3013961
2017-04-30,3018025
2017-05-01,3007175
2017-05-02,3008414
2017-05-03,3006779
2017-05-04,3004973
2017-05-05,3005538
2017-05-06,3005413
2017-05-07,3001648
2017-05-08,2994825
2017-05-09,2985963
2017-05-10,2977115
2017-05-11,2980987
2017-05-12,2975299
2017-05-13,2976906
2017-05-14,2981619
2017-05-15,2970851
2017-05-16,2967842
2017-05-17,2964057
2017-05-18,2956632
2017-05-19,2956843
2017-05-20,2956828
2017-05-21,2962489
2017-05-22,2948788
2017-05-23,2920079
2017-05-24,2894243
2017-05-25,2802029
2017-05-26,2775079
2017-05-27,2800383
2017-05-28,2843203
2017-05-29,2874987
2017-05-30,2904742
2017-05-31,2927205
2017-06-01,2930749
2017-06-02,2994823
2017-06-03,3045875
2017-06-04,3095240
2017-06-05,3089529
2017-06-06,3083944
2017-06-07,3052065
2017-06-08,3019498
2017-06-09,2999798
2017-06-10,2987592
2017-06-11,2920706
2017-06-12,2840931
2017-06-13,2851859
2017-06-14,2903506
2017-06-15,2936771
2017-06-16,2976418
2017-06-17,2980966
2017-06-18,2980909
2017-06-19,2978923
2017-06-20,2986060
2017-06-21,2999256
2017-06-22,2999251
2017-06-23,3019089
2017-06-24,3026846
2017-06-25,3029085
2017-06-26,3041792
2017-06-27,3068825
2017-06-28,3106237
2017-06-29,3110803
2017-06-30,3081428
2017-07-01,3065296
2017-07-02,3052412
2017-07-03,3047620
2017-07-04,3036889
2017-07-05,3022480
2017-07-06,3005926
2017-07-07,3004920
2017-07-08,3009467
2017-07-09,3019715
2017-07-13,2942709
2017-07-14,2970926
2017-07-15,2997183
2017-07-16,3006616
2017-07-17,2982364
2017-07-18,2986072
2017-07-19,2988577
2017-07-20,3044220
2017-07-21,3067491
2017-07-22,3163542
2017-07-23,3179941
2017-07-24,3144020
2017-07-25,3135375
2017-07-26,3121976
2017-07-27,3186945
2017-07-28,3222814
2017-07-29,3228965
2017-07-30,3189078
2017-07-31,3145805
2017-08-01,3126284
2017-08-02,3148512
2017-08-03,3142289
2017-08-04,3130783
2017-08-05,3127416
2017-08-06,3086534
2017-08-07,3051431
2017-08-08,3032473
2017-08-09,3010299
2017-08-10,2994817
2017-08-11,3009474
2017-08-12,3021893
2017-08-13,3019056
2017-08-14,3007926
2017-08-15,3005002
2017-08-16,3013451
2017-08-17,3029907
2017-08-18,3024321
2017-08-19,3019479
2017-08-20,3015047
2017-08-21,3004609
2017-08-22,2992919
2017-08-23,2989310
2017-08-24,2986133
2017-08-25,2994066
2017-08-26,2994759
2017-08-27,2997079
2017-08-28,2995749
2017-08-29,2995750
2017-08-30,2996161
2017-08-31,2995337
2017-09-01,3000348
2017-09-02,3009882
2017-09-03,3003744
2017-09-04,3004165
2017-09-05,3002255
2017-09-06,3004886
2017-09-07,3007224
2017-09-08,3013652
2017-09-09,3030090
2017-09-10,3027418
2017-09-11,3023360
2017-09-12,3019945
2017-09-13,3011310
2017-09-14,3003888
2017-09-15,2992345
2017-09-16,2989305
2017-09-17,2990219
2017-09-18,2991556
2017-09-19,2992903
2017-09-20,2995789
2017-09-21,2993322
2017-09-22,2994531
2017-09-23,2994803
2017-09-24,2994027
2017-09-25,2987290
2017-09-26,2969530
2017-09-27,2952429
2017-09-28,2928864
2017-09-29,2919500
2017-09-30,2925556
2017-10-01,2918815
2017-10-02,2901046
2017-10-03,2903049
2017-10-04,2923435
2017-10-05,2917401
2017-10-06,2918389
2017-10-07,2919402
2017-10-08,2916743
2017-10-09,2918091
2017-10-10,2915997
2017-10-11,2918063
2017-10-12,2915530
2017-10-13,2917660
2017-10-14,2920402
2017-10-15,2920957
2017-10-16,2917196
2017-10-17,2916862
2017-10-18,2913891
2017-10-19,2913641
2017-10-20,2913745
2017-10-21,2915879
2017-10-22,2915198
2017-10-23,2915282
2017-10-24,2914795
2017-10-25,2911056
2017-10-26,2907522
2017-10-27,2906049
2017-10-28,2904318
2017-10-29,2901812
2017-10-30,2895706
2017-10-31,2888902
2017-11-01,2892416
2017-11-02,2899520
2017-11-03,2910143
2017-11-04,2914830
2017-11-05,2909151
2017-11-06,2906590
2017-11-07,2903362
2017-11-08,2901057
2017-11-09,2901204
2017-11-10,2901722
2017-11-11,2916359
2017-11-12,2916376
2017-11-13,2916407
2017-11-14,2915577
2017-11-15,2910837
2017-11-16,2908476
2017-11-17,2906224
2017-11-18,2900939
2017-11-19,2898560
2017-11-20,2880633
2017-11-21,2876611
2017-11-22,2870651
2017-11-23,2816069
2017-11-24,2797238
2017-11-25,2790023
2017-11-26,2811948
2017-11-27,2821790
2017-11-28,2821943
2017-11-29,2810497
2017-11-30,2801965
2017-12-01,2794504
2017-12-02,2795255
2017-12-03,2796334
2017-12-04,2794781
2017-12-05,2793810
2017-12-06,2793347
2017-12-07,2808171
2017-12-08,2819719
2017-12-09,2839378
2017-12-10,2852008
2017-12-11,2868144
2017-12-12,2873482
2017-12-13,2887885
2017-12-14,2889516
2017-12-15,2914881
2017-12-16,3028448
2017-12-17,3027561
2017-12-18,2992187
2017-12-19,2979577
2017-12-20,2972121
2017-12-21,2966581
2017-12-22,2976313
2017-12-23,2989248
2017-12-24,2982186
2017-12-25,2980554
2017-12-26,3022108
2017-12-27,3043396
2017-12-28,3033016
2017-12-29,3023525
2017-12-30,3012430
2017-12-31,2964425
2018-01-01,2938763
2018-01-02,2930008
2018-01-03,2949705
2018-01-04,2944018
2018-01-05,2940179
2018-01-06,2933123
2018-01-07,2922596
2018-01-08,2908657
2018-01-09,2900159
2018-01-10,2896510
2018-01-11,2885700
2018-01-12,2879331
2018-01-13,2879995
2018-01-14,2882120
2018-01-15,2863385
2018-01-16,2845207
2018-01-17,2820888
2018-01-18,2816933
2018-01-19,2815553
2018-01-20,2811466
2018-01-21,2824670
2018-01-22,2823488
2018-01-23,2825731
2018-01-24,2823060
2018-01-25,2820858
2018-01-26,2820244
2018-01-27,2816525
2018-01-28,2818404
2018-01-29,2813566
2018-01-30,2803723
2018-01-31,2791971
2018-02-01,2778993
2018-02-02,2782301
2018-02-03,2783249
2018-02-04,2782962
2018-02-05,2783313
2018-02-06,2784122
2018-02-07,2791652
2018-02-08,2785905
2018-02-09,2782617
2018-02-10,2779135
2018-02-11,2767223
2018-02-12,2737903
2018-02-13,2724966
2018-02-14,2710702
2018-02-15,2707839
2018-02-16,2735942
2018-02-17,2761654
2018-02-18,2766713
2018-02-19,2790250
2018-02-20,2801473
2018-02-21,2860154
2018-02-22,2883549
2018-02-23,2907250
2018-02-24,2903440
2018-02-25,2894785
2018-02-26,2881207
2018-02-27,2872419
2018-02-28,2877422
2018-03-01,2871763
2018-03-02,2885433
2018-03-03,2904471
2018-03-04,2927908
2018-03-05,2922087
2018-03-06,2910176
2018-03-07,2891626
2018-03-08,2866379
2018-03-09,2866460
2018-03-10,2890616
2018-03-11,2915916
2018-03-12,2921166
2018-03-13,2923065
2018-03-14,2931053
2018-03-15,2948053
2018-03-16,2947891
2018-03-17,2938591
2018-03-18,2937285
2018-03-19,2935978
2018-03-20,2949880
2018-03-21,2948599
2018-03-22,2943344
2018-03-23,2942413
2018-03-24,2942672
2018-03-25,2946679
2018-03-26,2941112
2018-03-27,2924917
2018-03-28,2906586
2018-03-29,2899172
2018-03-30,2908763
2018-03-31,2921850
2018-04-01,2929467
2018-04-02,2917456
2018-04-03,2915273
2018-04-04,2917805
2018-04-05,2923769
2018-04-06,2923501
2018-04-07,2934041
2018-04-08,2931534
2018-04-09,2932705
2018-04-10,2927599
2018-04-11,2919228
2018-04-12,2905925
2018-04-13,2906083
2018-04-14,2932999
2018-04-15,2930232
2018-04-16,2923930
2018-04-17,2923812
2018-04-18,2922185
2018-04-19,2921790
2018-04-20,2920953
2018-04-21,2918568
2018-04-22,2916077
2018-04-23,2919487
2018-04-24,2925329
2018-04-25,2921044
2018-04-26,2933068
2018-04-27,2953779
2018-04-28,2985302
2018-04-29,3000603
2018-04-30,2971490
2018-05-01,2957065
2018-05-02,2944828
2018-05-03,2943511
2018-05-04,2949864
2018-05-05,2962853
2018-05-06,2969857
2018-05-07,2956374
2018-05-08,2950775
2018-05-09,2932110
2018-05-10,2924377
2018-05-11,2921068
2018-05-12,2938224
2018-05-13,2934688
2018-05-14,2933033
2018-05-15,2940667
2018-05-16,2961050
2018-05-17,2981530
2018-05-18,3017803
2018-05-19,3046249
2018-05-20,3063971
2018-05-21,3067788
2018-05-22,3068690
2018-05-23,3035093
2018-05-24,3031631
2018-05-25,3025923
2018-05-26,3022387
2018-05-27,3047546
2018-05-28,3050493
2018-05-29,3038091
2018-05-30,3027944
2018-05-31,3015191
2018-06-01,3002394
2018-06-02,2991625
2018-06-03,2982994
2018-06-04,2963034
2018-06-05,2946246
2018-06-06,2956062
2018-06-07,2881982
2018-06-08,2883719
2018-06-09,2905434
2018-06-10,2917073
2018-06-11,2883837
2018-06-12,2822803
2018-06-13,2761610
2018-06-14,2761354
2018-06-15,2773743
2018-06-16,2815795
2018-06-17,2796905
2018-06-18,2780575
2018-06-19,2761101
2018-06-20,2759672
2018-06-21,2784537
2018-06-22,2850563
2018-06-23,2895014
2018-06-24,2866509
2018-06-25,2867289
2018-06-26,2858333
2018-06-27,2852686
2018-06-28,2847085
2018-06-29,2857583
2018-06-30,2872048
2018-07-01,2881769
2018-07-02,2889042
2018-07-03,2905932
2018-07-04,2900169
2018-07-05,2909108
2018-07-06,3014569
2018-07-07,3095852
2018-07-08,3154924
2018-07-09,3128680
2018-07-10,3156804
2018-07-11,3160390
2018-07-12,3163549
2018-07-13,3234482
2018-07-14,3262532
2018-07-15,3265947
2018-07-16,3252370
2018-07-17,3220956
2018-07-18,3205208
2018-07-19,3195760
2018-07-20,3195485
2018-07-21,3204078
2018-07-22,3187584
2018-07-23,3157470
2018-07-24,3095819
2018-07-25,3032354
2018-07-26,2974831
2018-07-27,2930993
2018-07-28,2948559
2018-07-29,2993893
2018-07-30,2999051
2018-07-31,3020849
2018-08-01,3067766
2018-08-02,3080929
2018-08-03,3085302
2018-08-04,3126346
2018-08-05,3144181
2018-08-06,3141145
2018-08-07,3144830
2018-08-08,3133812
2018-08-09,3106323
2018-08-10,3077120
2018-08-11,3090401
2018-08-12,3081990
2018-08-14,3049171
2018-08-16,3001011
2018-08-17,2981043
2018-08-18,2988696
2018-08-19,3007583
2018-08-20,3017161
2018-08-21,3016368
2018-08-22,3022746
2018-08-23,3028156
2018-08-24,3045341
2018-08-25,3066730
2018-08-26,3077301
2018-08-27,3086211
2018-08-28,3109133
2018-08-29,3095100
2018-08-30,3090400
2018-08-31,3087538
2018-09-01,3100277
2018-09-02,3084073
2018-09-03,3073148
2018-09-04,3033227
2018-09-05,3004507
2018-09-06,2986784
2018-09-07,2985626
2018-09-08,2996018
2018-09-09,2998847
2018-09-10,2986300
2018-09-11,2977573
2018-09-12,2974403
2018-09-13,2968182
2018-09-14,2991466
2018-09-15,3024676
2018-09-16,3047783
2018-09-17,3052701
2018-09-18,3043053
2018-09-19,3043251
2018-09-20,3037289
2018-09-21,3042833
2018-09-22,3060124
2018-09-23,3081185
2018-09-24,3077424
2018-09-25,3065747
2018-09-26,3058922
2018-09-27,3051715
2018-09-28,3041850
2018-09-29,3049988
2018-09-30,3037452
2018-10-01,3017309
2018-10-02,3005153
2018-10-03,2993464
2018-10-04,2994094
2018-10-05,2990454
2018-10-06,2994753
2018-10-07,2993627
2018-10-08,2992032
2018-10-09,2999770
2018-10-10,2999581
2018-10-11,2999452
2018-10-12,3014142
2018-10-13,3015471
2018-10-14,3014073
2018-10-15,3015837
2018-10-16,3015286
2018-10-17,3014716
2018-10-18,3013805
2018-10-19,3015248
2018-10-20,3015373
2018-10-21,3030336
2018-10-22,3035449
2018-10-23,3041770
2018-10-24,3047904
2018-10-25,3051808
2018-10-26,3057643
2018-10-27,3054005
2018-10-28,3051042
2018-10-29,3036809
2018-10-30,3037743
2018-10-31,3087323
2018-11-01,3180295
2018-11-03,3287018
2018-11-04,3315767
