date_obj,Rock-shell%20chunk price
2016-02-28,14061
2016-02-29,14061
2016-03-01,14061
2016-03-02,14061
2016-03-03,14061
2016-03-04,14061
2016-03-05,14061
2016-03-06,14061
2016-03-07,14061
2016-03-08,14061
2016-03-09,14061
2016-03-10,14061
2016-03-11,14061
2016-03-12,14061
2016-03-13,14061
2016-03-14,14061
2016-03-15,14061
2016-03-16,14061
2016-03-17,14061
2016-03-18,14061
2016-03-19,14061
2016-03-20,14061
2016-03-21,14061
2016-03-22,14061
2016-03-23,14061
2016-03-24,14061
2016-03-25,14061
2016-03-26,14061
2016-03-27,14061
2016-03-28,14061
2016-03-29,14061
2016-03-30,14061
2016-03-31,14061
2016-04-01,14061
2016-04-02,14061
2016-04-03,14061
2016-04-04,14061
2016-04-05,14061
2016-04-06,14061
2016-04-07,14061
2016-04-08,14061
2016-04-09,14061
2016-04-10,14061
2016-04-11,14061
2016-04-12,14061
2016-04-13,14061
2016-04-14,14061
2016-04-15,14061
2016-04-16,14061
2016-04-17,14061
2016-04-18,14061
2016-04-19,14061
2016-04-20,14061
2016-04-21,14061
2016-04-22,14061
2016-04-23,14061
2016-04-24,14061
2016-04-25,14061
2016-04-26,14061
2016-04-27,14061
2016-04-28,14061
2016-04-29,14061
2016-04-30,14061
2016-05-01,14061
2016-05-02,14061
2016-05-03,14061
2016-05-04,14061
2016-05-05,14061
2016-05-06,14061
2016-05-07,14061
2016-05-08,14061
2016-05-09,14061
2016-05-10,14061
2016-05-11,14061
2016-05-12,14061
2016-05-13,14061
2016-05-14,14061
2016-05-15,14061
2016-05-16,14061
2016-05-17,14061
2016-05-18,14061
2016-05-19,14061
2016-05-22,14061
2016-05-23,14061
2016-05-24,14061
2016-05-25,14061
2016-05-26,14061
2016-05-27,14061
2016-05-28,14061
2016-05-29,14061
2016-05-30,14061
2016-05-31,14061
2016-06-01,14061
2016-06-02,14061
2016-06-03,14061
2016-06-04,14061
2016-06-05,14061
2016-06-06,14061
2016-06-07,14061
2016-06-08,14061
2016-06-09,14061
2016-06-10,14060
2016-06-11,14060
2016-06-12,14060
2016-06-13,14060
2016-06-14,14060
2016-06-15,14060
2016-06-16,14060
2016-06-17,14060
2016-06-18,13774
2016-06-19,13774
2016-06-20,13774
2016-06-21,13774
2016-06-22,13774
2016-06-23,13774
2016-06-24,13774
2016-06-25,13774
2016-06-26,13774
2016-06-27,13774
2016-06-28,13774
2016-06-29,13774
2016-06-30,13774
2016-07-01,13774
2016-07-02,13774
2016-07-03,13774
2016-07-04,13152
2016-07-05,13152
2016-07-06,13152
2016-07-07,13152
2016-07-08,13152
2016-07-09,13152
2016-07-10,13152
2016-07-11,13152
2016-07-12,13152
2016-07-13,13152
2016-07-14,13152
2016-07-15,13152
2016-07-16,13152
2016-07-17,13152
2016-07-18,13152
2016-07-23,13152
2016-07-24,13152
2016-07-25,13152
2016-07-26,13152
2016-07-27,13152
2016-07-28,13152
2016-07-29,13152
2016-07-30,13152
2016-07-31,13152
2016-08-01,13152
2016-08-02,12542
2016-08-03,12542
2016-08-04,12542
2016-08-05,12542
2016-08-06,12542
2016-08-07,12542
2016-08-08,12542
2016-08-09,12542
2016-08-10,12542
2016-08-11,12542
2016-08-12,12542
2016-08-13,12542
2016-08-14,12542
2016-08-15,12542
2016-08-16,12542
2016-08-17,12542
2016-08-18,12542
2016-08-19,12542
2016-08-20,12542
2016-08-21,12542
2016-08-22,12542
2016-08-23,12542
2016-08-24,12542
2016-08-25,12542
2016-08-26,12542
2016-08-28,12542
2016-08-31,12542
2016-09-01,12542
2016-09-02,12542
2016-09-03,12542
2016-09-04,12542
2016-09-05,12542
2016-09-06,12542
2016-09-07,12542
2016-09-08,12542
2016-09-09,12542
2016-09-10,12542
2016-09-11,12542
2016-09-12,12542
2016-09-13,12542
2016-09-14,12542
2016-09-15,12163
2016-09-16,12163
2016-09-17,12163
2016-09-18,12163
2016-09-19,12163
2016-09-20,12163
2016-09-21,12163
2016-09-22,12163
2016-09-23,12163
2016-09-24,12163
2016-09-25,12163
2016-09-26,12163
2016-09-27,12163
2016-09-28,12163
2016-09-29,12163
2016-09-30,12163
2016-10-01,12163
2016-10-02,12163
2016-10-03,12163
2016-10-04,12163
2016-10-05,12163
2016-10-06,12163
2016-10-07,12163
2016-10-08,12163
2016-10-09,12163
2016-10-10,12163
2016-10-11,12163
2016-10-12,12163
2016-10-13,12163
2016-10-14,12163
2016-10-15,12163
2016-10-16,12163
2016-10-17,12163
2016-10-18,12163
2016-10-19,12163
2016-10-20,12163
2016-10-21,12163
2016-10-22,12163
2016-10-23,12163
2016-10-24,12163
2016-10-25,12163
2016-10-26,12163
2016-10-27,12163
2016-10-28,12163
2016-10-29,12163
2016-10-30,12163
2016-10-31,12163
2016-11-01,12163
2016-11-02,12163
2016-11-03,12163
2016-11-04,12163
2016-11-05,12163
2016-11-06,12163
2016-11-07,12163
2016-11-08,12163
2016-11-09,12163
2016-11-10,11953
2016-11-11,11953
2016-11-12,11953
2016-11-13,11953
2016-11-14,11953
2016-12-08,11953
2016-12-09,11953
2016-12-10,11953
2016-12-11,11953
2016-12-12,11953
2016-12-13,11953
2016-12-14,11953
2016-12-15,11953
2016-12-16,11953
2016-12-17,11953
2016-12-18,11953
2016-12-19,11953
2016-12-20,11953
2016-12-21,11953
2016-12-22,11953
2016-12-23,11953
2016-12-24,11953
2016-12-25,11953
2016-12-26,11953
2016-12-27,11871
2016-12-28,11871
2016-12-29,11871
2016-12-30,11871
2016-12-31,11871
2017-01-01,11871
2017-01-02,11871
2017-01-03,11871
2017-01-04,11871
2017-01-05,11871
2017-01-06,11871
2017-01-07,11871
2017-01-08,11871
2017-01-09,11871
2017-01-10,11871
2017-01-11,11871
2017-01-12,11871
2017-01-13,11871
2017-01-14,11871
2017-01-15,11871
2017-01-16,11871
2017-01-17,11871
2017-01-18,11871
2017-01-19,11871
2017-01-20,11871
2017-01-21,11871
2017-01-22,11871
2017-01-27,11871
2017-01-28,11871
2017-01-29,11871
2017-01-30,11871
2017-01-31,11871
2017-02-01,11871
2017-02-02,11871
2017-02-03,11871
2017-02-04,11704
2017-02-05,11704
2017-02-06,11704
2017-02-07,11704
2017-02-08,11704
2017-02-09,11704
2017-02-10,11704
2017-02-11,11704
2017-02-12,11704
2017-02-13,11704
2017-02-14,11704
2017-02-15,11704
2017-02-16,11704
2017-02-18,11704
2017-02-19,11704
2017-02-20,11704
2017-02-21,11704
2017-02-22,11704
2017-02-23,11704
2017-02-24,11704
2017-02-25,11704
2017-02-26,11704
2017-02-27,11704
2017-02-28,11704
2017-03-01,11704
2017-03-02,11704
2017-03-03,11704
2017-03-04,11704
2017-03-05,11704
2017-03-06,11704
2017-03-07,11704
2017-03-08,11704
2017-03-09,11704
2017-03-10,11704
2017-03-11,11704
2017-03-12,11704
2017-03-13,11704
2017-03-14,11704
2017-03-15,11704
2017-03-16,11704
2017-03-17,11704
2017-03-18,11704
2017-03-19,11704
2017-03-20,11704
2017-03-21,11407
2017-03-22,11407
2017-03-23,11407
2017-03-24,11407
2017-03-25,11407
2017-03-26,11407
2017-03-27,11407
2017-03-28,11407
2017-03-29,11407
2017-03-30,11407
2017-03-31,11407
2017-04-01,11407
2017-04-02,11407
2017-04-03,11407
2017-04-04,11407
2017-04-12,11407
2017-04-13,11407
2017-04-14,11407
2017-04-15,11407
2017-04-16,11407
2017-04-17,11407
2017-04-18,11407
2017-04-19,11407
2017-04-20,11407
2017-04-21,11407
2017-04-22,11407
2017-04-23,11407
2017-04-24,11407
2017-04-25,11407
2017-04-26,11407
2017-04-27,11407
2017-04-28,11407
2017-04-29,11407
2017-04-30,11407
2017-05-01,11407
2017-05-02,11407
2017-05-03,11407
2017-05-04,11407
2017-05-05,11407
2017-05-06,11407
2017-05-07,11407
2017-05-08,11547
2017-05-09,11547
2017-05-10,11547
2017-05-11,11547
2017-05-12,11547
2017-05-13,11547
2017-05-14,11547
2017-05-15,11547
2017-05-16,11547
2017-05-17,11547
2017-05-18,11547
2017-05-19,11547
2017-05-20,11547
2017-05-21,11547
2017-05-22,11547
2017-05-23,11547
2017-05-24,11547
2017-05-25,11547
2017-05-26,11547
2017-05-27,11547
2017-05-28,11547
2017-05-29,11547
2017-05-30,11547
2017-05-31,11547
2017-06-01,11547
2017-06-02,11547
2017-06-03,11547
2017-06-06,11547
2017-06-07,11547
2017-06-08,11547
2017-06-09,11547
2017-06-10,11547
2017-06-11,11547
2017-06-12,11547
2017-06-13,11547
2017-06-14,11547
2017-06-15,11547
2017-06-16,11547
2017-06-17,11547
2017-06-18,11547
2017-06-19,11547
2017-06-20,11547
2017-06-21,11547
2017-06-22,11564
2017-06-23,11564
2017-06-24,11564
2017-06-25,11564
2017-06-26,11564
2017-06-27,11564
2017-06-28,11564
2017-06-29,11564
2017-06-30,11564
2017-07-01,11564
2017-07-02,11564
2017-07-03,11564
2017-07-04,11564
2017-07-05,11564
2017-07-06,11564
2017-07-07,11564
2017-07-08,11564
2017-07-13,11564
2017-07-14,11564
2017-07-15,11564
2017-07-16,11564
2017-07-17,11564
2017-07-18,11564
2017-07-19,11564
2017-07-20,11564
2017-07-21,11564
2017-07-22,11564
2017-07-23,11564
2017-07-24,11564
2017-07-25,11564
2017-07-26,11564
2017-07-27,11564
2017-07-28,11564
2017-07-29,11564
2017-07-30,11564
2017-07-31,11564
2017-08-01,11564
2017-08-02,11564
2017-08-03,11564
2017-08-04,11564
2017-08-05,11564
2017-08-06,11564
2017-08-09,11668
2017-08-10,11668
2017-08-11,11668
2017-08-12,11668
2017-08-13,11668
2017-08-14,11668
2017-08-15,11668
2017-08-17,11668
2017-08-18,11668
2017-08-19,11668
2017-08-20,11668
2017-08-22,11668
2017-08-23,11668
2017-08-24,11668
2017-08-25,11668
2017-08-26,11668
2017-08-27,11668
2017-08-28,11668
2017-08-29,11668
2017-08-30,11668
2017-08-31,11668
2017-09-01,11668
2017-09-02,11668
2017-09-03,11668
2017-09-04,11668
2017-09-05,11668
2017-09-06,11668
2017-09-07,11668
2017-09-08,11668
2017-09-09,11668
2017-09-10,11668
2017-09-11,11668
2017-09-12,11668
2017-09-13,11668
2017-09-14,11668
2017-09-15,11668
2017-09-16,11668
2017-09-17,11668
2017-09-19,11668
2017-09-20,11668
2017-09-21,11668
2017-09-22,11668
2017-09-23,11668
2017-09-24,11668
2017-09-25,11772
2017-09-26,11772
2017-09-27,11772
2017-09-28,11772
2017-09-29,11772
2017-09-30,11772
2017-10-01,11772
2017-10-02,11772
2017-10-03,11772
2017-10-04,11772
2017-10-05,11772
2017-10-06,11772
2017-10-07,11772
2017-10-08,11772
2017-10-09,11772
2017-10-10,11772
2017-10-11,11772
2017-10-12,11772
2017-10-13,11772
2017-10-14,11772
2017-10-15,11772
2017-10-16,11772
2017-10-17,11772
2017-10-18,11772
2017-10-19,11772
2017-10-20,11772
2017-10-21,11772
2017-10-22,11772
2017-10-23,11772
2017-10-24,11772
2017-10-25,11772
2017-10-26,11772
2017-10-27,11772
2017-10-28,11772
2017-10-29,11772
2017-10-30,11772
2017-10-31,11772
2017-11-01,11772
2017-11-02,11772
2017-11-03,11772
2017-11-04,11772
2017-11-05,11772
2017-11-06,11772
2017-11-07,11772
2017-11-08,11772
2017-11-09,11574
2017-11-10,11574
2017-11-11,11574
2017-11-12,11574
2017-11-13,11574
2017-11-14,11574
2017-11-15,11574
2017-11-16,11574
2017-11-17,11574
2017-11-18,11574
2017-11-19,11574
2017-11-20,11574
2017-11-21,11574
2017-11-22,11574
2017-11-23,11574
2017-11-24,11574
2017-11-25,11574
2017-11-26,11574
2017-11-27,11574
2017-11-28,11574
2017-11-29,11574
2017-11-30,11574
2017-12-01,11574
2017-12-02,11574
2017-12-03,11574
2017-12-04,11574
2017-12-05,11574
2017-12-06,11574
2017-12-07,11574
2017-12-08,11574
2017-12-09,11574
2017-12-10,11574
2017-12-11,11574
2017-12-12,11574
2017-12-14,11574
2017-12-15,11574
2017-12-16,11574
2017-12-17,11574
2017-12-18,11574
2017-12-19,11574
2017-12-20,11574
2017-12-21,11574
2017-12-22,11574
2017-12-23,11574
2017-12-24,11574
2017-12-25,11574
2017-12-26,11574
2017-12-27,11794
2017-12-28,11794
2017-12-29,11794
2017-12-30,11794
2017-12-31,11794
2018-01-01,11794
2018-01-02,11794
2018-01-03,11794
2018-01-04,11794
2018-01-05,11794
2018-01-06,11794
2018-01-07,11794
2018-01-08,11794
2018-01-09,11794
2018-01-10,11794
2018-01-11,11794
