date_obj,Revenant%20ether price
2020-02-20,174
2020-02-21,174
2020-02-22,174
2020-02-23,174
2020-02-24,178
2020-02-25,177
2020-02-26,176
2020-02-27,175
2020-02-28,176
2020-02-29,175
2020-03-01,176
2020-03-02,177
2020-03-03,177
2020-03-04,176
2020-03-05,176
2020-03-06,176
2020-03-07,175
2020-03-08,176
2020-03-09,176
2020-03-10,176
2020-03-11,176
2020-03-12,175
2020-03-13,174
2020-03-14,173
2020-03-15,174
2020-03-16,175
2020-03-17,175
2020-03-18,176
2020-03-19,176
2020-03-20,176
2020-03-21,175
2020-03-22,175
2020-03-23,175
2020-03-24,175
2020-03-25,176
2020-03-26,175
2020-03-27,175
2020-03-28,175
2020-03-29,175
2020-03-30,175
2020-03-31,175
2020-04-01,175
2020-04-02,174
2020-04-03,175
2020-04-04,176
2020-04-05,177
2020-04-06,178
2020-04-07,176
2020-04-08,176
2020-04-09,176
2020-04-10,176
2020-04-11,177
2020-04-12,176
2020-04-13,176
2020-04-14,176
2020-04-15,176
2020-04-16,174
2020-04-17,173
2020-04-18,171
2020-04-19,171
2020-04-20,172
2020-04-21,172
2020-04-22,172
2020-04-23,173
2020-04-24,174
2020-04-25,175
2020-04-26,175
2020-04-27,177
2020-04-28,177
2020-04-29,176
2020-04-30,176
2020-05-01,175
2020-05-02,175
2020-05-03,176
2020-05-04,176
2020-05-05,176
2020-05-06,175
2020-05-07,176
2020-05-08,178
2020-05-09,177
2020-05-10,176
2020-05-11,176
2020-05-12,176
2020-05-13,176
