date_obj,Rune%20kiteshield price
2016-07-13,35176
2016-07-14,35833
2016-07-15,36037
2016-07-16,35939
2016-07-17,35805
2016-07-18,35648
2016-07-23,35425
2016-07-24,35326
2016-07-25,35739
2016-07-26,35908
2016-07-27,35931
2016-07-28,35990
2016-07-29,36002
2016-07-30,35995
2016-07-31,36042
2016-08-01,35731
2016-08-02,36105
2016-08-03,36280
2016-08-04,36698
2016-08-05,36820
2016-08-06,36539
2016-08-07,36553
2016-08-08,36445
2016-08-09,36570
2016-08-10,36567
2016-08-11,36473
2016-08-12,36505
2016-08-13,36646
2016-08-14,36561
2016-08-15,36500
2016-08-16,36444
2016-08-17,36497
2016-08-18,36105
2016-08-19,36075
2016-08-20,36212
2016-08-21,36269
2016-08-22,36063
2016-08-23,35720
2016-08-24,35231
2016-08-25,35428
2016-08-26,35686
2016-08-28,36202
2016-08-31,36600
2016-09-01,36817
2016-09-02,37026
2016-09-03,37089
2016-09-04,36329
2016-09-05,36235
2016-09-06,36644
2016-09-07,36521
2016-09-08,36715
2016-09-09,36671
2016-09-10,36778
2016-09-11,36752
2016-09-12,36918
2016-09-13,36738
2016-09-14,37054
2016-09-15,37008
2016-09-16,36871
2016-09-17,36589
2016-09-18,36341
2016-09-19,36369
2016-09-20,36433
2016-09-21,36429
2016-09-22,36687
2016-09-23,36640
2016-09-24,36200
2016-09-25,36290
2016-09-26,36078
2016-09-27,36110
2016-09-28,36173
2016-09-29,36148
2016-09-30,35695
2016-10-01,35631
2016-10-02,35765
2016-10-03,35990
2016-10-04,36113
2016-10-05,36050
2016-10-06,36225
2016-10-07,36176
2016-10-08,36255
2016-10-09,36259
2016-10-10,36203
2016-10-11,36374
2016-10-12,36643
2016-10-13,36716
2016-10-14,36680
2016-10-15,36719
2016-10-16,36442
2016-10-17,36435
2016-10-18,36494
2016-10-19,36280
2016-10-20,36232
2016-10-21,36314
2016-10-22,36093
2016-10-23,36224
2016-10-24,36312
2016-10-25,36327
2016-10-26,36323
2016-10-27,36381
2016-10-28,36508
2016-10-29,36696
2016-10-30,36627
2016-10-31,36610
2016-11-01,36607
2016-11-02,36727
2016-11-03,36756
2016-11-04,36830
2016-11-05,36723
2016-11-06,36557
2016-11-07,35939
2016-11-08,35630
2016-11-09,35447
2016-11-10,34833
2016-11-11,35026
2016-11-12,35354
2016-11-13,35101
2016-11-14,35273
2016-12-08,35848
2016-12-09,36148
2016-12-10,35894
2016-12-11,35940
2016-12-12,35894
2016-12-13,35626
2016-12-14,35838
2016-12-15,35969
2016-12-16,35837
2016-12-17,35856
2016-12-18,35228
2016-12-19,34564
2016-12-20,35127
2016-12-21,35906
2016-12-22,35853
2016-12-23,36026
2016-12-24,35771
2016-12-25,35724
2016-12-26,35720
2016-12-27,35840
2016-12-28,35921
2016-12-29,36154
2016-12-30,36293
2016-12-31,36182
2017-01-01,35862
2017-01-02,35701
2017-01-03,35800
2017-01-04,35814
2017-01-05,35920
2017-01-06,35901
2017-01-07,35240
2017-01-08,35696
2017-01-09,35677
2017-01-10,35664
2017-01-11,35727
2017-01-12,35697
2017-01-13,35707
2017-01-14,36083
2017-01-15,36115
2017-01-16,36122
2017-01-17,36211
2017-01-18,36171
2017-01-19,36447
2017-01-20,36293
2017-01-21,36421
2017-01-22,36504
2017-01-27,36466
2017-01-28,36219
2017-01-29,35968
2017-01-30,36169
2017-01-31,36157
2017-02-01,36136
2017-02-02,36131
2017-02-03,36271
2017-02-04,36384
2017-02-05,36362
2017-02-06,36389
2017-02-07,36238
2017-02-08,36303
2017-02-09,36243
2017-02-10,36331
2017-02-11,36241
2017-02-12,36019
2017-02-13,35852
2017-02-14,35695
2017-02-15,35170
2017-02-16,35442
2017-02-18,35470
2017-02-19,35660
2017-02-20,35943
2017-02-21,36199
2017-02-22,36303
2017-02-23,36434
2017-02-24,36470
2017-02-25,36611
2017-02-26,36658
2017-02-27,36691
2017-02-28,36571
2017-03-01,36482
2017-03-02,36389
2017-03-03,36170
2017-03-04,36318
2017-03-05,36449
2017-03-06,36582
2017-03-07,36535
2017-03-08,36398
2017-03-09,36622
2017-03-10,36503
2017-03-11,36474
2017-03-12,36399
2017-03-13,36315
2017-03-14,36240
2017-03-15,36314
2017-03-16,36412
2017-03-17,36578
2017-03-18,36444
2017-03-19,36309
2017-03-20,36365
2017-03-21,36325
2017-03-22,36261
2017-03-23,36312
2017-03-24,36367
2017-03-25,36512
2017-03-26,36410
2017-03-27,36442
2017-03-28,36540
2017-03-29,36645
2017-03-30,36655
2017-03-31,36639
2017-04-01,36759
2017-04-02,36793
2017-04-03,36750
2017-04-04,36705
2017-04-12,36582
2017-04-13,36785
2017-04-14,36482
2017-04-15,36131
2017-04-16,36418
2017-04-17,36507
2017-04-18,36568
2017-04-19,36187
2017-04-20,35162
2017-04-21,34008
2017-04-22,32988
2017-04-23,32741
2017-04-24,32754
2017-04-25,32805
2017-04-26,32519
2017-04-27,33257
2017-04-28,34297
2017-04-29,34908
2017-04-30,34713
2017-05-01,35010
2017-05-02,35289
2017-05-03,35108
2017-05-04,34510
2017-05-05,34726
2017-05-06,34528
2017-05-07,34198
2017-05-08,34664
2017-05-09,35126
2017-05-10,35241
2017-05-11,35199
2017-05-12,35375
2017-05-13,35777
2017-05-14,35796
2017-05-15,35916
2017-05-16,36212
2017-05-17,36483
2017-05-18,36503
2017-05-19,36467
2017-05-20,36168
2017-05-21,36110
2017-05-22,36296
2017-05-23,36374
2017-05-24,36124
2017-05-25,34317
2017-05-26,32658
2017-05-27,32052
2017-05-28,32218
2017-05-29,32262
2017-05-30,32243
2017-05-31,32222
2017-06-01,32182
2017-06-02,32175
2017-06-03,32233
2017-06-06,32212
2017-06-07,32228
2017-06-08,32138
2017-06-09,32090
2017-06-10,32111
2017-06-11,32113
2017-06-12,32193
2017-06-13,32249
2017-06-14,32258
2017-06-15,32231
2017-06-16,32273
2017-06-17,32346
2017-06-18,32141
2017-06-19,32103
2017-06-20,32230
2017-06-21,32300
2017-06-22,32210
2017-06-23,32222
2017-06-24,32247
2017-06-25,32105
2017-06-26,32169
2017-06-27,32178
2017-06-28,32152
2017-06-29,32143
2017-06-30,32180
2017-07-01,32145
2017-07-02,32093
2017-07-03,32104
2017-07-04,32112
2017-07-05,32172
2017-07-06,32233
2017-07-07,32256
2017-07-08,32038
2017-07-13,32204
2017-07-14,32248
2017-07-15,32284
2017-07-16,32233
2017-07-17,32270
2017-07-18,32298
2017-07-19,32280
2017-07-20,32315
2017-07-21,32300
2017-07-22,32290
2017-07-23,32296
2017-07-24,32329
2017-07-25,32308
2017-07-26,32301
2017-07-27,32261
2017-07-28,32297
2017-07-29,32284
2017-07-30,32201
2017-07-31,32254
2017-08-01,32289
2017-08-02,32316
2017-08-03,32293
2017-08-04,32305
2017-08-05,32285
2017-08-06,32276
2017-08-09,32237
2017-08-10,32236
2017-08-11,32242
2017-08-12,32215
2017-08-13,32230
2017-08-14,32219
2017-08-15,32183
2017-08-17,32293
2017-08-18,32240
2017-08-19,32277
2017-08-20,32235
2017-08-21,32232
2017-08-22,32273
2017-08-23,32343
2017-08-24,32287
2017-08-25,32296
2017-08-26,32251
2017-08-27,32245
2017-08-28,32265
2017-08-29,32292
2017-08-30,32258
2017-08-31,32164
2017-09-01,32380
2017-09-02,32256
2017-09-03,32305
2017-09-04,32154
2017-09-05,32239
2017-09-06,32314
2017-09-07,32304
2017-09-08,32333
2017-09-09,32280
2017-09-10,32324
2017-09-11,32255
2017-09-12,32253
2017-09-13,32268
2017-09-14,32246
2017-09-15,32259
2017-09-16,32322
2017-09-17,32220
2017-09-19,32345
2017-09-20,32258
2017-09-21,32323
2017-09-22,32355
2017-09-23,32333
2017-09-24,32136
2017-09-25,32158
2017-09-26,32232
2017-09-27,32213
2017-09-28,32319
2017-09-29,32321
2017-09-30,32374
2017-10-01,32221
2017-10-02,32256
2017-10-03,32251
2017-10-04,32245
2017-10-05,32269
2017-10-06,32268
2017-10-07,32248
2017-10-08,32234
2017-10-09,32227
2017-10-10,32272
2017-10-11,32243
2017-10-12,32280
2017-10-13,32277
2017-10-14,32260
2017-10-15,32233
2017-10-16,32244
2017-10-17,32251
2017-10-18,32225
2017-10-19,32244
2017-10-20,32267
2017-10-21,32248
2017-10-22,32237
2017-10-23,32275
2017-10-24,32263
2017-10-25,32253
2017-10-26,32248
2017-10-27,32265
2017-10-28,32245
2017-10-29,32217
2017-10-30,32282
2017-10-31,32260
2017-11-01,32279
2017-11-02,32285
2017-11-03,32276
2017-11-04,32244
2017-11-05,32137
2017-11-06,32303
2017-11-07,32515
2017-11-08,32235
2017-11-09,32290
2017-11-10,32331
2017-11-11,32290
2017-11-12,32387
2017-11-13,32348
2017-11-14,32303
2017-11-15,32323
2017-11-16,32269
2017-11-17,32183
2017-11-18,32209
2017-11-19,32254
2017-11-20,32327
2017-11-21,32268
2017-11-22,32334
2017-11-23,31980
2017-11-24,32121
2017-11-25,32230
2017-11-26,32279
2017-11-27,32176
2017-11-28,32262
