date_obj,Black%20d'hide%20shield price
2018-06-13,17538
2018-06-14,17604
2018-06-15,17321
2018-06-16,17633
2018-06-17,17528
2018-06-18,17530
2018-06-19,17719
2018-06-20,17749
2018-06-21,17652
2018-06-22,17918
2018-06-23,18036
2018-06-24,18259
2018-06-25,18688
2018-06-26,19356
2018-06-27,19813
2018-06-28,20804
2018-06-29,21382
2018-06-30,20349
2018-07-01,19356
2018-07-02,18388
2018-07-03,17512
2018-07-04,17279
2018-07-05,17065
2018-07-06,16983
2018-07-07,17024
2018-07-08,17298
2018-07-09,17779
2018-07-10,18633
2018-07-11,19399
2018-07-12,19096
2018-07-13,18770
2018-07-14,18049
2018-07-15,17279
2018-07-16,16663
2018-07-17,16942
2018-07-18,17074
2018-07-19,17235
2018-07-20,17569
2018-07-21,18181
2018-07-22,18917
2018-07-23,19320
2018-07-24,19533
2018-07-25,19835
2018-07-26,20435
2018-07-27,20056
2018-07-28,19526
2018-07-29,20001
2018-07-30,20714
2018-07-31,21041
2018-08-01,21335
2018-08-02,22179
2018-08-03,23240
2018-08-04,23119
2018-08-05,21965
2018-08-06,20919
2018-08-07,20574
2018-08-08,19986
2018-08-09,19400
2018-08-10,19068
2018-08-11,18969
2018-08-12,19649
2018-08-14,18401
2018-08-16,18318
2018-08-17,18335
2018-08-18,18558
2018-08-19,18851
2018-08-20,18784
2018-08-21,18731
2018-08-22,18548
2018-08-23,18329
2018-08-24,18225
2018-08-25,18540
2018-08-26,18553
2018-08-27,18408
2018-08-28,17986
2018-08-29,17593
2018-08-30,17335
2018-08-31,17383
2018-09-01,17402
2018-09-02,17338
2018-09-03,17243
2018-09-04,17360
2018-09-05,17286
2018-09-06,17095
2018-09-07,17165
2018-09-08,17740
2018-09-09,18396
2018-09-10,19300
2018-09-11,20265
2018-09-12,21279
2018-09-13,21045
2018-09-14,20042
2018-09-15,19803
2018-09-16,20335
2018-09-17,20516
2018-09-18,21289
2018-09-19,21919
2018-09-20,22404
2018-09-21,22980
2018-09-22,21982
2018-09-23,20882
2018-09-24,19837
2018-09-25,18845
2018-09-26,17999
2018-09-27,17899
2018-09-28,17732
2018-09-29,17869
2018-09-30,18076
2018-10-02,18784
2018-10-03,18765
2018-10-04,19038
2018-10-05,19263
2018-10-06,19255
2018-10-07,20098
2018-10-08,20020
2018-10-09,19885
2018-10-10,19186
2018-10-11,19134
2018-10-12,19118
2018-10-13,18718
2018-10-14,18550
2018-10-15,18420
2018-10-16,18269
2018-10-17,18745
2018-10-18,18936
2018-10-19,19112
2018-10-20,19385
2018-10-21,19667
2018-10-22,20241
2018-10-23,20659
2018-10-24,20860
2018-10-25,20333
2018-10-26,20246
2018-10-27,20728
2018-10-28,21063
2018-10-29,22068
2018-10-30,22519
2018-10-31,23236
2018-11-01,22960
2018-11-03,24039
2018-11-04,24962
2018-11-05,25421
2018-11-06,24645
2018-11-07,23666
2018-11-08,22597
2018-11-09,21467
2018-11-10,20466
2018-11-11,19751
2018-11-12,20021
2018-11-13,20390
2018-11-15,20238
2018-11-16,19775
2018-11-17,19730
2018-11-18,19821
2018-11-19,19500
2018-11-20,18754
2018-11-21,18620
2018-11-22,19302
2018-11-23,19887
2018-11-24,19825
2018-11-25,19979
2018-11-26,19279
2018-11-27,18803
2018-11-28,18941
2018-11-29,19093
2018-12-01,19410
2018-12-02,19470
2018-12-03,19617
2018-12-04,19385
2018-12-05,19726
2018-12-07,19527
2018-12-09,18693
2018-12-10,18782
2018-12-11,19227
2018-12-12,18973
2018-12-13,18563
2018-12-14,18355
2018-12-15,18429
2018-12-16,18649
2018-12-17,18983
2018-12-18,19191
2018-12-19,19403
2018-12-20,19448
2018-12-21,19324
2018-12-22,19293
2018-12-23,19311
2018-12-24,19348
2018-12-25,19240
2018-12-26,19661
2018-12-27,20092
2018-12-28,20643
2018-12-29,20611
2018-12-30,20857
2018-12-31,21648
2019-01-01,22515
2019-01-02,22484
2019-01-03,21511
2019-01-04,21091
2019-01-05,20612
2019-01-06,20476
2019-01-08,20461
2019-01-10,19706
2019-01-11,19557
2019-01-12,19344
2019-01-13,18898
2019-01-14,18228
2019-01-15,17495
2019-01-16,18053
2019-01-17,18190
2019-01-18,18253
2019-01-19,18587
2019-01-20,19044
2019-01-21,19752
2019-01-22,20169
2019-01-23,20608
2019-01-24,20053
2019-01-25,20444
2019-01-26,20339
2019-01-27,20132
2019-01-28,19674
2019-01-29,19190
2019-01-30,18352
2019-01-31,17918
2019-02-01,18110
2019-02-02,18242
2019-02-03,18349
2019-02-04,18887
2019-02-05,18859
2019-02-06,19148
2019-02-07,19005
2019-02-08,19136
2019-02-09,18878
2019-02-10,18845
2019-02-11,18639
2019-02-12,18608
2019-02-13,18500
2019-02-14,18303
2019-02-15,18665
2019-02-16,18998
2019-02-17,19494
2019-02-18,20108
2019-02-19,20224
2019-02-20,21187
2019-02-21,21930
2019-02-22,21696
2019-02-23,21999
2019-02-24,20969
2019-02-25,19991
2019-02-26,20345
2019-02-27,19814
2019-02-28,20124
2019-03-01,20399
2019-03-02,20966
2019-03-03,21925
2019-03-04,23021
2019-03-05,22700
2019-03-06,23711
2019-03-07,22591
2019-03-08,21461
2019-03-09,20411
2019-03-10,19606
2019-03-11,19167
2019-03-12,19033
2019-03-13,18714
2019-03-14,18041
2019-03-15,17933
2019-03-16,17996
2019-03-17,17781
2019-03-18,17288
2019-03-19,17331
2019-03-20,17698
2019-03-21,17999
2019-03-22,18191
2019-03-23,18199
2019-03-24,17701
2019-03-25,17532
2019-03-26,17656
2019-03-27,18102
2019-03-28,18124
2019-03-29,18125
2019-03-30,18429
2019-03-31,18370
2019-04-01,18477
2019-04-02,18835
2019-04-03,18498
2019-04-04,18228
2019-04-05,18671
2019-04-06,18427
2019-04-07,18438
2019-04-08,18382
2019-04-09,18292
2019-04-10,18751
2019-04-11,18561
2019-04-12,18999
2019-04-13,19643
2019-04-14,20204
2019-04-15,19952
2019-04-16,19825
2019-04-17,20352
2019-04-18,20421
2019-04-19,20086
2019-04-20,20370
2019-04-21,20483
2019-04-22,20618
2019-04-23,20125
2019-04-24,20117
2019-04-25,19720
2019-04-26,19305
2019-04-27,19241
2019-04-28,19202
2019-04-29,19221
2019-04-30,19579
2019-05-01,19607
2019-05-02,19880
2019-05-03,20064
2019-05-04,19265
2019-05-05,18829
2019-05-06,18881
2019-05-07,18801
2019-05-08,19177
2019-05-09,19512
2019-05-10,19716
2019-05-11,20241
2019-05-12,20291
2019-05-13,20552
2019-05-14,19713
2019-05-15,19190
2019-05-16,19406
2019-05-17,19208
2019-05-18,19422
2019-05-19,19296
2019-05-20,19318
2019-05-21,19022
2019-05-22,19112
2019-05-23,19025
2019-05-24,18855
2019-05-25,18749
2019-05-26,18865
2019-05-27,19040
2019-05-28,18987
2019-05-29,18882
2019-05-30,19057
2019-05-31,19020
2019-06-01,19121
2019-06-02,19207
2019-06-03,18967
2019-06-04,18960
2019-06-05,18914
2019-06-06,18937
2019-06-07,18983
2019-06-08,19107
2019-06-09,18732
2019-06-10,18849
2019-06-11,18971
2019-06-12,18987
2019-06-13,19057
2019-06-14,18983
2019-06-15,18825
2019-06-16,18889
2019-06-17,18974
2019-06-18,19083
2019-06-19,19341
2019-06-20,19042
2019-06-21,19421
2019-06-22,19272
2019-06-23,19097
2019-06-24,19297
2019-06-25,19449
2019-06-26,19528
2019-06-27,19735
2019-06-28,20695
2019-06-29,20957
2019-06-30,20649
2019-07-01,21175
2019-07-02,21390
2019-07-03,20832
2019-07-04,21198
2019-07-05,20489
2019-07-06,19648
2019-07-07,18665
2019-07-08,17734
2019-07-09,17714
2019-07-10,18141
2019-07-11,18096
2019-07-12,17939
2019-07-13,17920
2019-07-14,17821
2019-07-15,17890
2019-07-16,18043
2019-07-17,18386
2019-07-18,18894
2019-07-19,19473
2019-07-20,19505
2019-07-21,19104
2019-07-22,18277
2019-07-23,17833
2019-07-24,17741
2019-07-25,18213
2019-07-26,18535
2019-07-27,18990
2019-07-28,19545
2019-07-29,20248
2019-07-30,19666
2019-07-31,19136
2019-08-01,19057
2019-08-02,19219
2019-08-03,19448
2019-08-04,19726
2019-08-05,19299
2019-08-06,19057
2019-08-07,18977
2019-08-08,19425
2019-08-09,19564
2019-08-10,20057
2019-08-11,20431
2019-08-12,20767
2019-08-13,20782
2019-08-14,20221
2019-08-15,19951
2019-08-16,19353
2019-08-17,19409
2019-08-18,19378
2019-08-19,19336
2019-08-20,19339
2019-08-21,19159
2019-08-22,19256
2019-08-23,19355
2019-08-24,19390
2019-08-24,19390
2019-08-25,19817
2019-08-25,19817
2019-08-26,19909
2019-08-27,20241
2019-08-27,20241
2019-08-28,19792
2019-08-29,19063
2019-08-30,19048
2019-08-31,18768
2019-09-01,18432
2019-09-02,18718
2019-09-03,18668
2019-09-04,18699
2019-09-05,18629
2019-09-06,18694
2019-09-07,18685
2019-09-08,18784
2019-09-09,19548
2019-09-10,20014
2019-09-11,19731
2019-09-12,18935
2019-09-13,18249
2019-09-14,17438
2019-09-15,16990
2019-09-16,17222
2019-09-17,17384
2019-09-18,17328
2019-09-19,17758
2019-09-20,17860
2019-09-21,18323
2019-09-22,18477
2019-09-23,18665
2019-09-24,18670
2019-09-25,18568
2019-09-26,18763
2019-09-27,18902
2019-09-28,18494
2019-09-29,18306
2019-09-30,18453
2019-10-01,19008
2019-10-02,19959
2019-10-03,20879
2019-10-04,20252
2019-10-05,19558
2019-10-06,19787
2019-10-07,19185
2019-10-08,19064
2019-10-09,18927
2019-10-10,19237
2019-10-11,19214
2019-10-12,19171
2019-10-13,19143
2019-10-14,18856
2019-10-15,19204
2019-10-16,19324
2019-10-17,19387
2019-10-18,19365
2019-10-19,19371
2019-10-20,19418
2019-10-21,19495
2019-10-22,19629
2019-10-23,20055
2019-10-24,20462
2019-10-25,20046
2019-10-26,19450
2019-10-27,19144
2019-10-28,19269
2019-10-29,19184
2019-10-30,18952
2019-10-31,19250
2019-11-01,19055
2019-11-02,19225
2019-11-03,18867
2019-11-04,18936
2019-11-05,19211
2019-11-06,19312
2019-11-07,19275
2019-11-08,19003
2019-11-09,19306
2019-11-10,19276
2019-11-11,19241
2019-11-12,19234
2019-11-13,19258
2019-11-14,19478
2019-11-15,19951
2019-11-16,20482
2019-11-17,20337
2019-11-18,19654
2019-11-19,18923
2019-11-20,18865
2019-11-21,19255
2019-11-22,19461
2019-11-23,19289
2019-11-24,19144
2019-11-25,19439
2019-11-26,19839
2019-11-27,20662
2019-11-28,20881
2019-11-29,20088
2019-11-30,19311
2019-12-01,19108
2019-12-02,19279
2019-12-03,19396
2019-12-04,19294
2019-12-05,19176
2019-12-06,19266
2019-12-07,19136
2019-12-08,18723
2019-12-09,18808
2019-12-10,19058
2019-12-11,19090
2019-12-12,19036
2019-12-13,19063
2019-12-14,19112
2019-12-15,18936
2019-12-16,18911
2019-12-17,18649
2019-12-18,18646
2019-12-19,18839
2019-12-20,18889
2019-12-21,18697
2019-12-22,18697
2019-12-23,18505
2019-12-24,18723
2019-12-25,18711
2019-12-26,18789
2019-12-27,18401
2019-12-28,18552
2019-12-29,18553
2019-12-30,18376
2019-12-31,18402
2020-01-01,18588
2020-01-02,18546
2020-01-03,18495
2020-01-04,18185
2020-01-05,18340
2020-01-06,18410
2020-01-07,17825
2020-01-08,17833
2020-01-09,18170
2020-01-10,18242
2020-01-11,18306
2020-01-12,18409
2020-01-13,17844
2020-01-14,18018
2020-01-15,18510
2020-01-16,18584
2020-01-17,18710
2020-01-18,18790
2020-01-19,19639
2020-01-20,20404
2020-01-21,20423
2020-01-22,20205
2020-01-23,20019
2020-01-24,19944
2020-01-25,19541
2020-01-26,18844
2020-01-27,18259
2020-01-28,18333
2020-01-29,18342
2020-01-30,18621
2020-01-31,18856
2020-02-01,18864
2020-02-02,19373
2020-02-03,19269
2020-02-04,18763
2020-02-05,18990
2020-02-06,19115
2020-02-07,19521
2020-02-08,19084
2020-02-09,18224
2020-02-10,18035
2020-02-11,18366
2020-02-12,18528
2020-02-13,18676
2020-02-14,18590
2020-02-15,18646
2020-02-16,18558
2020-02-17,18818
2020-02-18,18759
2020-02-19,19021
2020-02-20,18786
2020-02-21,18591
2020-02-22,18835
2020-02-23,18830
2020-02-24,18740
2020-02-25,18638
2020-02-26,18918
2020-02-27,18573
2020-02-28,18714
2020-02-29,19109
2020-03-01,19049
2020-03-02,18657
2020-03-03,19057
2020-03-04,18989
2020-03-05,18847
2020-03-06,19160
2020-03-07,19115
2020-03-08,18968
2020-03-09,19040
2020-03-10,19332
2020-03-11,19551
2020-03-12,19330
2020-03-13,19062
2020-03-14,19217
2020-03-15,19447
2020-03-16,19538
2020-03-17,19380
2020-03-18,19243
2020-03-19,19026
2020-03-20,18826
2020-03-21,19527
2020-03-22,19963
2020-03-23,20119
2020-03-24,20762
2020-03-25,21786
2020-03-26,21506
2020-03-27,20983
2020-03-28,20289
2020-03-29,19809
2020-03-30,19928
2020-03-31,19466
2020-04-01,19142
2020-04-02,19102
2020-04-03,18810
2020-04-04,18858
2020-04-05,18877
2020-04-06,18925
2020-04-07,19129
2020-04-08,19159
2020-04-09,19582
2020-04-10,20452
2020-04-11,21299
2020-04-12,22192
2020-04-13,21572
2020-04-14,20667
2020-04-15,20159
2020-04-16,19893
2020-04-17,19932
2020-04-18,19507
2020-04-19,19789
2020-04-20,19434
2020-04-21,18956
2020-04-22,19173
2020-04-23,19276
2020-04-24,18973
2020-04-25,18410
2020-04-26,18710
2020-04-27,18618
2020-04-28,18458
2020-04-29,18760
2020-04-30,18664
2020-05-01,18759
2020-05-02,18861
2020-05-03,18929
2020-05-04,19329
2020-05-05,19712
2020-05-06,19359
2020-05-07,18748
2020-05-08,18527
2020-05-09,18267
2020-05-10,18132
2020-05-11,17788
2020-05-12,17737
2020-05-13,18256
