date_obj,Monk's%20robe%20(t) price
2019-09-01,23932
2019-09-02,23932
2019-09-03,23971
2019-09-04,23539
2019-09-05,24445
2019-09-06,24445
2019-09-07,24793
2019-09-08,24527
2019-09-09,24259
2019-09-10,23703
2019-09-11,24016
2019-09-12,24688
2019-09-13,24678
2019-09-14,24925
2019-09-15,25120
2019-09-16,25094
2019-09-17,25284
2019-09-18,25295
2019-09-19,25048
2019-09-20,25294
2019-09-21,25139
2019-09-22,24921
2019-09-23,25075
2019-09-24,25075
2019-09-25,24836
2019-09-26,24707
2019-09-27,25058
2019-09-28,25235
2019-09-29,25145
2019-09-30,24871
2019-10-01,24526
2019-10-02,24460
2019-10-03,24301
2019-10-04,24581
2019-10-05,24532
2019-10-06,24399
2019-10-07,24517
2019-10-08,25362
2019-10-09,25362
2019-10-10,25818
2019-10-11,25658
2019-10-12,25981
2019-10-13,25421
2019-10-14,25253
2019-10-15,24737
2019-10-16,24359
2019-10-17,24359
2019-10-18,23990
2019-10-19,24021
2019-10-20,24535
2019-10-21,24441
2019-10-22,24244
2019-10-23,24267
2019-10-24,24390
2019-10-25,24406
2019-10-26,24204
2019-10-27,24145
2019-10-28,24379
2019-10-29,24192
2019-10-30,24335
2019-10-31,25034
2019-11-01,25389
2019-11-02,25396
2019-11-03,25791
2019-11-04,26671
2019-11-05,26671
2019-11-06,26651
2019-11-07,27137
2019-11-08,27431
2019-11-09,28054
2019-11-10,28045
2019-11-11,28619
2019-11-12,28930
2019-11-13,29656
2019-11-14,29799
2019-11-15,29818
2019-11-16,30698
2019-11-17,30698
2019-11-18,31407
2019-11-19,31964
2019-11-20,32808
2019-11-21,32808
2019-11-22,33590
2019-11-23,33933
2019-11-24,34782
2019-11-25,35469
2019-11-26,34344
2019-11-27,34689
2019-11-28,35048
2019-11-29,35048
2019-11-30,34929
2019-12-01,34843
2019-12-02,34618
2019-12-03,34554
2019-12-04,35246
2019-12-05,35246
2019-12-06,35800
2019-12-07,36061
2019-12-08,36316
2019-12-09,37129
2019-12-10,37191
2019-12-11,36915
2019-12-12,37134
2019-12-13,37708
2019-12-14,38157
2019-12-15,38209
2019-12-16,38903
2019-12-17,38787
2019-12-18,38787
2019-12-19,38199
2019-12-20,38589
2019-12-21,38968
2019-12-22,39296
2019-12-23,39718
2019-12-24,40135
2019-12-25,40706
2019-12-26,40952
2019-12-27,40366
2019-12-28,40168
2019-12-29,40951
2019-12-30,40767
2019-12-31,40852
2020-01-01,40403
2020-01-02,39427
2020-01-03,38611
2020-01-04,38139
2020-01-05,37738
2020-01-06,37029
2020-01-07,37134
2020-01-08,37134
2020-01-09,36617
2020-01-10,35869
2020-01-11,35570
2020-01-12,35084
2020-01-13,34442
2020-01-14,33617
2020-01-15,33097
2020-01-16,32356
2020-01-17,31653
2020-01-18,31653
2020-01-19,31103
2020-01-20,30762
2020-01-21,30762
2020-01-22,30122
2020-01-23,29698
2020-01-24,29334
2020-01-25,29262
2020-01-26,28670
2020-01-27,28443
2020-01-28,28108
2020-01-29,27711
2020-01-30,28067
2020-01-31,27966
2020-02-01,27762
2020-02-02,27468
2020-02-03,27045
2020-02-04,26143
2020-02-05,25240
2020-02-06,24770
2020-02-07,24720
2020-02-08,24197
2020-02-09,23545
2020-02-10,23032
2020-02-11,22669
2020-02-12,22883
2020-02-13,22778
2020-02-14,22967
2020-02-15,22849
2020-02-16,23034
2020-02-17,23081
2020-02-18,22617
2020-02-19,22896
2020-02-20,23078
2020-02-21,23078
2020-02-22,23117
2020-02-23,22981
2020-02-24,22800
2020-02-25,22976
2020-02-26,22624
2020-02-27,22448
2020-02-28,22864
2020-02-29,22864
2020-03-01,22802
2020-03-02,22758
2020-03-03,22717
2020-03-04,22717
2020-03-05,22448
2020-03-06,22232
2020-03-07,22137
2020-03-08,21501
2020-03-09,21602
2020-03-10,21521
2020-03-11,21601
2020-03-12,21765
2020-03-13,21415
2020-03-14,21665
2020-03-15,21431
2020-03-16,20846
2020-03-17,20874
2020-03-18,20683
2020-03-19,20387
2020-03-20,20300
2020-03-21,20646
2020-03-22,20508
2020-03-23,20828
2020-03-24,21166
2020-03-25,21231
2020-03-26,21203
2020-03-27,21544
2020-03-28,22030
2020-03-29,22113
2020-03-30,22160
2020-03-31,22664
2020-04-01,23268
2020-04-02,23839
2020-04-03,24212
2020-04-04,24326
2020-04-05,24653
2020-04-06,24856
2020-04-07,24892
2020-04-08,24605
2020-04-09,23912
2020-04-10,23633
2020-04-11,23086
2020-04-12,22707
2020-04-13,22576
2020-04-14,22271
2020-04-15,21902
2020-04-16,21448
2020-04-17,20761
2020-04-18,19980
2020-04-19,19452
2020-04-20,18965
2020-04-21,18560
2020-04-22,18553
2020-04-23,18539
2020-04-24,18416
2020-04-25,18429
2020-04-26,18290
2020-04-27,17782
2020-04-28,17482
2020-04-29,17146
2020-04-30,16940
2020-05-01,17034
2020-05-02,16959
2020-05-03,16745
2020-05-04,16576
2020-05-05,16368
2020-05-06,16381
2020-05-07,16303
2020-05-08,16224
2020-05-09,16203
2020-05-10,16320
2020-05-11,16426
2020-05-12,16471
2020-05-13,16511
