date_obj,Black%20cape price
2016-07-04,404
2016-07-05,404
2016-07-06,386
2016-07-07,386
2016-07-08,387
2016-07-09,387
2016-07-10,398
2016-07-11,398
2016-07-12,416
2016-07-13,416
2016-07-14,437
2016-07-15,437
2016-07-16,432
2016-07-17,432
2016-07-18,430
2016-07-23,469
2016-07-24,469
2016-07-25,470
2016-07-26,470
2016-07-27,470
2016-07-28,485
2016-07-29,485
2016-07-30,473
2016-07-31,473
2016-08-01,473
2016-08-02,453
2016-08-03,453
2016-08-04,431
2016-08-05,431
2016-08-06,431
2016-08-07,409
2016-08-08,409
2016-08-09,396
2016-08-10,396
2016-08-11,396
2016-08-12,383
2016-08-13,383
2016-08-14,383
2016-08-15,374
2016-08-16,374
2016-08-17,374
2016-08-18,373
2016-08-19,373
2016-08-20,382
2016-08-21,382
2016-08-22,382
2016-08-23,388
2016-08-24,388
2016-08-25,388
2016-08-26,388
2016-08-28,392
2016-08-31,394
2016-09-01,394
2016-09-02,394
2016-09-03,394
2016-09-04,393
2016-09-05,393
2016-09-06,396
2016-09-07,396
2016-09-08,396
2016-09-09,396
2016-09-10,386
2016-09-11,386
2016-09-12,386
2016-09-13,405
2016-09-14,405
2016-09-15,405
2016-09-16,422
2016-09-17,422
2016-09-18,422
2016-09-19,444
2016-09-20,444
2016-09-21,444
2016-09-22,467
2016-09-23,467
2016-09-24,467
2016-09-25,487
2016-09-26,487
2016-09-27,487
2016-09-28,510
2016-09-29,510
2016-09-30,510
2016-10-01,536
2016-10-02,536
2016-10-03,536
2016-10-04,562
2016-10-05,562
2016-10-06,562
2016-10-07,589
2016-10-08,589
2016-10-09,589
2016-10-10,619
2016-10-11,619
2016-10-12,619
2016-10-13,644
2016-10-14,644
2016-10-15,644
2016-10-16,661
2016-10-17,661
2016-10-18,661
2016-10-19,674
2016-10-20,674
2016-10-21,703
2016-10-22,703
2016-10-23,703
2016-10-24,706
2016-10-25,706
2016-10-26,706
2016-10-27,704
2016-10-28,704
2016-10-29,704
2016-10-30,689
2016-10-31,689
2016-11-01,689
2016-11-02,686
2016-11-03,686
2016-11-04,690
2016-11-05,690
2016-11-06,690
2016-11-07,689
2016-11-08,689
2016-11-09,689
2016-11-10,693
2016-11-11,693
2016-11-12,693
2016-11-13,664
2016-11-14,664
2016-11-15,664
2016-12-07,646
2016-12-08,651
2016-12-09,651
2016-12-10,651
2016-12-11,650
2016-12-12,650
2016-12-13,650
2016-12-14,648
2016-12-15,648
2016-12-16,648
2016-12-17,621
2016-12-18,621
2016-12-19,621
2016-12-20,589
2016-12-21,589
2016-12-22,589
2016-12-23,561
2016-12-24,561
2016-12-25,535
2016-12-26,535
2016-12-27,521
2016-12-28,521
2016-12-29,495
2016-12-30,495
2016-12-31,482
2017-01-01,482
2017-01-02,478
2017-01-03,478
2017-01-04,466
2017-01-05,466
2017-01-06,466
2017-01-07,458
2017-01-08,458
2017-01-09,458
2017-01-10,458
2017-01-11,462
2017-01-12,462
2017-01-13,476
2017-01-14,476
2017-01-15,466
2017-01-16,466
2017-01-17,465
2017-01-18,465
2017-01-19,473
2017-01-20,473
2017-01-21,473
2017-01-22,473
2017-01-23,477
2017-01-27,461
2017-01-28,461
2017-01-29,460
2017-01-30,460
2017-01-31,472
2017-02-01,472
