date_obj,Steam%20staff%20upgrade%20kit price
2016-04-21,74669
2016-04-22,74669
2016-04-23,74669
2016-04-24,74669
2016-04-25,74669
2016-04-26,74669
2016-04-27,74669
2016-04-28,77665
2016-04-29,77665
2016-04-30,77665
2016-05-01,77665
2016-05-02,77665
2016-05-03,77665
2016-05-04,77665
2016-05-05,80780
2016-05-06,80780
2016-05-07,80780
2016-05-08,80780
2016-05-09,80780
2016-05-10,80780
2016-05-11,80780
2016-05-12,80780
2016-05-13,80780
2016-05-14,80515
2016-05-15,80515
2016-05-16,80515
2016-05-17,80515
2016-05-18,80515
2016-05-19,80515
2016-05-22,78933
2016-05-23,78933
2016-05-24,78933
2016-05-25,78933
2016-05-26,78933
2016-05-27,78933
2016-05-28,77089
2016-05-29,77089
2016-05-30,77089
2016-05-31,77089
2016-06-01,77089
2016-06-02,77089
2016-06-03,77089
2016-06-04,77832
2016-06-05,77832
2016-06-06,77832
2016-06-07,77832
2016-06-08,77832
2016-06-09,77832
2016-06-10,79755
2016-06-11,79755
2016-06-12,79755
2016-06-13,79755
2016-06-14,79755
2016-06-15,79755
2016-06-16,79755
2016-06-17,81859
2016-06-18,81859
2016-06-19,81859
2016-06-20,81859
2016-06-21,81859
2016-06-22,81859
2016-06-23,81859
2016-06-24,80207
2016-06-25,80207
2016-06-26,80207
2016-06-27,80207
2016-06-28,80207
2016-06-29,80207
2016-06-30,80207
2016-07-01,77253
2016-07-02,77253
2016-07-03,77253
2016-07-04,77253
2016-07-05,77253
2016-07-06,77253
2016-07-07,77253
2016-07-08,77253
2016-07-09,73421
2016-07-10,73421
2016-07-11,73421
2016-07-12,73421
2016-07-13,73421
2016-07-14,73421
2016-07-15,73421
2016-07-16,73421
2016-07-17,71919
2016-07-18,71919
2016-07-24,71919
2016-07-25,71919
2016-07-26,69375
2016-07-27,69375
2016-07-28,69375
2016-07-29,69375
2016-07-30,69375
2016-07-31,69375
2016-08-01,69375
2016-08-02,69375
2016-08-03,69375
2016-08-04,70751
2016-08-05,70751
2016-08-06,70751
2016-08-07,70751
2016-08-08,70751
2016-08-09,70751
2016-08-10,70751
2016-08-11,70751
2016-08-12,70751
2016-08-13,70751
2016-08-14,71190
2016-08-15,71190
2016-08-16,71190
2016-08-17,71190
2016-08-18,71190
2016-08-19,71190
2016-08-20,71190
2016-08-21,71190
2016-08-22,71190
2016-08-23,71190
2016-08-24,68655
2016-08-25,68655
2016-08-26,68655
2016-08-28,68655
2016-08-31,68655
2016-09-01,68655
2016-09-02,68655
2016-09-03,69597
2016-09-04,69597
2016-09-05,69597
2016-09-06,69597
2016-09-07,69597
2016-09-08,69597
2016-09-09,69597
2016-09-10,69597
2016-09-11,69597
2016-09-12,69597
2016-09-13,72801
2016-09-14,72801
2016-09-15,72801
2016-09-16,72801
2016-09-17,72801
2016-09-18,72801
2016-09-19,72801
2016-09-20,72801
2016-09-21,72801
2016-09-22,72801
2016-09-23,72801
2016-09-24,72801
2016-09-25,74338
2016-09-26,74338
2016-09-27,74338
2016-09-28,74338
2016-09-29,74338
2016-09-30,74338
2016-10-01,74338
2016-10-02,74338
2016-10-03,74338
2016-10-04,74338
2016-10-05,74338
2016-10-06,74338
2016-10-07,74338
2016-10-08,75365
2016-10-09,75365
2016-10-10,75365
2016-10-11,75365
2016-10-12,75365
2016-10-13,75365
2016-10-14,75365
2016-10-15,75365
2016-10-16,75365
2016-10-17,75365
2016-10-18,75365
2016-10-19,75365
2016-10-20,75365
2016-10-21,75194
2016-10-22,75194
2016-10-23,75194
2016-10-24,75194
2016-10-25,75194
2016-10-26,75194
2016-10-27,75194
2016-10-28,75194
2016-10-29,75194
2016-10-30,75194
2016-10-31,75194
2016-11-01,75194
2016-11-02,75194
2016-11-03,71764
2016-11-04,71764
2016-11-05,71764
2016-11-06,71764
2016-11-07,71764
2016-11-08,71764
2016-11-09,71764
2016-11-10,71764
2016-11-11,71764
2016-11-12,71764
2016-11-13,71764
2016-11-14,71764
2016-12-08,71958
2016-12-09,71958
2016-12-10,71958
2016-12-11,71958
2016-12-12,71958
2016-12-13,71958
2016-12-14,71958
2016-12-15,71958
2016-12-16,71958
2016-12-17,71435
2016-12-18,71435
2016-12-19,71435
2016-12-20,71435
2016-12-21,71435
2016-12-22,71435
2016-12-23,71435
2016-12-24,71435
2016-12-25,71435
2016-12-26,71435
2016-12-27,71435
2016-12-28,71191
2016-12-29,71191
2016-12-30,71191
2016-12-31,71191
2017-01-01,71191
2017-01-02,71191
2017-01-03,71191
2017-01-04,71191
2017-01-05,71191
2017-01-06,71191
2017-01-07,71592
2017-01-08,71592
2017-01-09,71592
2017-01-10,71592
2017-01-11,71592
2017-01-12,71592
2017-01-13,71592
2017-01-14,71592
2017-01-15,71592
2017-01-16,69368
2017-01-17,69368
2017-01-18,69368
2017-01-19,69368
2017-01-20,69368
2017-01-21,69368
2017-01-22,69368
2017-01-27,67697
2017-01-28,67697
2017-01-29,67697
2017-01-30,67697
2017-01-31,70673
2017-02-01,70673
2017-02-02,70673
2017-02-03,70673
2017-02-04,70673
2017-02-05,70673
2017-02-06,70673
2017-02-07,73951
2017-02-08,73951
2017-02-09,73951
2017-02-10,73951
2017-02-11,73951
2017-02-12,73951
2017-02-13,74352
2017-02-14,74352
2017-02-15,74352
2017-02-16,74352
2017-02-18,74352
2017-02-19,74352
2017-02-20,74352
2017-02-21,72165
2017-02-22,72165
2017-02-23,72165
2017-02-24,72165
2017-02-25,72165
2017-02-26,72165
2017-02-27,72165
2017-02-28,72165
2017-03-01,72165
2017-03-02,72914
2017-03-03,72914
2017-03-04,72914
2017-03-05,72914
2017-03-06,72914
2017-03-07,72914
2017-03-08,72914
2017-03-09,72914
2017-03-10,72914
2017-03-11,74216
2017-03-12,74216
2017-03-13,74216
2017-03-14,74216
2017-03-15,74216
2017-03-16,74216
2017-03-17,74216
2017-03-18,74216
2017-03-19,74386
2017-03-20,74386
2017-03-21,74386
2017-03-22,74386
2017-03-23,74386
2017-03-24,74386
2017-03-25,74386
2017-03-26,74386
2017-03-27,75389
2017-03-28,75389
2017-03-29,75389
2017-03-30,75389
2017-03-31,75389
2017-04-01,75389
2017-04-02,75389
2017-04-03,75389
2017-04-04,75389
2017-04-12,76092
2017-04-13,76092
2017-04-14,76092
2017-04-15,76092
2017-04-16,73675
2017-04-17,73675
2017-04-18,73675
2017-04-19,73675
2017-04-20,73675
2017-04-21,73675
2017-04-22,73675
2017-04-23,73675
2017-04-24,73675
2017-04-25,74632
2017-04-26,74632
2017-04-27,74632
2017-04-28,74632
2017-04-29,74632
2017-04-30,74632
2017-05-01,74632
2017-05-02,74632
2017-05-03,74632
2017-05-04,74632
2017-05-05,74632
2017-05-06,74816
2017-05-07,74816
2017-05-08,74816
2017-05-09,74816
2017-05-10,74816
2017-05-11,74816
2017-05-12,74816
2017-05-13,74816
2017-05-14,74816
2017-05-15,74816
2017-05-16,77821
2017-05-17,77821
2017-05-18,77821
2017-05-19,77821
2017-05-20,77821
2017-05-21,77821
2017-05-22,77821
2017-05-23,77821
2017-05-24,77821
2017-05-25,77821
2017-05-26,77821
2017-05-27,79898
2017-05-28,79898
2017-05-29,79898
2017-05-30,79898
2017-05-31,79898
2017-06-01,79898
2017-06-02,79898
2017-06-03,79898
2017-06-06,80336
2017-06-07,80336
2017-06-08,80336
2017-06-09,80336
2017-06-10,80336
2017-06-11,80336
2017-06-12,80336
2017-06-13,80336
2017-06-14,80336
2017-06-15,80336
2017-06-16,81079
2017-06-17,81079
2017-06-18,81079
2017-06-19,81079
2017-06-20,81079
2017-06-21,81079
2017-06-22,81079
2017-06-23,81079
2017-06-24,81079
2017-06-25,81079
2017-06-26,81079
2017-06-27,84060
2017-06-28,84060
2017-06-29,84060
2017-06-30,84060
2017-07-01,84060
2017-07-02,84060
2017-07-03,84060
2017-07-04,84060
2017-07-05,84060
2017-07-06,84060
2017-07-07,84060
2017-07-08,83680
2017-07-13,83680
2017-07-14,83680
2017-07-15,83680
2017-07-16,83680
2017-07-17,83680
2017-07-18,82241
2017-07-19,82241
2017-07-20,82241
2017-07-21,82241
2017-07-22,82241
2017-07-23,82241
2017-07-24,82241
2017-07-25,82241
2017-07-26,82241
2017-07-27,82241
2017-07-28,82241
2017-07-29,78743
2017-07-30,78743
2017-07-31,78743
2017-08-01,78743
2017-08-02,78743
2017-08-03,78743
2017-08-04,78743
2017-08-05,78743
2017-08-06,78743
2017-08-09,79509
2017-08-10,79509
2017-08-11,79509
2017-08-12,79509
2017-08-13,79509
2017-08-14,79509
2017-08-15,79509
2017-08-17,79509
2017-08-18,79509
2017-08-19,81324
2017-08-20,81324
2017-08-21,81324
2017-08-22,81324
2017-08-23,81324
2017-08-24,81324
2017-08-25,81324
2017-08-26,81324
2017-08-27,81324
2017-08-28,81324
2017-08-29,81324
2017-08-30,80679
2017-08-31,80679
2017-09-01,80679
2017-09-02,80679
2017-09-03,80679
2017-09-04,80679
2017-09-05,80679
2017-09-06,80679
2017-09-07,80679
2017-09-08,80679
2017-09-09,77068
2017-09-10,77068
2017-09-11,77068
2017-09-12,77068
2017-09-13,77068
2017-09-14,77068
2017-09-15,77068
2017-09-16,77068
2017-09-17,77068
2017-09-19,77068
2017-09-20,73214
2017-09-21,73214
2017-09-22,73214
2017-09-23,73214
2017-09-24,73214
2017-09-25,73214
2017-09-26,73214
2017-09-27,73214
2017-09-28,73214
2017-09-29,73214
2017-09-30,73214
2017-10-01,73214
2017-10-02,70424
2017-10-03,70424
2017-10-04,70424
2017-10-05,70424
2017-10-06,70424
2017-10-07,70424
2017-10-08,70424
2017-10-09,70424
2017-10-10,70424
2017-10-11,70424
2017-10-12,70424
2017-10-13,70424
2017-10-14,68597
2017-10-15,68597
2017-10-16,68597
2017-10-17,68597
