date_obj,Pumpkin price
2016-12-08,2719
2016-12-09,2719
2016-12-10,2719
2016-12-11,2719
2016-12-12,2808
2016-12-13,2808
2016-12-14,2808
2016-12-15,2845
2016-12-16,2845
2016-12-17,2845
2016-12-18,2978
2016-12-19,2978
2016-12-20,2978
2016-12-21,3104
2016-12-22,3104
2016-12-23,3104
2016-12-24,3104
2016-12-25,3253
2016-12-26,3253
2016-12-27,3253
2016-12-28,3253
2016-12-29,3372
2016-12-30,3372
2016-12-31,3372
2017-01-01,3372
2017-01-02,3208
2017-01-03,3208
2017-01-04,3208
2017-01-05,3208
2017-01-06,3055
2017-01-07,3055
2017-01-08,3055
2017-01-09,2913
2017-01-10,2913
2017-01-11,2913
2017-01-12,2843
2017-01-13,2843
2017-01-14,2843
2017-01-15,2843
2017-01-16,2893
2017-01-17,2893
2017-01-18,2893
2017-01-19,2893
2017-01-20,2948
2017-01-21,2948
2017-01-22,2948
2017-01-27,3036
2017-01-28,3187
2017-01-29,3187
2017-01-30,3187
2017-01-31,3187
2017-02-01,3296
2017-02-02,3296
2017-02-03,3296
2017-02-04,3296
2017-02-05,3296
2017-02-06,3461
2017-02-07,3461
2017-02-08,3461
2017-02-09,3461
2017-02-10,3461
2017-02-11,3571
2017-02-12,3571
2017-02-13,3571
2017-02-14,3571
2017-02-15,3571
2017-02-16,3750
2017-02-18,3750
2017-02-19,3750
2017-02-20,3750
2017-02-21,3938
2017-02-22,3938
2017-02-23,3938
2017-02-24,3938
2017-02-25,3938
2017-02-26,3938
2017-02-27,4132
2017-02-28,4132
2017-03-01,4132
2017-03-02,4132
2017-03-03,4132
2017-03-04,4202
2017-03-05,4202
2017-03-06,4202
2017-03-07,4202
2017-03-08,4202
2017-03-09,4202
2017-03-10,4394
2017-03-11,4394
2017-03-12,4394
2017-03-13,4394
2017-03-14,4394
2017-03-15,4466
2017-03-16,4466
2017-03-17,4466
2017-03-18,4466
2017-03-19,4466
2017-03-20,4518
2017-03-21,4518
2017-03-22,4518
2017-03-23,4518
2017-03-24,4518
2017-03-25,4518
2017-03-26,4720
2017-03-27,4720
2017-03-28,4720
2017-03-29,4720
2017-03-30,4720
2017-03-31,4835
2017-04-01,4835
2017-04-02,4835
2017-04-03,4835
2017-04-04,4835
2017-04-12,5105
2017-04-13,5105
2017-04-14,5105
2017-04-15,5105
2017-04-16,5357
2017-04-17,5357
2017-04-18,5357
2017-04-19,5357
2017-04-20,5357
2017-04-21,5610
2017-04-22,5610
2017-04-23,5610
2017-04-24,5610
2017-04-25,5610
2017-04-26,5610
2017-04-27,5888
2017-04-28,5888
2017-04-29,5888
2017-04-30,5888
2017-05-01,5888
2017-05-02,5802
2017-05-03,5802
2017-05-04,5802
2017-05-05,5802
2017-05-06,5802
2017-05-07,5802
2017-05-08,5802
2017-05-09,5619
2017-05-10,5619
2017-05-11,5619
2017-05-12,5619
2017-05-13,5619
2017-05-14,5619
2017-05-15,5619
2017-05-16,5574
2017-05-17,5574
2017-05-18,5574
2017-05-19,5574
2017-05-20,5574
2017-05-21,5574
2017-05-22,5574
2017-05-23,5641
2017-05-24,5641
2017-05-25,5641
2017-05-26,5641
2017-05-27,5641
2017-05-28,5641
2017-05-29,5617
2017-05-30,5617
2017-05-31,5617
2017-06-01,5617
2017-06-02,5617
2017-06-03,5617
2017-06-06,5701
2017-06-07,5701
2017-06-08,5701
2017-06-09,5701
2017-06-10,5828
2017-06-11,5828
2017-06-12,5828
2017-06-13,5828
2017-06-14,5828
2017-06-15,5828
2017-06-16,6036
2017-06-17,6036
2017-06-18,6036
2017-06-19,6036
2017-06-20,6036
2017-06-21,6036
2017-06-22,6036
2017-06-23,6200
2017-06-24,6200
2017-06-25,6200
2017-06-26,6200
2017-06-27,6200
2017-06-28,6200
2017-06-29,6439
2017-06-30,6439
2017-07-01,6439
2017-07-02,6439
2017-07-03,6439
2017-07-04,6439
2017-07-05,6439
2017-07-06,6683
2017-07-07,6683
2017-07-08,6683
2017-07-13,6805
2017-07-14,6805
2017-07-15,6805
2017-07-16,6805
2017-07-17,6805
2017-07-18,6805
2017-07-19,6829
2017-07-20,6829
2017-07-21,6829
2017-07-22,6829
2017-07-23,6829
2017-07-24,6829
2017-07-25,6716
2017-07-26,6716
2017-07-27,6716
2017-07-28,6716
2017-07-29,6716
2017-07-30,6716
2017-07-31,6765
2017-08-01,6765
2017-08-02,6765
2017-08-03,6765
2017-08-04,6765
2017-08-05,6899
2017-08-06,6899
2017-08-09,6899
2017-08-10,6899
2017-08-11,6899
2017-08-12,7244
2017-08-13,7244
2017-08-14,7244
2017-08-15,7244
2017-08-16,7244
2017-08-17,7244
2017-08-18,7244
2017-08-19,7598
2017-08-20,7598
2017-08-22,7598
2017-08-23,7598
2017-08-24,7598
2017-08-25,7598
2017-08-26,7672
2017-08-27,7672
2017-08-28,7672
2017-08-29,7672
2017-08-30,7672
2017-08-31,7672
2017-09-01,7672
2017-09-02,7759
2017-09-03,7759
2017-09-04,7759
2017-09-05,7759
2017-09-06,7759
2017-09-07,7759
2017-09-08,8000
2017-09-09,8000
2017-09-10,8000
2017-09-11,8000
2017-09-12,8000
2017-09-13,8000
2017-09-14,8215
2017-09-15,8215
2017-09-16,8215
2017-09-17,8215
2017-09-19,8215
2017-09-20,8215
2017-09-21,8599
2017-09-22,8599
2017-09-23,8599
2017-09-24,8599
2017-09-25,8599
2017-09-26,8599
2017-09-27,8599
2017-09-28,8921
2017-09-29,8921
2017-09-30,8921
2017-10-01,8921
2017-10-02,8921
2017-10-03,8921
2017-10-04,8921
2017-10-05,9156
2017-10-06,9156
2017-10-07,9156
2017-10-08,9156
2017-10-09,9156
2017-10-10,9156
2017-10-11,9156
2017-10-12,9039
2017-10-13,9039
2017-10-14,9039
2017-10-15,9039
2017-10-16,9039
2017-10-17,9039
2017-10-18,8903
2017-10-19,8457
2017-10-20,8034
2017-10-21,7632
2017-10-22,7260
2017-10-23,6989
2017-10-24,6647
2017-10-25,6349
2017-10-26,6066
2017-10-27,5780
2017-10-28,5780
2017-10-29,5608
2017-10-30,5393
2017-10-31,5216
2017-11-01,5216
2017-11-02,4994
2017-11-03,5113
2017-11-04,5109
2017-11-05,5109
2017-11-06,5037
2017-11-07,5037
2017-11-08,5046
2017-11-09,5053
2017-11-10,5053
2017-11-11,5201
2017-11-12,5201
2017-11-13,5273
2017-11-14,5273
2017-11-15,5273
2017-11-16,5258
2017-11-17,5258
2017-11-18,5258
2017-11-19,5220
2017-11-20,5220
2017-11-21,5220
2017-11-22,4967
2017-11-23,4967
2017-11-24,4967
2017-11-25,4937
2017-11-26,4937
2017-11-27,4937
2017-11-28,4940
2017-11-29,4940
2017-11-30,4940
2017-12-01,4894
2017-12-02,4894
2017-12-03,4894
2017-12-04,4894
2017-12-05,4976
2017-12-06,4976
2017-12-07,4976
2017-12-08,4976
2017-12-09,5046
2017-12-10,5046
2017-12-11,5026
2017-12-12,5026
2017-12-14,5026
2017-12-15,5049
2017-12-16,5049
2017-12-17,5049
2017-12-18,4926
2017-12-19,4926
2017-12-20,4926
2017-12-21,4926
2017-12-22,4852
2017-12-23,4852
2017-12-24,4852
2017-12-25,4852
2017-12-26,4807
2017-12-27,4807
2017-12-28,4807
2017-12-29,4807
2017-12-30,4763
2017-12-31,4763
2018-01-01,4763
2018-01-02,4763
2018-01-03,4645
2018-01-04,4645
2018-01-05,4645
2018-01-06,4534
2018-01-07,4534
2018-01-08,4534
2018-01-09,4534
2018-01-10,4560
2018-01-11,4560
2018-01-12,4560
2018-01-13,4342
2018-01-14,4342
2018-01-15,4342
2018-01-16,4137
2018-01-17,4137
2018-01-18,4137
2018-01-19,4137
2018-01-20,4025
2018-01-21,4025
2018-01-22,4025
2018-01-23,4025
2018-01-24,4015
2018-01-25,4015
2018-01-26,4015
2018-01-27,3867
2018-01-28,3867
2018-01-29,3840
2018-01-31,3840
2018-02-01,3829
2018-02-02,3829
2018-02-03,3829
2018-02-04,3736
2018-02-05,3736
2018-02-06,3736
2018-02-07,3618
2018-02-08,3618
2018-02-09,3618
2018-02-10,3618
2018-02-11,3626
2018-02-13,3626
2018-02-14,3485
2018-02-15,3485
2018-02-16,3485
2018-02-17,3354
2018-02-18,3354
2018-02-19,3354
2018-02-20,3299
2018-02-21,3299
2018-02-22,3299
2018-02-23,3352
2018-02-24,3352
2018-02-25,3352
2018-02-26,3352
2018-02-27,3384
2018-02-28,3384
2018-03-01,3384
2018-03-02,3384
2018-03-03,3327
2018-03-04,3327
2018-03-05,3327
2018-03-06,3327
2018-03-07,3354
2018-03-08,3354
2018-03-09,3354
2018-03-10,3354
2018-03-11,3506
2018-03-12,3506
2018-03-13,3655
2018-03-14,3655
2018-03-15,3831
2018-03-16,3831
2018-03-17,3831
2018-03-18,4023
2018-03-19,4023
2018-03-20,4023
2018-03-21,4222
2018-03-23,4222
2018-03-24,4222
2018-03-26,4434
2018-03-27,4434
2018-03-28,4649
2018-03-29,4649
2018-03-30,4649
2018-03-31,4882
2018-04-01,4882
2018-04-02,4882
2018-04-03,5127
2018-04-04,5127
2018-04-05,5127
2018-04-06,5215
2018-04-08,5215
2018-04-09,5215
2018-04-10,5465
2018-04-11,5465
2018-04-12,5465
2018-04-13,5465
2018-04-14,5686
2018-04-15,5686
2018-04-16,5686
2018-04-17,5686
2018-04-18,5971
2018-04-19,5971
2018-04-20,5971
2018-04-21,5971
2018-04-22,6228
2018-04-23,6228
2018-04-24,6228
2018-04-25,6228
2018-04-26,6228
2018-04-27,6531
2018-04-28,6531
2018-04-29,6531
2018-04-30,6835
2018-05-01,6835
2018-05-02,6835
2018-05-03,6835
2018-05-04,7148
2018-05-05,7148
2018-05-06,7148
2018-05-07,7452
2018-05-08,7452
2018-05-09,7452
2018-05-10,7825
2018-05-11,7825
2018-05-12,7825
2018-05-13,8090
2018-05-14,8090
2018-05-15,8090
2018-05-16,8472
2018-05-17,8472
2018-05-18,8472
2018-05-19,8857
2018-05-20,8857
2018-05-21,8857
2018-05-22,8857
2018-05-23,9300
2018-05-24,9300
2018-05-25,9300
2018-05-26,9726
2018-05-27,9726
2018-05-28,9726
2018-05-29,10199
2018-05-30,10199
2018-05-31,10199
2018-06-01,10199
2018-06-02,10426
2018-06-03,10426
2018-06-04,10426
2018-06-05,10426
2018-06-06,10182
2018-06-07,10182
2018-06-08,10182
2018-06-09,10182
2018-06-10,10493
2018-06-11,10493
2018-06-12,10493
2018-06-13,10493
2018-06-14,10443
2018-06-15,10443
2018-06-16,10443
2018-06-17,10443
2018-06-18,10855
2018-06-19,10855
2018-06-20,10855
2018-06-21,10855
2018-06-22,11241
2018-06-23,11241
2018-06-24,11241
2018-06-25,11241
2018-06-26,11241
2018-06-27,11728
2018-06-28,11728
2018-06-29,11728
2018-06-30,11728
2018-07-01,11990
2018-07-02,11990
2018-07-03,11990
2018-07-04,11990
2018-07-05,11990
2018-07-06,11816
2018-07-07,11816
2018-07-08,11816
2018-07-09,11816
2018-07-10,12082
2018-07-11,12082
2018-07-12,12082
2018-07-13,12082
2018-07-14,12391
2018-07-15,12391
2018-07-16,12391
