date_obj,Vial%20of%20blood price
2019-10-16,1881
2019-10-17,1881
2019-10-18,1874
2019-10-19,1853
2019-10-20,1880
2019-10-21,1921
2019-10-22,1874
2019-10-23,1896
2019-10-24,1915
2019-10-25,1928
2019-10-26,2013
2019-10-27,2083
2019-10-28,2060
2019-10-29,2060
2019-10-30,2027
2019-10-31,1946
2019-11-01,1852
2019-11-02,1821
2019-11-03,1807
2019-11-04,1764
2019-11-05,1764
2019-11-06,1720
2019-11-07,1766
2019-11-08,1796
2019-11-09,1818
2019-11-10,1758
2019-11-11,1792
2019-11-12,1838
2019-11-13,1816
2019-11-14,1847
2019-11-15,1816
2019-11-16,1753
2019-11-17,1753
2019-11-18,1797
2019-11-19,1867
2019-11-20,1905
2019-11-21,1905
2019-11-22,1900
2019-11-23,1921
2019-11-24,1944
2019-11-25,1882
2019-11-26,1893
2019-11-27,1893
2019-11-28,1893
2019-11-29,1942
2019-11-30,1923
2019-12-01,1920
2019-12-02,1925
2019-12-03,1901
2019-12-04,1903
2019-12-05,1903
2019-12-06,1952
2019-12-07,1907
2019-12-08,1932
2019-12-09,1957
2019-12-10,2047
2019-12-11,2146
2019-12-12,2146
2019-12-13,2215
2019-12-14,2124
2019-12-15,2053
2019-12-16,2039
2019-12-17,2049
2019-12-18,2049
2019-12-19,1989
2019-12-20,1960
2019-12-21,2050
2019-12-22,2090
2019-12-23,2166
2019-12-24,2190
2019-12-25,2189
2019-12-26,2184
2019-12-27,2182
2019-12-28,2133
2019-12-29,2106
2019-12-30,2145
2019-12-31,2203
2020-01-01,2283
2020-01-02,2186
2020-01-03,2186
2020-01-04,2230
2020-01-05,2284
2020-01-06,2315
2020-01-07,2295
2020-01-08,2295
2020-01-09,2275
2020-01-10,2233
2020-01-11,2145
2020-01-12,2216
2020-01-13,2216
2020-01-14,2234
2020-01-15,2228
2020-01-16,2233
2020-01-17,2202
2020-01-18,2194
2020-01-19,2230
2020-01-20,2234
2020-01-21,2247
2020-01-22,2352
2020-01-23,2403
2020-01-24,2440
2020-01-25,2416
2020-01-26,2382
2020-01-27,2411
2020-01-28,2531
2020-01-29,2658
2020-01-30,2773
2020-01-31,2730
2020-02-01,2803
2020-02-02,2870
2020-02-03,2828
2020-02-04,2792
2020-02-05,2805
2020-02-06,2929
2020-02-07,3008
2020-02-08,2860
2020-02-09,2806
2020-02-10,2688
2020-02-11,2601
2020-02-12,2537
2020-02-13,2504
2020-02-14,2383
2020-02-15,2347
2020-02-16,2305
2020-02-17,2324
2020-02-18,2381
2020-02-19,2496
2020-02-20,2593
2020-02-21,2593
2020-02-22,2545
2020-02-23,2420
2020-02-24,2338
2020-02-25,2350
2020-02-26,2461
2020-02-27,2519
2020-02-28,2507
2020-02-29,2475
2020-03-01,2436
2020-03-02,2339
2020-03-03,2360
2020-03-04,2471
2020-03-05,2561
2020-03-06,2679
2020-03-07,2795
2020-03-08,2850
2020-03-09,2763
2020-03-10,2669
2020-03-11,2571
2020-03-12,2564
2020-03-13,2617
2020-03-14,2605
2020-03-15,2599
2020-03-16,2559
2020-03-17,2538
2020-03-18,2534
2020-03-19,2562
2020-03-20,2651
2020-03-21,2773
2020-03-22,2906
2020-03-23,3052
2020-03-24,3205
2020-03-25,3366
2020-03-26,3535
2020-03-27,3712
2020-03-28,3859
2020-03-29,3918
2020-03-30,3853
2020-03-31,3756
2020-04-01,3710
2020-04-02,3689
2020-04-03,3709
2020-04-04,3745
2020-04-05,3785
2020-04-06,3905
2020-04-07,4094
2020-04-08,4154
2020-04-09,4266
2020-04-10,4310
2020-04-11,4358
2020-04-12,4397
2020-04-13,4414
2020-04-14,4443
2020-04-15,4326
2020-04-16,4123
2020-04-17,4060
2020-04-18,4166
2020-04-19,4329
2020-04-20,4354
2020-04-21,4413
2020-04-22,4352
2020-04-23,4161
2020-04-24,4133
2020-04-25,3926
2020-04-26,3737
2020-04-27,3860
2020-04-28,4034
2020-04-29,4236
2020-04-30,4413
2020-05-01,4219
2020-05-02,4068
2020-05-03,3900
2020-05-04,3788
2020-05-05,3619
2020-05-06,3574
2020-05-07,3590
2020-05-08,3743
2020-05-09,3864
2020-05-10,3723
2020-05-11,3674
2020-05-12,3663
2020-05-13,3823
