date_obj,Iron%20hasta price
2018-03-27,872
2018-03-28,872
2018-03-29,872
2018-03-30,833
2018-03-31,833
2018-04-01,833
2018-04-02,833
2018-04-03,833
2018-04-04,795
2018-04-05,795
2018-04-06,795
2018-04-07,795
2018-04-08,795
2018-04-09,795
2018-04-10,757
2018-04-11,757
2018-04-12,757
2018-04-13,757
2018-04-14,757
2018-04-15,722
2018-04-16,722
2018-04-17,722
2018-04-18,722
2018-04-19,722
2018-04-20,722
2018-04-21,687
2018-04-22,687
2018-04-23,687
2018-04-24,687
2018-04-25,687
2018-04-26,687
2018-04-27,687
2018-04-28,654
2018-04-29,654
2018-04-30,654
2018-05-01,654
2018-05-04,622
2018-05-05,622
2018-05-06,622
2018-05-07,622
2018-05-08,622
2018-05-09,597
2018-05-10,597
2018-05-11,597
2018-05-12,597
2018-05-13,597
2018-05-14,597
2018-05-15,571
2018-05-16,571
2018-05-17,571
2018-05-18,571
2018-05-19,571
2018-05-20,571
2018-05-21,544
2018-05-22,544
2018-05-23,544
2018-05-24,544
2018-05-25,544
2018-05-26,544
2018-05-27,520
2018-05-28,520
2018-05-29,520
2018-05-30,520
2018-05-31,520
2018-06-01,497
2018-06-02,497
2018-06-03,497
2018-06-04,497
2018-06-05,497
2018-06-06,475
2018-06-07,475
2018-06-08,475
2018-06-09,475
2018-06-10,475
2018-06-11,455
2018-06-12,455
2018-06-13,455
2018-06-14,455
2018-06-15,455
2018-06-16,435
2018-06-17,435
2018-06-18,435
2018-06-19,435
2018-06-20,435
2018-06-21,414
2018-06-22,414
2018-06-23,414
2018-06-24,414
2018-06-25,414
2018-06-26,414
2018-06-27,394
2018-06-28,394
2018-06-29,394
2018-06-30,394
2018-07-01,394
2018-07-02,394
2018-07-03,377
2018-07-04,377
2018-07-05,377
2018-07-06,377
2018-07-07,377
2018-07-08,360
2018-07-09,360
2018-07-10,360
2018-07-11,360
2018-07-12,360
2018-07-13,360
2018-07-14,360
2018-07-15,360
2018-07-16,345
2018-07-17,345
2018-07-18,345
2018-07-19,345
2018-07-20,345
2018-07-21,330
2018-07-22,330
2018-07-23,330
