date_obj,Rangers'%20tights price
2020-01-07,812065
2020-01-08,806345
2020-01-09,809761
2020-01-10,788491
2020-01-11,775475
2020-01-12,755506
2020-01-13,741002
2020-01-14,724675
2020-01-15,713840
2020-01-16,713917
2020-01-17,727881
2020-01-18,729352
2020-01-19,733057
2020-01-20,730329
2020-01-21,719245
2020-01-22,700583
2020-01-23,683182
2020-01-24,686151
2020-01-25,701976
2020-01-26,689067
2020-01-27,668953
2020-01-28,636687
2020-01-29,615574
2020-01-30,600906
2020-01-31,588408
2020-02-01,589226
2020-02-02,587454
2020-02-03,599733
2020-02-04,587966
2020-02-05,589093
2020-02-06,593087
2020-02-07,586351
2020-02-08,569012
2020-02-09,555925
2020-02-10,539238
2020-02-11,529424
2020-02-12,527942
2020-02-13,521499
2020-02-14,532637
2020-02-15,533088
2020-02-16,522647
2020-02-17,529207
2020-02-18,544400
2020-02-19,547202
2020-02-20,544247
2020-02-21,544247
2020-02-22,530522
2020-02-23,520384
2020-02-24,514881
2020-02-25,512735
2020-02-26,535412
2020-02-27,548350
2020-02-28,544197
2020-02-29,533727
2020-03-01,509878
2020-03-02,491212
2020-03-03,478853
2020-03-04,460560
2020-03-05,446921
2020-03-06,446352
2020-03-07,437230
2020-03-08,431293
2020-03-09,417471
2020-03-10,417336
2020-03-11,410033
2020-03-12,408608
2020-03-13,409023
2020-03-14,402116
2020-03-15,391194
2020-03-16,386082
2020-03-17,389286
2020-03-18,385206
2020-03-19,381848
2020-03-20,387438
2020-03-21,397875
2020-03-22,392920
2020-03-23,394163
2020-03-24,394855
2020-03-25,398223
2020-03-26,403817
2020-03-27,409437
2020-03-28,410575
2020-03-29,421593
2020-03-30,424996
2020-03-31,418414
2020-04-01,415519
2020-04-02,428147
2020-04-03,429168
2020-04-04,437550
2020-04-05,434450
2020-04-06,431988
2020-04-07,437578
2020-04-08,444146
2020-04-09,432847
2020-04-10,427130
2020-04-11,435488
2020-04-12,442842
2020-04-13,437630
2020-04-14,434088
2020-04-15,431850
2020-04-16,417631
2020-04-17,412298
2020-04-18,407696
2020-04-19,400650
2020-04-20,391565
2020-04-21,388211
2020-04-22,386662
2020-04-23,378337
2020-04-24,367023
2020-04-25,359506
2020-04-26,357021
2020-04-27,359078
2020-04-28,371526
2020-04-29,377600
2020-04-30,379675
2020-05-01,386503
2020-05-02,387845
2020-05-03,379642
2020-05-04,379508
2020-05-05,386015
2020-05-06,391325
2020-05-07,395057
2020-05-08,394357
2020-05-09,398341
2020-05-10,393275
2020-05-11,390311
2020-05-12,386662
2020-05-13,390392
