date_obj,Rune%20cane price
2016-10-23,8484
2016-10-24,8482
2016-10-25,8482
2016-10-26,8466
2016-10-27,8466
2016-10-28,8519
2016-10-29,8519
2016-10-30,8531
2016-10-31,8531
2016-11-01,8628
2016-11-02,8628
2016-11-03,8489
2016-11-04,8710
2016-11-05,8710
2016-11-06,8793
2016-11-07,8793
2016-11-08,8712
2016-11-09,8712
2016-11-10,8756
2016-11-11,8756
2016-11-12,8666
2016-11-13,8666
2016-11-14,8593
2016-12-08,8442
2016-12-09,8442
2016-12-10,8475
2016-12-11,8465
2016-12-12,8465
2016-12-13,8465
2016-12-14,8434
2016-12-15,8434
2016-12-16,8393
2016-12-17,8368
2016-12-18,8368
2016-12-19,8462
2016-12-20,8419
2016-12-21,8419
2016-12-22,8087
2016-12-23,8431
2016-12-24,8431
2016-12-25,8388
2016-12-26,8388
2016-12-27,8355
2016-12-28,8526
2016-12-29,8526
2016-12-30,8644
2016-12-31,8644
2017-01-01,8937
2017-01-02,9133
2017-01-03,9133
2017-01-04,9000
2017-01-05,9000
2017-01-06,8753
2017-01-07,8598
2017-01-08,8563
2017-01-09,8374
2017-01-10,8426
2017-01-11,8392
2017-01-12,8579
2017-01-13,8579
2017-01-14,8479
2017-01-15,8424
2017-01-16,8424
2017-01-17,8486
2017-01-18,8479
2017-01-19,8479
2017-01-20,8565
2017-01-21,8594
2017-01-22,8594
2017-01-27,8672
2017-01-28,8796
2017-01-29,8796
2017-01-30,8806
2017-01-31,8806
2017-02-01,8985
2017-02-02,8985
2017-02-03,8936
2017-02-04,8698
2017-02-05,8698
2017-02-06,8551
2017-02-07,8551
2017-02-08,8525
2017-02-09,8525
2017-02-10,8489
2017-02-11,8467
2017-02-12,8467
2017-02-13,8329
2017-02-14,8414
2017-02-15,8414
2017-02-16,8450
2017-02-18,8549
2017-02-19,8499
2017-02-20,8499
2017-02-21,8466
2017-02-22,8466
2017-02-23,8312
2017-02-24,8312
2017-02-25,8584
2017-02-26,8584
2017-02-27,8698
2017-02-28,8910
2017-03-01,8910
2017-03-02,9065
2017-03-03,9065
2017-03-04,8858
2017-03-05,8858
2017-03-06,8588
2017-03-07,8588
2017-03-08,8482
2017-03-09,8482
2017-03-10,8431
2017-03-11,8492
2017-03-12,8492
2017-03-13,8485
2017-03-14,8550
2017-03-15,8550
2017-03-16,8657
2017-03-17,8657
2017-03-18,8715
2017-03-19,8713
2017-03-20,8996
2017-03-21,9210
2017-03-22,9210
2017-03-23,9261
2017-03-24,9261
2017-03-25,9192
2017-03-26,9192
2017-03-27,9117
2017-03-28,9117
2017-03-29,8796
2017-03-30,8796
2017-03-31,8837
2017-04-01,8837
2017-04-02,8659
2017-04-03,8656
2017-04-04,8656
2017-04-12,8954
2017-04-13,8802
2017-04-14,8802
2017-04-15,8609
2017-04-16,8496
2017-04-17,8543
2017-04-18,8543
2017-04-19,8507
2017-04-20,8507
2017-04-21,8426
2017-04-22,8426
2017-04-23,8527
2017-04-24,8527
2017-04-25,8511
2017-04-26,8511
2017-04-27,8611
2017-04-28,8611
2017-04-29,8762
2017-04-30,8762
2017-05-01,9030
2017-05-02,9085
2017-05-03,9085
2017-05-04,8843
2017-05-05,8843
2017-05-06,8559
2017-05-07,8559
2017-05-08,8645
2017-05-09,8812
2017-05-10,8812
2017-05-11,8966
2017-05-12,8866
2017-05-13,8880
2017-05-14,8880
2017-05-15,9166
2017-05-16,9281
2017-05-17,9281
2017-05-18,9495
2017-05-19,9495
2017-05-20,9742
2017-05-21,9742
2017-05-22,9676
2017-05-23,9676
2017-05-24,9654
2017-05-25,9654
2017-05-26,9595
2017-05-27,9569
2017-05-28,9569
2017-05-29,9534
2017-05-30,9534
2017-05-31,9531
2017-06-01,9531
2017-06-02,9424
2017-06-03,9424
2017-06-06,8919
2017-06-07,8919
2017-06-08,8770
2017-06-09,8770
2017-06-10,8750
2017-06-11,8783
2017-06-12,8783
2017-06-13,8673
2017-06-14,8673
2017-06-15,8542
2017-06-16,8542
2017-06-17,8634
2017-06-18,8634
2017-06-19,8623
2017-06-20,8572
2017-06-21,8572
2017-06-22,8419
2017-06-23,8419
2017-06-24,8421
2017-06-25,8421
2017-06-26,8429
2017-06-27,8429
2017-06-28,8405
2017-06-29,8405
2017-06-30,8474
2017-07-01,8474
2017-07-02,8404
