date_obj,Jar%20of%20dirt price
2018-06-14,5815
2018-06-15,5815
2018-06-16,5563
2018-06-17,5563
2018-06-18,5333
2018-06-19,5333
2018-06-20,5333
2018-06-21,5224
2018-06-22,5224
2018-06-23,5224
2018-06-24,5251
2018-06-25,5251
2018-06-26,5251
2018-06-27,5282
2018-06-28,5282
2018-06-29,5257
2018-06-30,5257
2018-07-01,5365
2018-07-02,5365
2018-07-03,5559
2018-07-04,5559
2018-07-05,5559
2018-07-06,5460
2018-07-07,5460
2018-07-08,5460
2018-07-09,5422
2018-07-10,5422
2018-07-11,5446
2018-07-12,5446
2018-07-13,5446
2018-07-14,5236
2018-07-15,5236
2018-07-16,5236
2018-07-17,5255
2018-07-18,5255
2018-07-19,5255
2018-07-20,5322
2018-07-21,5322
2018-07-22,5352
2018-07-23,5352
2018-07-24,5347
2018-07-25,5347
2018-07-26,5231
2018-07-27,5231
2018-07-28,5172
2018-07-29,5172
2018-07-30,5061
2018-07-31,5061
2018-08-01,5117
2018-08-02,5117
2018-08-03,5103
2018-08-04,5103
2018-08-05,5136
2018-08-06,5136
2018-08-07,5136
2018-08-08,5222
2018-08-09,5222
2018-08-10,5222
2018-08-11,5320
2018-08-12,5320
2018-08-14,5359
2018-08-16,5252
2018-08-17,5252
2018-08-18,5137
2018-08-19,5137
2018-08-20,5244
2018-08-21,5244
2018-08-22,5244
2018-08-23,5147
2018-08-24,5147
2018-08-25,5071
2018-08-26,5071
2018-08-27,5071
2018-08-28,4967
2018-08-29,4967
2018-08-30,4967
2018-08-31,4924
2018-09-01,4924
2018-09-02,4858
2018-09-03,4858
2018-09-04,4725
2018-09-05,4725
2018-09-06,4725
2018-09-07,4518
2018-09-08,4518
2018-09-09,4518
2018-09-10,4415
2018-09-11,4415
2018-09-12,4415
2018-09-13,4302
2018-09-14,4302
2018-09-15,4160
2018-09-16,4160
2018-09-17,4160
2018-09-18,3968
2018-09-19,3968
2018-09-20,3867
2018-09-21,3867
2018-09-22,4027
2018-09-23,4027
2018-09-24,4220
2018-09-25,4220
2018-09-26,4424
2018-09-27,4424
2018-09-28,4424
2018-09-29,4646
2018-09-30,4646
2018-10-02,4879
2018-10-03,5122
2018-10-04,5122
2018-10-05,5122
2018-10-06,5124
2018-10-07,5124
2018-10-08,5124
2018-10-09,5186
2018-10-10,5186
2018-10-11,5186
2018-10-12,5412
2018-10-13,5412
2018-10-14,5640
2018-10-15,5640
2018-10-16,5640
2018-10-17,5922
2018-10-18,5922
2018-10-19,6146
2018-10-20,6146
2018-10-21,6146
2018-10-22,6339
2018-10-23,6339
2018-10-24,6339
2018-10-25,6439
2018-10-26,6439
2018-10-27,6439
2018-10-28,6574
2018-10-29,6574
2018-10-30,6574
2018-10-31,6341
2018-11-01,6341
2018-11-03,6136
2018-11-04,6136
2018-11-05,6098
2018-11-06,6098
2018-11-07,6098
2018-11-08,6284
2018-11-09,6284
2018-11-10,6343
2018-11-11,6343
2018-11-12,6063
2018-11-13,6063
2018-11-14,6150
2018-11-15,6150
2018-11-16,5958
2018-11-17,5958
2018-11-18,5837
2018-11-19,5837
2018-11-20,5969
2018-11-21,5969
2018-11-22,6130
2018-11-23,6130
2018-11-24,6153
2018-11-25,6153
2018-11-26,6307
2018-11-27,6307
2018-11-28,6488
2018-11-29,6488
2018-12-01,6526
2018-12-02,6512
2018-12-03,6512
2018-12-05,6521
2018-12-07,6430
