date_obj,Machete price
2016-06-19,221
2016-06-20,221
2016-06-21,219
2016-06-22,219
2016-06-23,208
2016-06-24,208
2016-06-25,212
2016-06-26,212
2016-06-27,212
2016-06-28,215
2016-06-29,215
2016-06-30,211
2016-07-01,211
2016-07-02,206
2016-07-03,206
2016-07-04,208
2016-07-05,208
2016-07-06,210
2016-07-07,210
2016-07-08,202
2016-07-09,202
2016-07-10,205
2016-07-11,205
2016-07-12,212
2016-07-13,212
2016-07-14,215
2016-07-15,215
2016-07-16,215
2016-07-17,215
2016-07-18,219
2016-07-23,209
2016-07-24,209
2016-07-25,212
2016-07-26,212
2016-07-27,212
2016-07-28,214
2016-07-29,214
2016-07-30,214
2016-07-31,214
2016-08-01,214
2016-08-02,211
2016-08-03,211
2016-08-04,211
2016-08-05,200
2016-08-06,200
2016-08-07,190
2016-08-08,190
2016-08-09,180
2016-08-10,180
2016-08-11,180
2016-08-12,182
2016-08-13,182
2016-08-14,182
2016-08-15,184
2016-08-16,184
2016-08-17,184
2016-08-18,180
2016-08-19,180
2016-08-20,176
2016-08-21,176
2016-08-22,176
2016-08-23,174
2016-08-24,174
2016-08-25,174
2016-08-26,174
2016-08-28,174
2016-08-31,170
2016-09-01,170
2016-09-02,161
2016-09-03,161
2016-09-04,152
2016-09-05,152
2016-09-06,152
2016-09-07,150
2016-09-08,150
2016-09-09,150
2016-09-10,151
2016-09-11,151
2016-09-12,151
2016-09-13,154
2016-09-14,154
2016-09-15,154
2016-09-16,154
2016-09-17,156
2016-09-18,156
2016-09-19,156
2016-09-20,158
2016-09-21,158
2016-09-22,158
2016-09-23,156
2016-09-24,156
2016-09-25,156
2016-09-26,156
2016-09-27,159
2016-09-28,159
2016-09-29,159
2016-09-30,161
2016-10-01,161
2016-10-02,161
2016-10-03,161
2016-10-04,164
2016-10-05,164
2016-10-06,164
2016-10-07,164
2016-10-08,170
2016-10-09,170
2016-10-10,170
2016-10-11,170
2016-10-12,170
2016-10-13,170
2016-10-14,170
2016-10-15,172
2016-10-16,172
2016-10-17,172
2016-10-18,178
2016-10-19,178
2016-10-20,178
2016-10-21,176
2016-10-22,176
2016-10-23,176
2016-10-24,178
2016-10-25,178
2016-10-26,178
2016-10-27,176
2016-10-28,176
2016-10-29,176
2016-10-30,167
2016-10-31,167
2016-11-01,167
2016-11-02,160
2016-11-03,160
2016-11-04,160
2016-11-05,163
2016-11-06,163
2016-11-07,163
2016-11-08,163
2016-11-09,163
2016-11-10,163
2016-11-11,165
2016-11-12,165
2016-11-13,169
2016-11-14,169
2016-12-07,201
2016-12-08,207
2016-12-09,207
2016-12-10,207
2016-12-11,212
2016-12-12,212
2016-12-13,215
2016-12-14,215
2016-12-15,215
2016-12-16,215
2016-12-17,215
2016-12-18,218
2016-12-19,218
2016-12-20,222
2016-12-21,222
2016-12-22,222
2016-12-23,226
2016-12-24,226
2016-12-25,226
2016-12-26,228
2016-12-27,228
2016-12-28,226
2016-12-29,226
2016-12-30,229
2016-12-31,229
2017-01-01,224
2017-01-02,224
2017-01-03,215
2017-01-04,215
2017-01-05,219
2017-01-06,219
2017-01-07,213
2017-01-08,213
2017-01-09,211
2017-01-10,211
2017-01-11,209
2017-01-12,209
2017-01-13,207
2017-01-14,207
2017-01-15,205
2017-01-16,205
2017-01-17,198
2017-01-18,198
2017-01-19,201
2017-01-20,201
2017-01-21,207
2017-01-22,207
2017-01-27,220
2017-01-28,220
2017-01-29,222
2017-01-30,222
2017-01-31,222
2017-02-01,222
2017-02-02,222
2017-02-03,222
2017-02-04,222
2017-02-05,222
2017-02-06,222
2017-02-07,222
2017-02-08,218
2017-02-09,218
2017-02-10,218
2017-02-11,218
2017-02-12,224
2017-02-13,224
2017-02-14,227
2017-02-15,227
2017-02-16,229
2017-02-18,229
2017-02-19,230
2017-02-20,230
2017-02-21,218
2017-02-22,218
2017-02-23,218
2017-02-24,226
2017-02-25,226
2017-02-26,229
2017-02-27,229
2017-02-28,232
2017-03-01,232
2017-03-02,222
2017-03-03,222
2017-03-04,222
2017-03-05,222
2017-03-06,224
2017-03-07,224
2017-03-08,224
2017-03-09,228
2017-03-10,228
2017-03-11,233
2017-03-12,233
2017-03-13,236
2017-03-14,236
2017-03-15,224
2017-03-16,224
2017-03-17,218
2017-03-18,218
2017-03-19,216
2017-03-20,216
2017-03-21,220
2017-03-22,220
2017-03-23,223
2017-03-24,223
2017-03-25,223
2017-03-26,216
2017-03-27,216
2017-03-28,214
2017-03-29,214
2017-03-30,207
2017-03-31,207
2017-04-01,204
2017-04-02,204
2017-04-03,208
2017-04-04,208
2017-04-12,231
2017-04-13,227
2017-04-14,227
2017-04-15,221
2017-04-16,221
2017-04-17,222
2017-04-18,222
2017-04-19,220
2017-04-20,220
2017-04-21,216
2017-04-22,216
2017-04-23,225
2017-04-24,225
2017-04-25,222
2017-04-26,222
2017-04-27,222
2017-04-28,226
2017-04-29,226
2017-04-30,229
2017-05-01,229
2017-05-02,230
2017-05-03,230
2017-05-04,234
2017-05-05,234
2017-05-06,238
2017-05-07,238
2017-05-08,238
2017-05-09,240
2017-05-10,240
2017-05-11,240
2017-05-12,244
2017-05-13,244
2017-05-14,247
2017-05-15,247
2017-05-16,251
2017-05-17,251
2017-05-18,256
2017-05-19,256
2017-05-20,264
2017-05-21,264
