date_obj,Adamant%20gold-trimmed%20set%20(sk) price
2016-06-08,158351
2016-06-09,158351
2016-06-10,158351
2016-06-11,152521
2016-06-12,152521
2016-06-13,152521
2016-06-14,152521
2016-06-15,152521
2016-06-16,152521
2016-06-17,152521
2016-06-18,152521
2016-06-19,152521
2016-06-20,152521
2016-06-21,152521
2016-06-22,152521
2016-06-23,152521
2016-06-24,152521
2016-06-25,152521
2016-06-26,152521
2016-06-27,152521
2016-06-28,152521
2016-06-29,152521
2016-06-30,150120
2016-07-01,150120
2016-07-02,150120
2016-07-03,150120
2016-07-04,150120
2016-07-05,150120
2016-07-06,150120
2016-07-07,150120
2016-07-08,150120
2016-07-09,150120
2016-07-10,150120
2016-07-11,150120
2016-07-12,150120
2016-07-13,150120
2016-07-14,150120
2016-07-15,150120
2016-07-16,150120
2016-07-17,150120
2016-07-18,150120
2016-07-23,150120
2016-07-24,143525
2016-07-25,143525
2016-07-26,143525
2016-07-27,143525
2016-07-28,143525
2016-07-29,143525
2016-07-30,143525
2016-07-31,143525
2016-08-01,143525
2016-08-02,143525
2016-08-03,143525
2016-08-04,143525
2016-08-05,143525
2016-08-06,143525
2016-08-07,143525
2016-08-08,143525
2016-08-09,143525
2016-08-10,143525
2016-08-11,143525
2016-08-12,143525
2016-08-13,143525
2016-08-14,143525
2016-08-15,143525
2016-08-16,143525
2016-08-17,143525
2016-08-18,143525
2016-08-19,143525
2016-08-20,143525
2016-08-21,143525
2016-08-22,138733
2016-08-23,138733
2016-08-24,138733
2016-08-25,138733
2016-08-26,138733
2016-08-28,138733
2016-08-31,138733
2016-09-01,138733
2016-09-02,138733
2016-09-03,138733
2016-09-04,138733
2016-09-05,138733
2016-09-06,138733
2016-09-07,138733
2016-09-08,138733
2016-09-09,138733
2016-09-10,138733
2016-09-11,138733
2016-09-12,138733
2016-09-13,138733
2016-09-14,138733
2016-09-15,138733
2016-09-16,134182
2016-09-17,134182
2016-09-18,134182
2016-09-19,134182
2016-09-20,134182
2016-09-21,134182
2016-09-22,134182
2016-09-23,134182
2016-09-24,134182
2016-09-25,134182
2016-09-26,134182
2016-09-27,134182
2016-09-28,134182
2016-09-29,134182
2016-09-30,134182
2016-10-01,134182
2016-10-02,134182
2016-10-03,134182
2016-10-04,134182
2016-10-05,134182
2016-10-06,134182
2016-10-07,134182
2016-10-08,134182
2016-10-09,134182
2016-10-10,134182
