date_obj,Wrath%20talisman price
2019-04-26,738
2019-04-27,717
2019-04-28,715
2019-04-29,749
2019-04-30,785
2019-05-01,762
2019-05-02,786
2019-05-03,821
2019-05-04,825
2019-05-05,783
2019-05-06,777
2019-05-07,743
2019-05-08,710
2019-05-09,744
2019-05-10,746
2019-05-11,747
2019-05-12,759
2019-05-13,761
2019-05-14,758
2019-05-15,762
2019-05-16,751
2019-05-17,780
2019-05-18,781
2019-05-19,786
2019-05-20,755
2019-05-21,761
2019-05-22,722
2019-05-23,724
2019-05-24,702
2019-05-25,714
2019-05-26,737
2019-05-27,759
2019-05-28,759
2019-05-29,789
2019-05-30,790
2019-05-31,793
2019-06-01,818
2019-06-02,798
2019-06-03,778
2019-06-04,744
2019-06-05,743
2019-06-06,741
2019-06-07,749
2019-06-08,749
2019-06-09,767
2019-06-10,758
2019-06-11,766
2019-06-12,795
2019-06-13,774
2019-06-14,806
2019-06-15,777
2019-06-16,738
2019-06-17,718
2019-06-18,736
2019-06-19,726
2019-06-20,727
2019-06-21,730
2019-06-22,733
2019-06-23,731
2019-06-24,729
2019-06-25,739
2019-06-26,755
2019-06-27,771
2019-06-28,735
2019-06-29,722
2019-06-30,728
2019-07-01,724
2019-07-02,726
2019-07-03,720
2019-07-04,720
2019-07-05,721
2019-07-06,728
2019-07-07,720
2019-07-08,736
2019-07-09,740
2019-07-10,776
2019-07-11,806
2019-07-12,820
2019-07-13,850
2019-07-14,888
2019-07-15,899
2019-07-16,921
2019-07-17,964
2019-07-18,1013
2019-07-19,1064
2019-07-20,1118
2019-07-21,1174
2019-07-22,1233
2019-07-23,1230
2019-07-24,1168
2019-07-25,1109
2019-07-26,1053
2019-07-27,1000
2019-07-28,952
2019-07-29,909
2019-07-30,869
2019-07-31,829
2019-08-01,787
2019-08-02,747
2019-08-03,711
2019-08-04,736
2019-08-05,773
2019-08-06,811
2019-08-07,835
2019-08-08,869
2019-08-09,893
2019-08-10,872
2019-08-11,828
2019-08-12,808
2019-08-13,782
2019-08-14,805
2019-08-15,775
2019-08-16,783
2019-08-17,743
2019-08-18,753
2019-08-19,721
2019-08-20,740
2019-08-21,751
2019-08-22,780
2019-08-23,800
2019-08-24,806
2019-08-24,806
2019-08-25,781
2019-08-25,781
2019-08-26,743
2019-08-26,743
2019-08-27,748
2019-08-27,748
2019-08-28,710
2019-08-29,707
2019-08-30,713
2019-08-31,701
2019-09-01,686
2019-09-02,679
2019-09-03,685
2019-09-04,689
2019-09-05,691
2019-09-06,709
2019-09-07,719
2019-09-08,725
2019-09-09,760
2019-09-10,798
2019-09-11,831
2019-09-12,801
2019-09-13,760
