date_obj,Obsidian%20cape%20(r) price
2018-06-07,2341074
2018-06-08,2243031
2018-06-09,2243031
2018-06-10,2136403
2018-06-11,2092367
2018-06-12,2121748
2018-06-13,2026997
2018-06-14,1952551
2018-06-15,1928917
2018-06-16,1950492
2018-06-17,1924046
2018-06-18,1888349
2018-06-19,1963858
2018-06-20,1963858
2018-06-21,1962361
2018-06-22,1966177
2018-06-23,1966177
2018-06-24,1968533
2018-06-25,2017700
2018-06-26,2084443
2018-06-27,2115123
2018-06-28,2104327
2018-06-29,2127497
2018-06-30,2159356
2018-07-01,2183841
2018-07-02,2183841
2018-07-03,2154723
2018-07-04,2088839
2018-07-05,2154546
2018-07-06,2253445
2018-07-07,2346798
2018-07-08,2455073
2018-07-09,2573363
2018-07-10,2690915
2018-07-11,2723183
2018-07-12,2727543
2018-07-13,2749836
2018-07-14,2862993
2018-07-15,2862993
2018-07-16,2919654
2018-07-17,2951469
2018-07-18,2955925
2018-07-19,2995122
2018-07-20,2923640
2018-07-21,2907698
2018-07-22,2996455
2018-07-23,2983314
2018-07-24,3077797
2018-07-25,3158629
2018-07-26,3186905
2018-07-27,3266263
2018-07-28,3266263
2018-07-29,3327213
2018-07-30,3325591
2018-07-31,3416795
2018-08-01,3416795
2018-08-02,3583988
2018-08-03,3633738
2018-08-04,3647662
2018-08-05,3565260
2018-08-06,3554463
2018-08-07,3455918
2018-08-08,3479984
2018-08-09,3479984
2018-08-10,3504855
2018-08-11,3538006
2018-08-12,3533172
2018-08-14,3611196
2018-08-16,3601652
2018-08-17,3693775
2018-08-18,3693775
2018-08-19,3705421
2018-08-20,3663200
2018-08-21,3696399
2018-08-22,3881171
2018-08-23,3899146
2018-08-24,3909595
2018-08-25,3997407
2018-08-26,3977494
2018-08-27,4047811
2018-08-28,3993527
2018-08-29,4098115
2018-08-30,4212352
2018-08-31,4199805
2018-09-01,4294943
2018-09-02,4353011
2018-09-03,4409497
2018-09-04,4402550
2018-09-05,4392767
2018-09-06,4392767
2018-09-07,4349950
2018-09-08,4446015
2018-09-09,4474001
2018-09-10,4482525
2018-09-11,4482525
2018-09-12,4407549
2018-09-13,4338791
2018-09-14,4245337
2018-09-15,4169150
2018-09-16,4041800
2018-09-17,3892494
2018-09-18,3810491
2018-09-19,3808080
2018-09-20,3789983
2018-09-21,3774166
2018-09-22,3757495
2018-09-23,3745800
2018-09-24,3765395
2018-09-25,3765395
2018-09-26,3815617
2018-09-27,3900043
2018-09-28,3934538
2018-09-29,4057032
2018-09-30,4122015
2018-10-02,4160258
2018-10-03,4139217
2018-10-04,4139217
2018-10-05,4123817
2018-10-06,4041155
2018-10-07,4041155
2018-10-08,4022124
2018-10-09,3943702
2018-10-10,3859786
2018-10-11,3757445
2018-10-12,3757445
2018-10-13,3721870
2018-10-14,3700598
2018-10-15,3571010
2018-10-16,3521337
2018-10-17,3505992
2018-10-18,3523449
2018-10-19,3445378
2018-10-20,3445378
2018-10-21,3369060
2018-10-22,3437461
2018-10-23,3462410
2018-10-24,3457989
2018-10-25,3455185
2018-10-26,3459081
