date_obj,Anguish%20ornament%20kit price
2020-05-04,8836047
2020-05-05,8707052
2020-05-06,8446674
2020-05-07,8412369
2020-05-08,8365926
2020-05-09,8438130
2020-05-10,8617742
2020-05-11,8663304
2020-05-12,8628776
2020-05-13,8564207
