date_obj,Mithril%20kiteshield%20(g) price
2016-05-22,13000
2016-05-23,12410
2016-05-24,11963
2016-05-25,11479
2016-05-26,11465
2016-05-27,11499
2016-05-28,11499
2016-05-29,11698
2016-05-30,11698
2016-05-31,11673
2016-06-01,11507
2016-06-02,11293
2016-06-03,11174
2016-06-04,11204
2016-06-05,11024
2016-06-06,10697
2016-06-07,10697
2016-06-08,10282
2016-06-09,9841
2016-06-10,9884
2016-06-11,10199
2016-06-12,10399
2016-06-13,10399
2016-06-14,10689
2016-06-15,10689
2016-06-16,10585
2016-06-17,10568
2016-06-18,10568
2016-06-19,10780
2016-06-20,11007
2016-06-21,11223
2016-06-22,11685
2016-06-23,12270
2016-06-24,12627
2016-06-25,12833
2016-06-26,12833
2016-06-27,12599
2016-06-28,12656
2016-06-29,12142
2016-06-30,11664
2016-07-01,12104
2016-07-02,12104
2016-07-03,12249
2016-07-04,11881
2016-07-05,11881
2016-07-06,11517
2016-07-07,10962
2016-07-08,10493
2016-07-09,10082
2016-07-10,9658
2016-07-11,9386
2016-07-12,9343
2016-07-13,9366
2016-07-14,9198
2016-07-15,9257
2016-07-16,9253
2016-07-17,9394
2016-07-18,9388
2016-07-23,8934
2016-07-24,8957
2016-07-25,8813
2016-07-26,8813
2016-07-27,9021
2016-07-28,9191
2016-07-29,9554
2016-07-30,9639
2016-07-31,9639
2016-08-01,9657
2016-08-02,9524
2016-08-03,9352
2016-08-04,9352
2016-08-05,9698
2016-08-06,10130
2016-08-07,10289
2016-08-08,10289
2016-08-09,10556
2016-08-10,10431
2016-08-11,10431
2016-08-12,10559
2016-08-13,10841
2016-08-14,10451
2016-08-15,10833
2016-08-16,10668
2016-08-17,10668
2016-08-18,10604
2016-08-19,10356
2016-08-20,10235
2016-08-21,10235
2016-08-22,10287
2016-08-23,9905
2016-08-24,9835
2016-08-25,9706
2016-08-26,9706
2016-08-28,9612
2016-08-31,9684
2016-09-01,9568
2016-09-02,9568
2016-09-03,9743
2016-09-04,9618
2016-09-05,10016
2016-09-06,10273
2016-09-07,10273
2016-09-08,10298
2016-09-09,10298
2016-09-10,10270
2016-09-11,10270
2016-09-12,10282
2016-09-13,10377
2016-09-14,10377
2016-09-15,10435
2016-09-16,10435
2016-09-17,10529
2016-09-18,10593
2016-09-19,10425
2016-09-20,10425
2016-09-21,10481
2016-09-22,10219
2016-09-23,10168
2016-09-24,10168
2016-09-25,10049
2016-09-26,10049
2016-09-27,9795
2016-09-28,9651
2016-09-29,9651
2016-09-30,9686
2016-10-01,10081
2016-10-02,10081
2016-10-03,9989
2016-10-04,9989
2016-10-05,10220
2016-10-06,10317
2016-10-07,10317
2016-10-08,10235
2016-10-09,10235
2016-10-10,10017
2016-10-11,9821
2016-10-12,9665
2016-10-13,9317
2016-10-14,9277
2016-10-15,9584
2016-10-16,10008
2016-10-17,10317
2016-10-18,10317
2016-10-19,10833
2016-10-20,10833
2016-10-21,11121
2016-10-22,11121
2016-10-23,11394
2016-10-24,11157
2016-10-25,11157
2016-10-26,11260
2016-10-27,11260
2016-10-28,11476
2016-10-29,11570
2016-10-30,11543
2016-10-31,11310
2016-11-01,11310
2016-11-02,11390
2016-11-03,11390
2016-11-04,11307
2016-11-05,11307
2016-11-06,10883
2016-11-07,10883
2016-11-08,10732
2016-11-09,10774
2016-11-10,11068
2016-11-11,11068
2016-11-12,11112
2016-11-13,11112
2016-11-14,11492
2016-12-07,15167
2016-12-08,15485
2016-12-09,16164
2016-12-10,16164
2016-12-11,16772
2016-12-12,16772
2016-12-13,17147
2016-12-14,17338
2016-12-15,17338
2016-12-16,17623
2016-12-17,17276
2016-12-18,17276
2016-12-19,16919
2016-12-20,17302
2016-12-21,17679
2016-12-22,17679
2016-12-23,18120
2016-12-24,18120
2016-12-25,17815
2016-12-26,17815
2016-12-27,17213
2016-12-28,16623
2016-12-29,15922
2016-12-30,15922
2016-12-31,15865
2017-01-01,15125
2017-01-02,14909
2017-01-03,14909
2017-01-04,15109
2017-01-05,15109
2017-01-06,15488
2017-01-07,15739
2017-01-08,15903
2017-01-09,16120
2017-01-10,16352
2017-01-11,16470
2017-01-12,15976
2017-01-13,15976
2017-01-14,15913
2017-01-15,15608
2017-01-16,15138
2017-01-17,14652
2017-01-18,14250
2017-01-19,13764
2017-01-20,13075
2017-01-21,12472
2017-01-22,12281
2017-01-27,9954
2017-01-28,9616
2017-01-29,9550
2017-01-30,9508
2017-01-31,9692
2017-02-01,9952
2017-02-02,9868
2017-02-03,9816
2017-02-04,10116
2017-02-05,10284
2017-02-06,9861
2017-02-07,9553
2017-02-08,9571
2017-02-09,9571
2017-02-10,9534
2017-02-11,9475
2017-02-12,9475
2017-02-13,9855
2017-02-14,10286
2017-02-15,10299
2017-02-16,10106
2017-02-18,10022
2017-02-19,9987
2017-02-20,10052
2017-02-21,10018
2017-02-22,10018
2017-02-23,9928
2017-02-24,9928
2017-02-25,10157
2017-02-26,10157
2017-02-27,10379
2017-02-28,10845
2017-03-01,11150
2017-03-02,10988
2017-03-03,10988
