date_obj,Dareeyak%20teleport%20(tablet) price
2016-06-08,2721
2016-06-09,2635
2016-06-10,2635
2016-06-11,2635
2016-06-12,2597
2016-06-13,2597
2016-06-14,2597
2016-06-15,2626
2016-06-16,2626
2016-06-17,2665
2016-06-18,2665
2016-06-19,2665
2016-06-20,2658
2016-06-21,2658
2016-06-22,2711
2016-06-23,2711
2016-06-24,2711
2016-06-25,2658
2016-06-26,2658
2016-06-27,2658
2016-06-28,2689
2016-06-29,2689
2016-06-30,2689
2016-07-01,2674
2016-07-02,2674
2016-07-03,2674
2016-07-04,2736
2016-07-05,2736
2016-07-06,2736
2016-07-07,2761
2016-07-08,2761
2016-07-09,2755
2016-07-10,2755
2016-07-11,2775
2016-07-12,2775
2016-07-13,2775
2016-07-14,2739
2016-07-15,2739
2016-07-16,2739
2016-07-17,2794
2016-07-18,2794
2016-07-23,2785
2016-07-24,2785
2016-07-25,2785
2016-07-26,2766
2016-07-27,2766
2016-07-28,2766
2016-07-29,2768
2016-07-30,2768
2016-07-31,2768
2016-08-01,2703
2016-08-02,2703
2016-08-03,2744
2016-08-04,2744
2016-08-05,2744
2016-08-06,2742
2016-08-07,2742
2016-08-08,2742
2016-08-09,2636
2016-08-10,2636
2016-08-11,2636
2016-08-12,2535
2016-08-13,2535
2016-08-14,2535
2016-08-15,2513
2016-08-16,2513
2016-08-17,2513
2016-08-18,2534
2016-08-19,2534
2016-08-20,2534
2016-08-21,2567
2016-08-22,2567
2016-08-23,2567
2016-08-24,2640
2016-08-25,2640
2016-08-26,2640
2016-08-28,2683
2016-08-31,2664
2016-09-01,2664
2016-09-02,2664
2016-09-03,2782
2016-09-04,2782
2016-09-05,2782
2016-09-06,2814
2016-09-07,2814
2016-09-08,2814
2016-09-09,2814
2016-09-10,2742
2016-09-11,2742
2016-09-12,2742
2016-09-13,2784
2016-09-14,2784
2016-09-15,2784
2016-09-16,2784
2016-09-17,2792
2016-09-18,2792
2016-09-19,2792
2016-09-20,2706
2016-09-21,2706
2016-09-22,2706
2016-09-23,2608
2016-09-24,2608
2016-09-25,2608
2016-09-26,2608
2016-09-27,2567
2016-09-28,2567
2016-09-29,2567
2016-09-30,2513
2016-10-01,2513
2016-10-02,2513
2016-10-03,2513
2016-10-04,2480
2016-10-05,2480
2016-10-06,2480
2016-10-07,2480
2016-10-08,2452
2016-10-09,2452
2016-10-10,2452
2016-10-11,2452
2016-10-12,2467
2016-10-13,2467
2016-10-14,2467
2016-10-15,2479
2016-10-16,2479
2016-10-17,2479
2016-10-18,2491
2016-10-19,2491
2016-10-20,2491
2016-10-21,2501
2016-10-22,2501
2016-10-23,2501
2016-10-24,2560
2016-10-25,2560
2016-10-26,2560
2016-10-27,2560
2016-10-28,2677
2016-10-29,2677
2016-10-30,2677
2016-10-31,2746
2016-11-01,2746
2016-11-02,2746
2016-11-03,2746
2016-11-04,2749
2016-11-05,2749
2016-11-06,2749
2016-11-07,2787
2016-11-08,2787
2016-11-09,2787
2016-11-10,2790
2016-11-11,2790
2016-11-12,2790
2016-11-13,2828
2016-11-14,2828
2016-11-15,2828
2016-12-07,3003
2016-12-08,2936
2016-12-09,2936
2016-12-10,2936
2016-12-11,2826
2016-12-12,2826
2016-12-13,2826
2016-12-14,2807
2016-12-15,2807
2016-12-16,2807
2016-12-17,2714
2016-12-18,2714
2016-12-19,2714
2016-12-20,2698
2016-12-21,2698
2016-12-22,2698
2016-12-23,2666
2016-12-24,2666
2016-12-25,2666
2016-12-26,2663
2016-12-27,2663
2016-12-28,2663
2016-12-29,2652
2016-12-30,2652
2016-12-31,2652
2017-01-01,2644
2017-01-02,2721
2017-01-03,2721
2017-01-04,2811
2017-01-05,2811
2017-01-06,2775
2017-01-07,2775
2017-01-08,2690
2017-01-09,2690
2017-01-10,2675
2017-01-11,2675
2017-01-12,2588
2017-01-13,2588
2017-01-14,2588
2017-01-15,2582
2017-01-16,2582
2017-01-17,2569
2017-01-18,2569
2017-01-19,2569
2017-01-20,2600
2017-01-21,2600
2017-01-22,2539
2017-01-23,2539
2017-01-27,2517
2017-01-28,2595
2017-01-29,2595
2017-01-30,2595
2017-01-31,2692
2017-02-01,2692
2017-02-02,2758
2017-02-03,2758
2017-02-04,2684
2017-02-05,2684
2017-02-06,2684
2017-02-07,2688
2017-02-08,2688
2017-02-09,2688
2017-02-10,2653
2017-02-11,2653
2017-02-12,2653
2017-02-13,2566
2017-02-14,2566
2017-02-15,2566
2017-02-16,2561
2017-02-18,2561
2017-02-19,2540
2017-02-20,2540
2017-02-21,2540
2017-02-22,2519
2017-02-23,2519
2017-02-24,2519
2017-02-25,2488
2017-02-26,2488
2017-02-27,2488
2017-02-28,2429
2017-03-01,2429
2017-03-02,2362
2017-03-03,2362
2017-03-04,2355
2017-03-05,2355
2017-03-06,2355
2017-03-07,2441
2017-03-08,2441
2017-03-09,2441
2017-03-10,2550
2017-03-11,2550
2017-03-12,2550
2017-03-13,2655
2017-03-14,2655
2017-03-15,2697
2017-03-16,2697
2017-03-17,2697
2017-03-18,2750
2017-03-19,2750
2017-03-20,2839
2017-03-21,2839
2017-03-22,2839
2017-03-23,2859
2017-03-24,2859
2017-03-25,2859
2017-03-26,2878
2017-03-27,2878
2017-03-28,2878
2017-03-29,2795
2017-03-30,2795
2017-03-31,2703
2017-04-01,2703
2017-04-02,2703
2017-04-03,2651
2017-04-04,2651
2017-04-12,2689
2017-04-13,2689
2017-04-14,2819
2017-04-15,2819
2017-04-16,2922
2017-04-17,2922
2017-04-18,3063
2017-04-19,3063
2017-04-20,3089
