date_obj,Carved%20teak%20magic%20wardrobe%20(flatpack) price
2016-09-06,82
2016-09-07,82
2016-09-08,82
2016-09-09,82
2016-09-10,82
2016-09-11,82
2016-09-12,82
2016-09-13,82
2016-09-14,82
2016-09-15,82
2016-09-16,82
2016-09-17,82
2016-09-18,82
2016-09-19,82
2016-09-20,82
2016-09-21,82
2016-09-22,82
2016-09-23,82
2016-09-24,82
2016-09-25,82
2016-09-26,82
2016-09-27,82
2016-09-28,82
2016-09-29,82
2016-09-30,82
2016-10-01,82
2016-10-02,82
2016-10-03,82
2016-10-04,82
2016-10-05,82
2016-10-06,82
2016-10-07,82
2016-10-08,82
2016-10-09,82
2016-10-10,82
2016-10-11,82
2016-10-12,82
2016-10-13,82
2016-10-14,82
2016-10-15,82
2016-10-16,82
2016-10-17,82
2016-10-18,82
2016-10-19,82
2016-10-20,82
2016-10-21,82
2016-10-22,82
2016-10-23,82
2016-10-24,82
2016-10-25,82
2016-10-26,82
2016-10-27,82
2016-10-28,82
2016-10-29,82
2016-10-30,82
2016-10-31,82
2016-11-01,82
2016-11-02,82
2016-11-03,82
2016-11-04,82
2016-11-05,82
2016-11-06,82
2016-11-07,82
2016-11-08,82
2016-11-09,82
2016-11-10,82
2016-11-11,82
2016-11-12,82
2016-11-13,82
2016-11-14,82
2016-11-15,82
2016-12-07,82
2016-12-08,82
2016-12-09,82
2016-12-10,82
2016-12-11,82
2016-12-12,82
2016-12-13,82
2016-12-14,78
2016-12-15,78
2016-12-16,78
2016-12-17,78
2016-12-18,78
2016-12-19,78
2016-12-20,78
2016-12-21,78
2016-12-22,78
2016-12-23,78
2016-12-24,78
2016-12-25,78
2016-12-26,78
2016-12-27,78
2016-12-28,78
2016-12-29,78
2016-12-30,78
2016-12-31,78
2017-01-01,78
2017-01-02,78
2017-01-03,78
2017-01-04,78
2017-01-05,78
2017-01-06,78
2017-01-07,78
2017-01-08,78
2017-01-09,78
2017-01-10,78
2017-01-11,78
2017-01-12,78
2017-01-13,78
2017-01-14,78
2017-01-15,78
2017-01-16,78
2017-01-17,78
2017-01-18,78
2017-01-19,78
2017-01-20,78
2017-01-21,78
2017-01-22,78
2017-01-23,78
2017-01-27,78
2017-01-28,78
2017-01-29,78
2017-01-30,78
2017-01-31,78
2017-02-01,78
2017-02-02,78
2017-02-03,78
2017-02-04,78
2017-02-05,78
2017-02-06,78
2017-02-07,78
2017-02-08,78
2017-02-09,78
2017-02-10,78
2017-02-11,78
2017-02-12,78
2017-02-13,78
2017-02-14,78
2017-02-15,78
2017-02-16,78
2017-02-18,78
2017-02-19,78
2017-02-20,78
2017-02-21,78
2017-02-22,78
2017-02-23,78
2017-02-24,78
2017-02-25,78
2017-02-26,78
2017-02-27,78
2017-02-28,78
2017-03-01,78
2017-03-02,78
2017-03-03,78
2017-03-04,78
2017-03-05,78
2017-03-06,78
2017-03-07,78
2017-03-08,78
2017-03-09,78
2017-03-10,78
2017-03-11,78
2017-03-12,78
2017-03-13,78
2017-03-14,78
2017-03-15,78
2017-03-16,78
2017-03-17,78
2017-03-18,78
2017-03-19,78
2017-03-20,78
2017-03-21,78
2017-03-22,78
2017-03-23,78
2017-03-24,78
2017-03-25,78
2017-03-26,78
2017-03-27,78
2017-03-28,78
2017-03-29,78
2017-03-30,78
2017-03-31,78
2017-04-01,78
2017-04-02,78
2017-04-03,78
2017-04-04,78
2017-04-12,78
2017-04-13,78
2017-04-14,78
2017-04-15,78
2017-04-16,78
2017-04-17,78
2017-04-18,78
2017-04-19,78
2017-04-20,78
2017-04-21,78
2017-04-22,78
2017-04-23,78
2017-04-24,78
2017-04-25,78
2017-04-26,78
2017-04-27,78
2017-04-28,78
2017-04-29,78
2017-04-30,78
2017-05-01,78
2017-05-02,78
2017-05-03,78
2017-05-04,78
2017-05-05,78
2017-05-06,78
2017-05-07,78
2017-05-08,78
2017-05-09,78
2017-05-10,78
2017-05-11,78
2017-05-12,78
2017-05-13,78
2017-05-14,78
2017-05-15,78
2017-05-16,78
2017-05-17,78
2017-05-18,78
2017-05-19,78
2017-05-20,78
2017-05-21,78
2017-05-22,78
2017-05-23,78
2017-05-24,78
2017-05-25,78
2017-05-26,78
2017-05-27,78
2017-05-28,78
2017-05-29,78
2017-05-30,78
2017-05-31,78
2017-06-01,78
2017-06-02,78
2017-06-03,78
2017-06-04,75
2017-06-05,75
2017-06-06,75
2017-06-07,75
2017-06-08,75
2017-06-09,75
2017-06-10,75
2017-06-11,75
2017-06-12,75
2017-06-13,75
2017-06-14,75
2017-06-15,75
2017-06-16,75
2017-06-17,75
2017-06-18,75
2017-06-19,75
2017-06-20,75
2017-06-21,75
2017-06-22,75
2017-06-23,75
2017-06-24,75
2017-06-25,75
2017-06-26,75
2017-06-27,75
2017-06-28,75
2017-06-29,75
2017-06-30,75
2017-07-01,75
2017-07-02,75
2017-07-03,75
2017-07-04,75
2017-07-05,75
2017-07-06,75
2017-07-07,75
2017-07-08,75
2017-07-13,75
2017-07-14,75
2017-07-15,75
2017-07-16,75
2017-07-17,75
2017-07-18,75
2017-07-19,75
2017-07-20,75
2017-07-21,75
2017-07-22,75
2017-07-23,75
2017-07-24,75
2017-07-25,75
2017-07-26,75
2017-07-27,75
2017-07-28,75
2017-07-29,75
2017-07-30,75
2017-07-31,75
2017-08-01,75
2017-08-02,75
2017-08-03,75
2017-08-04,75
2017-08-05,75
2017-08-06,75
2017-08-09,75
2017-08-10,75
2017-08-11,75
2017-08-12,75
2017-08-13,75
2017-08-14,75
2017-08-15,75
2017-08-16,75
2017-08-17,75
2017-08-18,75
2017-08-19,75
2017-08-20,75
2017-08-21,75
2017-08-22,75
2017-08-23,75
2017-08-24,75
2017-08-25,75
2017-08-26,75
2017-08-27,75
2017-08-28,75
2017-08-29,75
2017-08-30,75
2017-08-31,75
2017-09-01,75
2017-09-02,75
2017-09-03,75
2017-09-04,75
2017-09-05,75
2017-09-06,75
2017-09-07,75
2017-09-08,75
2017-09-09,75
2017-09-10,75
2017-09-11,75
2017-09-12,75
2017-09-13,75
2017-09-14,75
2017-09-15,75
2017-09-16,75
2017-09-17,75
2017-09-18,75
2017-09-19,75
2017-09-20,75
2017-09-21,75
2017-09-22,75
2017-09-23,75
2017-09-24,75
2017-09-25,75
2017-09-26,75
2017-09-27,75
2017-09-28,75
2017-09-29,75
2017-09-30,75
2017-10-01,75
2017-10-02,75
2017-10-03,75
2017-10-04,75
2017-10-05,75
2017-10-06,75
2017-10-07,75
2017-10-08,75
2017-10-09,75
2017-10-10,75
2017-10-11,75
2017-10-12,75
2017-10-13,75
2017-10-14,75
2017-10-15,75
2017-10-16,75
2017-10-17,75
2017-10-18,75
2017-10-19,75
2017-10-20,75
2017-10-21,75
2017-10-22,75
2017-10-23,75
2017-10-24,75
2017-10-25,75
2017-10-26,71
2017-10-27,71
2017-10-28,71
2017-10-29,71
2017-10-30,71
2017-10-31,71
2017-11-01,71
2017-11-02,71
2017-11-03,71
2017-11-04,71
2017-11-05,71
2017-11-06,71
2017-11-07,71
2017-11-08,71
2017-11-09,71
2017-11-10,71
2017-11-11,71
2017-11-12,71
2017-11-13,71
2017-11-14,71
2017-11-15,71
2017-11-16,71
2017-11-17,71
2017-11-18,71
2017-11-19,71
2017-11-20,71
2017-11-21,71
2017-11-22,71
2017-11-23,71
2017-11-24,71
2017-11-25,71
2017-11-26,71
2017-11-27,71
2017-11-28,71
2017-11-29,71
2017-11-30,71
2017-12-01,71
2017-12-02,71
2017-12-03,71
2017-12-04,71
2017-12-05,71
2017-12-06,71
2017-12-07,71
2017-12-08,71
2017-12-09,71
2017-12-10,71
2017-12-11,71
2017-12-12,71
2017-12-13,71
2017-12-14,71
2017-12-15,71
2017-12-16,71
2017-12-17,71
2017-12-18,71
2017-12-19,71
2017-12-20,71
2017-12-21,71
2017-12-22,71
2017-12-23,71
2017-12-24,71
2017-12-25,71
2017-12-26,71
2017-12-27,71
2017-12-28,71
2017-12-29,71
2017-12-30,71
2017-12-31,71
2018-01-01,71
2018-01-02,71
2018-01-03,71
2018-01-04,71
2018-01-05,71
2018-01-06,71
2018-01-07,71
2018-01-08,71
2018-01-09,71
2018-01-10,71
2018-01-11,71
2018-01-12,71
2018-01-13,71
2018-01-14,71
2018-01-15,71
