date_obj,Amulet%20of%20magic price
2016-02-24,873
2016-02-25,850
2016-02-26,848
2016-02-27,850
2016-02-28,847
2016-02-29,849
2016-03-01,848
2016-03-02,850
2016-03-03,848
2016-03-04,870
2016-03-05,898
2016-03-06,911
2016-03-07,927
2016-03-08,919
2016-03-09,901
2016-03-10,890
2016-03-11,850
2016-03-12,856
2016-03-13,861
2016-03-14,840
2016-03-15,814
2016-03-16,795
2016-03-17,792
2016-03-18,765
2016-03-19,741
2016-03-20,743
2016-03-21,744
2016-03-22,748
2016-03-23,750
2016-03-24,756
2016-03-25,762
2016-03-26,764
2016-03-27,760
2016-03-28,748
2016-03-29,728
2016-03-30,728
2016-03-31,706
2016-04-01,690
2016-04-02,675
2016-04-03,649
2016-04-04,664
2016-04-05,664
2016-04-06,659
2016-04-07,659
2016-04-08,664
2016-04-09,667
2016-04-10,679
2016-04-11,679
2016-04-12,667
2016-04-13,672
2016-04-14,672
2016-04-15,685
2016-04-16,702
2016-04-17,718
2016-04-18,731
2016-04-19,739
2016-04-20,727
2016-04-21,706
2016-04-22,688
2016-04-23,682
2016-04-24,694
2016-04-25,722
2016-04-26,738
2016-04-27,711
2016-04-28,704
2016-04-29,699
2016-04-30,704
2016-05-01,712
2016-05-02,730
2016-05-03,737
2016-05-04,734
2016-05-05,745
2016-05-06,745
2016-05-07,751
2016-05-08,748
2016-05-09,776
2016-05-10,815
2016-05-11,829
2016-05-12,857
2016-05-13,873
2016-05-14,895
2016-05-15,909
2016-05-16,909
2016-05-17,902
2016-05-18,878
2016-05-19,835
2016-05-22,834
2016-05-23,813
2016-05-24,806
2016-05-25,787
2016-05-26,767
2016-05-27,741
2016-05-28,723
2016-05-29,728
2016-05-30,723
2016-05-31,717
2016-06-01,726
2016-06-02,729
2016-06-03,734
2016-06-04,740
2016-06-05,747
2016-06-06,764
2016-06-07,773
2016-06-08,786
2016-06-09,779
2016-06-10,761
2016-06-11,753
2016-06-12,754
2016-06-13,740
2016-06-14,742
2016-06-15,731
2016-06-16,710
2016-06-17,707
2016-06-18,693
2016-06-19,676
2016-06-20,657
2016-06-21,628
2016-06-22,610
2016-06-23,581
2016-06-24,551
2016-06-25,530
2016-06-26,540
2016-06-27,565
2016-06-28,593
2016-06-29,611
2016-06-30,635
2016-07-01,659
2016-07-02,673
2016-07-03,703
2016-07-04,738
2016-07-05,749
2016-07-06,777
2016-07-07,779
2016-07-08,776
2016-07-09,792
2016-07-10,773
2016-07-11,759
2016-07-12,733
2016-07-13,716
2016-07-14,699
2016-07-15,691
2016-07-16,694
2016-07-17,675
2016-07-18,698
2016-07-23,646
2016-07-24,651
2016-07-25,667
2016-07-26,655
2016-07-27,644
2016-07-28,651
2016-07-29,647
2016-07-30,650
2016-07-31,659
2016-08-01,682
2016-08-02,688
2016-08-03,684
2016-08-04,679
2016-08-05,681
2016-08-06,669
2016-08-07,671
2016-08-08,665
2016-08-09,659
2016-08-10,639
2016-08-11,613
2016-08-12,607
2016-08-13,588
2016-08-14,580
2016-08-15,578
2016-08-16,592
2016-08-17,590
2016-08-18,568
2016-08-19,560
2016-08-20,575
2016-08-21,571
2016-08-22,551
2016-08-23,523
2016-08-24,527
2016-08-25,545
2016-08-26,545
2016-08-28,541
2016-08-31,572
2016-09-01,598
2016-09-02,598
2016-09-03,617
2016-09-04,622
2016-09-05,621
2016-09-06,616
2016-09-07,626
2016-09-08,637
2016-09-09,662
2016-09-10,653
2016-09-11,657
2016-09-12,656
2016-09-13,665
2016-09-14,695
2016-09-15,721
2016-09-16,748
2016-09-17,737
2016-09-18,708
2016-09-19,700
2016-09-20,668
2016-09-21,649
2016-09-22,649
2016-09-23,649
2016-09-24,649
2016-09-25,638
2016-09-26,630
2016-09-27,638
2016-09-28,638
2016-09-29,647
2016-09-30,662
2016-10-01,659
2016-10-02,674
2016-10-03,700
2016-10-04,715
2016-10-05,702
2016-10-06,679
2016-10-07,661
2016-10-08,664
2016-10-09,681
2016-10-10,679
2016-10-11,664
2016-10-12,661
2016-10-13,656
2016-10-14,660
2016-10-15,681
2016-10-16,693
2016-10-17,704
2016-10-18,679
2016-10-19,688
2016-10-20,714
2016-10-21,742
2016-10-22,750
2016-10-23,769
2016-10-24,753
2016-10-25,740
2016-10-26,727
2016-10-27,717
2016-10-28,698
2016-10-29,678
2016-10-30,658
2016-10-31,663
2016-11-01,663
2016-11-02,686
2016-11-03,690
2016-11-04,685
2016-11-05,700
2016-11-06,700
2016-11-07,722
2016-11-08,705
2016-11-09,686
2016-11-10,684
2016-11-11,687
2016-11-12,683
2016-11-13,702
2016-11-14,723
2016-11-15,715
2016-12-07,624
2016-12-08,607
2016-12-09,609
2016-12-10,609
2016-12-11,620
2016-12-12,627
2016-12-13,619
2016-12-14,614
2016-12-15,606
2016-12-16,597
2016-12-17,597
2016-12-18,580
2016-12-19,574
2016-12-20,581
2016-12-21,593
2016-12-22,597
2016-12-23,586
2016-12-24,577
2016-12-25,585
2016-12-26,593
2016-12-27,608
2016-12-28,627
2016-12-29,643
2016-12-30,655
2016-12-31,661
2017-01-01,656
2017-01-02,660
2017-01-03,677
2017-01-04,690
2017-01-05,679
2017-01-06,677
2017-01-07,686
2017-01-08,701
2017-01-09,695
2017-01-10,700
2017-01-11,685
2017-01-12,677
2017-01-13,688
2017-01-14,692
2017-01-15,680
2017-01-16,671
2017-01-17,683
2017-01-18,705
2017-01-19,719
2017-01-20,702
2017-01-21,680
2017-01-22,659
2017-01-23,641
2017-01-27,536
2017-01-28,540
2017-01-29,561
2017-01-30,585
2017-01-31,581
2017-02-01,592
2017-02-02,596
2017-02-03,607
2017-02-04,605
2017-02-05,621
2017-02-06,644
2017-02-07,674
2017-02-08,704
2017-02-09,724
2017-02-10,738
2017-02-11,752
2017-02-12,750
2017-02-13,745
2017-02-14,733
2017-02-15,724
2017-02-16,724
2017-02-17,724
2017-02-18,737
2017-02-19,732
2017-02-20,717
2017-02-21,718
2017-02-22,700
2017-02-23,696
2017-02-24,674
2017-02-25,666
2017-02-26,640
2017-02-27,638
2017-02-28,638
2017-03-01,635
2017-03-02,642
2017-03-03,662
2017-03-04,680
2017-03-05,690
2017-03-06,718
2017-03-07,728
2017-03-08,725
2017-03-09,735
2017-03-10,746
2017-03-11,760
2017-03-12,736
2017-03-13,751
2017-03-14,743
2017-03-15,723
2017-03-16,699
2017-03-17,691
2017-03-18,677
2017-03-19,657
2017-03-20,649
2017-03-21,667
2017-03-22,633
2017-03-23,614
2017-03-24,616
2017-03-25,615
2017-03-26,620
2017-03-27,616
2017-03-28,613
2017-03-29,613
2017-03-30,614
2017-03-31,612
2017-04-01,631
2017-04-02,630
2017-04-03,638
2017-04-04,621
2017-04-05,632
2017-04-12,751
2017-04-13,784
2017-04-14,824
2017-04-15,862
2017-04-16,885
2017-04-17,903
2017-04-18,888
2017-04-19,853
2017-04-20,826
2017-04-21,803
2017-04-22,795
2017-04-23,785
2017-04-24,769
2017-04-25,767
2017-04-26,780
2017-04-27,763
2017-04-28,771
2017-04-29,787
2017-04-30,808
2017-05-01,811
2017-05-02,831
2017-05-03,833
2017-05-04,862
2017-05-05,866
2017-05-06,846
2017-05-07,828
2017-05-08,832
2017-05-09,852
2017-05-10,862
2017-05-11,876
2017-05-12,888
2017-05-13,897
2017-05-14,908
2017-05-15,904
2017-05-16,889
2017-05-17,883
2017-05-18,877
2017-05-19,857
2017-05-20,830
2017-05-21,830
2017-05-22,807
2017-05-23,784
2017-05-24,794
2017-05-25,805
2017-05-26,816
2017-05-27,843
2017-05-28,862
2017-05-29,852
2017-05-30,859
2017-05-31,838
2017-06-01,836
2017-06-02,848
2017-06-03,846
2017-06-04,854
2017-06-05,862
2017-06-06,852
2017-06-07,829
2017-06-08,800
2017-06-09,798
2017-06-10,796
2017-06-11,809
2017-06-12,823
2017-06-13,825
2017-06-14,818
2017-06-15,826
2017-06-16,799
2017-06-17,763
2017-06-18,761
2017-06-19,761
2017-06-20,757
2017-06-21,732
2017-06-22,725
2017-06-23,723
2017-06-24,701
2017-06-25,667
2017-06-26,635
2017-06-27,608
2017-06-28,596
2017-06-29,568
2017-06-30,539
2017-07-01,518
2017-07-02,534
2017-07-03,548
2017-07-04,548
2017-07-05,548
2017-07-06,539
2017-07-07,547
2017-07-08,570
2017-07-09,579
2017-07-13,611
2017-07-14,639
2017-07-15,671
2017-07-16,696
2017-07-17,694
2017-07-18,672
2017-07-19,649
2017-07-20,656
2017-07-21,675
2017-07-22,687
2017-07-23,701
2017-07-24,732
2017-07-25,723
2017-07-26,700
2017-07-27,675
2017-07-28,706
2017-07-29,684
2017-07-30,691
2017-07-31,680
2017-08-01,668
2017-08-02,663
2017-08-03,671
2017-08-04,688
2017-08-05,708
2017-08-06,698
2017-08-07,681
2017-08-08,654
2017-08-09,640
2017-08-10,641
2017-08-11,659
2017-08-12,681
2017-08-13,681
2017-08-14,660
2017-08-15,656
2017-08-16,677
2017-08-17,704
2017-08-18,726
2017-08-19,701
2017-08-20,674
2017-08-21,692
2017-08-22,707
2017-08-23,696
2017-08-24,689
2017-08-25,674
2017-08-26,659
2017-08-27,646
2017-08-28,648
2017-08-29,626
2017-08-30,629
2017-08-31,611
2017-09-01,588
2017-09-02,592
2017-09-03,619
2017-09-04,628
2017-09-05,640
2017-09-06,636
2017-09-07,622
2017-09-08,637
2017-09-09,630
2017-09-10,609
2017-09-11,604
2017-09-12,613
2017-09-13,595
2017-09-14,573
2017-09-15,566
2017-09-16,554
2017-09-17,541
2017-09-18,528
2017-09-19,508
2017-09-20,519
2017-09-21,527
2017-09-22,524
2017-09-23,508
2017-09-24,516
2017-09-25,515
2017-09-26,515
2017-09-27,514
2017-09-28,533
2017-09-29,533
2017-09-30,553
2017-10-01,544
2017-10-02,544
2017-10-03,551
2017-10-04,550
2017-10-05,563
2017-10-06,580
2017-10-07,592
2017-10-08,599
2017-10-09,618
2017-10-10,630
2017-10-11,623
2017-10-12,616
2017-10-13,610
2017-10-14,600
2017-10-15,601
2017-10-16,612
2017-10-17,628
2017-10-18,641
2017-10-19,639
2017-10-20,650
2017-10-21,671
2017-10-22,692
2017-10-23,689
2017-10-24,699
2017-10-25,685
2017-10-26,692
2017-10-27,715
2017-10-28,715
2017-10-29,692
2017-10-30,696
2017-10-31,674
2017-11-01,647
2017-11-02,647
2017-11-03,655
2017-11-04,672
2017-11-05,684
2017-11-06,702
2017-11-07,717
2017-11-08,730
2017-11-09,733
2017-11-10,713
2017-11-11,714
2017-11-12,699
2017-11-13,678
2017-11-14,656
2017-11-15,664
2017-11-16,662
2017-11-17,661
2017-11-18,676
2017-11-19,677
2017-11-20,663
2017-11-21,650
2017-11-22,675
2017-11-23,708
2017-11-24,732
2017-11-25,738
2017-11-26,765
2017-11-27,760
2017-11-28,755
2017-11-29,749
2017-11-30,756
2017-12-01,754
2017-12-02,783
2017-12-03,787
2017-12-04,774
2017-12-05,779
2017-12-06,782
2017-12-07,758
2017-12-08,735
2017-12-09,712
2017-12-10,714
2017-12-11,725
2017-12-12,737
2017-12-13,769
2017-12-14,785
2017-12-15,822
2017-12-16,840
2017-12-17,825
2017-12-18,817
2017-12-19,837
2017-12-20,848
2017-12-21,833
2017-12-22,850
2017-12-23,845
2017-12-24,857
2017-12-25,856
2017-12-26,869
2017-12-27,843
2017-12-28,833
2017-12-29,814
2017-12-30,789
2017-12-31,770
2018-01-01,738
2018-01-02,740
2018-01-03,743
2018-01-04,771
2018-01-05,769
2018-01-06,783
2018-01-07,822
2018-01-08,834
2018-01-09,804
2018-01-10,791
2018-01-11,799
2018-01-12,819
2018-01-13,812
2018-01-14,821
2018-01-15,802
2018-01-16,789
2018-01-17,781
2018-01-18,787
2018-01-19,817
2018-01-20,820
2018-01-21,841
2018-01-22,826
2018-01-23,788
2018-01-24,763
2018-01-25,741
2018-01-26,737
2018-01-27,732
2018-01-28,740
2018-01-29,736
2018-01-30,737
2018-01-31,741
2018-02-01,762
2018-02-02,761
2018-02-03,741
2018-02-04,751
2018-02-05,752
2018-02-06,762
2018-02-07,750
2018-02-08,745
2018-02-09,725
2018-02-10,697
2018-02-11,701
2018-02-12,686
2018-02-13,672
2018-02-14,693
2018-02-15,681
2018-02-16,656
2018-02-17,655
2018-02-18,645
2018-02-19,650
2018-02-20,675
2018-02-21,685
2018-02-22,696
2018-02-23,695
2018-02-24,660
2018-02-25,656
2018-02-26,640
2018-02-27,653
2018-02-28,673
2018-03-01,673
2018-03-02,664
2018-03-03,671
2018-03-04,677
2018-03-05,676
2018-03-06,660
2018-03-07,658
2018-03-08,665
2018-03-09,678
2018-03-10,688
2018-03-11,721
2018-03-12,751
2018-03-13,763
2018-03-14,759
2018-03-15,791
2018-03-16,782
2018-03-17,788
2018-03-18,790
2018-03-19,782
2018-03-20,773
2018-03-21,744
2018-03-22,735
2018-03-23,719
2018-03-24,711
2018-03-25,694
2018-03-26,717
2018-03-27,715
2018-03-28,738
2018-03-29,731
2018-03-30,732
2018-03-31,717
2018-04-01,715
2018-04-02,696
2018-04-03,666
2018-04-04,647
2018-04-05,656
2018-04-06,656
2018-04-07,640
2018-04-08,631
2018-04-09,655
2018-04-10,681
2018-04-11,705
2018-04-12,734
2018-04-13,730
2018-04-14,713
2018-04-15,743
2018-04-16,781
2018-04-17,796
2018-04-18,809
2018-04-19,796
2018-04-20,814
2018-04-21,804
2018-04-22,795
2018-04-23,772
2018-04-24,793
2018-04-25,779
2018-04-26,758
2018-04-27,737
2018-04-28,733
2018-04-29,729
2018-04-30,728
2018-05-01,735
2018-05-02,759
2018-05-03,777
2018-05-04,756
2018-05-05,745
2018-05-06,737
2018-05-07,737
2018-05-08,737
2018-05-09,733
2018-05-10,727
2018-05-11,740
2018-05-12,727
2018-05-13,710
2018-05-14,723
2018-05-15,711
2018-05-16,738
2018-05-17,753
2018-05-18,760
2018-05-19,777
2018-05-20,771
2018-05-21,749
2018-05-22,731
2018-05-23,744
2018-05-24,775
2018-05-25,781
2018-05-26,776
2018-05-27,774
2018-05-28,770
2018-05-29,747
2018-05-30,777
2018-05-31,795
2018-06-01,788
2018-06-02,808
2018-06-03,822
2018-06-04,816
2018-06-05,825
2018-06-06,849
2018-06-07,814
2018-06-08,828
2018-06-09,845
2018-06-10,830
2018-06-11,811
2018-06-12,806
2018-06-13,784
2018-06-14,790
2018-06-15,777
2018-06-16,763
2018-06-17,774
2018-06-18,752
2018-06-19,734
2018-06-20,736
2018-06-21,727
2018-06-22,741
2018-06-23,748
2018-06-24,730
2018-06-25,705
2018-06-26,674
2018-06-27,663
2018-06-28,651
2018-06-29,643
2018-06-30,632
2018-07-01,606
2018-07-02,593
2018-07-03,591
2018-07-04,592
2018-07-05,607
2018-07-06,634
2018-07-07,653
2018-07-08,647
2018-07-09,657
2018-07-10,646
2018-07-11,649
2018-07-12,664
2018-07-13,661
2018-07-14,679
2018-07-15,670
2018-07-16,665
2018-07-17,662
2018-07-18,658
2018-07-19,681
2018-07-20,689
2018-07-21,701
2018-07-22,700
2018-07-23,713
2018-07-24,694
2018-07-25,680
2018-07-26,666
2018-07-27,655
2018-07-28,636
2018-07-29,635
2018-07-30,653
2018-07-31,678
2018-08-01,712
2018-08-02,726
2018-08-03,722
2018-08-04,715
2018-08-05,691
2018-08-06,704
2018-08-07,717
2018-08-08,696
2018-08-09,727
2018-08-10,725
2018-08-11,699
2018-08-12,678
2018-08-14,633
2018-08-16,685
2018-08-17,706
2018-08-18,742
2018-08-19,746
2018-08-20,743
2018-08-21,709
2018-08-22,695
2018-08-23,718
2018-08-24,704
2018-08-25,708
2018-08-26,715
2018-08-27,732
2018-08-28,743
2018-08-29,754
2018-08-30,727
2018-08-31,701
2018-09-01,686
2018-09-02,661
2018-09-03,651
2018-09-04,656
2018-09-05,680
2018-09-06,679
2018-09-07,713
2018-09-08,715
2018-09-09,748
2018-09-10,756
2018-09-11,767
2018-09-12,762
2018-09-13,752
2018-09-14,748
2018-09-15,725
2018-09-16,704
2018-09-17,671
2018-09-18,646
2018-09-19,634
2018-09-20,640
2018-09-21,640
2018-09-22,655
2018-09-23,628
2018-09-24,622
2018-09-25,634
2018-09-26,657
2018-09-27,661
2018-09-28,685
2018-09-29,684
2018-09-30,699
2018-10-01,709
2018-10-02,689
2018-10-03,679
2018-10-04,664
2018-10-05,694
2018-10-06,705
2018-10-07,730
2018-10-08,734
2018-10-09,758
2018-10-10,783
2018-10-11,769
2018-10-12,759
2018-10-13,754
2018-10-14,756
2018-10-15,742
2018-10-16,734
2018-10-17,734
2018-10-18,723
2018-10-19,724
2018-10-20,725
2018-10-21,708
2018-10-22,693
2018-10-23,682
2018-10-24,681
2018-10-25,664
2018-10-26,666
2018-10-27,663
2018-10-28,677
2018-10-29,686
2018-10-30,697
2018-10-31,716
2018-11-01,729
2018-11-03,752
2018-11-04,744
2018-11-05,750
2018-11-06,765
2018-11-07,780
2018-11-08,770
2018-11-09,769
2018-11-10,774
2018-11-11,760
2018-11-12,765
2018-11-13,765
2018-11-14,757
2018-11-15,745
2018-11-16,732
2018-11-17,704
2018-11-18,683
2018-11-19,679
2018-11-20,666
2018-11-21,653
2018-11-22,635
2018-11-23,617
2018-11-24,618
2018-11-25,606
2018-11-26,585
2018-11-27,602
2018-11-28,593
2018-11-29,598
2018-12-01,613
2018-12-02,590
2018-12-03,578
2018-12-04,582
2018-12-05,588
2018-12-07,592
2018-12-09,591
2018-12-10,609
2018-12-11,631
2018-12-12,629
2018-12-13,643
2018-12-14,630
2018-12-15,633
2018-12-16,633
2018-12-17,648
2018-12-18,637
2018-12-19,621
2018-12-20,604
2018-12-21,621
2018-12-22,630
2018-12-23,626
2018-12-24,625
2018-12-25,636
2018-12-26,645
2018-12-27,658
2018-12-28,654
2018-12-29,658
2018-12-30,657
2018-12-31,666
2019-01-01,663
2019-01-02,650
2019-01-03,672
2019-01-04,683
2019-01-05,703
2019-01-06,697
2019-01-08,689
2019-01-10,674
2019-01-11,650
2019-01-12,627
2019-01-13,627
2019-01-14,626
2019-01-15,631
2019-01-16,625
2019-01-17,639
2019-01-18,640
2019-01-19,651
2019-01-20,654
2019-01-21,647
2019-01-22,646
2019-01-23,649
2019-01-24,656
2019-01-25,661
2019-01-26,664
2019-01-27,659
2019-01-28,642
2019-01-29,644
2019-01-30,643
2019-01-31,658
2019-02-01,659
2019-02-02,671
2019-02-03,683
2019-02-04,676
2019-02-05,699
2019-02-06,690
2019-02-07,684
2019-02-08,665
2019-02-09,659
2019-02-10,652
2019-02-11,666
2019-02-12,679
2019-02-13,673
2019-02-14,669
2019-02-15,671
2019-02-16,668
2019-02-17,649
2019-02-18,653
2019-02-19,652
2019-02-20,656
2019-02-21,651
2019-02-22,643
2019-02-23,641
2019-02-24,642
2019-02-25,636
2019-02-26,627
2019-02-27,636
2019-02-28,628
2019-03-01,628
2019-03-02,635
2019-03-03,645
2019-03-04,639
2019-03-05,662
2019-03-06,658
2019-03-07,653
2019-03-08,632
2019-03-09,616
2019-03-10,618
2019-03-11,609
2019-03-12,604
2019-03-13,624
2019-03-14,634
2019-03-15,643
2019-03-16,644
2019-03-17,642
2019-03-18,634
2019-03-19,651
2019-03-20,666
2019-03-21,676
2019-03-22,677
2019-03-23,658
2019-03-24,645
2019-03-25,668
2019-03-26,672
2019-03-27,666
2019-03-28,672
2019-03-29,667
2019-03-30,666
2019-03-31,652
2019-04-01,662
2019-04-02,657
2019-04-03,677
2019-04-04,665
2019-04-05,676
2019-04-06,696
2019-04-07,692
2019-04-08,680
2019-04-09,679
2019-04-10,693
2019-04-11,705
2019-04-12,686
2019-04-13,693
2019-04-14,699
2019-04-15,677
2019-04-16,686
2019-04-17,698
2019-04-18,701
2019-04-19,708
2019-04-20,707
2019-04-21,712
2019-04-22,727
2019-04-23,730
2019-04-24,720
2019-04-25,720
2019-04-26,714
2019-04-27,706
2019-04-28,689
2019-04-29,696
2019-04-30,692
2019-05-01,675
2019-05-02,686
2019-05-03,684
2019-05-04,683
2019-05-05,691
2019-05-06,706
2019-05-07,698
2019-05-08,691
2019-05-09,679
2019-05-10,685
2019-05-11,676
2019-05-12,659
2019-05-13,651
2019-05-14,664
2019-05-15,665
2019-05-16,656
2019-05-17,638
2019-05-18,639
2019-05-19,644
2019-05-20,666
2019-05-21,681
2019-05-22,668
2019-05-23,671
2019-05-24,657
2019-05-25,659
2019-05-26,667
2019-05-27,669
2019-05-28,669
2019-05-29,671
2019-05-30,676
2019-05-31,668
2019-06-01,662
2019-06-02,643
2019-06-03,645
2019-06-04,660
2019-06-05,664
2019-06-06,672
2019-06-07,698
2019-06-08,704
2019-06-09,688
2019-06-10,674
2019-06-11,675
2019-06-12,684
2019-06-13,680
2019-06-14,698
2019-06-15,671
2019-06-16,677
2019-06-17,673
2019-06-18,678
2019-06-19,677
2019-06-20,662
2019-06-21,653
2019-06-22,633
2019-06-23,638
2019-06-24,645
2019-06-25,645
2019-06-26,655
2019-06-27,656
2019-06-28,663
2019-06-29,656
2019-06-30,643
2019-07-01,647
2019-07-02,659
2019-07-03,671
2019-07-04,674
2019-07-05,661
2019-07-06,643
2019-07-07,637
2019-07-08,629
2019-07-09,625
2019-07-10,644
2019-07-11,644
2019-07-12,634
2019-07-13,616
2019-07-14,603
2019-07-15,612
2019-07-16,608
2019-07-17,596
2019-07-18,597
2019-07-19,612
2019-07-20,609
2019-07-21,615
2019-07-22,606
2019-07-23,607
2019-07-24,606
2019-07-25,599
2019-07-26,608
2019-07-27,610
2019-07-28,601
2019-07-29,606
2019-07-30,608
2019-07-31,615
2019-08-01,618
2019-08-02,621
2019-08-03,610
2019-08-04,615
2019-08-05,609
2019-08-06,605
2019-08-07,592
2019-08-08,580
2019-08-09,568
2019-08-10,571
2019-08-11,573
2019-08-12,589
2019-08-13,602
2019-08-14,623
2019-08-15,619
2019-08-16,609
2019-08-17,605
2019-08-18,605
2019-08-19,608
