date_obj,Crystal%20grail price
2020-04-12,756792
2020-04-13,756792
2020-04-14,742272
2020-04-15,719189
2020-04-16,719189
2020-04-17,694914
2020-04-18,686090
2020-04-19,682076
2020-04-20,677489
2020-04-21,673355
2020-04-22,688020
2020-04-23,699243
2020-04-24,692426
2020-04-25,679890
2020-04-26,686663
2020-04-27,694052
2020-04-28,699340
2020-04-29,699340
2020-04-30,709384
2020-05-01,709384
2020-05-02,724974
2020-05-03,734937
2020-05-04,734937
2020-05-05,734909
2020-05-06,750422
2020-05-07,769719
2020-05-08,769719
2020-05-09,790808
2020-05-10,790858
2020-05-11,790858
2020-05-12,776949
2020-05-13,767900
