date_obj,Hydra%20tail price
2020-03-18,71396
2020-03-19,71396
2020-03-20,68252
2020-03-21,68252
2020-03-22,65959
2020-03-23,65959
2020-03-24,64695
2020-03-25,64695
2020-03-26,66161
2020-03-27,66161
2020-03-28,64839
2020-03-29,67015
2020-03-30,67015
2020-03-31,66520
2020-04-01,66520
2020-04-02,69667
2020-04-03,69667
2020-04-04,69325
2020-04-05,69325
2020-04-06,68406
2020-04-07,68406
2020-04-08,68659
2020-04-09,68659
2020-04-10,70515
2020-04-11,72295
2020-04-12,72295
2020-04-13,72942
2020-04-14,71971
2020-04-15,73529
2020-04-16,73529
2020-04-17,73732
2020-04-18,75803
2020-04-19,77509
2020-04-20,77509
2020-04-21,79411
2020-04-22,78195
2020-04-23,78195
2020-04-24,76796
2020-04-25,73298
2020-04-26,69857
2020-04-27,69482
2020-04-28,70025
2020-04-29,70025
2020-04-30,67509
2020-05-01,67509
2020-05-02,65459
2020-05-03,67472
2020-05-04,67472
2020-05-05,68167
2020-05-06,68888
2020-05-07,68888
2020-05-08,69382
2020-05-09,69369
2020-05-10,68913
2020-05-11,68913
2020-05-12,69617
2020-05-13,71215
