date_obj,Gilded%20pickaxe price
2019-12-11,9919422
2019-12-12,9919422
2019-12-13,9711814
2019-12-14,9711814
2019-12-15,9711814
2019-12-16,9480594
2019-12-17,9480594
2019-12-18,9480594
2019-12-19,9480594
2019-12-20,9167209
2019-12-21,9167209
2019-12-22,8993695
2019-12-23,8993695
2019-12-24,8993695
2019-12-25,8920762
2019-12-26,8920762
2019-12-27,8920762
2019-12-28,9190341
2019-12-29,9190341
2019-12-30,9190341
2019-12-31,9292326
2020-01-01,9292326
2020-01-02,9292326
2020-01-03,9292326
2020-01-04,9160485
2020-01-05,9160485
2020-01-06,9160485
2020-01-07,9115907
2020-01-08,9115907
2020-01-09,9115907
2020-01-10,9115907
2020-01-11,9016263
2020-01-12,9016263
2020-01-13,9016263
2020-01-14,9005517
2020-01-15,9005517
2020-01-16,8968471
2020-01-17,8968471
2020-01-18,8968471
2020-01-19,9007077
2020-01-20,9007077
2020-01-21,9007077
2020-01-22,9007077
2020-01-23,9003762
2020-01-24,9003762
2020-01-25,9003762
2020-01-26,8981842
2020-01-27,8981842
2020-01-28,8981842
2020-01-29,8897260
2020-01-30,8897260
2020-01-31,8897260
2020-02-01,8868444
2020-02-02,8868444
2020-02-03,8868444
2020-02-04,8859393
2020-02-05,8859393
2020-02-06,8859393
2020-02-07,8859393
2020-02-08,8834664
2020-02-09,8834664
2020-02-10,8834664
2020-02-11,8817907
2020-02-12,8817907
2020-02-13,8817907
2020-02-14,8749499
2020-02-15,8749499
2020-02-16,8749499
2020-02-17,8451177
2020-02-18,8451177
2020-02-19,8451177
2020-02-20,8257363
2020-02-21,8257363
2020-02-22,8257363
2020-02-23,7902230
2020-02-24,7902230
2020-02-25,7541948
2020-02-26,7541948
2020-02-27,7352273
2020-02-28,7194334
2020-02-29,7194334
2020-03-01,7194334
2020-03-02,6959872
2020-03-03,6959872
2020-03-04,6959872
2020-03-05,6959872
2020-03-06,6924520
2020-03-07,6924520
2020-03-08,6924520
2020-03-09,6719608
2020-03-10,6719608
2020-03-11,6719608
2020-03-12,6503815
2020-03-13,6503815
2020-03-14,6503815
2020-03-15,6411546
2020-03-16,6411546
2020-03-17,6411546
2020-03-18,6273934
2020-03-19,6273934
2020-03-20,6215011
2020-03-21,6215011
2020-03-22,6058882
2020-03-23,6058882
2020-03-24,5932620
2020-03-25,5932620
2020-03-26,5875869
2020-03-27,5875869
2020-03-28,5875869
2020-03-29,5786189
2020-03-30,5786189
2020-03-31,5708988
2020-04-01,5708988
2020-04-02,5697296
2020-04-03,5697296
2020-04-04,5697296
2020-04-05,5679521
2020-04-06,5679521
2020-04-07,5703403
2020-04-08,5703403
2020-04-09,5610415
2020-04-10,5610415
2020-04-11,5698786
2020-04-12,5698786
2020-04-13,5887848
2020-04-14,5887848
2020-04-15,5874429
2020-04-16,5874429
2020-04-17,5874429
2020-04-18,6060151
2020-04-19,6060151
2020-04-20,5985519
2020-04-21,5985519
2020-04-22,5990884
2020-04-23,5990884
2020-04-24,5990884
2020-04-25,5951733
2020-04-26,5951733
2020-04-27,6082324
2020-04-28,6082324
2020-04-29,6344188
2020-04-30,6344188
2020-05-01,6459984
2020-05-02,6459984
2020-05-03,6367285
2020-05-04,6367285
2020-05-05,6181990
2020-05-06,6007004
2020-05-07,6007004
2020-05-08,6078101
2020-05-09,6078101
2020-05-10,5948027
2020-05-11,5948027
2020-05-12,5948027
2020-05-13,5730975
