date_obj,Topaz%20bracelet price
2017-06-14,1042
2017-06-15,1042
2017-06-16,1042
2017-06-17,1042
2017-06-18,1042
2017-06-19,1042
2017-06-20,1042
2017-06-21,1042
2017-06-22,1042
2017-06-23,1042
2017-06-24,1042
2017-06-25,1042
2017-06-26,1042
2017-06-27,1042
2017-06-28,1042
2017-06-29,1042
2017-06-30,1042
2017-07-01,1042
2017-07-02,1042
2017-07-03,1042
2017-07-04,1042
2017-07-05,1042
2017-07-06,1042
2017-07-07,1042
2017-07-08,1042
2017-07-13,1042
2017-07-14,1082
2017-07-15,1082
2017-07-16,1082
2017-07-17,1082
2017-07-18,1082
2017-07-19,1082
2017-07-20,1082
2017-07-21,1082
2017-07-22,1082
2017-07-23,1082
2017-07-24,1082
2017-07-25,1082
2017-07-26,1082
2017-07-27,1082
2017-07-28,1082
2017-07-29,1082
2017-07-30,1082
2017-07-31,1082
2017-08-01,1082
2017-08-02,1082
2017-08-03,1082
2017-08-04,1082
2017-08-05,1130
2017-08-06,1130
2017-08-09,1130
2017-08-10,1130
2017-08-11,1130
2017-08-12,1130
2017-08-13,1130
2017-08-14,1130
2017-08-15,1130
2017-08-16,1130
2017-08-17,1130
2017-08-18,1130
2017-08-19,1130
2017-08-20,1130
2017-08-21,1130
2017-08-22,1130
2017-08-23,1130
2017-08-24,1130
2017-08-25,1130
2017-08-26,1130
2017-08-27,1130
2017-08-28,1182
2017-08-29,1182
2017-08-30,1182
2017-08-31,1182
2017-09-01,1182
2017-09-02,1182
2017-09-03,1182
2017-09-04,1182
2017-09-05,1182
2017-09-06,1182
2017-09-07,1182
2017-09-08,1182
2017-09-09,1182
2017-09-10,1182
2017-09-11,1182
2017-09-12,1182
2017-09-13,1182
2017-09-14,1182
2017-09-15,1182
2017-09-16,1182
2017-09-17,1182
2017-09-19,1235
2017-09-20,1235
2017-09-21,1235
2017-09-22,1235
2017-09-23,1235
2017-09-24,1235
2017-09-25,1235
2017-09-26,1235
2017-09-27,1235
2017-09-28,1235
2017-09-29,1235
2017-09-30,1235
2017-10-01,1235
2017-10-02,1235
2017-10-03,1235
2017-10-04,1235
2017-10-05,1235
2017-10-06,1235
2017-10-07,1235
2017-10-08,1235
2017-10-09,1235
2017-10-10,1290
2017-10-11,1290
2017-10-12,1290
2017-10-13,1290
2017-10-14,1290
2017-10-15,1290
2017-10-16,1290
2017-10-17,1290
2017-10-18,1290
2017-10-19,1290
2017-10-20,1290
2017-10-21,1290
2017-10-22,1290
2017-10-23,1290
2017-10-24,1290
2017-10-25,1290
2017-10-26,1290
2017-10-27,1290
2017-10-28,1290
2017-10-29,1344
2017-10-30,1344
2017-10-31,1344
2017-11-01,1344
2017-11-02,1344
2017-11-03,1344
2017-11-04,1344
2017-11-05,1344
2017-11-06,1344
2017-11-07,1344
2017-11-08,1344
2017-11-09,1344
2017-11-10,1344
2017-11-11,1344
2017-11-12,1344
2017-11-13,1344
2017-11-14,1344
2017-11-15,1344
2017-11-16,1344
2017-11-17,1344
2017-11-18,1344
2017-11-19,1405
2017-11-20,1405
2017-11-21,1405
2017-11-22,1405
2017-11-23,1405
2017-11-24,1405
2017-11-25,1405
2017-11-26,1405
2017-11-27,1405
2017-11-28,1405
2017-11-29,1405
2017-11-30,1405
2017-12-01,1405
2017-12-02,1405
2017-12-03,1405
2017-12-04,1405
2017-12-05,1405
2017-12-06,1405
2017-12-07,1405
2017-12-08,1405
2017-12-09,1405
2017-12-10,1405
2017-12-11,1405
2017-12-12,1472
2017-12-13,1472
2017-12-14,1472
2017-12-15,1472
2017-12-16,1472
2017-12-17,1472
2017-12-18,1472
2017-12-19,1472
2017-12-20,1472
2017-12-21,1472
2017-12-22,1472
2017-12-23,1472
