date_obj,Dragonfruit%20pie price
2019-07-15,803
2019-07-16,803
2019-07-17,798
2019-07-18,798
2019-07-19,801
2019-07-20,801
2019-07-21,811
2019-07-22,811
2019-07-23,827
2019-07-24,827
2019-07-25,827
2019-07-26,850
2019-07-27,850
2019-07-28,829
2019-07-29,829
2019-07-30,788
2019-07-31,788
2019-08-01,752
2019-08-02,752
2019-08-03,764
2019-08-04,764
2019-08-05,783
2019-08-06,783
2019-08-07,750
2019-08-08,750
2019-08-09,732
2019-08-10,739
2019-08-11,739
2019-08-12,703
2019-08-13,703
2019-08-14,673
2019-08-15,673
2019-08-16,696
2019-08-17,696
2019-08-18,709
2019-08-19,718
2019-08-20,718
2019-08-21,754
2019-08-22,779
2019-08-23,779
2019-08-24,807
2019-08-24,807
2019-08-25,807
2019-08-25,807
2019-08-26,844
2019-08-27,844
2019-08-27,844
2019-08-28,866
2019-08-29,866
2019-08-30,850
2019-08-31,850
2019-09-01,814
2019-09-02,814
2019-09-03,794
2019-09-04,794
2019-09-05,758
2019-09-06,758
2019-09-07,729
2019-09-08,729
2019-09-09,694
2019-09-10,694
2019-09-11,670
2019-09-12,670
2019-09-13,670
2019-09-14,654
2019-09-15,654
2019-09-16,675
2019-09-17,675
2019-09-18,680
2019-09-19,680
2019-09-20,680
2019-09-21,697
2019-09-22,697
2019-09-23,709
2019-09-24,709
2019-09-25,744
2019-09-26,744
2019-09-27,744
2019-09-28,749
2019-09-29,749
2019-09-30,749
2019-10-01,743
2019-10-02,743
2019-10-03,750
2019-10-04,750
2019-10-05,712
2019-10-06,676
2019-10-07,676
2019-10-08,642
2019-10-09,642
2019-10-10,617
2019-10-11,617
2019-10-12,592
2019-10-13,565
2019-10-14,565
2019-10-15,552
2019-10-16,552
2019-10-17,566
2019-10-18,566
2019-10-19,585
2019-10-20,585
2019-10-21,585
2019-10-22,581
2019-10-23,581
2019-10-24,551
2019-10-25,551
2019-10-26,523
2019-10-27,523
2019-10-28,501
2019-10-29,501
2019-10-30,501
2019-10-31,483
2019-11-01,483
2019-11-02,469
2019-11-03,469
2019-11-04,477
2019-11-05,477
2019-11-06,477
2019-11-07,455
2019-11-08,455
2019-11-09,432
2019-11-10,430
2019-11-11,430
2019-11-12,449
2019-11-13,449
2019-11-14,449
2019-11-15,468
2019-11-16,468
2019-11-17,453
2019-11-18,453
2019-11-19,434
2019-11-20,434
2019-11-21,434
2019-11-22,425
2019-11-23,425
2019-11-24,413
2019-11-25,413
2019-11-26,434
2019-11-27,434
2019-11-28,455
2019-11-29,455
2019-11-30,475
2019-12-01,475
2019-12-02,484
2019-12-03,484
2019-12-04,490
2019-12-05,490
2019-12-06,490
2019-12-07,494
2019-12-08,494
2019-12-09,496
2019-12-10,496
2019-12-11,518
2019-12-12,518
2019-12-13,537
2019-12-14,537
2019-12-15,564
2019-12-16,564
2019-12-17,584
2019-12-18,584
2019-12-19,590
2019-12-20,590
2019-12-21,590
2019-12-22,590
2019-12-23,597
2019-12-24,597
2019-12-25,601
2019-12-26,601
2019-12-27,590
2019-12-28,590
2019-12-29,581
2019-12-30,581
2019-12-31,583
2020-01-01,583
2020-01-02,600
2020-01-03,600
2020-01-04,609
2020-01-05,609
2020-01-06,621
2020-01-07,614
2020-01-08,614
2020-01-09,631
2020-01-10,622
2020-01-11,629
2020-01-12,640
2020-01-13,640
2020-01-14,650
2020-01-15,647
2020-01-16,647
2020-01-17,652
2020-01-18,652
2020-01-19,667
2020-01-20,667
2020-01-21,656
2020-01-22,667
2020-01-23,670
2020-01-24,697
2020-01-25,697
2020-01-26,713
2020-01-27,715
2020-01-28,715
2020-01-29,717
2020-01-30,717
2020-01-31,732
2020-02-01,732
2020-02-02,735
2020-02-03,735
2020-02-04,733
2020-02-05,733
2020-02-06,741
2020-02-07,741
2020-02-08,740
2020-02-09,740
2020-02-10,732
2020-02-11,732
2020-02-12,716
2020-02-13,716
2020-02-14,730
2020-02-15,730
2020-02-16,742
2020-02-17,746
2020-02-18,755
2020-02-19,755
2020-02-20,773
2020-02-21,773
2020-02-22,760
2020-02-23,760
2020-02-24,764
2020-02-25,725
2020-02-26,741
2020-02-27,741
2020-02-28,731
2020-02-29,731
2020-03-01,741
2020-03-02,704
2020-03-03,668
2020-03-04,668
2020-03-05,652
2020-03-06,622
2020-03-07,622
2020-03-08,602
2020-03-09,614
2020-03-10,602
2020-03-11,618
2020-03-12,613
2020-03-13,612
2020-03-14,620
2020-03-15,589
2020-03-16,610
2020-03-17,619
2020-03-18,637
2020-03-19,605
2020-03-20,585
2020-03-21,568
2020-03-22,570
2020-03-23,593
2020-03-24,617
2020-03-25,628
2020-03-26,655
2020-03-27,679
2020-03-28,686
2020-03-29,701
2020-03-30,728
2020-03-31,765
2020-04-01,804
2020-04-02,845
2020-04-03,845
2020-04-04,888
2020-04-05,920
2020-04-06,893
2020-04-07,852
2020-04-08,821
2020-04-09,826
2020-04-10,853
2020-04-11,852
2020-04-12,847
2020-04-13,806
2020-04-14,832
2020-04-15,848
2020-04-16,848
2020-04-17,876
2020-04-18,894
2020-04-19,871
2020-04-20,905
2020-04-21,909
2020-04-22,928
2020-04-23,957
2020-04-24,956
2020-04-25,935
2020-04-26,925
2020-04-27,921
2020-04-28,919
2020-04-29,954
2020-04-30,937
2020-05-01,949
2020-05-02,952
2020-05-03,972
2020-05-04,952
2020-05-05,965
2020-05-06,974
2020-05-07,956
2020-05-08,949
2020-05-09,970
2020-05-10,947
2020-05-11,921
2020-05-12,947
2020-05-13,958
