date_obj,Hood%20of%20darkness price
2017-03-18,394830
2017-03-19,375088
2017-03-20,375088
2017-03-21,375088
2017-03-22,375088
2017-03-23,375088
2017-03-24,356333
2017-03-25,356333
2017-03-26,356333
2017-03-27,356333
2017-03-28,356333
2017-03-29,338960
2017-03-30,338960
2017-03-31,338960
2017-04-01,338960
2017-04-02,338960
2017-04-03,322012
2017-04-04,322012
2017-04-12,129500
2017-04-13,129500
2017-04-14,129500
2017-04-15,129500
2017-04-16,135699
2017-04-17,135699
2017-04-18,135699
2017-04-19,135699
2017-04-20,141964
2017-04-21,141964
2017-04-22,141964
2017-04-23,141964
2017-04-24,148478
2017-04-25,148478
2017-04-26,148478
2017-04-27,148478
2017-04-28,154964
2017-04-29,154964
2017-04-30,154964
2017-05-01,154964
2017-05-02,158679
2017-05-03,158679
2017-05-04,158679
2017-05-05,158679
2017-05-06,158679
2017-05-07,161462
2017-05-08,161462
2017-05-09,161462
2017-05-10,161462
2017-05-11,165814
2017-05-12,165814
2017-05-13,165814
2017-05-14,165814
2017-05-15,165814
2017-05-16,172994
2017-05-17,172994
2017-05-18,172994
2017-05-19,172994
2017-05-20,165800
2017-05-21,165800
2017-05-22,165800
2017-05-23,165800
2017-05-24,165800
2017-05-25,157601
2017-05-26,157601
2017-05-27,157601
2017-05-28,157601
2017-05-29,149720
2017-05-30,149720
2017-05-31,149720
2017-06-01,149720
2017-06-02,143332
2017-06-03,143332
2017-06-04,143332
2017-06-06,137727
2017-06-07,137727
2017-06-08,137727
2017-06-09,137727
2017-06-10,133157
2017-06-11,133157
2017-06-12,133157
2017-06-13,133157
2017-06-14,132463
2017-06-15,132463
2017-06-16,132463
2017-06-17,132463
2017-06-18,137562
2017-06-19,137562
2017-06-20,137562
2017-06-21,137562
2017-06-22,137562
2017-06-23,143837
2017-06-24,143837
2017-06-25,143837
2017-06-26,143837
2017-06-27,150617
2017-06-28,150617
2017-06-29,150617
2017-06-30,150617
2017-07-01,150617
2017-07-02,153076
2017-07-03,153076
2017-07-04,153076
2017-07-05,153076
2017-07-06,153076
2017-07-07,145490
2017-07-08,145490
2017-07-13,141313
2017-07-14,141313
2017-07-15,141313
2017-07-16,141313
2017-07-17,139849
2017-07-18,139849
2017-07-19,139849
2017-07-20,139849
2017-07-21,139849
2017-07-22,138846
2017-07-23,138846
2017-07-24,138846
2017-07-25,138846
2017-07-26,138846
2017-07-27,139747
2017-07-28,139747
2017-07-29,139747
2017-07-30,139747
2017-07-31,139747
2017-08-01,138679
2017-08-02,138679
2017-08-03,138679
2017-08-04,138679
2017-08-05,136782
2017-08-06,136782
2017-08-09,136782
2017-08-10,133653
2017-08-11,133653
2017-08-12,133653
2017-08-13,133653
2017-08-14,133653
2017-08-15,129963
2017-08-16,129963
2017-08-17,129963
2017-08-18,129963
2017-08-19,129963
2017-08-20,127422
2017-08-21,127422
2017-08-22,127422
2017-08-23,127422
2017-08-24,131922
2017-08-25,131922
2017-08-26,131922
2017-08-27,131922
2017-08-28,131922
2017-08-29,137972
2017-08-30,137972
2017-08-31,137972
2017-09-01,137972
2017-09-02,144371
2017-09-03,144371
2017-09-04,144371
2017-09-05,144371
2017-09-06,144371
2017-09-07,150900
2017-09-08,150900
2017-09-09,150900
2017-09-10,150900
2017-09-11,150900
2017-09-12,158074
2017-09-13,158074
2017-09-14,158074
2017-09-15,158074
2017-09-16,158074
2017-09-17,158827
2017-09-18,158827
2017-09-19,158827
2017-09-20,158827
2017-09-21,158827
2017-09-22,157703
2017-09-23,157703
2017-09-24,157703
2017-09-25,157703
2017-09-26,157703
2017-09-27,157703
2017-09-28,151438
2017-09-29,151438
2017-09-30,151438
2017-10-01,151438
2017-10-02,147668
2017-10-03,147668
2017-10-04,147668
2017-10-05,147668
2017-10-06,147668
2017-10-07,147668
2017-10-08,144970
2017-10-09,144970
2017-10-10,144970
2017-10-11,144970
2017-10-12,144970
2017-10-13,149476
2017-10-14,149476
2017-10-15,149476
2017-10-16,149476
2017-10-17,149476
2017-10-18,145149
2017-10-19,145149
2017-10-20,145149
2017-10-21,145149
2017-10-22,145149
2017-10-23,148375
2017-10-24,148375
2017-10-25,148375
2017-10-26,148375
2017-10-27,154037
2017-10-28,154037
2017-10-29,154037
2017-10-30,154037
2017-10-31,154037
2017-11-01,148679
2017-11-02,148679
2017-11-03,148679
2017-11-04,148679
2017-11-05,142379
2017-11-06,142379
2017-11-07,142379
2017-11-08,142379
2017-11-09,142379
2017-11-10,135520
2017-11-11,135520
2017-11-12,135520
2017-11-13,135520
2017-11-14,135520
2017-11-15,131041
2017-11-16,131041
2017-11-17,131041
2017-11-18,131041
2017-11-19,131041
2017-11-20,132576
2017-11-21,132576
2017-11-22,132576
2017-11-23,132576
2017-11-24,132576
2017-11-25,132576
2017-11-26,131078
2017-11-27,131078
2017-11-28,131078
2017-11-29,131078
2017-11-30,131078
2017-12-01,131078
2017-12-02,124524
2017-12-03,124524
2017-12-04,124524
2017-12-05,124524
2017-12-06,124524
2017-12-07,118297
2017-12-08,118297
2017-12-09,118297
2017-12-10,118297
2017-12-11,118297
2017-12-12,112910
2017-12-13,112910
2017-12-14,112910
2017-12-15,112910
2017-12-16,108474
2017-12-17,108474
2017-12-18,108474
2017-12-19,108474
2017-12-20,108474
2017-12-21,104457
2017-12-22,104457
2017-12-23,104457
2017-12-24,104457
2017-12-25,104457
2017-12-26,102557
2017-12-27,102557
2017-12-28,102557
2017-12-29,102557
2017-12-30,103924
2017-12-31,103924
2018-01-01,103924
2018-01-02,103924
2018-01-03,107421
2018-01-04,107421
2018-01-05,107421
2018-01-06,105195
2018-01-07,105195
2018-01-08,105195
2018-01-09,109404
2018-01-10,109404
2018-01-11,109404
2018-01-12,109404
2018-01-13,106428
2018-01-14,106428
2018-01-15,106428
2018-01-16,104604
2018-01-17,104604
2018-01-18,104604
2018-01-19,104604
2018-01-20,104780
2018-01-21,104780
2018-01-22,104780
2018-01-23,101381
2018-01-25,99469
2018-01-26,99469
2018-01-27,97658
2018-01-28,97935
2018-01-29,97935
2018-01-30,100575
2018-01-31,100575
2018-02-01,100575
2018-02-02,103119
2018-02-03,103119
2018-02-04,103093
2018-02-05,103093
2018-02-06,102643
2018-02-07,102643
2018-02-08,105397
2018-02-09,105397
2018-02-10,106171
2018-02-11,105717
2018-02-12,105717
2018-02-13,105335
2018-02-14,105335
2018-02-15,104292
2018-02-16,104292
2018-02-17,102757
2018-02-18,102757
2018-02-19,102867
2018-02-20,102867
2018-02-21,102831
2018-02-22,102831
2018-02-23,102941
2018-02-24,102941
2018-02-25,102092
2018-02-26,102092
2018-02-27,101009
2018-02-28,101009
2018-03-01,101009
2018-03-02,99982
2018-03-03,99982
2018-03-04,96881
2018-03-05,96881
2018-03-06,97211
2018-03-07,97211
2018-03-08,98814
2018-03-09,98814
2018-03-10,101163
2018-03-11,101163
2018-03-12,102254
2018-03-13,102254
2018-03-14,104498
2018-03-15,104498
2018-03-16,104498
2018-03-17,104466
2018-03-18,104466
2018-03-19,104466
2018-03-20,102193
2018-03-21,102193
2018-03-23,102421
2018-03-24,102421
2018-03-25,105897
2018-03-26,105897
2018-03-27,106437
2018-03-28,106437
2018-03-29,107196
2018-03-30,107196
2018-03-31,107196
2018-04-01,107219
2018-04-02,107219
2018-04-03,106251
2018-04-04,106251
2018-04-05,106251
2018-04-06,107531
2018-04-07,107531
2018-04-08,107531
2018-04-09,109671
2018-04-10,109671
2018-04-11,108610
2018-04-12,108610
2018-04-13,108610
2018-04-14,108366
2018-04-15,108366
2018-04-16,109179
2018-04-17,109179
2018-04-18,109179
2018-04-19,110192
2018-04-20,110192
2018-04-21,111863
2018-04-22,111863
2018-04-23,114091
2018-04-24,114091
2018-04-25,114703
2018-04-26,114703
2018-04-27,114703
2018-04-28,112109
2018-04-29,112109
2018-04-30,108374
2018-05-01,108374
2018-05-03,106152
2018-05-04,106152
2018-05-05,105496
2018-05-06,105496
2018-05-07,105496
2018-05-08,107016
2018-05-09,107016
2018-05-10,106861
2018-05-11,106861
2018-05-12,108859
2018-05-13,108859
2018-05-14,108859
2018-05-15,111371
2018-05-16,111371
2018-05-17,111371
2018-05-18,113694
2018-05-19,113694
2018-05-20,116447
2018-05-21,116447
2018-05-22,116447
2018-05-23,116650
2018-05-24,116650
2018-05-25,116650
2018-05-26,116767
2018-05-27,116767
2018-05-28,115097
2018-05-29,115097
2018-05-30,116362
2018-05-31,116362
2018-06-01,120182
2018-06-02,120182
2018-06-03,123878
2018-06-04,123878
2018-06-05,124179
2018-06-06,124179
2018-06-07,123194
2018-06-08,123194
2018-06-09,119556
2018-06-10,119556
2018-06-11,117999
2018-06-12,117999
2018-06-13,116598
2018-06-14,116598
2018-06-15,116598
2018-06-16,115710
2018-06-17,115710
2018-06-18,112435
2018-06-19,112435
2018-06-20,112435
2018-06-21,109611
2018-06-22,109611
2018-06-23,109611
2018-06-24,106046
2018-06-25,106046
2018-06-26,102139
2018-06-27,102139
2018-06-28,99041
2018-06-29,99041
2018-06-30,97749
2018-07-01,97749
2018-07-02,95104
2018-07-03,95104
2018-07-04,95070
2018-07-05,95070
2018-07-06,94499
2018-07-07,94499
2018-07-08,92741
2018-07-09,92741
2018-07-10,92504
2018-07-11,92504
2018-07-12,92504
2018-07-13,92509
2018-07-14,91576
2018-07-15,91576
2018-07-16,90588
2018-07-17,89438
2018-07-18,89438
2018-07-19,90724
2018-07-20,90724
2018-07-21,94483
2018-07-22,94483
2018-07-23,99208
2018-07-24,99208
2018-07-25,103549
2018-07-26,103549
2018-07-27,108279
2018-07-28,108279
2018-07-29,113632
2018-07-30,113632
2018-07-31,119102
2018-08-01,119102
2018-08-02,124947
2018-08-03,124947
2018-08-04,131195
2018-08-05,131195
2018-08-06,136201
2018-08-07,136201
2018-08-08,141000
2018-08-09,141000
2018-08-10,143494
2018-08-11,143494
2018-08-12,144947
2018-08-14,146065
2018-08-16,151091
2018-08-17,155345
2018-08-18,155345
2018-08-19,160083
2018-08-20,163847
2018-08-21,163847
2018-08-22,164951
2018-08-23,164951
2018-08-24,162113
2018-08-25,158676
2018-08-26,158676
2018-08-27,158413
2018-08-28,162821
2018-08-29,162821
2018-08-30,167577
2018-08-31,172949
2018-09-01,180222
2018-09-02,180222
2018-09-03,187221
2018-09-04,195930
2018-09-05,195930
2018-09-06,205350
2018-09-07,212997
2018-09-08,222827
2018-09-09,222827
2018-09-10,233524
2018-09-11,233524
2018-09-12,244179
2018-09-13,244179
2018-09-14,251562
2018-09-15,252999
2018-09-16,252999
2018-09-17,254163
2018-09-18,254163
2018-09-19,252311
2018-09-20,252311
2018-09-21,251863
2018-09-22,249208
2018-09-23,249208
2018-09-24,245967
2018-09-25,245967
2018-09-26,250000
2018-09-27,250000
2018-09-28,260894
2018-09-29,260894
2018-09-30,273939
2018-10-01,273939
2018-10-02,281995
2018-10-03,286561
2018-10-04,286561
2018-10-05,286561
2018-10-06,284254
2018-10-07,284254
2018-10-08,285155
2018-10-09,285155
2018-10-10,283993
2018-10-11,283993
2018-10-12,277466
2018-10-13,277466
2018-10-14,274590
2018-10-15,274590
2018-10-16,274367
2018-10-17,274367
2018-10-18,270535
2018-10-19,270535
2018-10-20,265368
2018-10-21,265368
2018-10-22,257120
2018-10-23,257120
2018-10-24,248639
2018-10-25,248639
2018-10-26,245199
2018-10-27,245199
2018-10-28,239841
2018-10-29,239841
2018-10-30,233824
2018-10-31,233824
2018-11-01,232146
2018-11-03,234074
2018-11-04,238121
2018-11-05,244313
2018-11-06,256529
2018-11-07,256529
2018-11-08,268678
2018-11-09,280706
2018-11-10,294742
2018-11-11,307902
2018-11-12,323298
2018-11-13,336019
2018-11-14,351963
2018-11-15,369562
2018-11-16,388041
2018-11-17,405857
2018-11-18,426150
2018-11-19,446332
2018-11-20,468649
2018-11-21,486045
2018-11-22,507366
2018-11-23,530279
2018-11-24,556793
2018-11-25,584633
2018-11-26,612382
2018-11-27,639211
2018-11-28,666783
2018-11-29,700123
2018-12-01,697799
2018-12-02,672351
2018-12-03,672351
2018-12-05,634465
2018-12-07,627329
2018-12-09,594018
2018-12-10,597007
2018-12-11,576934
2018-12-12,563230
2018-12-13,550575
2018-12-14,539612
2018-12-15,540863
2018-12-16,537747
2018-12-17,537747
2018-12-18,535704
2018-12-19,518980
2018-12-20,504438
2018-12-21,487330
2018-12-22,468944
2018-12-23,452601
2018-12-24,443354
2018-12-25,431728
2018-12-26,431728
2018-12-27,417707
2018-12-28,417707
2018-12-29,415461
2018-12-30,421626
2018-12-31,422557
2019-01-01,422557
2019-01-02,421397
2019-01-03,410156
2019-01-04,398049
2019-01-05,395175
2019-01-06,385123
2019-01-08,384347
2019-01-10,371026
2019-01-11,363300
2019-01-12,350210
2019-01-13,334531
2019-01-14,324281
2019-01-15,314273
2019-01-16,310231
2019-01-17,304658
2019-01-18,304658
2019-01-19,300321
2019-01-20,298026
2019-01-21,298026
2019-01-22,296199
2019-01-23,290110
2019-01-24,290110
2019-01-25,282046
2019-01-26,282046
2019-01-27,280132
2019-01-28,279163
2019-01-29,275439
2019-01-30,269080
2019-01-31,269080
2019-02-01,264449
2019-02-02,264449
2019-02-03,253481
2019-02-04,253481
2019-02-05,244382
2019-02-06,244382
2019-02-07,237251
2019-02-08,232067
2019-02-09,232067
2019-02-10,240983
2019-02-11,246267
2019-02-12,246267
2019-02-13,249667
2019-02-14,249667
2019-02-15,250433
2019-02-16,250433
2019-02-17,248242
2019-02-18,248242
2019-02-19,246242
2019-02-20,246242
2019-02-21,244931
2019-02-22,244931
2019-02-23,236189
2019-02-24,229096
2019-02-25,229209
2019-02-26,229209
2019-02-27,227860
2019-02-28,227860
2019-03-01,227125
2019-03-02,227125
2019-03-03,219811
2019-03-04,218946
2019-03-05,218946
2019-03-06,218400
2019-03-07,218400
2019-03-08,215679
2019-03-09,210625
2019-03-10,210143
2019-03-11,210441
2019-03-12,213692
2019-03-13,213692
2019-03-14,217054
2019-03-15,217054
2019-03-16,215551
2019-03-17,213828
2019-03-18,213828
2019-03-19,211904
2019-03-20,210322
2019-03-21,210322
2019-03-22,207330
2019-03-23,205270
2019-03-24,200828
2019-03-25,200828
2019-03-26,195921
2019-03-27,195921
2019-03-28,193525
2019-03-29,190014
2019-03-30,190014
2019-03-31,183917
2019-04-01,179853
2019-04-02,179853
2019-04-03,177929
2019-04-04,177929
2019-04-05,176924
2019-04-06,176924
2019-04-07,172577
2019-04-08,172577
2019-04-09,169736
2019-04-10,169736
2019-04-11,167382
2019-04-12,163142
2019-04-13,164847
2019-04-14,161772
2019-04-15,161772
2019-04-16,158707
2019-04-17,158707
2019-04-18,152772
2019-04-19,152772
2019-04-20,145578
2019-04-21,145578
2019-04-22,138299
2019-04-23,131384
2019-04-24,131384
2019-04-25,125819
2019-04-26,121166
2019-04-27,121166
2019-04-28,116016
2019-04-29,116016
2019-04-30,112832
2019-05-01,112832
2019-05-02,114291
2019-05-03,117450
2019-05-04,121126
2019-05-05,121126
2019-05-06,125827
2019-05-07,125827
2019-05-08,128896
2019-05-09,128896
2019-05-10,130431
2019-05-11,130431
2019-05-12,136392
2019-05-13,141582
2019-05-14,141073
2019-05-15,141073
2019-05-16,140156
2019-05-17,140156
2019-05-18,141776
2019-05-19,141776
2019-05-20,145493
2019-05-21,145493
2019-05-22,147547
2019-05-23,147547
2019-05-24,149994
2019-05-25,149994
2019-05-26,152368
2019-05-27,159352
2019-05-28,159352
2019-05-29,167320
2019-05-30,167320
2019-05-31,174941
2019-06-01,174941
2019-06-02,181826
2019-06-03,181826
2019-06-04,185962
2019-06-05,185962
2019-06-06,183206
2019-06-07,183206
2019-06-08,176811
2019-06-09,176811
2019-06-10,171659
2019-06-11,169511
2019-06-12,169511
2019-06-13,165404
2019-06-14,165404
2019-06-15,159511
2019-06-16,156820
2019-06-17,156820
2019-06-18,150673
2019-06-19,150673
2019-06-20,144632
2019-06-21,144632
2019-06-22,139251
2019-06-23,133078
2019-06-24,133078
2019-06-25,126894
2019-06-26,126894
2019-06-27,120904
2019-06-28,120904
2019-06-29,115375
2019-06-30,113668
2019-07-01,113668
2019-07-02,110904
2019-07-03,110904
2019-07-04,110238
2019-07-05,110238
2019-07-06,115222
2019-07-07,115222
2019-07-08,117879
2019-07-09,117879
2019-07-10,121006
2019-07-11,121006
2019-07-12,126742
2019-07-13,126742
2019-07-14,133080
2019-07-15,133080
2019-07-16,139312
2019-07-17,146047
2019-07-18,146047
2019-07-19,151994
2019-07-20,151994
2019-07-21,155268
2019-07-22,155268
2019-07-23,160884
2019-07-24,160884
2019-07-25,163937
2019-07-26,163937
2019-07-27,165763
2019-07-28,165763
2019-07-29,164750
2019-07-30,164750
2019-07-31,159751
2019-08-01,159751
2019-08-02,157786
2019-08-03,158258
2019-08-04,158258
2019-08-05,156667
2019-08-06,156667
2019-08-07,155637
2019-08-08,155637
2019-08-09,155893
2019-08-10,159516
2019-08-11,159516
2019-08-12,163843
2019-08-13,163843
2019-08-14,161136
2019-08-15,161136
2019-08-16,164373
2019-08-17,164373
2019-08-18,168885
2019-08-19,168885
2019-08-20,172599
2019-08-21,172599
2019-08-22,175619
2019-08-23,175619
2019-08-24,180441
2019-08-24,180441
2019-08-25,180441
2019-08-25,180441
2019-08-26,183969
2019-08-26,183969
2019-08-27,183969
2019-08-27,183969
2019-08-28,182032
2019-08-29,182032
2019-08-30,172980
2019-08-31,172980
2019-09-01,164872
2019-09-02,164872
2019-09-03,159023
2019-09-04,159023
2019-09-05,151640
2019-09-06,151640
2019-09-07,145173
2019-09-08,140223
2019-09-09,140223
2019-09-10,136366
2019-09-11,135174
2019-09-12,135174
2019-09-13,129918
2019-09-14,129918
2019-09-15,124864
2019-09-16,121449
2019-09-17,121449
2019-09-18,117931
2019-09-19,117931
2019-09-20,112669
2019-09-21,112669
2019-09-22,112485
2019-09-23,112485
2019-09-24,111961
2019-09-25,115172
2019-09-26,115172
2019-09-27,119326
2019-09-28,119326
2019-09-29,118936
2019-09-30,118936
2019-10-01,123727
2019-10-02,123727
2019-10-03,127000
2019-10-04,127000
2019-10-05,127550
2019-10-06,129008
2019-10-07,129008
2019-10-08,125460
2019-10-09,125460
2019-10-10,124869
2019-10-11,124869
2019-10-12,124168
2019-10-13,123754
2019-10-14,123754
2019-10-15,121559
2019-10-16,121559
2019-10-17,119779
2019-10-18,119779
2019-10-19,121246
2019-10-20,121246
2019-10-21,120458
2019-10-22,120458
2019-10-23,119420
2019-10-24,119420
2019-10-25,115772
2019-10-26,115772
2019-10-27,112220
2019-10-28,112220
2019-10-29,108448
2019-10-30,108448
2019-10-31,106487
2019-11-01,106487
2019-11-02,101162
2019-11-03,101162
2019-11-04,96879
2019-11-05,96879
2019-11-06,93473
2019-11-07,93473
2019-11-08,91365
2019-11-09,91365
2019-11-10,88048
2019-11-11,88048
2019-11-12,85153
2019-11-13,85153
2019-11-14,82551
2019-11-15,82551
2019-11-16,85055
2019-11-17,85055
2019-11-18,87013
2019-11-19,87013
2019-11-20,90090
2019-11-21,90090
2019-11-22,94298
2019-11-23,94298
2019-11-24,99013
2019-11-25,99013
2019-11-26,103964
2019-11-27,103964
2019-11-28,108325
2019-11-29,108325
2019-11-30,112369
2019-12-01,112369
2019-12-02,115273
2019-12-03,115273
2019-12-04,114377
2019-12-05,114377
2019-12-06,109510
2019-12-07,109510
2019-12-08,104844
2019-12-09,104844
2019-12-10,101324
2019-12-11,101324
2019-12-12,99167
2019-12-13,99167
2019-12-14,99430
2019-12-15,95279
2019-12-16,95279
2019-12-17,90937
2019-12-18,90937
2019-12-19,90483
2019-12-20,90483
2019-12-21,89397
2019-12-22,89397
2019-12-23,87484
2019-12-24,87484
2019-12-25,87100
2019-12-26,87100
2019-12-27,85744
2019-12-28,85744
2019-12-29,84332
2019-12-30,84332
2019-12-31,82398
2020-01-01,82398
2020-01-02,80903
2020-01-03,80903
2020-01-04,80739
2020-01-05,80490
2020-01-06,80490
2020-01-07,78456
2020-01-08,78456
2020-01-09,77997
2020-01-10,77997
2020-01-11,77210
2020-01-12,77210
2020-01-13,80958
2020-01-14,80958
2020-01-15,85006
2020-01-16,85006
2020-01-17,88667
2020-01-18,88667
2020-01-19,92697
2020-01-20,92697
2020-01-21,97332
2020-01-22,97332
2020-01-23,102172
2020-01-24,102172
2020-01-25,107008
2020-01-26,107008
2020-01-27,112239
2020-01-28,112239
2020-01-29,111262
2020-01-30,111262
2020-01-31,107585
2020-02-01,107585
2020-02-02,105126
2020-02-03,105126
2020-02-04,105088
2020-02-05,105088
2020-02-06,104798
2020-02-07,104798
2020-02-08,100932
2020-02-09,100932
2020-02-10,96673
2020-02-11,96673
2020-02-12,93231
2020-02-13,93231
2020-02-14,89178
2020-02-15,89178
2020-02-16,86740
2020-02-17,84631
2020-02-18,85670
2020-02-19,85670
2020-02-20,85000
2020-02-21,85000
2020-02-22,83284
2020-02-23,83284
2020-02-24,83733
2020-02-25,83733
2020-02-26,83875
2020-02-27,83875
2020-02-28,86713
2020-02-29,86713
2020-03-01,87811
2020-03-02,87811
2020-03-03,90552
2020-03-04,90552
2020-03-05,94058
2020-03-06,95803
2020-03-07,95803
2020-03-08,96587
2020-03-09,96963
2020-03-10,98185
2020-03-11,98185
2020-03-12,97796
2020-03-13,97796
2020-03-14,99383
2020-03-15,99383
2020-03-16,102010
2020-03-17,102010
2020-03-18,104645
2020-03-19,104645
2020-03-20,105626
2020-03-21,105626
2020-03-22,106567
2020-03-23,106567
2020-03-24,106109
2020-03-25,104121
2020-03-26,101765
2020-03-27,101613
2020-03-28,101613
2020-03-29,100808
2020-03-30,98206
2020-03-31,97379
2020-04-01,96101
2020-04-02,95314
2020-04-03,95314
2020-04-04,95542
2020-04-05,95542
2020-04-06,96023
2020-04-07,94422
2020-04-08,94832
2020-04-09,93441
2020-04-10,93441
2020-04-11,92737
2020-04-12,91853
2020-04-13,92847
2020-04-14,90038
2020-04-15,86476
2020-04-16,86476
2020-04-17,83575
2020-04-18,80138
2020-04-19,77409
2020-04-20,78684
2020-04-21,78684
2020-04-22,80812
2020-04-23,80806
2020-04-24,81744
2020-04-25,83734
2020-04-26,85096
2020-04-27,84841
2020-04-28,85266
2020-04-29,86945
2020-04-30,86874
2020-05-01,86874
2020-05-02,86975
2020-05-03,89708
2020-05-04,89708
2020-05-05,90783
2020-05-06,90740
2020-05-07,90973
2020-05-08,90973
2020-05-09,87979
2020-05-10,86330
2020-05-11,86330
2020-05-12,85928
2020-05-13,86173
