date_obj,Green%20d'hide%20vambraces price
2015-11-15,1345
2015-11-16,1348
2015-11-17,1349
2015-11-18,1359
2015-11-19,1370
2015-11-20,1375
2015-11-21,1414
2015-11-22,1399
2015-11-23,1411
2015-11-24,1403
2015-11-25,1389
2015-11-26,1371
2015-11-27,1343
2015-11-28,1336
2015-11-29,1349
2015-11-30,1349
2015-12-01,1347
2015-12-02,1348
2015-12-03,1375
2015-12-04,1377
2015-12-05,1376
2015-12-06,1379
2015-12-07,1386
2015-12-08,1385
2015-12-09,1386
2015-12-10,1394
2015-12-11,1383
2015-12-12,1389
2015-12-13,1371
2015-12-14,1324
2015-12-15,1354
2015-12-16,1369
2015-12-17,1347
2015-12-18,1374
2015-12-19,1376
2015-12-20,1374
2015-12-21,1390
2015-12-22,1387
2015-12-23,1401
2015-12-24,1365
2015-12-25,1355
2015-12-26,1348
2015-12-27,1337
2015-12-28,1322
2015-12-29,1321
2015-12-30,1341
2015-12-31,1323
2016-01-01,1292
2016-01-02,1299
2016-01-03,1321
2016-01-04,1348
2016-01-05,1358
2016-01-06,1353
2016-01-07,1351
2016-01-08,1363
2016-01-09,1368
2016-01-10,1348
2016-01-11,1349
2016-01-12,1379
2016-01-13,1375
2016-01-14,1363
2016-01-15,1348
2016-01-16,1359
2016-01-17,1361
2016-01-18,1360
2016-01-19,1362
2016-01-20,1364
2016-01-21,1388
2016-01-22,1362
2016-01-23,1368
2016-01-24,1345
2016-01-25,1342
2016-01-26,1342
2016-01-27,1355
2016-01-28,1344
2016-01-29,1363
2016-01-30,1360
2016-01-31,1359
2016-02-01,1364
2016-02-02,1362
2016-02-03,1363
2016-02-04,1372
2016-02-05,1371
2016-02-06,1361
2016-02-07,1369
2016-02-08,1355
2016-02-09,1348
2016-02-10,1357
2016-02-11,1338
2016-02-12,1335
2016-02-13,1316
2016-02-14,1336
2016-02-15,1330
2016-02-16,1336
2016-02-17,1330
2016-02-18,1329
2016-02-19,1328
2016-02-20,1327
2016-02-21,1329
2016-02-22,1308
2016-02-23,1340
2016-02-24,1347
2016-02-25,1327
2016-02-26,1339
2016-02-27,1342
2016-02-28,1338
2016-02-29,1337
2016-03-01,1331
2016-03-02,1321
2016-03-03,1327
2016-03-04,1340
2016-03-05,1331
2016-03-06,1335
2016-03-07,1348
2016-03-08,1375
2016-03-09,1362
2016-03-10,1359
2016-03-11,1351
2016-03-12,1356
2016-03-13,1338
2016-03-14,1324
2016-03-15,1334
2016-03-16,1343
2016-03-17,1355
2016-03-18,1348
2016-03-19,1335
2016-03-20,1329
2016-03-21,1335
2016-03-22,1353
2016-03-23,1333
2016-03-24,1327
2016-03-25,1328
2016-03-26,1340
2016-03-27,1343
2016-03-28,1354
2016-03-29,1370
2016-03-30,1352
2016-03-31,1335
2016-04-01,1346
2016-04-02,1342
2016-04-03,1343
2016-04-04,1345
2016-04-05,1340
2016-04-06,1357
2016-04-07,1353
2016-04-08,1361
2016-04-09,1354
2016-04-10,1341
2016-04-11,1339
2016-04-12,1328
2016-04-13,1345
2016-04-14,1350
2016-04-15,1358
2016-04-16,1341
2016-04-17,1338
2016-04-18,1342
2016-04-19,1338
2016-04-20,1341
2016-04-21,1355
2016-04-22,1352
2016-04-23,1352
2016-04-24,1331
2016-04-25,1326
2016-04-26,1337
2016-04-27,1331
2016-04-28,1348
2016-04-29,1351
2016-04-30,1357
2016-05-01,1367
2016-05-02,1386
2016-05-03,1366
2016-05-04,1359
2016-05-05,1332
2016-05-06,1299
2016-05-07,1289
2016-05-08,1284
2016-05-09,1304
2016-05-10,1305
2016-05-11,1329
2016-05-12,1310
2016-05-13,1317
2016-05-14,1324
2016-05-15,1327
2016-05-16,1336
2016-05-17,1341
2016-05-18,1345
2016-05-19,1331
2016-05-22,1356
2016-05-23,1331
2016-05-24,1349
2016-05-25,1324
2016-05-26,1327
2016-05-27,1346
2016-05-28,1356
2016-05-29,1340
2016-05-30,1354
2016-05-31,1349
2016-06-01,1334
2016-06-02,1352
2016-06-03,1378
2016-06-04,1353
2016-06-05,1368
