date_obj,Slayer's%20enchantment price
2018-07-10,1556
2018-07-11,1524
2018-07-12,1512
2018-07-13,1562
2018-07-14,1629
2018-07-15,1629
2018-07-16,1555
2018-07-17,1553
2018-07-18,1539
2018-07-19,1559
2018-07-20,1555
2018-07-21,1549
2018-07-22,1531
2018-07-23,1577
2018-07-24,1591
2018-07-25,1657
2018-07-26,1698
2018-07-27,1667
2018-07-28,1649
2018-07-29,1720
2018-07-30,1770
2018-07-31,1689
2018-08-01,1611
2018-08-02,1566
2018-08-03,1579
2018-08-04,1547
2018-08-05,1588
2018-08-06,1650
2018-08-07,1733
2018-08-08,1820
2018-08-09,1910
2018-08-10,1931
2018-08-11,1881
2018-08-12,1832
2018-08-14,1771
2018-08-16,1603
2018-08-17,1546
2018-08-18,1468
2018-08-19,1409
2018-08-20,1385
2018-08-21,1329
2018-08-22,1262
2018-08-23,1202
2018-08-24,1173
2018-08-25,1114
2018-08-26,1065
2018-08-27,1015
2018-08-28,1005
2018-08-29,978
2018-08-30,968
2018-08-31,938
2018-09-01,926
2018-09-02,973
2018-09-03,978
2018-09-04,970
2018-09-05,990
2018-09-06,998
2018-09-07,1008
2018-09-08,1035
2018-09-09,1083
2018-09-10,1120
2018-09-11,1125
2018-09-12,1120
2018-09-13,1142
2018-09-14,1133
2018-09-15,1092
2018-09-16,1062
2018-09-17,1011
2018-09-18,1017
2018-09-19,1054
2018-09-20,1085
2018-09-21,1126
2018-09-22,1124
2018-09-23,1146
2018-09-24,1153
2018-09-25,1173
2018-09-26,1146
2018-09-27,1151
2018-09-28,1150
2018-09-29,1103
2018-09-30,1060
2018-10-02,986
2018-10-03,939
2018-10-04,899
2018-10-05,872
2018-10-06,882
2018-10-07,919
2018-10-08,899
2018-10-09,944
2018-10-10,992
2018-10-11,1032
2018-10-12,1071
2018-10-13,1099
2018-10-14,1154
2018-10-15,1212
2018-10-16,1273
2018-10-17,1337
2018-10-18,1350
2018-10-19,1418
2018-10-20,1489
2018-10-21,1564
2018-10-22,1610
2018-10-23,1583
2018-10-24,1509
2018-10-25,1433
2018-10-26,1361
2018-10-27,1331
2018-10-28,1286
2018-10-29,1225
2018-10-30,1184
2018-10-31,1189
2018-11-01,1168
2018-11-03,1103
2018-11-04,1052
2018-11-05,1005
2018-11-06,1032
2018-11-07,1068
2018-11-08,1046
2018-11-09,1029
2018-11-10,1045
2018-11-11,1066
2018-11-12,1069
2018-11-13,1039
2018-11-14,1056
2018-11-15,1062
2018-11-16,1116
2018-11-17,1172
2018-11-18,1216
2018-11-19,1277
2018-11-20,1329
2018-11-21,1367
2018-11-22,1380
2018-11-23,1443
2018-11-24,1468
2018-11-25,1518
2018-11-26,1538
2018-11-27,1583
2018-11-28,1573
2018-11-29,1567
2018-12-01,1644
2018-12-02,1682
2018-12-03,1724
2018-12-04,1639
2018-12-05,1649
2018-12-07,1656
2018-12-09,1678
2018-12-10,1615
2018-12-11,1542
2018-12-12,1465
2018-12-13,1399
2018-12-14,1329
2018-12-15,1330
2018-12-16,1319
2018-12-17,1340
2018-12-18,1332
2018-12-19,1346
2018-12-20,1372
2018-12-21,1363
2018-12-22,1335
2018-12-23,1338
2018-12-24,1301
2018-12-25,1275
2018-12-26,1255
2018-12-27,1281
2018-12-28,1315
2018-12-29,1373
2018-12-30,1384
2018-12-31,1408
2019-01-01,1374
2019-01-02,1312
2019-01-03,1263
2019-01-04,1262
2019-01-05,1238
2019-01-06,1232
2019-01-08,1215
2019-01-10,1212
2019-01-11,1236
2019-01-12,1258
2019-01-13,1297
2019-01-14,1316
2019-01-15,1316
2019-01-16,1286
2019-01-17,1256
2019-01-18,1208
2019-01-19,1191
2019-01-20,1175
2019-01-21,1171
2019-01-22,1161
2019-01-23,1202
2019-01-24,1207
2019-01-25,1199
2019-01-26,1200
2019-01-27,1201
2019-01-28,1194
2019-01-29,1170
2019-01-30,1206
2019-01-31,1262
2019-02-01,1323
2019-02-02,1335
2019-02-03,1315
2019-02-04,1335
2019-02-05,1282
2019-02-06,1223
2019-02-07,1207
2019-02-08,1147
2019-02-09,1118
2019-02-10,1076
2019-02-11,1053
2019-02-12,1060
2019-02-13,1112
2019-02-14,1161
2019-02-15,1137
2019-02-16,1080
