date_obj,Gilded%20d'hide%20body price
2019-08-03,4284821
2019-08-04,4284821
2019-08-05,4224105
2019-08-06,4224105
2019-08-07,4224105
2019-08-08,4224105
2019-08-09,4199119
2019-08-10,4199119
2019-08-11,4199119
2019-08-12,4044054
2019-08-13,4044054
2019-08-14,4044054
2019-08-15,3924047
2019-08-16,3924047
2019-08-17,3924047
2019-08-18,3854117
2019-08-19,3854117
2019-08-20,3854117
2019-08-21,3854117
2019-08-22,3789874
2019-08-23,3789874
2019-08-24,3789874
2019-08-24,3789874
2019-08-25,3732169
2019-08-25,3732169
2019-08-26,3732169
2019-08-26,3732169
2019-08-27,3732169
2019-08-27,3732169
2019-08-28,3732169
2019-08-29,3690026
2019-08-30,3690026
2019-08-31,3690026
2019-09-01,3663916
2019-09-02,3663916
2019-09-03,3663916
2019-09-04,3663916
2019-09-05,3663916
2019-09-06,3687815
2019-09-07,3687815
2019-09-08,3687815
2019-09-09,3687815
2019-09-10,3672182
2019-09-11,3672182
2019-09-12,3672182
2019-09-13,3621922
2019-09-14,3621922
2019-09-15,3621922
2019-09-16,3545565
2019-09-17,3545565
2019-09-18,3545565
2019-09-19,3545565
2019-09-20,3454038
2019-09-21,3454038
2019-09-22,3454038
2019-09-23,3302423
2019-09-24,3302423
2019-09-25,3302423
2019-09-26,3213416
2019-09-27,3213416
2019-09-28,3213416
2019-09-29,3213416
2019-09-30,3145353
2019-10-01,3145353
2019-10-02,3145353
2019-10-03,3141042
2019-10-04,3141042
2019-10-05,3141042
2019-10-06,3145312
2019-10-07,3145312
2019-10-08,3145312
2019-10-09,3145312
2019-10-10,3224262
2019-10-11,3224262
2019-10-12,3224262
2019-10-13,3224262
2019-10-14,3236466
2019-10-15,3236466
2019-10-16,3236466
2019-10-17,3236466
2019-10-18,3252860
2019-10-19,3252860
2019-10-20,3252860
2019-10-21,3252860
2019-10-22,3187464
2019-10-23,3187464
2019-10-24,3187464
2019-10-25,3187464
2019-10-26,3122436
2019-10-27,3122436
2019-10-28,3122436
2019-10-29,3038171
2019-10-30,3038171
2019-10-31,3038171
2019-11-01,2997837
2019-11-02,2997837
2019-11-03,2997837
2019-11-04,2958609
2019-11-05,2958609
2019-11-06,2958609
2019-11-07,2958609
2019-11-08,2874902
2019-11-09,2874902
2019-11-10,2832770
2019-11-11,2832770
2019-11-12,2832770
2019-11-13,2832770
2019-11-14,2832770
2019-11-15,2796395
2019-11-16,2796395
2019-11-17,2796395
2019-11-18,2661785
2019-11-19,2661785
2019-11-20,2661785
2019-11-21,2661785
2019-11-22,2591093
2019-11-23,2591093
2019-11-24,2591093
2019-11-25,2553010
2019-11-26,2553010
2019-11-27,2553010
2019-11-28,2553010
2019-11-29,2555179
2019-11-30,2555179
2019-12-01,2555179
2019-12-02,2555179
2019-12-03,2549708
2019-12-04,2549708
2019-12-05,2549708
2019-12-06,2549708
2019-12-07,2598995
2019-12-08,2598995
2019-12-09,2598995
2019-12-10,2598995
2019-12-11,2591975
2019-12-12,2591975
2019-12-13,2591975
2019-12-14,2591975
2019-12-15,2566184
2019-12-16,2566184
2019-12-17,2566184
2019-12-18,2566184
2019-12-19,2575617
2019-12-20,2575617
2019-12-21,2575617
2019-12-22,2634840
2019-12-23,2634840
2019-12-24,2634840
2019-12-25,2724228
2019-12-26,2724228
2019-12-27,2724228
2019-12-28,2724228
2019-12-29,2746985
2019-12-30,2746985
2019-12-31,2746985
2020-01-01,2746985
2020-01-02,2681555
2020-01-03,2681555
2020-01-04,2681555
2020-01-05,2619097
2020-01-06,2619097
2020-01-07,2619097
2020-01-08,2619097
2020-01-09,2614246
2020-01-10,2614246
2020-01-11,2614246
2020-01-12,2702668
2020-01-13,2702668
2020-01-14,2702668
2020-01-15,2702668
2020-01-16,2740546
2020-01-17,2740546
2020-01-18,2740546
2020-01-19,2848212
2020-01-20,2848212
2020-01-21,2848212
2020-01-22,2848212
2020-01-23,2913720
2020-01-24,2913720
2020-01-25,2913720
2020-01-26,2844642
2020-01-27,2844642
2020-01-28,2844642
2020-01-29,2844642
2020-01-30,2769054
2020-01-31,2769054
2020-02-01,2769054
2020-02-02,2755639
2020-02-03,2755639
2020-02-04,2755639
2020-02-05,2755639
2020-02-06,2731927
2020-02-07,2731927
2020-02-08,2731927
2020-02-09,2731927
2020-02-10,2664819
2020-02-11,2664819
2020-02-12,2664819
2020-02-13,2664819
2020-02-14,2626351
2020-02-15,2626351
2020-02-16,2626351
2020-02-17,2613459
2020-02-18,2613459
2020-02-19,2613459
2020-02-20,2674650
2020-02-21,2674650
2020-02-22,2674650
2020-02-23,2674650
2020-02-24,2672004
2020-02-25,2672004
2020-02-26,2672004
2020-02-27,2650937
2020-02-28,2650937
2020-02-29,2609617
2020-03-01,2609617
2020-03-02,2567185
2020-03-03,2567185
2020-03-04,2567185
2020-03-05,2567185
2020-03-06,2497583
2020-03-07,2497583
2020-03-08,2497583
2020-03-09,2406594
2020-03-10,2406594
2020-03-11,2406594
2020-03-12,2299091
2020-03-13,2299091
2020-03-14,2234168
2020-03-15,2234168
2020-03-16,2234168
2020-03-17,2192352
2020-03-18,2192352
2020-03-19,2192352
2020-03-20,2117106
2020-03-21,2117106
2020-03-22,2030145
2020-03-23,2030145
2020-03-24,1937386
2020-03-25,1937386
2020-03-26,1865602
2020-03-27,1865602
2020-03-28,1775243
2020-03-29,1775243
2020-03-30,1721916
2020-03-31,1721916
2020-04-01,1702287
2020-04-02,1702287
2020-04-03,1702287
2020-04-04,1702825
2020-04-05,1702825
2020-04-06,1683167
2020-04-07,1683167
2020-04-08,1631620
2020-04-09,1631620
2020-04-10,1631620
2020-04-11,1599852
2020-04-12,1599852
2020-04-13,1581343
2020-04-14,1581343
2020-04-15,1540626
2020-04-16,1540626
2020-04-17,1518487
2020-04-18,1518487
2020-04-19,1483657
2020-04-20,1483657
2020-04-21,1451480
2020-04-22,1451480
2020-04-23,1413351
2020-04-24,1413351
2020-04-25,1367764
2020-04-26,1342709
2020-04-27,1342709
2020-04-28,1334419
2020-04-29,1334419
2020-04-30,1339060
2020-05-01,1339060
2020-05-02,1339060
2020-05-03,1298380
2020-05-04,1298380
2020-05-05,1253745
2020-05-06,1191057
2020-05-07,1191057
2020-05-08,1143820
2020-05-09,1143820
2020-05-10,1090641
2020-05-11,1090641
2020-05-12,1090641
2020-05-13,1068054
