date_obj,Dragon%20knife price
2019-12-05,4765
2019-12-06,4655
2019-12-07,4546
2019-12-08,4395
2019-12-09,4316
2019-12-10,4171
2019-12-11,3963
2019-12-12,3873
2019-12-13,3784
2019-12-14,3697
2019-12-15,3655
2019-12-16,3660
2019-12-17,3601
2019-12-18,3571
2019-12-19,3528
2019-12-20,3630
2019-12-21,3773
2019-12-22,3957
2019-12-23,3979
2019-12-24,3959
2019-12-25,4074
2019-12-26,3955
2019-12-27,4017
2019-12-28,4023
2019-12-29,4051
2019-12-30,3948
2019-12-31,3932
2020-01-01,3895
2020-01-02,3844
2020-01-03,3828
2020-01-04,3797
2020-01-05,3784
2020-01-06,3667
2020-01-07,3623
2020-01-08,3631
2020-01-09,3631
2020-01-10,3642
2020-01-11,3581
2020-01-12,3555
2020-01-13,3542
2020-01-14,3469
2020-01-15,3487
2020-01-16,3526
2020-01-17,3514
2020-01-18,3483
2020-01-19,3504
2020-01-20,3596
2020-01-21,3561
2020-01-22,3539
2020-01-23,3563
2020-01-24,3638
2020-01-25,3615
2020-01-26,3577
2020-01-27,3538
2020-01-28,3509
2020-01-29,3459
2020-01-30,3450
2020-01-31,3396
2020-02-01,3367
2020-02-02,3352
2020-02-03,3324
2020-02-04,3311
2020-02-05,3237
2020-02-06,3094
2020-02-07,2939
2020-02-08,2793
2020-02-09,2729
2020-02-10,2683
2020-02-11,2695
2020-02-12,2688
2020-02-13,2667
2020-02-14,2673
2020-02-15,2705
2020-02-16,2710
2020-02-17,2704
2020-02-18,2699
2020-02-19,2802
2020-02-20,2919
2020-02-21,2943
2020-02-22,3052
2020-02-23,3204
2020-02-24,3233
2020-02-25,3183
2020-02-26,3144
2020-02-27,3094
2020-02-28,3060
2020-02-29,3061
2020-03-01,3093
2020-03-02,3054
2020-03-03,3015
2020-03-04,2999
2020-03-05,2990
2020-03-06,2868
2020-03-07,2940
2020-03-08,2946
2020-03-09,2989
2020-03-10,2986
2020-03-11,3082
2020-03-12,3112
2020-03-13,3061
2020-03-14,3040
2020-03-15,3025
2020-03-16,3022
2020-03-17,3064
2020-03-18,3041
2020-03-19,3045
2020-03-20,3094
2020-03-21,3126
2020-03-22,3112
2020-03-23,3046
2020-03-24,2973
2020-03-25,2868
2020-03-26,2870
2020-03-27,2865
2020-03-28,2947
2020-03-29,2953
2020-03-30,2979
2020-03-31,2956
2020-04-01,2919
2020-04-02,2877
2020-04-03,2860
2020-04-04,2896
2020-04-05,2889
2020-04-06,2869
2020-04-07,2907
2020-04-08,2907
2020-04-09,2922
2020-04-10,2912
2020-04-11,2892
2020-04-12,2880
2020-04-13,2845
2020-04-14,2798
2020-04-15,2765
2020-04-16,2791
2020-04-17,2840
2020-04-18,2902
2020-04-19,2899
2020-04-20,2936
2020-04-21,3000
2020-04-22,3118
2020-04-23,3021
2020-04-24,2957
2020-04-25,2940
2020-04-26,2853
2020-04-27,2822
2020-04-28,2747
2020-04-29,2679
2020-04-30,2570
2020-05-01,2501
2020-05-02,2462
2020-05-03,2412
2020-05-04,2422
2020-05-05,2434
2020-05-06,2333
2020-05-07,2256
2020-05-08,2180
2020-05-09,2122
2020-05-10,2147
2020-05-11,2232
2020-05-12,2332
2020-05-13,2388
