date_obj,Bear%20feet price
2019-08-04,47346
2019-08-05,48351
2019-08-06,48351
2019-08-07,48066
2019-08-08,48066
2019-08-09,48443
2019-08-10,47861
2019-08-11,47861
2019-08-12,47425
2019-08-13,47425
2019-08-14,46034
2019-08-15,45020
2019-08-16,44091
2019-08-17,44091
2019-08-18,42862
2019-08-19,42862
2019-08-20,41712
2019-08-21,41712
2019-08-22,41588
2019-08-23,41588
2019-08-24,42364
2019-08-24,42364
2019-08-25,42364
2019-08-25,42364
2019-08-26,43048
2019-08-26,43048
2019-08-27,43048
2019-08-27,43048
2019-08-28,42939
2019-08-29,42939
2019-08-30,43317
2019-08-31,43317
2019-09-01,44977
2019-09-02,44977
2019-09-03,46889
2019-09-04,48877
2019-09-05,48877
2019-09-06,51082
2019-09-07,53256
2019-09-08,54807
2019-09-09,54807
2019-09-10,54733
2019-09-11,54474
2019-09-12,54474
2019-09-13,53056
2019-09-14,52005
2019-09-15,50455
2019-09-16,50486
2019-09-17,50486
2019-09-18,49299
2019-09-19,49299
2019-09-20,48207
2019-09-21,48260
2019-09-22,47586
2019-09-23,46611
2019-09-24,46611
2019-09-25,46456
2019-09-26,46214
2019-09-27,46214
2019-09-28,46760
2019-09-29,46760
2019-09-30,47455
2019-10-01,48147
2019-10-02,48147
2019-10-03,48169
2019-10-04,48169
2019-10-05,48463
2019-10-06,48600
2019-10-07,48600
2019-10-08,49176
2019-10-09,49176
2019-10-10,50238
2019-10-11,50238
2019-10-12,51057
2019-10-13,52399
2019-10-14,54281
2019-10-15,54281
2019-10-16,54261
2019-10-17,54261
2019-10-18,54558
2019-10-19,53771
2019-10-20,53771
2019-10-21,52327
2019-10-22,52327
2019-10-23,51898
2019-10-24,51898
2019-10-25,50610
2019-10-26,49912
2019-10-27,49912
2019-10-28,49334
2019-10-29,49334
2019-10-30,49371
2019-10-31,49371
2019-11-01,49306
2019-11-02,49389
2019-11-03,49389
2019-11-04,48507
2019-11-05,48507
2019-11-06,47629
2019-11-07,47629
2019-11-08,46164
2019-11-09,45021
2019-11-10,44909
2019-11-11,44092
2019-11-12,44092
2019-11-13,43415
2019-11-14,43415
2019-11-15,43389
2019-11-16,43690
2019-11-17,43690
2019-11-18,43087
2019-11-19,43087
2019-11-20,43777
2019-11-21,43777
2019-11-22,44122
2019-11-23,44122
2019-11-24,44830
2019-11-25,44830
2019-11-26,46512
2019-11-27,46512
2019-11-28,48259
2019-11-29,48259
2019-11-30,49269
2019-12-01,49269
2019-12-02,50311
2019-12-03,51630
2019-12-04,51630
2019-12-05,53378
2019-12-06,53378
2019-12-07,54345
2019-12-08,54345
2019-12-09,55331
2019-12-10,56129
2019-12-11,56129
2019-12-12,56913
2019-12-13,56913
2019-12-14,56821
2019-12-15,56058
2019-12-16,56058
2019-12-17,53982
2019-12-18,53982
2019-12-19,51680
2019-12-20,51680
2019-12-21,49415
2019-12-22,48184
2019-12-23,48184
2019-12-24,47011
2019-12-25,47011
2019-12-26,46204
2019-12-27,46204
2019-12-28,45028
2019-12-29,45028
2019-12-30,43161
2019-12-31,43161
2020-01-01,42153
2020-01-02,42297
2020-01-03,42297
2020-01-04,42000
2020-01-05,41905
2020-01-06,41905
2020-01-07,41796
2020-01-08,41796
2020-01-09,41796
2020-01-10,41288
2020-01-11,42147
2020-01-12,42147
2020-01-13,42756
2020-01-14,42756
2020-01-15,43317
2020-01-16,43317
2020-01-17,43684
2020-01-18,43684
2020-01-19,42549
2020-01-20,42549
2020-01-21,41298
2020-01-22,41298
2020-01-23,39743
2020-01-24,39743
2020-01-25,37948
2020-01-26,36618
2020-01-27,36618
2020-01-28,35725
2020-01-29,35725
2020-01-30,35063
2020-01-31,35063
2020-02-01,34244
2020-02-02,34273
2020-02-03,34273
2020-02-04,33902
2020-02-05,33902
2020-02-06,34068
2020-02-07,34068
2020-02-08,34482
2020-02-09,34482
2020-02-10,34152
2020-02-11,34152
2020-02-12,33354
2020-02-13,33354
2020-02-14,32550
2020-02-15,32550
2020-02-16,31446
2020-02-17,30725
2020-02-18,30725
2020-02-19,30115
2020-02-20,29550
2020-02-21,29550
2020-02-22,29263
2020-02-23,29263
2020-02-24,28683
2020-02-25,28683
2020-02-26,28358
2020-02-27,28358
2020-02-28,28070
2020-02-29,28070
2020-03-01,27787
2020-03-02,27787
2020-03-03,28025
2020-03-04,28025
2020-03-05,28132
2020-03-06,29065
2020-03-07,29065
2020-03-08,29680
2020-03-09,29680
2020-03-10,30819
2020-03-11,30819
2020-03-12,30724
2020-03-13,30724
2020-03-14,30185
2020-03-15,30185
2020-03-16,29769
2020-03-17,29769
2020-03-18,29339
2020-03-19,28506
2020-03-20,28070
2020-03-21,28070
2020-03-22,27814
2020-03-23,27208
2020-03-24,27127
2020-03-25,27998
2020-03-26,28619
2020-03-27,28619
2020-03-28,29897
2020-03-29,31204
2020-03-30,32382
2020-03-31,32382
2020-04-01,33876
2020-04-02,35140
2020-04-03,35140
2020-04-04,35995
2020-04-05,35995
2020-04-06,36335
2020-04-07,36335
2020-04-08,35725
2020-04-09,35221
2020-04-10,35221
2020-04-11,34579
2020-04-12,33909
2020-04-13,33909
2020-04-14,33587
2020-04-15,33013
2020-04-16,33013
2020-04-17,31795
2020-04-18,31123
2020-04-19,30529
2020-04-20,30285
2020-04-21,30285
2020-04-22,29793
2020-04-23,29793
2020-04-24,29205
2020-04-25,29205
2020-04-26,28617
2020-04-27,28017
2020-04-28,27872
2020-04-29,27872
2020-04-30,27234
2020-05-01,27234
2020-05-02,27187
2020-05-03,26984
2020-05-04,26984
2020-05-05,26818
2020-05-06,26573
2020-05-07,26573
2020-05-08,26041
2020-05-09,26001
2020-05-10,25513
2020-05-11,25513
2020-05-12,24909
2020-05-13,24941
