date_obj,Rune%20platebody%20(t) price
2017-01-30,42336
2017-01-31,42336
2017-02-01,42044
2017-02-02,42044
2017-02-03,42044
2017-02-04,41703
2017-02-05,41703
2017-02-06,41908
2017-02-07,41908
2017-02-08,41639
2017-02-09,41639
2017-02-10,41846
2017-02-11,41846
2017-02-12,41912
2017-02-13,41912
2017-02-14,41366
2017-02-15,41366
2017-02-16,40994
2017-02-18,40994
2017-02-19,40765
2017-02-20,40765
2017-02-21,40653
2017-02-22,40653
2017-02-23,40653
2017-02-24,40704
2017-02-25,40704
2017-02-26,40374
2017-02-27,40374
2017-02-28,40273
2017-03-01,40273
2017-03-02,40292
2017-03-03,40292
2017-03-04,41231
2017-03-05,41231
2017-03-06,42051
2017-03-07,42051
2017-03-08,42051
2017-03-09,43125
2017-03-10,43125
2017-03-11,43216
2017-03-12,43216
2017-03-13,42939
2017-03-14,42939
2017-03-15,42401
2017-03-16,42401
2017-03-17,42254
2017-03-18,42254
2017-03-19,41438
2017-03-20,41438
2017-03-21,41116
2017-03-22,41116
2017-03-23,41903
2017-03-24,41903
2017-03-25,41704
2017-03-26,41704
2017-03-27,41396
2017-03-28,41396
2017-03-29,40600
2017-03-30,40600
2017-03-31,40642
2017-04-01,40642
2017-04-02,41057
2017-04-03,41623
2017-04-04,41623
2017-04-12,40821
2017-04-13,40749
2017-04-14,40749
2017-04-15,40922
2017-04-16,40922
2017-04-17,40954
2017-04-18,40954
2017-04-19,40729
2017-04-20,40729
2017-04-21,40768
2017-04-22,40768
2017-04-23,40779
2017-04-24,40779
2017-04-25,40501
2017-04-26,40501
2017-04-27,40034
2017-04-28,40034
2017-04-29,40102
2017-04-30,40102
2017-05-01,39870
2017-05-02,39870
2017-05-03,40582
2017-05-04,40582
2017-05-05,40481
2017-05-06,40481
2017-05-07,40524
2017-05-08,40524
2017-05-09,40670
2017-05-10,40670
2017-05-11,40670
2017-05-12,40376
2017-05-13,40376
2017-05-14,40764
2017-05-15,40764
2017-05-16,41150
2017-05-17,41150
2017-05-18,41629
2017-05-19,41629
2017-05-20,40907
2017-05-21,40907
2017-05-22,40907
2017-05-23,40769
2017-05-24,40769
2017-05-25,41282
2017-05-26,41282
2017-05-27,41070
2017-05-28,41070
2017-05-29,41120
2017-05-30,41120
2017-05-31,40470
2017-06-01,40470
2017-06-02,39877
2017-06-03,39877
2017-06-06,40152
2017-06-07,40152
2017-06-08,40329
2017-06-09,40329
2017-06-10,39974
2017-06-11,39974
2017-06-12,39668
2017-06-13,39668
2017-06-14,39422
2017-06-15,39422
2017-06-16,39206
2017-06-17,39206
2017-06-18,39892
2017-06-19,39892
2017-06-20,40071
2017-06-21,40071
2017-06-22,39943
2017-06-23,39943
2017-06-24,39654
2017-06-25,39654
2017-06-26,39161
2017-06-27,39161
2017-06-28,40092
2017-06-29,40092
2017-06-30,39754
2017-07-01,39754
2017-07-02,39754
2017-07-03,39654
2017-07-04,39654
2017-07-05,39654
2017-07-06,40499
2017-07-07,40499
2017-07-08,40499
2017-07-13,40055
2017-07-14,40553
2017-07-15,40553
2017-07-16,40553
2017-07-17,40134
2017-07-18,40134
2017-07-19,40319
2017-07-20,40319
2017-07-21,40645
2017-07-22,40645
2017-07-23,39920
2017-07-24,39920
2017-07-25,39969
2017-07-26,39969
2017-07-27,40363
2017-07-28,40363
2017-07-29,40363
2017-07-30,40855
2017-07-31,40855
2017-08-01,40855
2017-08-02,40853
2017-08-03,40853
2017-08-04,40853
2017-08-05,41035
2017-08-06,41035
2017-08-09,41328
2017-08-10,40212
2017-08-11,40212
2017-08-12,39704
2017-08-13,39704
2017-08-14,39336
2017-08-15,39336
2017-08-17,39253
2017-08-18,40040
2017-08-19,40040
2017-08-20,39971
2017-08-21,39971
2017-08-22,39362
2017-08-23,39362
2017-08-24,39206
2017-08-25,39206
2017-08-26,39683
2017-08-27,39683
2017-08-28,39867
2017-08-29,39867
2017-08-30,39395
2017-08-31,39395
2017-09-01,39395
2017-09-02,39492
2017-09-03,39492
2017-09-04,39492
2017-09-05,39979
2017-09-06,39979
2017-09-07,40669
2017-09-08,40669
2017-09-09,40565
2017-09-10,40565
2017-09-11,40233
2017-09-12,40233
2017-09-13,39764
2017-09-14,39764
2017-09-15,39389
2017-09-16,39389
2017-09-17,39694
2017-09-19,39963
2017-09-20,39963
2017-09-21,39890
2017-09-22,39890
2017-09-23,39734
2017-09-24,39734
2017-09-25,39666
2017-09-26,39666
2017-09-27,39618
2017-09-28,39618
2017-09-29,39850
2017-09-30,39850
2017-10-01,40029
2017-10-02,40029
2017-10-03,39610
2017-10-04,39610
2017-10-05,39900
2017-10-06,39900
2017-10-07,40367
2017-10-08,40367
2017-10-09,40491
2017-10-10,40491
2017-10-11,41192
2017-10-12,41192
2017-10-13,40525
2017-10-14,40525
2017-10-15,40187
2017-10-16,40187
2017-10-17,40392
2017-10-18,40392
2017-10-19,40556
2017-10-20,40556
2017-10-21,40556
2017-10-22,40457
2017-10-23,40457
2017-10-24,40510
2017-10-25,40510
2017-10-26,39628
2017-10-27,39628
2017-10-28,39628
2017-10-29,39300
2017-10-30,39300
2017-10-31,38815
2017-11-01,38815
2017-11-02,38815
2017-11-03,38988
2017-11-04,38988
2017-11-05,38934
2017-11-06,38934
2017-11-07,38934
2017-11-08,39172
2017-11-09,39172
2017-11-10,39212
2017-11-11,39212
2017-11-12,39105
2017-11-13,39105
2017-11-14,39275
2017-11-15,39275
2017-11-16,39129
2017-11-17,39129
2017-11-18,39136
2017-11-19,39136
2017-11-20,39344
2017-11-21,39344
2017-11-22,39406
2017-11-23,39406
2017-11-24,39729
2017-11-25,39729
2017-11-26,39896
2017-11-27,39896
2017-11-28,39640
2017-11-29,39640
2017-11-30,39640
2017-12-01,39332
2017-12-02,39332
2017-12-03,39088
2017-12-04,39088
2017-12-05,39552
2017-12-06,39552
2017-12-07,39863
2017-12-08,39863
2017-12-09,39514
2017-12-10,39514
2017-12-11,39665
2017-12-12,39665
2017-12-13,39272
2017-12-14,39272
2017-12-15,39985
2017-12-16,39985
2017-12-17,40662
2017-12-18,41704
2017-12-19,41704
2017-12-20,41841
2017-12-21,41841
2017-12-22,41523
2017-12-23,41523
2017-12-24,42729
2017-12-25,42729
2017-12-26,42764
2017-12-27,42764
2017-12-28,42708
2017-12-29,42708
2017-12-30,43014
2017-12-31,43014
2018-01-01,43410
2018-01-02,43410
2018-01-03,42985
2018-01-04,42985
2018-01-05,41780
2018-01-06,41780
2018-01-07,41441
2018-01-08,41441
2018-01-09,41504
2018-01-10,41504
2018-01-11,41132
2018-01-12,41132
2018-01-13,40661
2018-01-14,40661
2018-01-15,40178
2018-01-16,40178
2018-01-17,39957
2018-01-18,39957
2018-01-19,39867
2018-01-20,39867
2018-01-21,39543
2018-01-22,39543
2018-01-23,39617
2018-01-24,40439
2018-01-25,40241
2018-01-26,40708
2018-01-27,40123
2018-01-28,39707
2018-01-29,39872
2018-01-30,39861
2018-02-01,40694
2018-02-02,40843
2018-02-03,41040
2018-02-04,40638
2018-02-05,40638
2018-02-06,41246
2018-02-07,41858
2018-02-08,41858
2018-02-09,41743
2018-02-10,41743
2018-02-11,42161
2018-02-12,41935
2018-02-13,41959
2018-02-14,42181
2018-02-15,42377
2018-02-16,42132
2018-02-17,41515
2018-02-18,40852
2018-02-19,41170
2018-02-20,40891
2018-02-21,40881
2018-02-22,40881
2018-02-23,41623
2018-02-24,41623
2018-02-25,41568
2018-02-26,42178
2018-02-27,42361
2018-02-28,42361
2018-03-01,41359
2018-03-02,41405
2018-03-03,40388
2018-03-04,40388
2018-03-05,40766
2018-03-06,41151
2018-03-07,40843
2018-03-08,41309
2018-03-09,41319
2018-03-10,41463
2018-03-11,40849
2018-03-12,40208
2018-03-13,40112
2018-03-14,39920
2018-03-15,39920
2018-03-16,40252
2018-03-17,40342
2018-03-18,39886
2018-03-19,39886
2018-03-20,39793
2018-03-21,39981
2018-03-23,39808
2018-03-24,40482
2018-03-26,40803
2018-03-27,41136
2018-03-28,40958
2018-03-29,41533
2018-03-30,41247
2018-03-31,41748
2018-04-01,41765
2018-04-02,41207
2018-04-03,40990
2018-04-04,40550
2018-04-05,40550
2018-04-06,41381
2018-04-08,41845
2018-04-09,41626
2018-04-10,40936
2018-04-11,41415
2018-04-12,41596
2018-04-13,41596
2018-04-14,41156
2018-04-15,40874
2018-04-16,40874
2018-04-17,40690
2018-04-18,40690
2018-04-19,40919
2018-04-20,41344
2018-04-21,41257
2018-04-22,41257
2018-04-23,40674
2018-04-24,40661
2018-04-25,41243
2018-04-26,41243
2018-04-27,41536
2018-04-28,41746
2018-04-29,40966
2018-04-30,41461
2018-05-01,41306
2018-05-02,41248
2018-05-03,41248
2018-05-04,41277
2018-05-05,40755
2018-05-06,40755
2018-05-07,40816
2018-05-08,40816
2018-05-09,40650
2018-05-10,40959
2018-05-11,41610
2018-05-12,41584
2018-05-13,41584
2018-05-14,41214
2018-05-15,40988
2018-05-16,40662
2018-05-17,40605
2018-05-18,40783
2018-05-19,40217
2018-05-20,39970
2018-05-21,40025
2018-05-22,40025
2018-05-23,40880
2018-05-24,40824
2018-05-25,40736
2018-05-26,40932
2018-05-27,40932
2018-05-28,41238
2018-05-29,40971
2018-05-30,39957
2018-05-31,40049
2018-06-01,39816
2018-06-02,40081
2018-06-03,39987
2018-06-04,40091
2018-06-05,40235
2018-06-06,39928
2018-06-07,39928
2018-06-08,40065
2018-06-09,40065
2018-06-10,40309
2018-06-11,40474
2018-06-12,40877
2018-06-13,40968
2018-06-14,40720
2018-06-15,40486
2018-06-16,40013
2018-06-17,39554
2018-06-18,39770
2018-06-19,40001
2018-06-20,40001
2018-06-21,40171
2018-06-22,40332
2018-06-23,40332
2018-06-24,40312
2018-06-25,40205
2018-06-26,40469
2018-06-27,40539
2018-06-28,40538
2018-06-29,40308
2018-06-30,40489
2018-07-01,40623
2018-07-02,40623
2018-07-03,40746
2018-07-04,41189
2018-07-05,41330
2018-07-06,41153
2018-07-07,40318
2018-07-08,39895
2018-07-09,39938
2018-07-10,40080
2018-07-11,40279
2018-07-12,40048
2018-07-13,40175
2018-07-14,39770
2018-07-15,39770
2018-07-16,39637
2018-07-17,39977
2018-07-18,39501
2018-07-19,39501
2018-07-20,39504
2018-07-21,39716
2018-07-22,40168
2018-07-23,40244
2018-07-24,40763
2018-07-25,40877
2018-07-26,40610
2018-07-27,40721
2018-07-28,40609
2018-07-29,40140
2018-07-30,40374
2018-07-31,40303
2018-08-01,40303
2018-08-02,40679
2018-08-03,41053
2018-08-04,41520
2018-08-05,41265
2018-08-06,41999
2018-08-07,42002
2018-08-08,41534
2018-08-09,41534
2018-08-10,41584
2018-08-11,41553
2018-08-12,41249
2018-08-14,41248
2018-08-16,41201
2018-08-17,41255
2018-08-18,40568
2018-08-19,40648
2018-08-20,40910
2018-08-21,41392
2018-08-22,40915
2018-08-23,40583
2018-08-24,40050
2018-08-25,39789
2018-08-26,40439
2018-08-27,40286
2018-08-28,40934
2018-08-29,40291
2018-08-30,40382
2018-08-31,40728
2018-09-01,41128
2018-09-02,40960
2018-09-03,41022
2018-09-04,41261
2018-09-05,41801
2018-09-06,41801
2018-09-07,41750
2018-09-08,42184
2018-09-09,42822
2018-09-10,42855
2018-09-11,42855
2018-09-12,42830
2018-09-13,43753
2018-09-14,44307
2018-09-15,43986
2018-09-16,44625
2018-09-17,45114
2018-09-18,46227
2018-09-19,46738
2018-09-20,47144
2018-09-21,46008
2018-09-22,45227
2018-09-23,44430
2018-09-24,44116
2018-09-25,43943
