date_obj,Cavalier%20mask price
2016-05-08,129630
2016-05-09,129630
2016-05-10,129630
2016-05-11,129630
2016-05-12,129630
2016-05-13,129630
2016-05-14,126985
2016-05-15,126985
2016-05-16,126985
2016-05-17,126985
2016-05-18,126985
2016-05-19,126985
2016-05-22,126985
2016-05-23,126985
2016-05-24,126024
2016-05-25,126024
2016-05-26,126024
2016-05-27,126024
2016-05-28,126024
2016-05-29,126024
2016-05-30,126024
2016-05-31,126024
2016-06-01,126024
2016-06-02,126024
2016-06-03,122529
2016-06-04,122529
2016-06-05,122529
2016-06-06,122529
2016-06-07,122529
2016-06-08,122529
2016-06-09,122529
2016-06-10,122529
2016-06-11,122529
2016-06-12,126547
2016-06-13,126547
2016-06-14,126547
2016-06-15,126547
2016-06-16,126547
2016-06-17,126547
2016-06-18,126547
2016-06-19,126547
2016-06-20,126547
2016-06-21,126547
2016-06-22,130996
2016-06-23,130996
2016-06-24,130996
2016-06-25,130996
2016-06-26,130996
2016-06-27,130996
2016-06-28,130996
2016-06-29,130996
2016-06-30,130996
2016-07-01,131819
2016-07-02,131819
2016-07-03,131819
2016-07-04,131819
2016-07-05,131819
2016-07-06,131819
2016-07-07,131819
2016-07-08,131819
2016-07-09,131819
2016-07-10,131588
2016-07-11,131588
2016-07-12,131588
2016-07-13,131588
2016-07-14,131588
2016-07-15,131588
2016-07-16,131588
2016-07-17,131588
2016-07-18,131588
2016-07-23,131616
2016-07-24,131616
2016-07-25,131616
2016-07-26,131616
2016-07-27,131616
2016-07-28,131616
2016-07-29,131616
2016-07-30,131616
2016-07-31,131616
2016-08-01,126139
2016-08-02,126139
2016-08-03,126139
2016-08-04,126139
2016-08-05,126139
2016-08-06,126139
2016-08-07,126139
2016-08-08,126139
2016-08-09,126139
2016-08-10,126139
2016-08-11,126139
2016-08-12,126139
2016-08-13,126139
2016-08-14,124660
2016-08-15,124660
2016-08-16,124660
2016-08-17,124660
2016-08-18,124660
2016-08-19,124660
2016-08-20,124660
2016-08-21,124660
2016-08-22,124660
2016-08-23,124660
2016-08-24,124660
2016-08-25,124660
2016-08-26,124660
2016-08-28,120995
2016-08-31,120995
2016-09-01,120995
2016-09-02,120995
2016-09-03,120995
2016-09-04,120995
2016-09-05,120995
2016-09-06,120995
2016-09-07,120995
2016-09-08,120995
2016-09-09,118807
2016-09-10,118807
2016-09-11,118807
2016-09-12,118807
2016-09-13,118807
2016-09-14,118807
2016-09-15,118807
2016-09-16,118807
2016-09-17,118807
2016-09-18,118807
2016-09-19,118807
2016-09-20,118807
2016-09-21,118807
2016-09-22,118807
2016-09-23,119060
2016-09-24,119060
2016-09-25,119060
2016-09-26,119060
2016-09-27,119060
2016-09-28,119060
2016-09-29,119060
2016-09-30,119060
2016-10-01,119060
2016-10-02,119060
2016-10-03,119060
2016-10-04,119060
2016-10-05,119060
2016-10-06,119060
2016-10-07,119060
2016-10-08,116468
2016-10-09,116468
2016-10-10,116468
2016-10-11,116468
2016-10-12,116468
2016-10-13,116468
2016-10-14,116468
2016-10-15,116468
2016-10-16,116468
2016-10-17,116468
2016-10-18,116468
2016-10-19,116468
2016-10-20,116468
2016-10-21,116468
2016-10-22,114424
2016-10-23,114424
2016-10-24,114424
2016-10-25,114424
2016-10-26,114424
2016-10-27,114424
2016-10-28,114424
2016-10-29,114424
2016-10-30,114424
2016-10-31,114424
2016-11-01,114424
2016-11-02,114424
2016-11-03,114424
2016-11-04,114719
2016-11-05,114719
2016-11-06,114719
2016-11-07,114719
2016-11-08,114719
2016-11-09,114719
2016-11-10,114719
2016-11-11,114719
2016-11-12,114719
2016-11-13,114719
2016-11-14,114719
2016-11-15,114719
2016-12-07,109925
2016-12-08,109925
2016-12-09,109925
2016-12-10,109925
2016-12-11,109925
2016-12-12,107920
2016-12-13,107920
2016-12-14,107920
2016-12-15,107920
2016-12-16,107920
2016-12-17,107920
2016-12-18,107920
2016-12-19,107920
2016-12-20,107920
2016-12-21,107920
2016-12-22,107920
2016-12-23,107920
2016-12-24,107920
2016-12-25,107920
2016-12-26,107956
2016-12-27,107956
2016-12-28,107956
2016-12-29,107956
2016-12-30,107956
2016-12-31,107956
2017-01-01,107956
2017-01-02,107956
2017-01-03,107956
2017-01-04,107956
2017-01-05,107956
2017-01-06,107956
2017-01-07,107956
2017-01-08,106627
2017-01-09,106627
