date_obj,Book%20of%20law%20page%20set price
2016-04-21,1360696
2016-04-22,1360696
2016-04-23,1360696
2016-04-24,1360696
2016-04-25,1309760
2016-04-26,1309760
2016-04-27,1309760
2016-04-28,1249749
2016-04-29,1249749
2016-04-30,1249749
2016-05-01,1249749
2016-05-02,1198847
2016-05-03,1198847
2016-05-04,1198847
2016-05-05,1162290
2016-05-06,1162290
2016-05-07,1162290
2016-05-08,1171526
2016-05-09,1171526
2016-05-10,1171526
2016-05-11,1199983
2016-05-12,1199983
2016-05-13,1199983
2016-05-14,1200360
2016-05-15,1200360
2016-05-16,1200360
2016-05-17,1235157
2016-05-18,1235157
2016-05-19,1235157
2016-05-22,1252298
2016-05-23,1252416
2016-05-24,1252416
2016-05-25,1252416
2016-05-26,1228657
2016-05-27,1228657
2016-05-28,1228657
2016-05-29,1242495
2016-05-30,1242495
2016-05-31,1242495
2016-06-01,1294678
2016-06-02,1294678
2016-06-03,1294678
2016-06-04,1333992
2016-06-05,1333992
2016-06-06,1333992
2016-06-07,1333992
2016-06-08,1297004
2016-06-09,1297004
2016-06-10,1254098
2016-06-11,1254098
2016-06-12,1254098
2016-06-13,1204511
2016-06-14,1204511
2016-06-15,1204511
2016-06-16,1150165
2016-06-17,1150165
2016-06-18,1118849
2016-06-19,1118849
2016-06-20,1109693
2016-06-21,1109693
2016-06-22,1109693
2016-06-23,1153238
2016-06-24,1153238
2016-06-25,1153238
2016-06-26,1207614
2016-06-27,1207614
2016-06-28,1207614
2016-06-29,1264236
2016-06-30,1264236
2016-07-01,1321524
2016-07-02,1321524
2016-07-03,1321524
2016-07-04,1381371
2016-07-05,1381371
2016-07-06,1381371
2016-07-07,1356478
2016-07-08,1356478
2016-07-09,1288678
2016-07-10,1288678
2016-07-11,1224244
2016-07-12,1224244
2016-07-13,1224244
2016-07-14,1163031
2016-07-15,1163031
2016-07-16,1163031
2016-07-17,1104879
2016-07-18,1104879
2016-07-23,1020572
2016-07-24,1020572
2016-07-25,1020572
2016-07-26,973361
2016-07-27,973361
2016-07-28,973361
2016-07-29,959847
2016-07-30,959847
2016-07-31,959847
2016-08-01,1002425
2016-08-02,1002425
2016-08-03,1047904
2016-08-04,1047904
2016-08-05,1047904
2016-08-06,1094666
2016-08-07,1094666
2016-08-08,1094666
2016-08-09,1142652
2016-08-10,1142652
2016-08-11,1142652
2016-08-12,1142652
2016-08-13,1161421
2016-08-14,1161421
2016-08-15,1161421
2016-08-16,1156386
2016-08-17,1156386
2016-08-18,1156386
2016-08-19,1156386
2016-08-20,1139952
2016-08-21,1139952
2016-08-22,1139952
2016-08-23,1082954
2016-08-24,1082954
2016-08-25,1082954
2016-08-26,1082954
2016-08-28,1028902
2016-08-31,1033803
2016-09-01,1033803
2016-09-02,1033803
2016-09-03,1085494
2016-09-04,1085494
2016-09-05,1085494
2016-09-06,1136103
2016-09-07,1136103
2016-09-08,1136103
2016-09-09,1136103
2016-09-10,1182175
2016-09-11,1182175
2016-09-12,1182175
2016-09-13,1182175
2016-09-14,1230615
2016-09-15,1230615
2016-09-16,1230615
2016-09-17,1230615
2016-09-18,1279188
2016-09-19,1279188
2016-09-20,1279188
2016-09-21,1279188
2016-09-22,1308338
2016-09-23,1308338
2016-09-24,1308338
2016-09-25,1308338
2016-09-26,1337448
2016-09-27,1337448
2016-09-28,1337448
2016-09-29,1337448
2016-09-30,1393364
2016-10-01,1393364
2016-10-02,1393364
2016-10-03,1393364
2016-10-04,1396212
2016-10-05,1396212
2016-10-06,1396212
2016-10-07,1396212
2016-10-08,1412690
2016-10-09,1412690
2016-10-10,1412690
2016-10-11,1412690
2016-10-12,1457130
2016-10-13,1457130
2016-10-14,1457130
2016-10-15,1473644
2016-10-16,1473644
2016-10-17,1473644
2016-10-18,1446137
2016-10-19,1446137
